paper_id,event_year,pub_name,pub_authors
1111,1994,quickstore : a high performance mapped object store,"david j. dewitt , seth j. white"
1112,1994,using semantic values to falilitate interoperability among heterogeneous information systems,"edward sciore , michael siegel , arnon rosenthal"
1113,2003,covering indexes for xml queries : bisimulation - simulation = negation,prakash ramanan
1114,2002,"database tuning : principles , experiments , and troubleshooting techniques ( part ii )","dennis shasha , philippe bonnet"
1115,1994,towards automated performance tuning for complex workloads,"michael j. carey , manish mehta , miron livny , kurt p. brown"
1116,1994,integrating a structured-text retrieval system with an object-oriented database system,"jurgen annevelink , tak w. yan"
1117,1997,efficient user-adaptable similarity search in large multimedia databases,"thomas seidl , hans-peter kriegel"
1118,1996,index nesting - an efficient approach to indexing in object-oriented databases,"jiawei han , beng chin ooi , hongjun lu , kian-lee tan"
1119,1995,an annotated bibliography on real-time database systems,özgür ulusoy
1120,1996,effective & efficient document ranking without using a large lexicon,yasushi ogawa
1121,2001,re-designing distance functions and distance-based applications for high dimensional data,charu c. aggarwal
1122,2003,information integration on the web : a view from ai and databases ( report on iiweb-03 ),"subbarao kambhampati , craig a. knoblock"
1123,1996,a probabilistic relational model and algebra,"debabrata dey , sumit sarkar"
1124,1999,evolvable view environment ( eve ) : non-equivalent view maintenance under schema changes,"andreas koeller , amy j. lee , xin zhang , anisoara nica , elke a. rundensteiner , amber van wyk , yong li"
1125,1996,declustering of key-based partitioned signature files,"pavel zezula , paolo ciaccia , paolo tiberio"
1126,1999,query processing techniques for arrays,"kenneth salem , arunprasad p. marathe"
1127,1994,charter and scope,won kim
1128,1998,towards a theory of cost management for digital libraries and electronic commerce,"a. prasad sistla , robert h. sloan , yelena yesha , ouri wolfson"
1129,2003,locating data sources in large distributed systems,"david j. dewitt , leonidas galanis , shawn r. jeffery , yuan wang"
1130,2001,picodbms : validation and experience,"philippe pucheral , christophe bobineau , luc bouganim , patrick valduriez , nicolas anciaux"
1131,2000,mining frequent patterns without candidate generation,"jian pei , jiawei han , yiwen yin"
1132,1998,panel on next generation database systems wo n't work without semantics !,john mylopoulos
1133,1997,extracting entity profiles from semistructured information spaces,"robert a. nado , scott b. huffman"
1134,2003,data quality and data cleaning : an overview,"theodore johnson , tamraparni dasu"
1135,2002,small worlds : the dynamics of networks between order and randomness - book review,jie wu
1136,1996,eroc : a toolkit for building neato query optimizers,"melissa truong , louis burger , william j. mckenna , chi hoang"
1137,2003,composing mappings among data sources,"alon y. halevy , jayant madhavan"
1138,1998,proximity search in databases,"narayanan shivakumar , hector garcia-molina , roy goldman , suresh venkatasubramanian"
1139,1998,database research at columbia university,"kenneth a. ross , gail e. kaiser , luis gravano , salvatore j. stolfo , shih-fu chang"
1140,1995,use of a component architecture in integrating relational and non-relational storage systems,robert g. atkinson
1141,1998,providing database-like access to the web using queries based on textual similarity,william w. cohen
1142,1997,on-line warehouse view maintenance,"jennifer widom , dallan quass"
1143,1998,dms : a parallel data mining server,felicity a. w. george
1144,2003,supporting frequent updates in r-trees : a bottom-up approach,"christian s. jensen , bin cui , mong-li lee , keng lik teo , wynne hsu"
1145,1995,leveraging the information asset,janet perna
1146,1999,the cornell jaguar system : adding mobility to predator,"zhiyuan chen , daniel mahashin , victor cheng , kyle buza , tobias mayr , hubert siu , randolph chung , ivan oprencak , philippe bonnet , takako m. hickey , praveen seshadri , ryan kennedy"
1147,1999,networked data management design points,james r. hamilton
1148,2000,the bt-tree : a branched and temporal access method,"david b. lomet , betty salzberg , linan jiang , manuel barrena garcía"
1149,1998,microsoft index tuning wizard for sql server 7.0,"surajit chaudhuri , vivek r. narasayya"
1150,1994,incomplete path expressions and their disambiguation,"yannis e. ioannidis , yezdi lashkari"
1151,1995,data and knowledge base research at hong kong university of science and technology,"babak hamidzadeh , kamalakar karlapalem , qing li , chung-dak shum , dik lun lee , frederick h. lochovsky , beat wüthrich , alex chia-yee kean , pamela drew"
1152,2002,protdb : probabilistic data in xml,"andrew nierman , h. v. jagadish"
1153,1999,database architecture optimized for the new bottleneck : memory access,"stefan manegold , peter a. boncz , martin l. kersten"
1154,2000,efficient and extensible algorithms for multi query optimization,"s. sudarshan , siddhesh bhobe , s. seshadri , prasan roy"
1155,1998,chair 's message,richard t. snodgrass
1156,1994,distributed file organization with scalable cost/performance,"yuri breitbart , gerhard weikum , radek vingralek"
1157,2003,the piazza peer data management project,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork"
1158,1998,microsoft universal data access platform,"michael pizzo , josé a. blakeley"
1159,2002,searching and mining fine-grained semi-structured data,soumen chakrabarti
1160,1998,reminiscences on influential papers,"z. meral özsoyoglu , philip s. yu , nick roussopoulos , krithi ramamritham , alberto o. mendelzon , richard t. snodgrass , laura m. haas , jennifer widom , jan paredaens"
1161,2000,lh * rs : a high-availability scalable distributed data structure using reed solomon codes,"thomas j. e. schwarz , witold litwin"
1162,1997,"do n't scrap it , wrap it ! a wrapper architecture for legacy data sources","peter m. schwarz , mary tork roth"
1163,1997,foreword : management of semistructured data,dan suciu
1164,2001,querying atsql databases with temporal logic,"jan chomicki , david toman , michael h. böhlen"
1165,1996,"tpc-d : the challenges , issues and results",ramesh bhashyam
1166,1995,"fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets","king-ip lin , christos faloutsos"
1167,1996,"shutdown , budget , and funding",xiaolei qian
1168,1996,cost-based optimization for magic : algebra and implementation,"hamid pirahesh , t. y. cliff leung , s. sudarshan , praveen seshadri , divesh srivastava , raghu ramakrishnan , joseph m. hellerstein , peter j. stuckey"
1169,1996,query processing and optimization in oracle rdb,"gennady antoshenkov , mohamed ziauddin"
1170,2002,roadrunner : automatic data extraction from data-intensive web sites,"giansalvatore mecca , valter crescenzi , paolo merialdo"
1171,2001,c2p : clustering based on closest pairs,"yannis theodoridis , alexandros nanopoulos , yannis manolopoulos"
1172,1996,object query standards,andrew e. wade
1173,2000,using quantitative information for efficient association rule generation,"márcio de carvalho , rodolfo f. resende , bruno pôssas , wagner meira jr."
1174,2003,estimating compilation time of a query optimizer,"dengfeng gao , eileen tien lin , jun rao , ihab f. ilyas , guy m. lohman"
1175,2001,pbir - perception-based image retrieval,"lihyuarn l. chang , edward y. chang , tim cheng"
1176,2002,experiments on query expansion for internet yellow page services using web log mining,"iko pramudiono , katsumi takahashi , masaru kitsuregawa , yusuke ohura"
1177,2001,supervised wrapper generation with lixto,"sergio flesca , robert baumgartner , georg gottlob"
1178,1994,alphasort : a risc machine sort,"david b. lomet , jim gray , zarka cvetanovic , chris nyberg , tom barclay"
1179,1995,mapping extended entity relationship model to object modeling technique,joseph fong
1180,1999,data management issues in electronic commerce ( panel ),m. tamer özsu
1181,1996,answering queries with aggregation using views,"h. v. jagadish , shaul dar , divesh srivastava , alon y. levy"
1182,1999,ghost : fine granularity buffering of indexes,"cheng hian goh , kian-lee tan , beng chin ooi , d. sim"
1183,2000,a database platform for bioinformatics,sandeepan banerjee
1184,1999,"powerbookmarks : a system for personalizable web information organization , sharing , and management","kazuyuki shimazu , sougata mukherjea , yi-leh wu , divyakant agrawal , kyoji hirata , yukiyoshi saito , quoc vu , corey bufi , wen-syan li , kevin chen-chuan chang , edward y. chang , reiko ito , yoshinori hara , yutaka kimura"
1185,1996,"lh * - a scalable , distributed data structure","donovan a. schneider , marie-anne neimat , witold litwin"
1186,1994,maximizing buffer and disk utilizations for news on-demand,"raymond t. ng , jinhai yang"
1187,1999,relational databases for querying xml documents : limitations and opportunities,"jeffrey f. naughton , kristin tufte , chun zhang , gang he , david j. dewitt , jayavel shanmugasundaram"
1188,2003,panel : querying networked databases,"divesh srivastava , nick koudas"
1189,1996,"a query language for multidimensional arrays : design , implementation , and optimization techniques","limsoon wong , rona machlin , leonid libkin"
1190,1994,reasoning about spatial relationships in picture retrieval systems,"clement t. yu , a. prasad sistla , r. haddad"
1191,2002,"wireless graffiti - data , data everywhere matters","tomasz imielinski , b. r. badrinath"
1192,1994,using metadata for the intelligent browsing of structured media objects,"william i. grosky , farshad fotouhi , ishwar k. sethi"
1193,2003,a performance study of four index structures for set-valued attributes of low cardinality,"guido moerkotte , sven helmer"
1194,1994,a requirement-based approach to data modeling and re-engineering,"christian t. ramiller , alice h. muntz"
1195,1997,editor 's notes,michael j. franklin
1196,1997,integrating reliable memory in databases,"peter m. chen , wee teck ng"
1197,1997,vertical data migration in large near-line document archives based on markov-chain predictions,"achim kraiss , gerhard weikum"
1198,2003,on schema matching with opaque column names and data values,"jaewoo kang , jeffrey f. naughton"
1199,2001,lots o ' ticks : real-time high performance time series queries on billions of trades and quotes,"arthur t. whitney , dennis shasha"
1200,1998,an anonymous electronic commerce scheme with an off-line authority and untrusted agents,"josep domingo-ferrer , jordi herrera-joancomartí"
1201,1996,the structured information manager : a database system for sgml documents,ron sacks-davis
1202,1995,the new middleware,rich finkelstein
1203,1996,disnic-plan : a nicnet based distributed database for micro-level planning in india,m. moni
1204,1996,semantic and schematic similarities between database objects : a context-based approach,"vipul kashyap , amit p. sheth"
1205,2002,ebusiness standards and architectures,anil nori
1206,1994,metadata in video databases,"ramesh jain , arun hampapur"
1207,1999,issues in network management in the next millennium,"michael l. brodie , surajit chaudhuri"
1208,2001,"cosima - your smart , speaking e-salesperson","werner kießling , thorsten ehm , stefan holland , stefan fischer 0003"
1209,1999,on efficiently implementing schemasql on an sql database system,"fereidoon sadri , laks v. s. lakshmanan , subbu n. subramanian"
1210,1995,the power of languages for the manipulation of complex values,"serge abiteboul , catriel beeri"
1211,2003,stream processing of xpath queries with predicates,"ashish kumar gupta , dan suciu"
1212,2001,xml-enabled workflow management for e-services across heterogeneous platforms,"michael gillmann , german shegalov , gerhard weikum"
1213,1995,db2 query parallelism : staging and implementation,yun wang
1214,1995,an overview of the emerging third-generation sql standard ( tutorial ),"nelson mendonça mattos , jim melton"
1215,1999,online association rule mining,christian hidber
1216,2002,using latency-recency profiles for data delivery on the web,"louiqa raschid , laura bright"
1217,2001,smooth - a distributed multimedia database system,"christian hanin , roland tusch , carmen riedler , harald kosch , margit lang , lászló böszörményi , christian hofbauer , alexander bachlechner"
1218,2000,clustering categorical data : an approach based on dynamical systems,"david gibson , jon m. kleinberg , prabhakar raghavan"
1219,2000,data mining in the bioinformatics domain,shalom tsur
1220,1998,simultaneous optimization and evaluation of multiple dimensional queries,"amit shukla , jeffrey f. naughton , yihong zhao , prasad deshpande"
1221,1994,coss : the common object services specifications,bruce e. martin
1222,2000,application architecture : 2tier or 3tier ? what is dbms 's role ? ( panel abstract ),anil nori
1223,2000,emancipating instances from the tyranny of classes in information modeling,"jeffrey parsons , yair wand"
1224,2003,from tree patterns to generalized tree patterns : on efficient evaluation of xquery,"zhimin chen , stelios paparizos , h. v. jagadish , laks v. s. lakshmanan"
1225,1999,an xml-based wrapper generator for web information extraction,"david buttler , wei tang , calton pu , wei han , ling liu"
1226,2003,pix : exact and approximate phrase matching in xml,"yu xu , mary f. fernandez , sihem amer-yahia , divesh srivastava"
1227,2001,developing an indexing scheme for xml document collection using the oracle8i extensibility framework,"ying hu , timothy chorma , nipun agarwal , seema sundara , jagannathan srinivasan"
1228,2001,answering xml queries on heterogeneous data sources,"ioana manolescu , donald kossmann , daniela florescu"
1229,2002,business data management for b2b electronic commerce,"manfred a. jeusfeld , mareike schoop , christoph quix"
1230,2001,lopix : a system for xml data integration and manipulation,wolfgang may
1231,2001,i/o reference behavior of production database workloads and the tpc benchmarks - an analysis at the logical level,"windsor w. hsu , alan jay smith , honesty c. young"
1232,2001,weaving relations for cache performance,"mark d. hill , anastassia ailamaki , david j. dewitt , marios skounakis"
1233,2002,efficient algorithms for processing xpath queries,"reinhard pichler , georg gottlob , christoph koch"
1234,1994,xsb as an efficient deductive database engine,"david scott warren , konstantinos f. sagonas , terrance swift"
1235,1999,agent-based semantic interoperability in infosleuth,"bruce bargmeyer , brad perry , jerry fowler , marian h. nodine"
1236,2002,the xml typechecking problem,dan suciu
1237,1999,data integration and warehousing in telecom italia,"daniele nardi , maurizio lenzerini , stefano trisolini"
1238,2002,a compact b-tree,"ivan t. bowman , peter bumbulis"
1239,1997,partitioned garbage collection of large object store,"barbara liskov , umesh maheshwari"
1240,1995,addendum to automatic generation of production rules for integrity maintenance,"letizia tanca , stefano paraboschi , piero fraternali , stefano ceri"
1241,1995,information systems research at rwth aachen,matthias jarke
1242,2001,orthogonal optimization of subqueries and aggregation,"milind joshi , césar a. galindo-legaria"
1243,2003,lineage tracing for general data warehouse transformations,"jennifer widom , yingwei cui"
1244,1998,design and implementation of rmp - a virtual electronic market place,"wolfgang klas , susanne boll , bernard battaglin"
1245,1994,modelling and querying video data,"rune hjelsvold , roger midtstraum"
1246,1996,the xps approach to loading and unloading terabyte databases,sanket atal
1247,1995,dynamic multi-resource load balancing in parallel database systems,"robert marek , erhard rahm"
1248,1999,update propagation protocols for replicated databases,"raghavan komondoor , abraham silberschatz , yuri breitbart , s. seshadri , rajeev rastogi"
1249,2002,cost models for overlapping and multiversion structures,"yufei tao , jun zhang , dimitris papadias"
1250,2001,data mining-based intrusion detectors : an overview of the columbia ids project,"wenke lee , eleazar eskin , wei fan , salvatore j. stolfo , philip k. chan"
1251,2000,mocha : a self-extensible database middleware system for distributed data sources,"manuel rodriguez-martinez , nick roussopoulos"
1252,1997,probview : a flexible probabilistic database system,"nicola leone , robert ross , laks v. s. lakshmanan , v. s. subrahmanian"
1253,2002,proxy-based acceleration of dynamically generated content on the world wide web : an approach and implementation,"suresha , kaushik dutta , krithi ramamritham , anindya datta , helen m. thomas , debra e. vandermeer"
1254,1995,the oracle warehouse,gary hallmark
1255,2003,standards for databases on the grid,"andrew eisenberg , jim melton , susan malaika"
1256,2000,evolution of groupware for business applications : a database perspective on lotus domino/notes,"c. mohan , s. watts , ron barber , amit somani , markos zaharioudakis"
1257,2003,index-driven similarity search in metric spaces,"gísli r. hjaltason , hanan samet"
1258,1998,discovering internet marketing intelligence through online analytical web usage mining,"alex g. büchner , maurice d. mulvenna"
1259,1998,low-cost compensation-based query processing,"øystein torbjørnsen , øystein grøvlen , svein-olaf hvasshovd"
1260,2003,editor 's notes,ling liu
1261,2003,visionary : a next generation visualization system for databases,michael stonebraker
1262,2003,bhunt : automatic discovery of fuzzy algebraic constraints in relational data,"peter j. haas , paul brown"
1263,1995,efficient search of multi-dimensional b-trees,"dave birdsall , hedieh yaghmai , harry leslie , rohit jain"
1264,1996,practical issues with commercial use of federated databases,jim kleewein
1265,1995,parallelism and its price : a case study of nonstop sql/mp,"susanne englert , ray glasstone , waqar hasan"
1266,1999,in cyber space no one can hear you scream,chris pound
1267,2000,cache invalidation scheme for mobile computing systems with real-time data,"hei-wing leung , joe chun-hung yuen , edward chan , kam-yiu lam"
1268,2000,semantic access : semantic interface for querying databases,"naphtali rishe , rukshan athauda , artyom shaposhnikov , jun yuan , dmitry vasilevsky , xiaoling lu , xiaobin ma , shu-ching chen , alexander vaschillo"
1269,1999,database design for incomplete relations,"mark levene , george loizou"
1270,2002,data streams : fresh current or stagnant backwater ? ( panel ),"joseph m. hellerstein , jennifer widom"
1271,2002,hippocratic databases,"yirong xu , jerry kiernan , rakesh agrawal , ramakrishnan srikant"
1272,2000,a new approach to developing and implementing eager database replication protocols,"gustavo alonso , bettina kemme"
1273,1996,intra-transaction parallelism in the mapping of an object model to a relational multi-processor system,"moira c. norrie , hans-jörg schek , michael rys"
1274,2001,indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches,"xiaoyang sean wang , changzhou wang"
1275,2002,the role of b2b engines in b2b integration architectures,christoph bussler
1276,1997,management of data and services in the environmental information system ( uis ) of baden-württemberg,"wolf-fritz riekert , roland mayer-föll , gerlinde wiest"
1277,1999,merge replication in microsoft 's sql server 7.0,brad hammond
1278,2002,qursed : querying and reporting semistructured data,"yannis papakonstantinou , michalis petropoulos , vasilis vassalos"
1279,2003,on the costs of multilingualism in database systems,"a. kumaran , jayant r. haritsa"
1280,1997,wrapper generation for semi-structured internet sources,"craig a. knoblock , naveen ashish"
1281,2001,time series similarity measures and time series indexing,"gautam das , dimitrios gunopulos"
1282,2000,chair 's message,richard t. snodgrass
1283,1996,dbminer : interactive mining of multiple-level knowledge in relational databases,"wei wang , krzysztof koperski , yongjian fu , osmar r. zaïane , jenny chiang , jiawei han"
1284,2000,answering complex sql queries using automatic summary tables,"roberta cochrane , hamid pirahesh , monica urata , markos zaharioudakis , george lapis"
1285,1995,efficient incremental garbage collection for client-server object database systems,"laurent amsaleg , olivier gruber , michael j. franklin"
1286,1998,user-oriented smart-cache for the web : what you seek is what you get !,"arnaud sahuguet , raman chandrasekar , zoé lacroix"
1287,2002,maintaining data privacy in association rule mining,"shariq rizvi , jayant r. haritsa"
1288,2003,merging models based on given correspondences,"philip a. bernstein , rachel pottinger"
1289,2003,"review of spatial databases with application to gis by philippe rigaux , michel scholl , and agnes voisard . morgan kaufmann 2002",nancy wiegand
1290,2000,an approximate search engine for structural databases,"kaizhong zhang , qicheng ma , jason tsong-li wang , xinhuan zheng , xiong wang , dennis shasha , zasha weinberg , bruce a. shapiro"
1291,2001,answering queries using views : a survey,alon y. halevy
1292,1997,semcog : an object-based image retrieval system and its visual query interface,"k. selçuk candan , wen-syan li , kyoji hirata , yoshinori hara"
1293,2003,finding hierarchical heavy hitters in data streams,"graham cormode , flip korn , s. muthukrishnan , divesh srivastava"
1294,1996,tribeca : a stream database manager for network traffic analysis,mark sullivan
1295,1996,a complete temporal relational algebra,"debabrata dey , veda c. storey , terence m. barron"
1296,2002,data modelling versus ontology engineering,"mustafa jarrar , peter spyns , robert meersman"
1297,1996,implementing deductive databases by mixed integer programming,"anil nerode , colin bell , raymond t. ng , v. s. subrahmanian"
1298,1997,evaluation of main memory join algorithms for joins with set comparison join predicates,"guido moerkotte , sven helmer"
1299,2003,on relational support for xml publishing : beyond sorting and tagging,"raghav kaushik , jeffrey f. naughton , surajit chaudhuri"
1300,1994,spatial joins using seeded trees,"chinya v. ravishankar , ming-ling lo"
1301,2002,xbase : making your gigabyte disk queriable,"jianhua lv , yubin bao , hongjun lu , ge yu , guoren wang , yaxin yu"
1302,2003,poesia : an ontological workflow approach for composing web services in agriculture,"ling liu , eduardo delgado assad , calton pu , renato fileto , claudia bauzer medeiros"
1303,1994,database graph views : a practical model to manage persistent graphs,"alejandro gutiérrez , philippe pucheral , jean-marc thévenin , hermann steffen"
1304,1995,accessing a relational database through an object-oriented database interface,"jack a. orenstein , d. n. kamber"
1305,2001,research in multi-organizational processes and semantic information brokering at the lsdis lab,"john a. miller , amit p. sheth , ismailcem budak arpinar , krys kochut"
1306,2003,"the sensor spectrum : technology , trends , and requirements","samuel madden , wei hong , joseph m. hellerstein"
1307,2001,visual web information extraction with lixto,"georg gottlob , robert baumgartner , sergio flesca"
1308,1994,on completeness of historical relational query languages,"james clifford , albert croker , alexander tuzhilin"
1309,1994,the gmap : a versatile tool for physical data independence,"marvin h. solomon , yannis e. ioannidis , odysseas g. tsatalos"
1310,2001,describing semistructured data,luca cardelli
1311,1999,"towards adaptive workflow systems , cscw-98 workshop report","mark klein , abraham bernstein , chrysanthos dellarocas"
1312,1998,on periodic resource scheduling for continuous-media databases,"minos n. garofalakis , banu özden , abraham silberschatz"
1313,2002,querying multiple bioinformatics data sources : can semantic web research help ?,"terence critchlow , matthew coleman , david buttler , wei han , daniel rocco , li xiong , ling liu , calton pu , renato fileto"
1314,2003,locking protocols for materialized aggregate join views,"michael watzke , gang luo , curt ellmann , jeffrey f. naughton"
1315,1996,capbased-ams : a capability-based and event-driven activity management system,"kamalakar karlapalem , helen p. yeung , patrick c. k. hung"
1316,1998,issues in developing very large data warehouses,"vish jumani , lyman do , david van rossum , pamela drew , wei jin"
1317,2000,efficient algorithms for mining outliers from large data sets,"kyuseok shim , sridhar ramaswamy , rajeev rastogi"
1318,1997,maintenance of data cubes and summary tables in a warehouse,"inderpal singh mumick , dallan quass , barinderpal singh mumick"
1319,1995,historical queries along multiple lines of time evolution,"vassilis j. tsotras , gad m. landau , jeanette p. schmidt"
1320,1994,the impact of database research on industrial products ( panel summary ),"david b. lomet , daniel barbará , josé a. blakeley , michael stonebraker , daniel h. fishman"
1321,2003,xquery : a query language for xml,donald d. chamberlin
1322,1995,"the clustra telecom database : high availability , high throughput , and real-time response","svein-olaf hvasshovd , øystein torbjørnsen , svein erik bratsberg , per holager"
1323,2003,efficient processing of joins on set-valued attributes,nikos mamoulis
1324,1996,evaluating queries with generalized path expressions,"guido moerkotte , sophie cluet , vassilis christophides"
1325,1994,towards an infrastructure for temporal databases : report of an invitational arpa/nsf workshop,"ramez elmasri , richard t. snodgrass , babis theodoulidis , inderpal singh mumick , arie segev , m. tamer özsu , umeshwar dayal , niki pissinou , barbara pernici"
1326,2003,p-grid : a self-organizing structured p2p system,"zoran despotovic , manfred hauswirth , karl aberer , philippe cudré-mauroux , magdalena punceva , anwitaman datta , roman schmidt"
1327,2002,the cougar approach to in-network query processing in sensor networks,"johannes gehrke , yong yao"
1328,2002,automata theory for xml researchers,frank neven
1329,1996,act-net - the active database management system manifesto : a rulebase of adbms features,?
1330,2003,issues in data stream management,"lukasz golab , m. tamer özsu"
1331,1994,tsql2 language specification,"wolfgang käfer , curtis e. dyreson , arie segev , krishna g. kulkarni , michael d. soo , don s. batory , ramez elmasri , nikos a. lorentzos , nick kline , john f. roddick , gad ariav , james clifford , richard t. snodgrass , suryanarayana m. sripada , t. y. cliff leung , fabio grandi , ilsoo ahn , christian s. jensen"
1332,1997,mdm : a multiple-data-model tool for the management of heterogeneous database schemes,"paolo atzeni , riccardo torlone"
1333,2001,spatial data management for computer aided design,"andreas müller , marco pötke , thomas seidl , hans-peter kriegel"
1334,2003,estimating the output cardinality of partial preaggregation with a measure of clusteredness,"guido moerkotte , thomas neumann , sven helmer"
1335,2003,illuminating the dark side of web services,michael l. brodie
1336,1994,cache conscious algorithms for relational query processing,"jeffrey f. naughton , ambuj shatdal , chander kant"
1337,2001,proxy-server architectures for olap,"panos kalnis , dimitris papadias"
1338,1997,logical design for temporal databases with multiple granularities,"alexander brodsky , sushil jajodia , claudio bettini , xiaoyang sean wang"
