location_id,business_name,phone_num,restaurant_category,postal_address,restaurant_rating,municipality
239,felix,212/431 -0021,french,' 340 w. broadway at grand st. ',237,` new york '
240,ferrier,212/772 -9000,french,'29 e. 65th st. ',238,` new york '
241,` fifty seven fifty seven ',212/758 -5757,american,'57 e. 57th st. ',239,` new york '
242,` film center cafe ',' 212 / 262-2525 ',american,' 635 9th ave. between 44th and 45th sts . ',240,` new york '
243,` fiorello \ 's roman cafe ',212/595 -5330,italian,' 1900 broadway between 63rd and 64th sts . ',241,` new york '
244,firehouse,212/595 -3139,american,' 522 columbus ave. between 85th and 86th sts . ',242,` new york '
245,first,212/674 -3823,american,'87 1st ave. between 5th and 6th sts . ',243,` new york '
246,` fishin eddie ',212/874 -3474,seafood,'73 w. 71st st. ',244,` new york '
247,` fleur de jour ',212/355 -2020,` coffee bar ',' 348 e. 62nd st. ',245,` new york '
248,flowers,212/691 -8888,american,'21 west 17th st. between 5th and 6th aves . ',246,` new york '
249,follonico,212/691 -6359,italian,' 6 w. 24th st. ',247,` new york '
250,` fraunces tavern ',212/269 -0144,american,'54 pearl st. at broad st. ',248,` new york '
251,` french roast ',212/533 -2233,french,' 458 6th ave. at 11th st. ',249,` new york '
252,` french roast cafe ',212/799 -1533,` coffee bar ',' 2340 broadway at 85th st. ',250,` new york '
253,` frico bar ',212/564 -7272,italian,' 402 w. 43rd st. off 9th ave. ',251,` new york '
254,` fujiyama mama ',212/769 -1144,asian,' 467 columbus ave. between 82nd and 83rd sts . ',252,` new york '
255,` gabriela \ 's ',212/961 -0574,mexican,' 685 amsterdam ave. at 93rd st. ',253,` new york '
256,` gallagher \ 's ',212/245 -5336,american,' 228 w. 52nd st. ',254,` new york '
257,` gianni \ 's ',212/608 -7300,seafood,'15 fulton st. ',255,` new york '
258,girafe,212/752 -3054,italian,' 208 e. 58th st. between 2nd and 3rd aves . ',256,` new york '
259,global,212/477 -8427,american,'33 93 2nd ave. between 5th and 6th sts . ',257,` new york '
260,` golden unicorn ',' 212 / 941-0911 ',asian,'18 e. broadway at catherine st. ',258,` new york '
261,` grand ticino ',212/777 -5922,italian,' 228 thompson st. between w. 3rd and bleecker sts . ',259,` new york '
262,halcyon,212/468 -8888,american,' 151 w. 54th st. in the rihga royal hotel ',260,` new york '
263,` hard rock cafe ',212/489 -6565,american,' 221 w. 57th st. ',261,` new york '
264,` hi-life restaurant and lounge ',212/249 -3600,american,' 1340 1st ave. at 72nd st. ',262,` new york '
265,home,212/243 -9579,american,'20 cornelia st. between bleecker and w. 4th st. ',263,` new york '
266,` hudson river club ',212/786 -1500,american,' 4 world financial center ',264,` new york '
267,' i trulli ',212/481 -7372,italian,' 122 e. 27th st. between lexington and park aves . ',265,` new york '
268,` il cortile ',212/226 -6060,italian,' 125 mulberry st. between canal and hester sts . ',266,` new york '
269,` inca grill ',212/966 -3371,` latin american ',' 492 broome st. near w. broadway ',268,` new york '
270,indochine,212/505 -5111,asian,' 430 lafayette st. between 4th st. and astor pl . ',269,` new york '
271,` internet cafe ',' 212 / 614-0747 ',` coffee bar ','82 e. 3rd st. between 1st and 2nd aves . ',270,` new york '
272,ipanema,212/730 -5848,` latin american ','13 w. 46th st. ',271,` new york '
273,` jean lafitte ',212/751 -2323,french,'68 w. 58th st. ',272,` new york '
274,` jewel of india ',212/869 -5544,asian,'15 w. 44th st. ',273,` new york '
275,` jimmy sung \ 's ',212/682 -5678,asian,' 219 e. 44th st. between 2nd and 3rd aves . ',274,` new york '
276,` joe allen ',212/581 -6464,american,' 326 w. 46th st. ',275,` new york '
277,` judson grill ',212/582 -5252,american,' 152 w. 52nd st. ',276,` new york '
278,` l \ ` absinthe ',212/794 -4950,french,' 227 e. 67th st. ',277,` new york '
279,` l \ ` auberge ',212/288 -8791,` middle eastern ',' 1191 1st ave. between 64th and 65th sts . ',278,` new york '
280,` l \ ` auberge du midi ',212/242 -4705,french,' 310 w. 4th st. between w. 12th and bank sts . ',279,` new york '
281,` l \ ` udo ',212/388 -0978,french,' 432 lafayette st. near astor pl . ',280,` new york '
282,` la reserve ',212/247 -2993,french,' 4 w. 49th st. ',281,` new york '
283,` lanza restaurant ',212/674 -7014,italian,' 168 1st ave. between 10th and 11th sts . ',282,` new york '
284,` lattanzi ristorante ',212/315 -0980,italian,' 361 w. 46th st. ',283,` new york '
285,layla,212/431 -0700,` middle eastern ',' 211 w. broadway at franklin st. ',284,` new york '
286,` le chantilly ',212/751 -2931,french,' 106 e. 57th st. ',285,` new york '
287,` le colonial ',' 212 / 752-0808 ',asian,' 149 e. 57th st. ',286,` new york '
288,` le gamin ',212/254 -4678,` coffee bar ','50 macdougal st. between houston and prince sts . ',287,` new york '
289,` le jardin ',212/343 -9599,french,'25 cleveland pl . near spring st. ',288,` new york '
290,` le madri ',212/727 -8022,italian,' 168 w. 18th st. ',289,` new york '
291,` le marais ',212/869 -0900,american,' 150 w. 46th st. ',290,` new york '
292,` le perigord ',212/755 -6244,french,' 405 e. 52nd st. ',291,` new york '
293,` le select ',212/875 -1993,american,' 507 columbus ave. between 84th and 85th sts . ',292,` new york '
294,` les halles ',212/679 -4111,french,' 411 park ave. s between 28th and 29th sts . ',293,` new york '
295,` lincoln tavern ',212/721 -8271,american,'51 w. 64th st. ',294,` new york '
296,lola,212/675 -6700,american,'30 west 22nd st. between 5th and 6th ave. ',295,` new york '
297,` lucky strike ',212/941 -0479,` or 212/941 -0772 american ','59 grand st. between wooster st. and w. broadway ',296,` new york '
298,` mad fish ',212/787 -0202,seafood,' 2182 broadway between 77th and 78th sts . ',297,` new york '
299,` main street ',212/873 -5025,american,' 446 columbus ave. between 81st and 82nd sts . ',298,` new york '
300,` mangia e bevi ',212/956 -3976,italian,' 800 9th ave. at 53rd st. ',299,` new york '
301,` manhattan cafe ',212/888 -6556,american,' 1161 1st ave. between 63rd and 64th sts . ',300,` new york '
302,` manila garden ',212/777 -6314,asian,' 325 e. 14th st. between 1st and 2nd aves . ',301,` new york '
303,marichu,212/370 -1866,french,' 342 e. 46th st. between 1st and 2nd aves . ',302,` new york '
304,` marquet patisserie ',212/229 -9313,` coffee bar ','15 e. 12th st. between 5th ave. and university pl . ',303,` new york '
305,match,212/906 -9173,american,' 160 mercer st. between houston and prince sts . ',304,` new york '
306,` matthew \ 's ',212/838 -4343,american,' 1030 3rd ave. at 61st st. ',305,` new york '
307,` mavalli palace ',212/679 -5535,asian,'46 e. 29th st. ',306,` new york '
308,` milan cafe and coffee bar ',212/807 -1801,` coffee bar ',' 120 w. 23rd st. ',307,` new york '
309,` monkey bar ',212/838 -2600,american,'60 e. 54th st. ',308,` new york '
310,montien,212/421 -4433,asian,' 1134 1st ave. between 62nd and 63rd sts . ',309,` new york '
311,` morton \ 's ',212/972 -3315,american,' 551 5th ave. at 45th st. ',310,` new york '
312,` motown cafe ',212/581 -8030,american,' 104 w. 57th st. near 6th ave. ',311,` new york '
313,` new york kom tang soot bul house ',' 212 / 947-8482 ',asian,'32 w. 32nd st. ',312,` new york '
314,` new york noodletown ',212/349 -0923,asian,'28 1/2 bowery at bayard st. ',313,` new york '
315,newsbar,212/255 -3996,` coffee bar ',' 2 w. 19th st. ',314,` new york '
316,odeon,212/233 -0507,american,' 145 w. broadway at thomas st. ',315,` new york '
317,orso,212/489 -7212,italian,' 322 w. 46th st. ',316,` new york '
