establishment_id,locality,dining_spot_name,billing_address,business_phone,food_type,rating
452,` las vegas ',` yolie \ 's ',' 3900 paradise rd. ',702/794 -0700,` steak houses ',452
453,` san francisco ',2223,' 2223 market st. ',415/431 -0692,american,453
454,` san francisco ',acquarello,' 1722 sacramento st. ',415/567 -5432,italian,454
455,` san francisco ',` bardelli \ 's ',' 243 o \ ` farrell st. ',415/982 -0243,` old san francisco ',455
456,` san francisco ',betelnut,' 2030 union st. ',415/929 -8855,asian,456
457,` san francisco ',` bistro roti ',' 155 steuart st. ',415/495 -6500,french,457
458,` san francisco ',bix,'56 gold st. ',415/433 -6300,american,458
459,` san francisco ',bizou,' 598 fourth st. ',415/543 -2222,french,459
460,` san francisco ',` buca giovanni ',' 800 greenwich st. ',415/776 -7766,italian,460
461,` san francisco ',` cafe adriano ',' 3347 fillmore st. ',415/474 -4180,italian,461
462,` san francisco ',` cafe marimba ',' 2317 chestnut st. ',415/776 -1506,` mexican/latin american/spanish ',462
463,` san francisco ',` california culinary academy ',' 625 polk st. ',415/771 -3500,french,463
464,` san francisco ',` capp \ 's corner ',' 1600 powell st. ',415/989 -2589,italian,464
465,` san francisco ',carta,' 1772 market st. ',415/863 -3516,american,465
466,` san francisco ',chevys,' 4th and howard sts . ',415/543 -8060,` mexican/latin american/spanish ',466
467,` san francisco ',` cypress club ',' 500 jackson st. ',415/296 -8555,american,467
468,` san francisco ',` des alpes ',' 732 broadway ',415/788 -9900,french,468
469,` san francisco ',faz,' 161 sutter st. ',415/362 -0404,` greek and middle eastern ',469
470,` san francisco ',` fog city diner ',' 1300 battery st. ',415/982 -2000,american,470
471,` san francisco ',` garden court ',` market and new montgomery sts . ',415/546 -5011,` old san francisco ',471
472,` san francisco ',` gaylord \ 's ',` ghirardelli sq. ',415/771 -8822,asian,472
473,` san francisco ',` grand cafe hotel monaco ',' 501 geary st. ',415/292 -0101,american,473
474,` san francisco ',greens,` bldg. a fort mason ',415/771 -6222,vegetarian,474
475,` san francisco ',` harbor village ',' 4 embarcadero center ',415/781 -8833,asian,475
476,` san francisco ',` harris \ '',' 2100 van ness ave. ',415/673 -1888,` steak houses ',476
477,` san francisco ',` harry denton \ 's ',' 161 steuart st. ',415/882 -1333,american,477
478,` san francisco ',` hayes street grill ',' 320 hayes st. ',415/863 -5545,seafood,478
479,` san francisco ',helmand,' 430 broadway ',415/362 -0641,` greek and middle eastern ',479
480,` san francisco ',` hong kong flower lounge ',' 5322 geary blvd. ',415/668 -8998,asian,480
481,` san francisco ',` hong kong villa ',' 2332 clement st. ',415/752 -8833,asian,481
482,` san francisco ',` hyde street bistro ',' 1521 hyde st. ',415/441 -7778,italian,482
483,` san francisco ',` il fornaio levi \ 's plaza ',' 1265 battery st. ',415/986 -0100,italian,483
484,` san francisco ',` izzy \ 's steak & chop house ',' 3345 steiner st. ',415/563 -0487,` steak houses ',484
485,` san francisco ',` jack \ 's ',' 615 sacramento st. ',415/986 -9854,` old san francisco ',485
486,` san francisco ',` kabuto sushi ',' 5116 geary blvd. ',415/752 -5652,asian,486
487,` san francisco ',` katia \ 's ',' 600 5th ave. ',415/668 -9292,'',487
488,` san francisco ',` kuleto \ 's ',' 221 powell st. ',415/397 -7720,italian,488
489,` san francisco ',` kyo-ya . sheraton palace hotel ',' 2 new montgomery st. at market st. ',415/546 -5000,asian,489
490,` san francisco ',` l \ ` osteria del forno ',' 519 columbus ave. ',415/982 -1124,italian,490
491,` san francisco ',` le central ',' 453 bush st. ',415/391 -2233,french,491
492,` san francisco ',` le soleil ',' 133 clement st. ',415/668 -4848,asian,492
493,` san francisco ',` macarthur park ',' 607 front st. ',415/398 -5700,american,493
494,` san francisco ',manora,' 3226 mission st. ',415/861 -6224,asian,494
495,` san francisco ',maykadeh,' 470 green st. ',415/362 -8286,` greek and middle eastern ',495
496,` san francisco ',` mccormick & kuleto \ 's ',` ghirardelli sq. ',415/929 -1730,seafood,496
497,` san francisco ',millennium,' 246 mcallister st. ',415/487 -9800,vegetarian,497
498,` san francisco ',` moose \ 's ',' 1652 stockton st. ',415/989 -7800,mediterranean,498
499,` san francisco ',` north india ',' 3131 webster st. ',415/931 -1556,asian,499
500,` san francisco ',` one market ',' 1 market st. ',415/777 -5577,american,500
501,` san francisco ',oritalia,' 1915 fillmore st. ',415/346 -1333,italian,501
502,` san francisco ',` pacific pan pacific hotel ',' 500 post st. ',415/929 -2087,french,502
503,` san francisco ',` palio d \ ` asti ',' 640 sacramento st. ',415/395 -9800,italian,503
504,` san francisco ',` pane e vino ',' 3011 steiner st. ',415/346 -2111,italian,504
505,` san francisco ',pastis,' 1015 battery st. ',415/391 -2555,french,505
506,` san francisco ',` perry \ 's ',' 1944 union st. ',415/922 -9022,american,506
507,` san francisco ',` r & g lounge ',' 631 b kearny st. ',415/982 -7877,` or 415/982 -3811 asian ',507
508,` san francisco ',rubicon,' 558 sacramento st. ',415/434 -4100,american,508
509,` san francisco ',rumpus,' 1 tillman pl . ',415/421 -2300,american,509
510,` san francisco ',sanppo,' 1702 post st. ',415/346 -3486,asian,510
511,` san francisco ',` scala \ 's bistro ',' 432 powell st. ',415/395 -8555,italian,511
512,` san francisco ',` south park cafe ',' 108 south park ',415/495 -7275,french,512
513,` san francisco ',` splendido embarcadero ',4,415/986 -3222,mediterranean,513
514,` san francisco ',stars,' 150 redwood alley ',415/861 -7827,american,514
515,` san francisco ',` stars cafe ',' 500 van ness ave. ',415/861 -4344,american,515
516,` san francisco ',` stoyanof \ 's cafe ',' 1240 9th ave. ',415/664 -3664,` greek and middle eastern ',516
517,` san francisco ',` straits cafe ',' 3300 geary blvd. ',415/668 -1783,asian,517
518,` san francisco ',suppenkuche,' 601 hayes st. ',415/252 -9289,russian/german,518
519,` san francisco ',` tadich grill ',' 240 california st. ',415/391 -2373,seafood,519
520,` san francisco ',` the heights ',' 3235 sacramento st. ',415/474 -8890,french,520
521,` san francisco ',thepin,' 298 gough st. ',415/863 -9335,asian,521
522,` san francisco ',` ton kiang ',' 3148 geary blvd. ',415/752 -4440,asian,522
523,` san francisco ',vertigo,' 600 montgomery st. ',415/433 -7250,mediterranean,523
524,` san francisco ',` vivande porta via ',' 2125 fillmore st. ',415/346 -4430,italian,524
525,` san francisco ',` vivande ristorante ',' 670 golden gate ave. ',415/673 -9245,italian,525
526,` san francisco ',` world wrapps ',' 2257 chestnut st. ',415/563 -9727,american,526
527,` san francisco ',` wu kong ',' 101 spear st. ',415/957 -9300,asian,527
528,` san francisco ',` yank sing ',' 427 battery st. ',415/541 -4949,asian,528
529,` san francisco ',` yaya cuisine ',' 1220 9th ave. ',415/566 -6966,` greek and middle eastern ',529
530,` san francisco ',` yoyo tsumami bistro ',' 1611 post st. ',415/922 -7788,french,530
531,` san francisco ',zarzuela,' 2000 hyde st. ',415/346 -0800,` mexican/latin american/spanish ',531
532,` san francisco ',` zuni cafe & grill ',' 1658 market st. ',415/552 -2522,mediterranean,532
