ag_product_id,origin,unit_price,product_description
2662,aec software,85.99,aec software 1018001000132 fasttrack schedule 8 pda
2663,,27.35,getting results from software development teams
2664,,49.95,software product line engineering ; a family-based software development process
2665,,28.69,software testing
2666,,73.54,software measurement and estimation : a practical approach
2667,,205.0,software architectures and component technology 9780792375760
2668,,54.44,function point analysis : measurement practices for successful software projects
2669,,42.56,visual modeling with rational software architect and uml
2670,,39.99,bling software limited safekeeper plus
2671,,262.82,sony creative software vegas43 ; dvd production suite v. 7.0 complete product
2672,onone software,69.99,onone software mpr-40212 mask pro 4.0 upgrade ( buy now and get free cs3 compatibility upgrades )
2673,,173.99,d-link vpn client software ( 5-user license ) ds-605 ds-605
2674,,42.99,d-link vpn client software ( 1-user license ) ds-601 ds-601
2675,,39.99,mariner software macjournal v4
2676,,59.99,kaspersky anti-virus 6.0 ( pc )
2677,abacus software,24.99,abacus software s482 scenic railway add-on for pc
2678,abacus software,32.99,abacus software s461 train sim modeller for pc
2679,abacus software,28.99,abacus software 1557555117 flight deck iii for pc
2680,,299.0,apple final cut express hd 3.5 video editing software for mac av production software
2681,,2069.97,microsoft 122-00411 visual studio 2005 team edition for software testers with msdn premium subscription renewal complete product programming tool standard 1 user ( s ) complete product english pc - free shipping
2682,,999.0,apple xsan 1.4 san data storage consolidation and file sharing software apple & mac software
2683,,99.95,canopus let 's edit video editing software win consumer video editing software
2684,,19.95,iparrot spanish/english phrase translator software for ipod ipod software
2685,,99.95,pinnacle studio plus v11 video editing software for windows consumer video editing software
2686,,49.95,pinnacle studio v11 video editing software for windows consumer video editing software
2687,,19.95,iparrot thai/english phrase translator software for ipod ipod software
2688,,549.95,sony vegas7 .0 + dvd editing software with sound forge 8 for windows professional editing software
2689,palmspring software,24.2,palmspring software 523 oxford american desk dictionary
2690,,64.99,evaluating software architectures : methods and case studies by paul clements
2691,abacus software,28.99,abacus software s515 flight simulation sea plane adventures pc
2692,abacus software,28.99,abacus software s fs commuter pilot pc
2693,ce software,41.5,ce software 4501eu01up35 quickeys 5.0 upgrade from 3.x
2694,abacus software,28.99,abacus software 5563 abacus 5563 private pilot ii
2695,abacus software,18.99,abacus software s532 military aircraft collection for pc
2696,abacus software,28.99,abacus software s546 usa extreme landscapes for fs2004 and fs2002 3cd set
2697,abacus software,28.99,abacus software s513 fligth simulation whirly birds adventures pc
2698,ce software,35.95,ce software 4501eu01up40 quickeys 5.0 upgrade from 4.0
2699,ce software,29.95,ce software 4x30eu01up20 quickeys x3 upgrade from 2.0
2700,global-software-publishing,11.99,global software a1055 i love the usa
2701,abacus software,28.99,abacus software 5562 chopper havoc for pc
2702,abacus software,28.99,abacus software s568 vietnam carrier ops
2703,abacus software,28.99,abacus software s552 fs fighter pilot for fs2004 and fs2002
2704,abacus software,28.99,abacus software ss69 corporate pilot 2
2705,,39.59,practical software estimation : function point methods for insourced and
2706,,59.99,estimating software-intensive systems : projects products and processes
2707,,53.41,essential software architecture
2708,,100.6,the engineering of software : a technical guide for the individual by dick hamlet
2709,,107.0,fundamentals of software engineering by carlo ghezzi 9780133056990
2710,,64.95,software management approaches : project management estimation and life cycle
2711,,171.0,multimedia software engineering by shi-kuo chang 9780792377368
2712,,92.2,software engineering using the upedu by pierre n. robillard 9780201754544
2713,,258.0,non-functional requirements in software engineering by lawrence chung
2714,,80.97,absolute software lfl-m2-36 computrace lojack for laptops 3 year license mac 10.2 or higher
2715,,37.1,how to break software : a practical guide to testing with cdrom 9780201796193
2716,,63.95,practical software reuse by michel ezran 9781852335021
2717,,49.99,software architect bootcamp by raphael malveau 9780131412279
2718,,94.95,advances in machine learning applications in software engineering
2719,,44.54,peer reviews in software : a practical guide by karl eugene wiegers
2720,punch software,135.99,punch software 90500 home design studio mac
2721,,39.59,the build master : microsoft 's software configuration management best practices
2722,,22.94,datanav : the alpha and omega of software
2723,,74.99,documenting software architectures : views and beyond by paul clements
2724,,49.99,agile software development ecosystems : problems practices and principles
2725,,54.99,applied statistics for software managers by katrina maxwell 9780130417893
2726,,34.64,making the software business case by reifer donald j. 9780201728873
2727,,42.56,scaling software agility : best practices for large enterprises
2728,,39.99,software project secrets : software project secrets : software projects fail ?
2729,,177.0,experimentation in software engineering : an introduction by claes wohlin
2730,,49.95,cleanroom software engineering : technology and process
2731,,62.5,software architecture : organization principles and patterns by david dikel
2732,,17.99,more about software requirements : thorny issues and practical advice
2733,,90.0,improving software quality : an insider 's guide to tqm by lowell jay arthur
2734,,39.59,architecture-centric software project management : a practical guide
2735,,90.0,practical software maintenance : best practices for managing your software
2736,,99.95,software paradigms by stephen h. kaisler 9780471483472
2737,,99.0,ontologies for software engineering and software technology
2738,,64.99,software product lines : practices and patterns by paul clements 9780201703320
2739,webroot software,26.99,webroot software 54210 desktop firewall
2740,freeverse software,18.99,freeverse software 006 active lancer
2741,freeverse software,23.95,freeverse software 010 wingnuts 2 raina 's revenge
2742,freeverse software,18.99,freeverse software 4015 big bang board games
2743,individual software,24.99,individual software pro-tsm hanes t-shirt maker deluxe
2744,punch software,119.99,punch software 42100 punch ! home design architectural series 18 ( small box )
2745,individual software,24.99,individual software prm-xw3 professor teaches excel & word
2746,freeverse software,28.99,freeverse software 4024 robin hood : the legend of sheerwood
2747,,59.99,building secure software : how to avoid security problems the right way
2748,,54.99,psp ( sm ) : a self-improvement process for software engineers
2749,,58.99,design for trustworthy software : tools techniques and methodology of
2750,individual software,9.99,individual software jce-th6 total 3d home deluxe j/c
2751,individual software,9.99,individual software jce-wn5 professor teaches windows j/c
2752,punch software,62.99,punch software 35100 punch ! professional home design suite ( small box )
2753,,999.0,vitec multimedia mpeg-cut-machine mpegcutmachine hardware and software bundle authoring software
2754,,63.95,lumiquest ultra image plug-in software for photoshop 6.0 and higher with fuji s2 pro and similar fuji digital cameras for windows & macintosh
2755,apple software,79.99,apple software m9372z/a final cut express 2.0 upgrade
2756,,499.95,motu dp5 software music production software
2757,,19.99,jumpstart advanced 3rd grade ( pc/mac ) knowledge adventure
2758,,249.0,m-audio pro tools m-powered mpowered 7.3 software music production software
2759,,29.95,pinnacle mobile media converter software for windows ipod software
2760,freeverse software,19.99,freeverse software 4001 northland
2761,individual software,34.99,individual software prm-rce resumemaker career edition
2762,now software,114.99,now software nuw45e1k now up-to-date & contact for windows
2763,freeverse software,18.99,freeverse software 4012 3d bridge deluxe ( retail box ) for mac
2764,,59.95,lumiquest ultra image plug-in software for photoshop 6.0 and higher with kodak pro 14n and other digital cameras for windows & macintosh
2765,punch software,118.99,punch software 41100 punch ! home design architectural series 18
2766,,439.95,avid liquid 7.0 professional video editing software for windows professional editing software
2767,global-software-publishing,8.79,global software a2649m2h rainbow fish & the whale win 95 98 me xp/mac 8.6-9.x ( classic ) x v10 .1 or higher
2768,,9.08,global software a0447jch dk smart steps 2nd grade win 95 98 me 2000 xp vista
2769,,8.79,global software a1055 i love the usa ( win 95 98 me nt 2000 xp/mac 8.6-9.x ( classic ) x v10 .1 or higher )
2770,,19.95,tlc arthur 's kindergarten learning system ( pc ) encore
2771,,29.99,zonealarm antivirus 2007 ( pc ) zonelabs
2772,,69.99,sony acid music studio ( pc )
2773,,89.99,quicken home and business 2007 ( pc ) intuit
2774,,24.95,middle school advantage premier edition ( 15 cd set )
2775,,7.95,chainz
2776,,8.95,big oil : build an oil empire
2777,,9.08,global software a8658jch smart steps kinder win 95 98 me 2000 xp vista
2778,,9.08,global software a8641jch dk smart steps first grade win 95 98 me 2000 xp vista
2779,apple software,199.0,apple software m9301z/b soundtrack v1 .2
2780,,8.79,global software a2663m2h amazing animals w/zoofari games win 95 98 me xp/mac 8.6-9.x ( classic ) x v10 .1 or higher
2781,global-software-publishing,9.08,global software a1826m2w dk amazing animals 1.1 win 95 98 2000 xp vista
2782,global-software-publishing,8.79,global software a7163jcw kakuro puzzle addict unlimited edition dvd movie
2783,,8.79,global software a2960jcw sudoku puzzle addict : unlimited edition win 98 me 2000 xp
2784,global-software-publishing-north-america-inc,8.79,global software a9716jcw crossword addict win 95 98 me 2000 xp
2785,global-software-publishing-north-america-inc,8.79,global software a2991m2w sudoku puzzle addict ( win 98 me 2000 xp )
2786,global-software-publishing,9.08,global software a0454jch dk smart steps 3rd grade win 95 98 me 2000 xp vista
2787,global-software-publishing,9.08,global software a4124m2h dk exotic animals africa win 95 98 2000 xp
2788,simply-put-software,34.97,simply put software llc de905-s data elminator ( win 95 98 me nt 2000 xp )
2789,,999.99,steinberg nuendo 3 educational edition music production software
2790,,169.95,nik software color efex pro 2.0 complete edition for nikon capture 4 plug-in software for macintosh & windows
2791,,798.95,adobe premiere pro cs3 video editing software for windows professional editing software
2792,,499.0,adobe dv rack 2.0 hd software for windows professional editing software
2793,,449.95,grass valley edius 4 pro video editing software professional editing software
2794,,194.95,datavideo ppt-100 ppt100 powerpoint to dv vga to dv-25 video converter software presentation software
2795,,299.99,line 6 toneport kb37 interface and software bundle usb interfaces & software
2796,,249.99,mackie tracktion 3 ultimate bundle music production software
2797,onone software,158.99,onone software pxe-11433 pxl smartscale elect 1-user english mac/win
2798,simply-put-software,34.97,simply put software llc gs905-s got ta sing ( win 95 98 me nt 2000 xp/mac 10.0 or higher )
2799,,99.99,garageband jampack rhythm section ( mac ) apple
2800,,39.95,pearson education book : the adobe photoshop lightroom book photoshop software
2801,,24.99,ca anti-spyware 2007
2802,,1999.99,steinberg nuendo 3 music production software
2803,,549.0,visual studio pro 2005 upgrade ( pc ) microsoft
2804,,39.99,instant immersion spanish deluxe 2.0 topics
2805,,99.95,magellan mapsend lakes usa south
2806,onone software,69.99,onone software mpr-40212 mask pro 4.0 upgrade ( buy now and get free cs3 compatibility upgrades )
2807,,99.99,adobe premiere elements 3 ( pc )
2808,,39.99,individual software resumemaker professional ultimate
2809,,29.99,ejay dj mix station 3 digital leisure
2810,,22.97,laplink software 4371 ringtone media studio
2811,,79.99,apple appleworks 6.2.9 ( mac )
2812,,127.97,sony creative software sf9006 sound forge 9 boxed upgrade sound editing s/w
2813,,29.99,webroot spy sweeper spanish edition ( pc )
2814,,109.95,fujifilm hyper utility software hs-v3 hsv3 other software
2815,,39.99,mcafee virusscan plus 2007 ( pc )
2816,,109.95,microsoft word 2007 upgrade ( pc )
2817,onone software,158.99,onone software ice-10770 intellihance pro 4.1 mac/win ( buy now and get free cs3 compatibility upgrades )
2818,,299.99,microsoft windows vista business ( pc )
2819,,24.99,mobile media converter ( pc ) pinnacle
2820,autodesk-m - & - e-box,3494.5,autodesk 3ds max 9 3d animation software for windows animation software
2821,,229.95,microsoft excel 2007 ( pc )
2822,,9.99,middle school life science classification & ecology ( pc/mac ) fogware
2823,,1999.0,avid avid xpress pro hd real-time realtime video editing software + avid mojo hardware professional editing software
2824,,49.99,panda internet security 2007 panda software
2825,,94.95,proprompter pocket pc teleprompter software prppppcs5 software for teleprompters
2826,,4.99,cosmi talking math for kids
2827,,349.99,readiris pro 11 corporate edition for pc
2828,,899.0,avid liquid pro 7.0 video editing hardware/software bundle for windows professional editing software
2829,,19.99,cosmi imusictools ( pc )
2830,,19.99,mavis beacon teaches typing 17 standard ( pc/mac ) encore
2831,,29.99,migo xp to vista easy-sync suite ( pc ) stomp
2832,,44.95,pearson education book-dvd : bookdvd : apple pro training series : shake 3 photoshop software
2833,,229.95,microsoft office accounting professional 2007 ( pc )
2834,,19.99,books by you ( pc/mac ) knowledge adventure
2835,,39.95,elementary advantage 2008 encore
2836,,19.95,adventure workshop 1st-3rd grade . 8th edition ( pc ) encore
2837,,89.99,microsoft money 2007 home and business ( pc )
2838,,29.99,perfect attorney premium ( pc ) cosmi
2839,,699.0,adobe flash cs3 professional ( mac )
2840,,49.99,photo explosion deluxe 3.0 nova
2841,,19.99,print workshop 2007 ( pc ) valusoft
2842,,19.99,ringtone media studio ( pc ) avanquest
2843,,99.99,quickbooks simple start 2007 intuit
2844,,29.99,roxio recordnow 9 music lab ( pc )
2845,,19.95,dr. seuss reading learning system 2008 encore
2846,,19.99,scholastic brain play preschool to 1st grade topics
2847,,249.95,microsoft office visio standard 2007 ( pc )
2848,,79.95,microsoft onenote 2007 upgrade ( pc )
2849,,9.99,elementary school english literature basics ( pc/mac ) fogware
2850,,134.99,microsoft office 2004 for students and teachers ( mac )
2851,,19.99,instant immersion spanish 2.0 topics
2852,,99.99,. mac ( mac ) apple
2853,,199.99,microsoft windows xp professional edition ( upgrade )
2854,sony-computer-entertainment,24.99,sony media manager for psp ( 98598 )
2855,,9.95,national geographic photo gallery topics
2856,,29.99,fun for kids featuring disney preschool to kindergarten topics
2857,,39.99,network now ! pro ( pc ) encore
2858,,29.99,stopzilla ! 4.0 ( pc ) roxio
2859,,59.99,magix music maker 12 deluxe ( pc ) magix entertainment
2860,,599.0,adobe illustrator cs3 ( mac )
2861,,19.99,professor teaches windows xp individual software
2862,,49.99,middle school success deluxe 2008 ( pc/mac ) topics
2863,,79.99,microsoft money 2007 premium ( pc )
2864,,19.99,jumpstart advanced 1st grade knowledge adventure
2865,,89.99,mcafee internet security suite 2007 3-user ( pc )
2866,,49.99,zonealarm internet security suite 2007 ( pc ) zonelabs
2867,,99.95,microsoft onenote 2007 ( pc )
2868,,59.99,susteen data pilot universal essentials
2869,,9.99,elementary school space the universe ( pc/mac ) fogware
2870,,49.99,magix movie edit pro 12 ( pc ) magix entertainment
2871,sony-pictures-digital-entertainment,899.99,vegas + dvd sony
2872,,29.99,podmaxx '07 eb carlson
2873,,29.99,human body 360 megasystems
2874,,39.99,learning quickbooks ( pc ) intuit
2875,,24.99,magix webradio recorder ( pc ) magix entertainment
2876,,9.59,school zone flash action alphabet/numbers 1-100 ( pc & mac ) ( 08410 )
2877,,109.95,microsoft office outlook 2007
2878,,8.95,printshop home & office labels
2879,,89.95,bodyworks 6.0 25-user building site license
2880,,5.49,virtual labs : light
2881,apple software,219.0,apple software t9164ll/a logic express 6
2882,,8.95,pressure pop !
2883,aec software,85.99,aec software 1018001000132 fasttrack schedule 8 pda
2884,,9.95,essential business tools 2.0
2885,abacus software,28.99,abacus software s fs commuter pilot pc
2886,,8.95,let 's make stickers
2887,abacus software,28.99,abacus software 1557555117 flight deck iii for pc
2888,,7.95,backyard skateboarding
2889,,164.95,steinberg studio case 2 music production system educational discount music production software
2890,,29.99,print perfect business cards dvd ( pc ) cosmi
2891,,59.95,fujifilm hyper utility software hs-v3 hsv3 upgrade other software
2892,,5.95,musical adventure vivaldi
2893,global software,11.99,global software a1055 i love the usa
2894,,9.95,cluefinders 3rd grade adventures with adapt
2895,ce software,29.95,ce software 4x30eu01up20 quickeys x3 upgrade from 2.0
2896,abacus software,28.99,abacus software s513 fligth simulation whirly birds adventures pc
2897,ce software,41.5,ce software 4501eu01up35 quickeys 5.0 upgrade from 3.x
2898,,8.95,rayman 10th anniversary collection
2899,abacus software,28.99,abacus software s568 vietnam carrier ops
2900,,10.95,spanish before you know it deluxe
2901,abacus software,18.99,abacus software s532 military aircraft collection for pc
2902,,37.95,scansoft pdf converter 4
2903,abacus software,28.99,abacus software 5562 chopper havoc for pc
2904,,9.95,er the game
2905,abacus software,28.99,abacus software 5563 abacus 5563 private pilot ii
2906,,9.99,high school world history ( pc/mac ) fogware
2907,abacus software,28.99,abacus software s546 usa extreme landscapes for fs2004 and fs2002 3cd set
2908,,19.99,weekly reader mastering elementary & middle school math ( pc/mac ) fogware
2909,,19.99,jumpstart advanced 2nd grade ( pc/mac ) knowledge adventure
2910,abacus software,28.99,abacus software ss69 corporate pilot 2
2911,,79.99,iwork '06 ( mac ) apple
2912,abacus software,32.99,abacus software s461 train sim modeller for pc
2913,abacus software,24.99,abacus software s482 scenic railway add-on for pc
2914,palmspring software,24.2,palmspring software 523 oxford american desk dictionary
2915,,69.99,iolo system mechanic 7 professional ( pc )
2916,abacus software,28.99,abacus software s515 flight simulation sea plane adventures pc
2917,,24.99,sony photo go
2918,ce software,35.95,ce software 4501eu01up40 quickeys 5.0 upgrade from 4.0
2919,freeverse software,28.99,freeverse software 5003 bumpercar 2.0 mac web browser
2920,,99.99,punch software professional home design platinum version 10
2921,,999.0,bias peak pro xt 5 software bundle music production software
2922,,29.99,webroot software window washer
2923,abacus software,28.99,abacus software s552 fs fighter pilot for fs2004 and fs2002
2924,,399.95,panasonic wv-as20 wvas20 network management software cctv software
2925,,1000.0,canon vk-16 vk16 version 1.1 network video recording software software & accessories
2926,punch software,118.99,punch software 41100 punch ! home design architectural series 18
2927,punch software,119.99,punch software 42100 punch ! home design architectural series 18 ( small box )
2928,,53.97,sony sams7000 creative software acid music studio v. 7.0 music editing/composing pc
2929,freeverse software,23.95,freeverse software 010 wingnuts 2 raina 's revenge
2930,,79.95,class on demand photoshop cs fast track training dvd photoshop software
2931,,17.97,encore software 10538 adventure workshop preschool 7 by the learning company
2932,,42.97,encore software 10881 family tree maker version 16 standard sb cs by family tree maker
2933,,148.97,onone software inc. gfs-50211 genuine fractals 5 full 1u
2934,,41.97,encore software 10466 clickart 1.2 million dvd 2006 by broderbund
2935,webroot software,26.99,webroot software 54210 desktop firewall
2936,punch software,45.99,punch software 17100 punch ! super home suite
2937,punch software,45.99,punch software 38100 punch ! super home suite ( small box )
2938,,9.95,crayola first ladies costume maker
2939,,8.95,britannica quiz show
2940,,8.95,quickstart pc cleaner xp
2941,sony creative software,27.99,digital video & audio prod book
2942,,8.95,mortgage master
2943,,7.95,pokemon team turbo
2944,,8.95,superstart ! spelling bee
2945,,7.95,blue 's clues preschool
2946,,12.95,reader rabbit learn to read with phonics ! preschool & kindergarten
2947,,8.95,mickey 's toddler with active leveling advantage !
2948,,6.95,south park chef 's luv shack
2949,,8.95,tank battle
2950,,9.95,lego island 2 : the brickster 's revenge
2951,,6.95,spanish vocabulary builder
2952,,16.95,magix audio cleaning lab 10
2953,,10.95,home budget for dummies
2954,,8.95,quickstudy us government
2955,,8.95,encyclopedia of our living oceans
2956,,9.95,zonealarm wireless security 2005
2957,,8.95,thief ii : the metal age
2958,,8.95,student dictionary
2959,,249.95,microsoft windows vista business full version
2960,,8.49,home & landscape design center
2961,,12.49,professor teaches windows xp home & pro
2962,,19.95,clifford the big red dog reading pack
2963,,6.95,ultimate pinball
2964,,8.95,wacky farm
2965,,8.95,thinkin ' things toony the loon 's lagoon
2966,,9.49,state standards grade 6
2967,,8.95,superstart ! science arcade
2968,,9.95,mighty math number heroes
2969,,9.95,madeline rainy day activities
2970,,6.95,rainbow fish and the whale
2971,,22.95,treasure galaxy 5-user lab pack for mac
2972,,8.95,thinkin ' things galactic brain benders
2973,,16.95,namco museum 50th anniversary
2974,,9.95,season ticket football 2003
2975,,12.95,luxor
2976,,9.95,quickstart photo montage studio
2977,,7.95,tonka raceway
2978,,24.95,scene it the dvd game : movie edition with bonus warner bros. television game pack
2979,,4.95,educator 's choice phonics excelerator
2980,,8.95,fisher-price rescue heroes : hurricane havoc
2981,,9.95,adventure inlay
2982,,12.95,reader rabbit kindergarten special 2-cd edition
2983,,8.95,encyclopedia britannica profiles : dinosaurs !
2984,,19.95,printmaster platinum 16
2985,,18.95,police quest compilation
2986,,12.95,elementary advantage 2007
2987,,12.95,elementary school success deluxe 2006
2988,,7.95,tonka town
2989,,14.95,startopia
2990,,10.95,easy home massage dvd
2991,,17.95,super solvers spellbound ! ! school edition for mac
2992,,6.95,1001 essential letters
2993,,24.49,fallout collection ( dvd-rom )
2994,,8.95,clifford the big red dog thinking adventures
2995,,12.95,easy drums
2996,topics entertainment,43.99,instant immersion 33 languages
2997,,14.95,speak & learn ! dutch
2998,,39.95,orgchart professional 1.3
2999,,49.95,norton antivirus 2007 3 user pack
3000,,8.95,encyclopedia britannica 2007 ready reference
3001,,8.95,let 's explore mars
3002,,76.75,qb customer manager 2.5
3003,,350.0,adobe acrobat professional 7
3004,,8.95,wacky bird hunter
3005,,8.95,treasure mountain
3006,,7.95,tonka search & rescue 2
3007,,12.95,reader rabbit reading learning system 2007
3008,,77.32,dvd moviefactory 6 plus
3009,,22.43,instant immersion japanese 2.0
3010,,1272.08,qb pos 6.0 basic rtailrs hw/sw
3011,,438.07,procoder 3
3012,sony-pictures-digital-entertainment,226.56,vegas7 + dvd upgrade
3013,,63.02,ti interactive student version
3014,,36.11,instant immers german dlux 2.0
3015,,7.69,my maillist & addressbook
3016,,36.11,instant immers italian dlux 2 .
3017,,808.15,production prem cs3 mac upgrad
3018,,599.97,edius pro 4
3019,,808.15,premiere pro cs3 mac
3020,,129.1,studio ultimate version 11
3021,,36.11,instant immers spanish dlux 2
3022,,47.36,instant immersion 33 languages
3023,,36.11,instant immers japanese dlx 2 .
3024,sibelius-software-ltd .,449.95,sibelius sibelius 5 software music production software
3025,,39.99,individual software business planmaker pro 2008 ( pc )
3026,punch software,135.99,punch software 90500 home design studio mac
3027,,129.95,microsoft office visio standard 2007 upgrade ( pc )
3028,sibelius-software-ltd .,248.95,sibelius sibelius 5 software educational discount music production software
3029,,349.99,microsoft mappoint 2006 with gps locator ( pc )
3030,,19.99,weekly reader preparing for kindergarten 2008 ( pc/mac ) fogware
3031,,29.95,transfer my dvd avanquest usa
3032,,320.25,premiere pro cs3 mac upgrade
3033,,409.52,quickbooks pro 2007 3 user
3034,,192.26,quickbooks pro 2007 win
3035,,25.97,webroot software inc 66210 spy sweeper ( mass merchant ) ( win 98 me 2000 xp )
3036,,14.95,hoyle game collection 4 game pack
3037,,10.95,csi : crime scene investigation
3038,intuit,57.99,quicken 2007 deluxe win cd
3039,,9.95,hoyle card games
3040,encore-software-inc,17.97,encore software 10548 encore tlc zoombinis 3rd grade learning system 2007 complete product educational 1 user complete product standard pc mac
3041,,10.95,cluefinders 3rd grade adventures : mystery of mathra
3042,,348.97,aec software 10101090120000101 aec fasttrack schedule v. 9.0 complete product project management/version control 1 user complete product standard pc
3043,,9.49,state standards grade 8
3044,,9.95,instant home cooking
3045,,14.95,ghostsurf 2006 platinum
3046,,8.95,personal record keeper 5.0
3047,,17.97,encore software 13851 tlc blues clues preschool learning system 2008
3048,topics entertainment,20.99,instant immersion italian 2.0
3049,,8.95,let 's learn about time & date
3050,,25.97,encore software 10891 family tree maker version 16 essential sb cs
3051,,8.95,mother goose interactive storybook
3052,,10.95,star wars episode iii activity center
3053,,8.95,calendar creator 10
