acm_record_id,doc_authors,date_year,conference_name,research_title
1679,"hector garcia-molina , murty valiveti , chen li , ramana yerneni , jeffrey d. ullman , vasilis vassalos , yannis papakonstantinou",1998,sigmod conference,capability based mediation in tsimmis
1680,"mitch cherniack , stanley b. zdonik",1996,sigmod conference,rule languages and internal algebras for rule-based optimizers
1681,"andrew eisenberg , jim melton",2002,sigmod record,sql/xml is making good progress
1682,"anand deshpande , josé a. blakeley",2000,sigmod conference,tutorial : data access
1683,"michel tourn , man abrol , john wang , grace zhang , jianchang mao , uma mahadevan , rajat mukherjee , prabhakar raghavan , neil latarche",2001,vldb,navigating large-scale semi-structured data in business portals
1684,"michael eitan , valerie gregg , carlo batini , d. b. phatak , yeha el atfi , krithi ramamritham",2000,vldb,"social , educational , and governmental change enabled through information technology"
1685,"fabrizio ferrandina , thorsten meyer , roberto zicari",1994,vldb,implementing lazy database updates for an object database system
1686,"christian convey , sangdon lee , ugur çetintemel , daniel j. abadi , michael stonebraker , mitch cherniack , donald carney , stanley b. zdonik , nesime tatbul",2003,vldb j.,aurora : a new model and architecture for data stream management
1687,"jan-eike michels , peter m. schwarz , krishna g. kulkarni , vanja josifovski , jim melton",2002,sigmod record,sql/med - a status report
1688,h. v. jagadish,2000,sigmod record,acm-sigmod digital review
1689,michael j. carey,1994,sigmod conference,parallel database systems in the 1990 's
1690,"joseph m. hellerstein , vijayshankar raman",2002,sigmod conference,partial results for online query processing
1691,"jan van den bussche , marc andries , jan paredaens , luca cabibbo",2001,acm trans . database syst .,applying an update method to a set of receivers
1692,"alexander brodsky , yoram kornatzky",1995,sigmod conference,the lyric language : querying constraint objects
1693,"elena ferrari , pierangela samarati , claudio bettini , elisa bertino",1998,acm trans . database syst .,an access control model supporting periodicity constraints and temporal reasoning
1694,"florian krebs , christian böhm , bernhard braunmüller , hans-peter kriegel",2001,sigmod conference,epsilon grid order : an algorithm for the similarity join on massive high-dimensional data
1695,"shankar pal , thomas bergstraesser , philip a. bernstein , david shutt",1999,sigmod conference,versions and workspaces in microsoft repository
1696,"brad adelberg , ben kao , hector garcia-molina",1996,sigmod record,overview of the stanford real-time information processor ( strip )
1697,"øystein torbjørnsen , svein erik bratsberg",2000,sigmod conference,tutorial : designing an ultra highly available dbms
1698,"yannis sismanis , yannis kotidis , nick roussopoulos",1999,sigmod conference,the active multisync controller of the cubetree storage organization
1699,"laura m. haas , ling-ling yan , ronald fagin , renée j. miller",2001,sigmod conference,data-driven understanding and refinement of schema mappings
1700,"miron livny , michael j. carey , hweehwa pang",1994,sigmod conference,managing memory for real-time queries
1701,"dimitrios georgakopoulos , ming-chien shan , fabio casati",2001,vldb j.,e-services - guest editorial
1702,"joel l. wolf , cecilia magdalena procopiuc , jong soo park , charu c. aggarwal , philip s. yu",1999,sigmod conference,fast algorithms for projected clustering
1703,"kothuri venkata ravi kanth , siva ravada , daniel abugov",2002,sigmod conference,quadtree and r-tree indexes in oracle spatial : a comparison using gis data
1704,"piero fraternali , stefano paraboschi , stefano ceri",1999,sigmod record,design principles for data-intensive web sites
1705,asuman dogac,1998,sigmod record,guest editor 's introduction
1706,"marianne winslett , kenneth smith , xiaolei qian",1994,acm trans . database syst .,formal query languages for secure relational databases
1707,"val tannen , arnaud sahuguet , alin deutsch , lucian popa",2000,sigmod conference,a chase too far ?
1708,rafael alonso,1994,sigmod record,trade press news
1709,"césar a. galindo-legaria , michael j. franklin , leonard j. seligman , guy m. lohman",2001,sigmod record,sigmod 2001 industry sessions
1710,?,2000,vldb,author index
1711,"krishnamurty muralidhar , rathindra sarathy",1999,acm trans . database syst .,security of random data perturbation methods
1712,"marek rusinkiewicz , tomasz ksiezyk , richard s. brice , ray shea , vipul kashyap , andrzej cichocki , mosfeq rashid , c. unnikrishnan , abdelsalam helal , amy unruh , marian h. nodine , jerry fowler , darrell woelk , gale martin , roberto j. bayardo jr. , william bohrer",1997,sigmod conference,the infosleuth project
1713,"p. p. s. narayan , s. sudarshan , s. gogate , j. miller , abraham silberschatz , c. gupta , jerry baulier , m. wilder , henry f. korth , peter mcilroy , s. haldar , s. seshadri , philip bohannon , c. wei , a. khivesera , s. joshi , rajeev rastogi , m. nemeth",1999,sigmod conference,datablitz storage manager : main memory database performance for critical applications
1714,"jens claußen , christian wiesner , donald kossmann , alfons kemper",2000,vldb j.,exploiting early sorting and early partitioning for decisionsupport query processing
1715,"suresh kumar , eng-kee kwang , divyakant agrawal",1997,vldb,caprera : an activity framework for transaction processing on wide-area networks
1716,"clement t. yu , hai he , zonghuan wu , weiyi meng",2003,vldb,wise-integrator : an automatic integrator of web search interfaces for e-commerce
1717,"hanan samet , gísli r. hjaltason",1999,acm trans . database syst .,distance browsing in spatial databases
1718,r. g. g. cattell,1994,sigmod conference,odmg-93 : a standard for object-oriented dbmss
1719,marianne winslett,2001,sigmod record,"gio wiederhold speaks out on moving into academia in mid-career , how to be an effective consultant , why you should be a program manager as a funding agency , the need for ontology algebra and simulations , and more"
1720,"guy m. lohman , daniel c. zilio , sam lightstone",2002,sigmod record,toward autonomic computing with db2 universal database
1721,"xueqing gong , kun yue , aoying zhou , zhimao guo , jianchang xiao , wenfei fan , hongwei wu , qing wang , shihui zheng",2003,sigmod conference,trex : dtd-conforming xml to xml transformations
1722,"stephen kelley , frédéic vincent , nick roussopoulos",1995,sigmod conference,nearest neighbor queries
1723,"volker markl , mokhtar kandil , guy m. lohman , michael stillger",2001,vldb,leo - db2 's learning optimizer
1724,"manfred a. jeusfeld , franz baader , werner nutt",1997,sigmod record,intelligent access to heterogeneous information sources : report on the 4th workshop on knowledge representation meets databases
1725,"antoni olivé , ernest teniente",1995,vldb j.,updating knowledge bases while maintaining their consistency
1726,"weimin du , ming-chien shan , umeshwar dayal",1995,sigmod conference,reducing multidatabase query response time by tree balancing
1727,"david hanley , robert l. grossman , xiao qin",1995,sigmod conference,ptool : a light weight persistent object manager
1728,"s. muthukrishnan , h. v. jagadish , kenneth c. sevcik , torsten suel , nick koudas , viswanath poosala",1998,vldb,optimal histograms with quality guarantees
1729,"michael d. soo , richard t. snodgrass , michael h. böhlen",1996,vldb,coalescing in temporal databases
1730,"abraham silberschatz , rajeev rastogi , banu özden , prashant j. shenoy",1996,sigmod conference,fault-tolerant architectures for continuous media servers
1731,"gísli r. hjaltason , hanan samet",2002,vldb j.,speeding up construction of pmr quadtree-based spatial indexes
1732,jennifer widom,1996,sigmod record,editor 's notes
1733,"jianwen su , guozhu dong",2000,sigmod record,incremental maintenance of recursive views using relational calculus/sql
1734,"sam lightstone , guy m. lohman",2002,vldb,smart : making db2 ( more ) autonomic
1735,"gerhard köstler , werner kießling",2002,vldb,"preference sql - design , implementation , experiences"
1736,"mark girolami , fabio crestani",2002,sigmod record,report on the 24th european colloquium on information retrieval research
1737,"beng chin ooi , kian-lee tan , cheng hian goh",1999,vldb,online feedback for nested aggregate queries with multi-threading
1738,"aoying zhou , wenyun ji , shihui zheng , hongjun lu , yuqi liang , zengping tian , long zhang",2001,vldb,vxmlr : a visual xml-relational database system
1739,"carlo zaniolo , vassilis j. tsotras , shu-yao chien",2001,sigmod record,xml document versioning
1740,"michael j. franklin , stanley b. zdonik",1998,sigmod conference,data in your face : push technology in perspective
1741,"s. sudarshan , rajeev rastogi , s. seshadri , mohana krishna lakhamraju",2000,sigmod conference,on-line reorganization in object databases
1742,"ning an , siva ravada , kothuri venkata ravi kanth",2003,vldb,improving performance with bulk-inserts in oracle r-trees
1743,"joel l. wolf , charu c. aggarwal , philip s. yu",1999,sigmod conference,a new method for similarity indexing of market basket data
1744,"h. v. jagadish , kian-lee tan , hui jin , beng chin ooi",2001,sigmod conference,global optimization of histograms
1745,"paolo merialdo , giansalvatore mecca , paolo atzeni",1997,sigmod record,semistructured und structured data in the web : going back and forth
1746,"tak w. yan , hector garcia-molina",1995,vldb,duplicate removal in information system dissemination
1747,"rachel pottinger , alon y. halevy",2001,vldb j.,minicon : a scalable algorithm for answering queries using views
1748,"s.-k . kim , eman anwar , sharma chakravarthy , v. krishnaprasad",1994,vldb,"composite events for active databases : semantics , contexts and detection"
1749,james chong,1998,sigmod conference,real business processing meets the web
1750,"nenad jukic , susan v. vrbsky",1997,sigmod record,asserting beliefs in mls relational models
1751,"david shutt , philip a. bernstein , shankar pal",2000,vldb j.,context-based prefetch - an optimization for implementing objects on relations
1752,"peter m. chen , wee teck ng",1998,vldb j.,integrating reliable memory in databases
1753,ralf hartmut güting,1994,vldb j.,an introduction to spatial database systems
1754,"nathan folkert , abhinav gupta , andrew witkowski , lei sheng , sankar subramanian , srikanth bellamkonda , gregory dorman , tolga bozkaya",2003,sigmod conference,spreadsheets in rdbms for olap
1755,barbara staudt lerner,2000,acm trans . database syst .,a model for compound type changes encountered in schema evolution
1756,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",2002,sigmod conference,web caching for database applications with oracle web cache
1757,"paul ammann , indrakshi ray , sushil jajodia",1995,vldb,using formal methods to reason about semantics-based decompositions of transactions
1758,"jian pei , guozhu dong , ke wang , jiawei han , jianyong wang",2002,sigmod conference,cubeexplorer : online exploration of data cubes
1759,"gottfried vossen , jens lechtenbörger , dominique laurent , nicolas spyratos",2001,vldb j.,monotonic complements for independent data warehouses
1760,"farnoush banaei kashani , jabed faruque , adil faisal , cyrus shahabi",2000,vldb,insite : a tool for interpreting users ? interaction with a web space
1761,z. meral özsoyoglu,2000,sigmod record,vice chair 's message
1762,sherri kennamer,1998,sigmod conference,microsoft.com : a high-scale data management and transaction processing solution
1763,fox development team,1995,sigmod conference,"object-oriented , rapid application development in a pc database environment"
1764,stefano spaccapietra,1994,vldb,user interfaces ; who cares ?
1765,"johannes gehrke , rakesh agrawal , dimitrios gunopulos , prabhakar raghavan",1998,sigmod conference,automatic subspace clustering of high dimensional data for data mining applications
1766,sumit ganguly,1998,vldb,design and analysis of parametric query optimization algorithms
1767,"yunyue zhu , xiaojian zhao , dennis shasha",2003,sigmod conference,query by humming - in action with its technology revealed
1768,"martin wechsler , ulrike glavitsch , peter schäuble",1994,sigmod record,metadata for integrating speech documents in a text retrieval system
1769,"peter j. haas , jeffrey f. naughton , gang luo , curt ellmann",2002,sigmod conference,a scalable hash ripple join algorithm
1770,"timos k. sellis , yannis vassiliou",1995,sigmod record,the database group at national technical university of athens ( ntua )
1771,"rakesh agrawal , jerry kiernan",2002,vldb,watermarking relational databases
1772,"stanley y. w. su , javier arroyo , herman lam , yuh-ming shyy",1996,vldb j.,the design and implementation of k : a high-level knowledge-base programming language of osam * . kbms
1773,"beng chin ooi , dimitris papadias , kian-lee tan , wee siong ng , panos kalnis",2002,sigmod conference,an adaptive peer-to-peer network for distributed caching of olap results
1774,"jonathan goldstein , raghu ramakrishnan",2000,vldb,contrast plots and p-sphere trees : space vs. time in nearest neighbour searches
1775,"haixun wang , carlo zaniolo",2000,vldb,using sql to build new aggregates and extenders for object - relational systems
1776,"hua zhu , kan hu , jian pei , runying mao",2000,sigmod conference,towards data mining benchmarking : a testbed for performance study of frequent pattern mining
1777,"s. muthukrishnan , flip korn",2000,sigmod conference,influence sets based on reverse nearest neighbor queries
1778,"heikki mannila , thomas eiter , georg gottlob",1997,acm trans . database syst .,disjunctive datalog
1779,"leana golubchik , kelvin kwok-wai law , john c. s. lui",1999,vldb j.,efficient support for interactive service in multi-resolution vod systems
1780,"césar a. galindo-legaria , ming-chuan wu , milind joshi , florian waas",2003,vldb,statistics on views
1781,"arnaud sahuguet , fabien azavant",1999,vldb,building light-weight wrappers for legacy web data-sources using w4f
1782,"divesh srivastava , kenneth a. ross",1997,vldb,fast computation of sparse datacubes
1783,"omar benjelloun , tova milo , serge abiteboul , frederic dang ngoc , bernd amann",2003,sigmod conference,exchanging intensional xml data
1784,"divesh srivastava , s. sudarshan , kenneth a. ross",1996,sigmod conference,materialized view maintenance and integrity constraint checking : trading space for time
1785,"kam-yiu lam , krithi ramamritham , alan kwan",2002,vldb,rtmonitor : real-time data monitoring using mobile agent technologies
1786,"jim melton , andrew eisenberg",1999,sigmod record,"sql : 1999 , formerly known as sql 3"
1787,"sophie cluet , michel scholl , serge abiteboul , vassilis christophides",1994,sigmod conference,from structured documents to novel query facilities
1788,"walid g. aref , ahmed k. elmagarmid , ihab f. ilyas",2003,vldb,supporting top-k join queries in relational databases
1789,"michael mlivoncic , roger weber , klemens böhm , hans-jörg schek",2001,vldb,fast evaluation techniques for complex similarity queries
1790,"gautam das , sanjay agrawal , surajit chaudhuri",2002,sigmod conference,dbxplorer : enabling keyword search over relational databases
1791,"aiqun du , james p. callan , margaret e. connell",1999,sigmod conference,automatic discovery of language models for text databases
1792,"vincent aguilera , dan vodislav , pierangelo veltri , sophie cluet , tova milo",2002,vldb j.,views in a large-scale xml repository
1793,felipe cabrera,2003,sigmod conference,the future of web services - ii
1794,"chu yee liau , aoying zhou , wee siong ng , ming zhang , bo ling , chin hong goh , yanfeng shu , kian-lee tan , yingguang li , xiaoyu wang , beng chin ooi",2003,sigmod conference,peerdb : peering into personal databases
1795,frédéric cuppens,1996,vldb,querying a multilevel database : a logical analysis
1796,"arnd christian könig , gerhard weikum",1999,vldb,combining histograms and parametric curve fitting for feedback-driven query result-size estimation
1797,"hakan hacigümüs , chen li , sharad mehrotra , balakrishna r. iyer",2002,sigmod conference,executing sql over encrypted data in the database-service-provider model
1798,"jun yang , jennifer widom",2003,vldb j.,incremental computation and maintenance of temporal aggregates
1799,"richard hull , mohammed rupawalla , michael doherty",1996,sigmod conference,structures for manipulating proposed updates in object-oriented databases
1800,narayanan shivakumar,2003,sigmod conference,google in a box - building the google search appliance
1801,carrie ballinger,1994,sigmod conference,evolving teradata decision support for massively parallel processing with unix
1802,"werner strauß , gerhard dünzinger , werner kießling , helmut schmidt",1994,vldb j.,declare and sds : early efforts to commercialize deductive database technology
1803,"jessica m. phan , raymond t. ng",2002,sigmod conference,gea : a toolkit for gene expression analysis
1804,hannes spintzik,1995,vldb,informix-online xps : a dynamically scalable rdbms for open parallel platforms
1805,"richard t. snodgrass , vassilis j. tsotras , christian s. jensen",1998,sigmod record,an extensible notation for spatiotemporal index queries
1806,"jennifer widom , stefano ceri , roberta cochrane",2000,vldb,practical applications of triggers and constraints : success and lingering issues ( 10-year award )
1807,"mohamed zaït , giuseppe psaila , edward l. wimmers , rakesh agrawal",1995,vldb,querying shapes of histories
1808,"eugene j. shekita , viswanath poosala , yannis e. ioannidis , peter j. haas",1996,sigmod conference,improved histograms for selectivity estimation of range predicates
1809,"goetz graefe , patrick e. o'neil",1995,sigmod record,multi-table joins through bitmapped join indices
1810,"graham n. c. kirby , ronald morrison , evangelos zirintsis",1999,vldb,hyper-programming in java
1811,"angela bonifati , stefano ceri",2000,sigmod record,comparative analysis of five xml query languages
1812,"anand rajaraman , alon y. levy , joann j. ordille",1996,vldb,querying heterogeneous information sources using source descriptions
1813,"mahesh jagannath , eugene inseok chong , aravind yalamanchi , chuck freiwald , souripriya das , anh-tuan tran , jagannathan srinivasan , richard jiang , ramkumar krishnan",2003,sigmod record,a mapping mechanism to support bitmap index and other auxiliary structures on tables stored as primary b + - trees
1814,the access team,1995,sigmod conference,upsizing from file server to clent server architectures
1815,"tore risch , vanja josifovski",1999,vldb,integrating heterogenous overlapping databases through object-oriented transformations
1816,"beng chin ooi , kian-lee tan , hongjun lu",1994,vldb,on spatially partitioned temporal join
1817,nancy wiegand,2002,sigmod record,investigating xquery for querying across database object types
1818,"peter j. haas , joseph m. hellerstein",1999,sigmod conference,ripple joins for online aggregation
