pub_id,creator_list,venue_name,capt_title,published_yr
2178,"a amir , r kashi , n netanyahu",vldb,analyzing quantitative databases : image is everything,2001
2179,"r chirkova , a halevy , d suciu",vldb,a formal perspective on the view selection problem,2001
2180,"j madhavan , p bernstein , e rahm",vldb,generic schema matching with cupid,2001
2181,p wadler,vldb,"et tu , xml ? the downfall of the relational empire ( abstract )",2001
2182,"u dayal , m hsu , r ladin",vldb,"business process coordination : state of the art , trends , and open issues",2001
2183,"m cherniack , m franklin , s zdonik",vldb,data management for pervasive computing,2001
2184,,,data stream query processing : a tutorial,2003
2185,,,grid data management systems & services,2003
2186,,,"constructing and integrating data-centric web applications : methods , tools , and techniques",2003
2187,"d shasha , p bonnet",vldb,"database tuning : principles , experiments , and troubleshooting techniques",2002
2188,"g gottlob , c koch , r pichler",vldb,efficient algorithms for processing xpath queries,2002
2189,"g cormode , m datar , p indyk , s muthukrishnan",vldb,comparing data streams using hamming norms ( how to zero in ),2002
2190,"r ramamurthy , d dewitt , q su",vldb,a case for fractured mirrors,2002
2191,"s chakrabarti , s roy , m soundalgekar",vldb,fast and accurate text classification via multiple linear discriminant projections,2002
2192,,,ebusiness standards and architectures,2002
2193,,,querying and mining data streams : you only get one look,2002
2194,,,application servers and associated technologies,2002
2195,,,automation in information extraction and data integration,2002
2196,,,searching and mining fine-grained semi-structured data,2002
2197,,,sensor data mining : similarity search and pattern analysis,2002
2198,"t imielinski , b badrinath",vldb,"wireless graffiti - data , data everywhere matters",2002
2199,"g weikum , a mіnkeberg , c hasse , p zabback",vldb,self-tuning database technology and information services : from wishful thinking to viable engineering,2002
2200,"t ashwin , r gupta , s ghosal",vldb,adaptable similarity search using non-relevant information,2002
2201,"d cosley , s lawrence , d pennock",vldb,referee : an open framework for practical testing of recommender systems using researchindex,2002
2202,"j conrad , x guo , p jackson , m meziou",vldb,database selection using actual physical and acquired logical collection resources in a massive domain-specific operational environment,2002
2203,"g жzsoyoglu , a al-hamdani , i altingіvde , s жzel , ж ulusoy , z жzsoyoglu",vldb,sideway value algebra for object-relational databases,2002
2204,g moerkotte,vldb,incorporating xsl processing into database engines,2002
2205,"c park , j min , c chung",vldb,structural function inlining technique for structurally recursive xml queries,2002
2206,"l bouganim , p pucheral",vldb,chip-secured data access : confidential data on untrusted servers,2002
2207,"p bohannon , s ganguly , h korth , p narayan , p shenoy",vldb,optimizing view queries in rolex to support navigable result trees,2002
2208,"r agrawal , j kiernan",vldb,watermarking relational databases,2002
2209,"r agrawal , j kiernan , r srikant , y xu",vldb,hippocratic databases,2002
2210,"a ghosh , j parikh , v sengar , j haritsa",vldb,plan selection based on query clustering,2002
2211,"a hulgeri , s sudarshan",vldb,parametric query optimization for linear and piecewise linear cost functions,2002
2212,"s chandrasekaran , m franklin",vldb,streaming queries over streaming data,2002
2213,"s manegold , p boncz , m kersten",vldb,generic database cost models for hierarchical memory systems,2002
2214,"b ludфscher , p mukhopadhyay , y papakonstantinou",vldb,a transducer-based xml query processor,2002
2215,"d carney , u чetintemel , m cherniack , c convey , s lee , g seidman , m stonebraker , n tatbul , s zdonik",vldb,monitoring streams - a new class of data management applications,2002
2216,"c chan , m garofalakis , r rastogi",vldb,re-tree : an efficient index structure for regular expressions,2002
2217,"d kossmann , f ramsak , s rost",vldb,shooting stars in the sky : an online algorithm for skyline queries,2002
2218,"r kaushik , p bohannon , j naughton , p shenoy",vldb,updates for structure indexes,2002
2219,"s chien , z vagena , d zhang , v tsotras , c zaniolo",vldb,efficient structural joins on indexed xml documents,2002
2220,w kieпling,vldb,foundations of preferences in database systems,2002
2221,"y chen , g dong , j han , b wah , j wang",vldb,multi-dimensional regression analysis of time-series data streams,2002
2222,"y tao , d papadias , q shen",vldb,continuous nearest neighbor search,2002
2223,"j dittrich , b seeger , d taylor , p widmayer",vldb,progressive merge join : a generic and non-blocking sort-based join algorithm,2002
2224,"r lempel , s moran",vldb,optimizing result prefetching in web search engines with segmented indices,2002
2225,"m lifantsev , t chiueh",vldb,i/o-conscious data preparation for large-scale web search engines,2002
2226,"g manku , r motwani",vldb,approximate frequency counts over data streams,2002
2227,"y zhu , d shasha",vldb,statstream : statistical monitoring of thousands of data streams in real time,2002
2228,"y tao , d papadias",vldb,adaptive index structures,2002
2229,"l lim , m wang , s padmanabhan , j vitter , r parr",vldb,xpathlearner : an on-line self-tuning markov histogram for xml path selectivity estimation,2002
2230,"p ipeirotis , l gravano",vldb,distributed search over the hidden web : hierarchical database sampling and selection,2002
2231,e keogh,vldb,exact indexing of dynamic time warping,2002
2232,"s cho , s amer-yahia , l lakshmanan , d srivastava",vldb,optimizing the secure evaluation of twig queries,2002
2233,"t yu , d srivastava , l lakshmanan , h jagadish",vldb,compressed accessibility map : efficient access control for xml,2002
2234,"n polyzotis , m garofalakis",vldb,structure and value synopses for xml data graphs,2002
2235,"a gilbert , y kotidis , s muthukrishnan , m strauss",vldb,how to summarize the universe : dynamic maintenance of quantiles,2002
2236,a uhl,vldb,a bandwidth model for internet search,2002
2237,"s shah , k ramamritham , p shenoy",vldb,maintaining coherency of dynamic data in cooperating repositories,2002
2238,"j cho , a ntoulas",vldb,effective change detection using sampling,2002
2239,"c bettini , s jajodia , x wang , d wijesekera",vldb,provisions and obligations in policy management and security applications,2002
2240,"r ananthakrishna , s chaudhuri , v ganti",vldb,eliminating fuzzy duplicates in data warehouses,2002
2241,"s kounev , a buchmann",vldb,improving data access of j2ee applications by exploiting asynchronous messaging and caching services,2002
2242,"k candan , d agrawal , w li , o po , w hsiung",vldb,view invalidation for dynamic content caching in multitiered architectures,2002
2243,"l bright , l raschid",vldb,using latency-recency profiles for data delivery on the web,2002
2244,"l hammel , j patel",vldb,searching on the secondary structure of protein sequences,2002
2245,"e stolte , g alonso",vldb,efficient exploration of large scientific databases,2002
2246,"h do , e rahm",vldb,coma - a system for flexible combination of schema matching approaches,2002
2247,"l popa , y velegrakis , r miller , m hernсndez , r fagin",vldb,translating web data,2002
2248,"a aiken , j hellerstein , j widom",acm trans . database syst .,static analysis techniques for predicting the behavior of active database rules,1995
2249,w chen,acm trans . database syst .,declarative updates of relational databases,1995
2250,h jagadish,acm trans . database syst .,the incinerate data model,1995
2251,"k goldman , n lynch",acm trans . database syst .,quorum consensus in nested transaction systems,1994
2252,"s ceri , p fraternali , s paraboschi , l tanca",acm trans . database syst .,\ addendum to \ '' \ `` automatic generation of production rules for integrity maintenance \ '' \ '' \ '' '',1995
2253,"l bцkgaard , l mark",acm trans . database syst .,incremental computation of nested relational query expressions,1995
2254,j chomicki,acm trans . database syst .,efficient checking of temporal integrity constraints using bounded history encoding,1995
2255,"g graefe , r cole",acm trans . database syst .,fast algorithms for universal quantification in large databases,1995
2256,"d srivastava , s sudarshan , r ramakrishnan , j naughton",acm trans . database syst .,space optimization in deductive databases,1995
2257,w chen,acm trans . database syst .,query evaluation in deductive databases with alternating fixpoint semantics,1995
2258,"y ioannidis , r ramakrishnan",acm trans . database syst .,containment of conjunctive queries : beyond relations as sets,1995
2259,"d shasha , f llirbat , e simon , p valduriez",acm trans . database syst .,transaction chopping : algorithms and performance studies,1995
2260,"w mok , y ng , d embley",acm trans . database syst .,a normal form for precisely characterizing redundancy in nested relations,1996
2261,"i mumick , s finkelstein , h pirahesh , r ramakrishnan",acm trans . database syst .,magic conditions,1996
2262,"i chen , r hull , d mcleod",acm trans . database syst .,an execution model for limited ambiguity rules and its application to derived data update,1995
2263,"p fraternali , l tanca",acm trans . database syst .,a structured approach for the definition of the semantics of active databases,1995
2264,"s guo , w sun , m weiss",acm trans . database syst .,solving satisfiability and implication problems in database systems,1996
2265,"c bell , a nerode , r ng , v subrahmanian",acm trans . database syst .,implementing deductive databases by mixed integer programming,1996
2266,"p buneman , a ohori",acm trans . database syst .,polymorphism and type inference in database programming,1996
2267,"e baralis , s ceri , s paraboschi",acm trans . database syst .,modularization techniques for active rules design,1996
2268,"s ghandeharizadeh , r hull , d jacobs",acm trans . database syst .,heraclitus : elevating deltas to be first-class citizens in a database programming language,1996
2269,"d dey , s sarkar",acm trans . database syst .,a probabilistic relational model and algebra,1996
2270,k ross,acm trans . database syst .,tail recursion elimination in deductive databases,1996
2271,"l liu , r meersman",acm trans . database syst .,the building blocks for specifying communication behavior of complex objects : an activity-driven approach,1996
2272,"l raschid , j lobo",acm trans . database syst .,semantics for update rule programs and implementations in a relational database management system,1996
2273,d kuo,acm trans . database syst .,model and verification of a data manager based on aries,1996
2274,"p ciaccia , p tiberio , p zezula",acm trans . database syst .,declustering of key-based partitioned signature files,1996
2275,"w litwin , m neimat , d schneider",acm trans . database syst .,"lh * - a scalable , distributed data structure",1996
2276,"c galindo-legaria , a rosenthal",acm trans . database syst .,outerjoin simplification and reordering for query optimization,1997
2277,"j clifford , c dyreson , t isakowitz , c jensen , r snodgrass",acm trans . database syst .,on the semantics of `` now '' in databases,1997
2278,"j keen , w dally",acm trans . database syst .,extended ehemeral logging : log storage management for applications with long lived transactions,1997
2279,"r peters , m жzsu",acm trans . database syst .,an axiomatic model of dynamic schema evolution in objectbase systems,1997
2280,,,guest editorial,2003
2281,"c chan , m garofalakis , r rastogi",vldb j.,re-tree : an efficient index structure for regular expressions,2003
2282,"d abadi , d carney , u чetintemel , m cherniack , c convey , s lee , m stonebraker , n tatbul , s zdonik",vldb j.,aurora : a new model and architecture for data stream management,2003
2283,"s chakrabarti , s roy , m soundalgekar",vldb j.,fast and accurate text classification via multiple linear discriminant projections pp,2003
2284,"j yang , j widom",vldb j.,incremental computation and maintenance of temporal aggregates,2003
2285,"r ramamurthy , d dewitt , q su",vldb j.,a case for fractured mirrors,2003
2286,"s helmer , g moerkotte",vldb j.,a performance study of four index structures for set-valued attributes of low cardinality,2003
2287,"c cecil , r chiang , e lim",vldb j.,instance-based attribute identification in database integration,2003
2288,"c fung , k karlapalem , q li",vldb j.,cost-driven vertical class partitioning for methods in object oriented databases,2003
2289,c li,vldb j.,computing complete answers to queries in the presence of limited access patterns,2003
2290,"m halkidi , b nguyen , i varlamis , m vazirgiannis",vldb j.,thesus : organizing web document collections based on link semantics,2003
2291,"r fileto , l liu , c pu , e assad , c medeiros",vldb j.,poesia : an ontological workflow approach for composing web services in agriculture,2003
2292,"a maedche , b motik , l stojanovic",vldb j.,managing multiple and distributed ontologies on the semantic web,2003
2293,"a doan , j madhavan , r dhamankar , p domingos , a halevy",vldb j.,learning to match ontologies on the semantic web,2003
2294,"b medjahed , a bouguettaya , a elmagarmid",vldb j.,composing web services on the semantic web,2003
2295,,,guest editorial,2003
2296,w kim,acm trans . database syst .,charter and scope,1994
2297,"k salem , h garcia-molina , j shands",acm trans . database syst .,altruistic locking,1994
2298,"j clifford , a croker , a tuzhilin",acm trans . database syst .,on completeness of historical relational query languages,1994
2299,"p tendick , n matloff",acm trans . database syst .,a modified random perturbation method for database security,1994
2300,"m olivier , s solms",acm trans . database syst .,a taxonomy for secure object-oriented databases,1994
2301,"e sciore , m siegel , a rosenthal",acm trans . database syst .,using semantic values to falilitate interoperability among heterogeneous information systems,1994
2302,"t yan , h garcia-molina",acm trans . database syst .,index structures for selective dissemination of information under the boolean model,1994
2303,v subrahmanian,acm trans . database syst .,amalgamating knowledge bases,1994
2304,"m bright , a hurson , s pakzad",acm trans . database syst .,automated resolution of semantic heterogeneity in multidatabases,1994
2305,"a rosenthal , d reiner",acm trans . database syst .,tools and transformations - rigorous and otherwise - for practical database design,1994
2306,"h korth , g speegle",acm trans . database syst .,formal aspects of concurrency control in long-duration transaction systems using the nt/pv model,1994
2307,"p chrysanthis , k ramamritham",acm trans . database syst .,synthesis of extended transaction models using acta,1994
2308,"c polyzois , h garcia-molina",acm trans . database syst .,evaluation of remote backup algorithms for transaction-processing systems,1994
2309,"s ceri , p fraternali , s paraboschi , l tanca",acm trans . database syst .,automatic generation of production rules for integrity maintenance,1994
2310,"m winslett , k smith , x qian",acm trans . database syst .,formal query languages for secure relational databases,1994
2311,"n krishnakumar , a bernstein",acm trans . database syst .,bounded ignorance : a technique for increasing concurrency in a replicated system,1994
2312,"y cui , j widom , j wiener",acm trans . database syst .,tracing the lineage of view data in a warehousing environment,2000
2313,"j parsons , y wand",acm trans . database syst .,emancipating instances from the tyranny of classes in information modeling,2000
2314,c bіhm,acm trans . database syst .,a cost model for query processing in high dimensional data spaces,2000
2315,"d kossmann , k stocker",acm trans . database syst .,iterative dynamic programming : a new class of query optimization algorithms,2000
2316,b lerner,acm trans . database syst .,a model for compound type changes encountered in schema evolution,2000
2317,"r gќting , m bіhlen , m erwig , c jensen , n lorentzos , m schneider , m vazirgiannis",acm trans . database syst .,a foundation for representing and quering moving objects,2000
2318,"d dey , v storey , t barron",acm trans . database syst .,improving database design through the analysis of relationships,1999
2319,"k muralidhar , r sarathy",acm trans . database syst .,security of random data perturbation methods,1999
2320,"a dekhtyar , r ross , v subrahmanian",acm trans . database syst .,"probabilistic temporal databases , i : algebra",2001
2321,"w hsu , a smith , h young",acm trans . database syst .,i/o reference behavior of production database workloads and the tpc benchmarks - an analysis at the logical level,2001
2322,"m bіhlen , c jensen , r snodgrass",acm trans . database syst .,temporal statement modifiers,2000
2323,"l fegaras , d maier",acm trans . database syst .,optimizing object queries using an effective calculus,2000
2324,"d kossmann , m franklin , g drasch",acm trans . database syst .,cache investment : integrating query optimization and distributed data placement,2000
2325,"b kemme , g alonso",acm trans . database syst .,a new approach to developing and implementing eager database replication protocols,2000
2326,r meo,acm trans . database syst .,theory of dependence values,2000
2327,"e baralis , j widom",acm trans . database syst .,an algebraic approach to static analysis of active database rules,2000
2328,"c li , e chang",acm trans . database syst .,answering queries with useful bindings,2001
2329,"t eiter , j lu , t lukasiewicz , v subrahmanian",acm trans . database syst .,probabilistic object bases,2001
2330,,,editorial,2001
2331,w ng,acm trans . database syst .,an extension of the relational data model to incorporate ordered domains,2001
2332,"t fukuda , y morimoto , s morishita , t tokuyama",acm trans . database syst .,data mining with optimized two-dimensional association rules,2001
2333,"j chomicki , d toman , m bіhlen",acm trans . database syst .,querying atsql databases with temporal logic,2001
2334,"m andries , l cabibbo , j paredaens , j bussche",acm trans . database syst .,applying an update method to a set of receivers,2001
2335,"s jajodia , p samarati , m sapino , v subrahmanian",acm trans . database syst .,flexible support for multiple access control policies,2001
2336,d suciu,acm trans . database syst .,distributed query evaluation on semistructured data,2002
2337,"n bruno , s chaudhuri , l gravano",acm trans . database syst .,top-k selection queries over relational databases : mapping strategies and performance evaluation,2002
2338,"m liu , g dobbie , t ling",acm trans . database syst .,a logical foundation for deductive object-oriented databases,2002
2339,"h schuldt , g alonso , c beeri , h schek",acm trans . database syst .,atomicity and isolation for transactional processes,2002
2340,"n mamoulis , d papadias",acm trans . database syst .,multiway spatial joins,2001
2341,"y kotidis , n roussopoulos",acm trans . database syst .,a case for dynamic view management,2001
2342,,,editorial,2001
2343,"l lakshmanan , f sadri , s subramanian",acm trans . database syst .,schemasql : an extension to sql for multidatabase interoperability,2001
2344,"m franklin , m carey , m livny",acm trans . database syst .,transactional client-server cache consistency : alternatives and performance,1997
2345,"t eiter , g gottlob , h mannila",acm trans . database syst .,disjunctive datalog,1997
2346,"z tari , j stokes , s spaccapietra",acm trans . database syst .,object normal forms and dependency constraints for object-oriented schemata,1997
2347,"m zaharioudakis , m carey , m franklin",acm trans . database syst .,"adaptive , fine-grained sharing in a client-server oodbms : a callback-based approach",1997
2348,"p ammann , s jajodia , i ray",acm trans . database syst .,applying formal methods to semantic-based decomposition of transactions,1997
2349,"o wolfson , s jajodia , y huang",acm trans . database syst .,an adaptive data replication algorithm,1997
2350,"l lakshmanan , n leone , r ross , v subrahmanian",acm trans . database syst .,probview : a flexible probabilistic database system,1997
2351,"x wang , c bettini , a brodsky , s jajodia",acm trans . database syst .,logical design for temporal databases with multiple granularities,1997
2352,"x liu , a helal , w du",acm trans . database syst .,multiview access protocols for large-scale replication,1998
2353,"s mehrotra , r rastogi , h korth , a silberschatz",acm trans . database syst .,ensuring consistency in multidatabases by preserving two-level serializability,1998
2354,"a formica , h grіger , m missikoff",acm trans . database syst .,an efficient method for checking object-oriented database schema correctness,1998
2355,j hellerstein,acm trans . database syst .,optimization techniques for queries with expensive methods,1998
2356,"a stolboushkin , m taitslin",acm trans . database syst .,safe stratified datalog with integer order does not have syntax,1998
2357,"v storey , r chiang , d dey , r goldstein , s sundaresan",acm trans . database syst .,database design with common sense business reasoning and learning,1997
2358,"c dyreson , r snodgrass",acm trans . database syst .,supporting valid-time indeterminacy,1998
2359,p revesz,acm trans . database syst .,safe query languages for constraint databases,1998
2360,"d konopnicki , o shmueli",acm trans . database syst .,information gathering in the world-wide web : the w3ql query language and the w3qs system,1998
2361,"m levene , g loizou",acm trans . database syst .,database design for incomplete relations,1999
2362,j wijsen,acm trans . database syst .,temporal fds on complex objects,1999
2363,"a datta , d vandermeer , a celik , v kumar",acm trans . database syst .,broadcast protocols to support efficient retrieval from databases by mobile users,1999
2364,"s castano , v antonellis , m fugini , b pernici",acm trans . database syst .,conceptual schema analysis : techniques and applications,1998
2365,"e bertino , c bettini , e ferrari , p samarati",acm trans . database syst .,an access control model supporting periodicity constraints and temporal reasoning,1998
2366,"j zobel , a moffat , k ramamohanarao",acm trans . database syst .,inverted files versus signature files for text indexing,1998
2367,"a sistla , o wolfson , y yesha , r sloan",acm trans . database syst .,towards a theory of cost management for digital libraries and electronic commerce,1998
2368,"t bozkaya , z жzsoyoglu",acm trans . database syst .,indexing large metric spaces for similarity search queries,1999
2369,s alagic,acm trans . database syst .,type-checking oql queries in the odmg type systems,1999
2370,"t yan , h garcia-molina",acm trans . database syst .,the sift information dissemination system,1999
2371,"y wand , v storey , r weber",acm trans . database syst .,an ontological analysis of the relationship construct in conceptual modeling,1999
2372,"g hjaltason , h samet",acm trans . database syst .,distance browsing in spatial databases,1999
2373,"l gravano , h garcia-molina , a tomasic",acm trans . database syst .,gloss : text-source discovery over the internet,1999
2374,"s chaudhuri , k shim",acm trans . database syst .,optimization of queries with user-defined predicates,1999
2375,"f casati , s ceri , s paraboschi , g pozzi",acm trans . database syst .,specification and implementation of exceptions in workflow management systems,1999
2376,"g aslan , d mcleod",vldb j.,semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution,1999
2377,"p boncz , m kersten",vldb j.,mil primitives for querying a fragmented world,1999
2378,"t hфrder , g sauter , j thomas",vldb j.,the intrinsic problems of structural heterogeneity and an approach to their solution,1999
2379,"z li , k ross",vldb j.,fast joins using join indices,1999
2380,"w liang , m orlowska , j yu",vldb j.,optimizing multiple dimensional queries simultaneously in multidimensional databases,2000
2381,"e pacitti , e simon",vldb j.,update propagation strategies to improve freshness in lazy master replicated databases,2000
2382,"k law , j lui , l golubchik",vldb j.,efficient support for interactive service in multi-resolution vod systems,1999
2383,"n krivokapic , a kemper , e gudes",vldb j.,deadlock detection in distributed database systems : a new algorithm and a comparative performance analysis,1999
2384,"m garofalakis , b жzden , a silberschatz",vldb j.,on periodic resource scheduling for continuous-media databases,1998
2385,"m жzsu , s christodoulakis",vldb j.,introduction ( special issue on multimedia databases ),1998
2386,"r ng , p shum",vldb j.,optimal clip ordering for multi-clip queries,1998
2387,"h jiang , a elmagarmid",vldb j.,spatial and temporal content-based access to hypervideo databases,1998
