beer_identifier,style_type,beer_nm,brew_fac
1252,Amber Ale,Ridgeway Californian Amber,Hepworth
1253,Amber Ale,Gro_en Bart Anker Beard Amber,Gro_en Bart Brewery
1254,Amber Ale,Woodman Devil_s Gate Red Ale,Woodman Brewery
1255,American Strong Ale,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company
1256,Golden Ale/Blond Ale,7 Devils Lighthouse Session Ale,7 Devils Brewing Company
1257,Amber Ale,Big Woods &#40; Quaff On &#033; &#41; Java The Red,Big Woods &#40; Quaff On &#033; &#41; Brewing Company
1258,Spice/Herb/Vegetable,Karl Strauss Amber - Pumpkin Pie,Karl Strauss Brewing Company
1259,Abbey Dubbel,Monks CafÃ © Orange Ale 2007,Sigtuna Brygghus
1260,Amber Ale,Blue Star Apache Amber Ale,Blue Star Brewing Co. .
1261,India Pale Ale &#40; IPA &#41;,Big Time Lift Ticket American Red Ale,Big Time Brewery
1262,Irish Ale,Hops & Grain Dispensary Series : Red Ale,Hops & Grain Brewing
1263,Amber Ale,Nine Yards Homewrecker Red,Nine Yards Brewing
1264,Mild Ale,Boneyard Red Ale,Boneyard Brewing
1265,India Pale Ale &#40; IPA &#41;,Big Time Scarlett Fire IPA,Big Time Brewery
1266,Porter,ABC Brewing Driftwood Porter,Valhalla
1267,Amber Ale,The Cambridge House Lime Rock Red,The Cambridge House
1268,Session IPA,Old Redwood Little Windsor,Old Redwood Brewing Company
1269,Golden Ale/Blond Ale,White Gypsy Emerald Irish Pale Ale,White Gypsy &#40; Shelta Beer Co &#41;
1270,Stout,Adventure Stiletto Stout,Adventure Brewing Company
1271,Amber Ale,10 Barrel Red Faucher,10 Barrel Brewing &#40; AB InBev &#41;
1272,Amber Ale,Culture Unite Red Ale,Culture Brewing Company
1273,Amber Ale,Wicked Weed Duke Of Rochester,Wicked Weed Brewing
1274,Irish Ale,Silver City Ridgetop Red Ale,Silver City Brewery
1275,Amber Ale,Canal Park General Sterling Price American Amber Ale - Centennial,Canal Park Brewing Company
1276,Amber Ale,7 Fjell Walkendorff Amber Ale,7 Fjell Bryggeri
1277,Amber Ale,Dennis Beer Rocket Science Red Planet,Dennis Beer Company
1278,Amber Ale,Fat Head_s Rocketman Red Ale,Fat Head_s Brewery & Saloon
1279,Amber Ale,Sandude Shades of Amber,Sandude Brewing Company
1280,English Pale Ale,#Postubirra - SÃ ³ c de l_Oest,click & brew
1281,California Common,Baird Red Rose Amber Ale,Baird Brewing Co. .
1282,Sweet Stout,Northumberland Hills Can_t Catch Me &#033; Gingerbread Stout,Northumberland Hills Brewing
1283,Amber Ale,Devil_s Peak Woodhead Amber Ale,Devil_s Peak Brewing Company
1284,Amber Ale,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company
1285,Saison,Grassroots/Tired Hands Do Saisons Dream Of Electric Yeast ?,FanÃ ¸ Bryghus
1286,Amber Ale,American River Capitol Copper,American River Brewing Co. .
1287,Sour/Wild Ale,Reaver Beach Icarus Farmhouse Red,Reaver Beach Brewing Company
1288,Belgian Ale,Craig Allan Agent Provocateur,De Proefbrouwerij
1289,Amber Lager/Vienna,1758 Lager _ mbar,Cerveza 1758
1290,Amber Ale,Rustic Road Accommodation Amber,Rustic Road Brewing Company
1291,Pale Lager,Acoustic Ales Hopski Pre-Prohibition Style Lager,Acoustic Ales Brewing Experiment
1292,Amber Ale,Cassel Lil _ Red Steamer Red Ale,Cassel Brewery Co. .
1293,Amber Ale,Original Gravity Cone-Azalia Red Ale,Original Gravity Brewing Company
1294,Wheat Ale,Big Buck Wolverine Wheat,Big Buck Brewery
1295,Amber Ale,La Captive Pyromane,Microbrasserie La Captive
1296,Amber Ale,Medusa Island of Misfit Hops # 1,Medusa Brewing Company
1297,Irish Ale,Red Rock Opie Red Ale,Red Rock Brewing
1298,Irish Ale,The Beer Company Wyatt Earp Red Ale,The Beer Company
1299,Golden Ale/Blond Ale,101 North Golden Naked Ale,101 North Brewing Company
1300,Golden Ale/Blond Ale,3 Iron Mulligan - Ball Striking Blonde,3 Iron Brewing Company
1301,BiÃ ¨ re de Garde,CÃ ´ te de Jade Brigantine AmbrÃ © e,Brasserie de la CÃ ´ te de Jade
1302,Sweet Stout,Flyers Daybreak Breakfast Stout,Flyers Restaurant & Brewery
1303,Amber Ale,College Green Headless Dog,Hilden
1304,Bitter,Front Street Amberjack ESB,Front Street Brewery &#40; NC &#41;
1305,Amber Ale,Goat Ridge New London Amber Ale,Goat Ridge Brewing Company
1306,American Strong Ale,Rushing Duck Kroovy,Rushing Duck Brewing
1307,Mild Ale,Bespoke Chip Off The Old Block,Bespoke
1308,Amber Ale,BNS The Hills Have Eyes Amber Ale,BNS Brewing & Distilling
1309,Amber Ale,Tugboat Honey Amber Ale,Tugboat Brewing Co. .
1310,Amber Ale,Broken Bottle AFD Red,Broken Bottle Brewery
1311,Amber Ale,Andersonville Gangster Hopped Up Amber Ale,Andersonville Brewing Company
1312,Fruit Beer,New Holland Adam_s Apple,New Holland Brewing Company
1313,American Strong Ale,Wicked Weed Tyrant Double Red,Wicked Weed Brewing
1314,Amber Ale,Great Storm Brass Ale Honey Amber,Great Storm Brewing
1315,Oktoberfest/M Ã $ rzen,Beer Works Red October,Beer Works
1316,Amber Ale,Epic Ales Rustic Red Ale,Epic Ales &#40; WA &#41;
1317,Amber Ale,Grafton Brewhaus Red Ale,Grafton Winery & Brewhaus
1318,Amber Ale,Stronzo Red Frikken Ale,Amager Bryghus
1319,Amber Ale,Back East Ale,Back East Brewing Company
1320,Amber Ale,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company
1321,Imperial IPA,4 Noses .44 Magnum Double IPA,4 Noses Brewing Company
1322,Amber Ale,Stumbling Steer Rawhide Red Ale,The Stumbling Steer
1323,Fruit Beer,Avery Seducer,Avery Brewing Company
1324,Amber Ale,Anderson Valley Rude Eye Red Ale,Anderson Valley Brewing Company
1325,Amber Ale,Berthoud Switch Track Amber,Berthoud Brewing Company
1326,California Common,Wiper and True Simcoe Steam,Wiper and True
1327,Amber Ale,BearWaters Angler_s Amber Ale,BearWaters Brewing Company
1328,Amber Lager/Vienna,Dogfish Head Sweet Home Amber Lager,Dogfish Head Brewery
1329,English Pale Ale,&#268; echmÃ ¡ nek Summer Ale 11,Pivovar &#268; echmÃ ¡ nek
1330,Amber Ale,South Fork Sunday Funny Red Ale,South Fork Brewing Company
1331,California Common,Berryessa Common Sense,Berryessa Brewing Company
1332,Imperial IPA,Berryessa Double Tap IPA,Berryessa Brewing Company
1333,Amber Ale,Wyoming State WBAB,Wyoming State Brewing Company &#40; Wonder Bar Pub &#41;
1334,Porter,Alligator Snowbird Porter,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;
1335,Brown Ale,1790 Tap Room Ale,Long Trail Brewery
1336,Porter,Bell Beer / Tokorozawa Victoria Secret Brown Porter,Bell Beer / Tokorozawa Brewery
1337,Amber Ale,Wyoming State Blitz_n Holiday Ale,Wyoming State Brewing Company &#40; Wonder Bar Pub &#41;
1338,English Strong Ale,Beer Buddy Red Ale,Hansharo
1339,Belgian Ale,Captain Elizurs Heritage Red Ale,Paper City Brewery
1340,Amber Ale,Hideout Hickory Red Bacon Ale,The Hideout Brewing Company
1341,Irish Ale,Primal Ethel Red Ale,Primal Brewery
1342,Spice/Herb/Vegetable,Infusion Grahamber Ale,Infusion Brewing Company
1343,Irish Ale,Adirondack British Red,Adirondack Pub and Brewery
1344,Fruit Beer,Bicycle Craft Recumbent Raspberry,Bicycle Craft Brewery
1345,Spice/Herb/Vegetable,Celt Experience Foraging for Herbs,Celt Experience
1346,Stout,Amber Chocolate Orange Stout,Amber
1347,Premium Bitter/ESB,Birra Flea Bastola,Birra Flea &#40; Matteo Minelli Agricola &#41;
1348,Amber Ale,Fox and Hound Red Fox Amber Ale,Anheuser-Busch InBev
1349,Irish Ale,Blue Heron Tarantula Trek Red Ale,Blue Heron Brewing Company
1350,Amber Ale,Muddy Creek No Paddle Amber,Muddy Creek Brewery
1351,English Pale Ale,25th Anniversary Pale Ale,Grand Ridge Brewing Co. .
1352,India Pale Ale &#40; IPA &#41;,Pyrus &#50668; &#47492; &#50504; &#50640; &#49436; Summer IPA,The Table
1353,Imperial Porter,Knightberg Plumbeer Porter,Premium Pivovarni Peterburga - Knightberg
1354,Amber Ale,Alligator Amber &#40; Oak Chips & Vanilla Beans &#41;,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;
1355,Amber Ale,Sixpoint Global Warmer,Sixpoint Brewery
1356,Amber Ale,Grand Canyon Sunset Amber Ale,Grand Canyon Brewing Company
1357,Amber Ale,Sandar Tiffani Amber Thiessen,Sandar Haandverksbryggeri AS
1358,Cider,Burnard_s Oaky Dokey,Burnard_s Cider
1359,Irish Ale,49er Red Ale,Hasli-Bier
1360,Irish Ale,Muckish Mountain Miner_s Red,Muckish Mountain
1361,Saison,Bedondaine et Bedons Ronds Madame Nicole,Bedondaine et Bedons Ronds
1362,India Pale Ale &#40; IPA &#41;,E. J. Phair Johnny Bravo,E. J. Phair Brewing Company
1363,Amber Ale,El Toro Poppy Jasper Amber Ale,El Toro Brewing Co. .
1364,Cider,Border Orchards Ashton Bitter SV,Border Orchards
1365,Golden Ale/Blond Ale,Fat Head_s Busy Bee Honey Blonde Ale,Fat Head_s Brewery & Saloon
1366,Amber Ale,Little Beer Little Tenderness,Little Beer
1367,Amber Ale,Elk Mountain Rock Slide Amber Ale,Elk Mountain Brewing Company
1368,Bitter,Boscos Kung Fu,Boscos Brewing Company &#40; Roma Pomodori &#41;
1369,English Strong Ale,Abbeydale Redemption,Abbeydale
1370,Amber Ale,Roseville Armstrong Amber,Roseville Brewing Company
1371,Amber Ale,De Garve Maltz & Waltz,De Garve
1372,Amber Ale,Whole Foods Market &#40; Houston &#41; Get To The Root,Whole Foods Market Brewing Company &#40; Houston &#41;
1373,Specialty Grain,Hearthstone Red Rye Ale,Hearthstone Brewery
1374,India Pale Ale &#40; IPA &#41;,Plymouth The Mighty Mullet IPA,Plymouth Brewing Company
1375,Amber Ale,Wavelength Redshift Red Ale,Wavelength Brewing Company
1376,Amber Ale,Heinzelmannchen Big Amber Gnome Ale,Heinzelmannchen Brewery
1377,Amber Ale,Bull & Barrel Urban Amber,Bull & Barrel Brew Pub
1378,Porter,Four Corners Block Party,Four Corners Brewing Company
1379,India Pale Ale &#40; IPA &#41;,Alpha Project Burning Down The House,Alpha Project
1380,Scottish Ale,Oskar Blues British Knight Scotch Red Ale,Oskar Blues Brewery
1381,India Pale Ale &#40; IPA &#41;,Blind Tiger Stranger Danger IPA,Blind Tiger
1382,Bitter,Frodsham Devil_s Garden,Frodsham
1383,Amber Ale,LagabiÃ ¨ re Rousse Svelte,LagabiÃ ¨ re
1384,India Pale Ale &#40; IPA &#41;,Broadhead The Amarillo Chainsaw Massacre,Broadhead Brewing Company
1385,Premium Bitter/ESB,Marks & Spencer Cornish Red Ale,St. Austell
1386,Amber Ale,Stormcloud 7-Spot Amber Ale,Stormcloud Brewing Company
1387,Imperial IPA,Big Top Ashley Gang Outlaw Imperial IPA,Big Top Brewing Company
1388,Amber Ale,Boulder Creek Redwood Ale,Boulder Creek Brewing Co. .
1389,Amber Ale,Brady_s Naughty Amber,Brady_s Brewhouse
1390,Amber Ale,Alpha Extra Special Red Ale,Alpha Brewing Company
1391,Amber Ale,Marco Island Loggerhead Red,Marco Island Brewery
1392,Specialty Grain,4 Noses Rye Amber Lager,4 Noses Brewing Company
1393,English Pale Ale,Aqula Summer Session Ale,Aqula
1394,Amber Ale,Viola Rossa,Birra Amarcord
1395,Porter,Battle Road Midnight Rider Colonial Porter,Ipswich Ale Brewery
1396,Bitter,Cheshire Brew Brothers Earl_s Eye Amber,Cheshire Brew Brothers
1397,Amber Ale,La Tour _ BiÃ ¨ res L_Aviateur,Brasseurs du Saguenay - La Tour _ BiÃ ¨ res
1398,Amber Ale,Ratsherrn Limited 2015 Backbord Red Ale,Ratsherrn Brauerei
1399,Amber Ale,Kassiks Otter Creek Amber,Kassiks Brewery
1400,Amber Ale,Franklin Street Manchester Red Ale,Franklin Street Brewing Company
1401,Sour/Wild Ale,8 Wired Flanders Pale,8 Wired Brewing
1402,Amber Ale,Ballast Point Homework Series Batch # 1 - Hoppy Red Ale,Ballast Point Brewing Company
1403,Amber Ale,Legends of the Bay Ghosts of Hope Island,Hockley Valley Brewing & Malting Company
1404,Belgian Ale,Burley Oak Rude Girl,Burley Oak Brewing Company
1405,Imperial IPA,Black Sky Daywalker,Black Sky Brewery
1406,India Pale Ale &#40; IPA &#41;,Fairhope Swayze in the Morning,Fairhope Brewing Company
1407,BiÃ ¨ re de Garde,Chapelle NorthmÃ ¦ n AmbrÃ © e,la Chapelle
1408,Amber Ale,Kilted Dragon Bonnie Heather Amber Ale,Kilted Dragon Brewing Company
1409,American Pale Ale,Cascade Lakes Summertime Pale,Cascade Lakes Brewing Co. .
1410,Altbier,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company
1411,Sweet Stout,Atlas Andromeda Milk Stout,Atlas Brewing Company
1412,Spice/Herb/Vegetable,Rattlesnake Mountain Helluva Honey Ale,Rattlesnake Mountain Brewing Company
1413,Scotch Ale,8th Street Red Beard The Scotch,8th Street Ale Haus
1414,American Strong Ale,Renegade Scarlett Letter Imperial Red Ale,Renegade Brewing Company
1415,Amber Ale,COAST Carnie Fire,COAST Brewing Company
1416,Amber Ale,Cool Springs MorningWood Red Ale,Cool Springs Brewing Company
1417,Specialty Grain,Adroit Theory Experimental - Imperial Steam Beer,Adroit Theory Brewing Company
1418,Amber Ale,Refuge Rampart Red,Refuge Brewery
1419,India Pale Ale &#40; IPA &#41;,Flyers F8 Crusader IRA,Flyers Restaurant & Brewery
1420,Belgian Ale,La Tourangelle AmbrÃ © e,l_Aurore
1421,Amber Ale,Modern Times Blazing World,Modern Times Beer
1422,Amber Ale,Squatters Big Cottonwood,Squatters Craft Beers
1423,Amber Ale,Willimantic Riverfest Red Ale,Willimantic Brewing Company
1424,Amber Ale,Gold Rush Gold Dredge Red,Gold Rush Brewery
1425,Amber Ale,Ausable Autumn Session Ale,Ausable Brewing Company
1426,Amber Ale,Millersburg Honey Run Sun Amber,Millersburg Brewing
1427,Session IPA,Archibald ISA Rousse,Microbrasserie Archibald
1428,American Strong Ale,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Kettle House Brewing Company
1429,American Strong Ale,Red Eye Black Eye 4 - El Tormento,Red Eye Brewing Company
1430,Imperial IPA,Greenbush Remnant of the Dragon,Greenbush Brewing Company
1431,Irish Ale,Moccasin Bend Red Headed Stepchild Irish Ale,Moccasin Bend Brewing Co. .
1432,Amber Ale,Elkhead Extra,Elkhead Brewing Company
1433,Amber Ale,No Clue Rancho Rye,No Clue Brewery
1434,Sour/Wild Ale,Brisbane Brewing Party-Guile Sonic Boom,Brisbane Brewing Co
1435,Amber Ale,Gutmann Oceanik Amber Ale,CervecerÃa Gutmann
1436,Barley Wine,Great Oakley Anaesthetise,Great Oakley
1437,India Pale Ale &#40; IPA &#41;,GrÃ 1/4 nerlÃ ¸ kka Nighthawk India Red,GrÃ 1/4 nerlÃ ¸ kka Brygghus
1438,Amber Ale,Nils Oscar Slayer 666 Red Ale,Nils Oscar
1439,Amber Ale,Bitter Root Belgian Style Amber Ale,Bitter Root Brewing
1440,Amber Ale,Bootstrap Flagstaff Amber,Bootstrap Brewing
1441,Oktoberfest/M Ã $ rzen,Tri Martolod Rousse,Tri Martolod
1442,Amber Ale,Saranac Amber Ale,F.X. Matt Brewing Company
1443,Mild Ale,Banks_s Mild / Original &#40; Filtered &#41;,Banks_s &#40; Marstons &#41;
1444,India Pale Ale &#40; IPA &#41;,Magic Rock / Cigar City Cigarro Roja Magica,Magic Rock
1445,American Strong Ale,Riverbend Barrel Aged Right Said Red,Riverbend Brewing & Sports Pub
1446,Imperial IPA,Bootstrap Wreak Havoc Imperial IPA,Bootstrap Brewing
1447,Amber Ale,Dancing Duck Amberillo,Dancing Duck
1448,Amber Ale,Carrig Brazen Amber Ale,Carrig Craft Brewing Company
1449,Amber Ale,McNeills Ruby Ale,McNeills Brewery
1450,Amber Lager/Vienna,Beaverhead Armstead Amber,Beaverhead Brewing Company
1451,Saison,Holgate Brewhouse Red Riding Wood,Holgate Brewhouse
1452,Amber Ale,Pinnacle Peak Amber Ale,Pinnacle Peak Patio Steakhouse
1453,India Pale Ale &#40; IPA &#41;,1816 The Peak,1816 - Birrificio Livigno
1454,American Pale Ale,Birra del Borgo Trentatre Ambrata,Birra del Borgo
1455,Amber Ale,Sikaru La Fauve,Brasserie du Pays Flamand
1456,Amber Ale,Oak Creek Amber Ale,Oak Creek Brewing Co. .
1457,Specialty Grain,BentSpoke Gluten Friendly Ginger &#40; GFG &#41;,BentSpoke Brewing Company
1458,India Pale Ale &#40; IPA &#41;,HolzbrÃ $ u Reservoir Hops,L_anjub Cervesa Artesana
1459,Oktoberfest/M Ã $ rzen,Buffalo Water Bison Blonde Autumn Recipe,Milwaukee Brewing Company
1460,Spice/Herb/Vegetable,Dark Horse Rod,Dark Horse Brewing Company
1461,Amber Ale,Temperance Singing at Trees,Temperance Beer Company
1462,Amber Ale,40 Arpent Red Beans & Rice Ale,40 Arpent Brewing Company
1463,Amber Ale,Horse Thief Hollow Roscoe Red Ale,Horse Thief Hollow Brewing
1464,Belgian Ale,Wild Earth Ponderosa Belgian Red Ale,Wild Earth Brewing
1465,Amber Ale,Rare Bird Her Name Was Amber Ale,Rare Bird Brewery
1466,Old Ale,5 Paddles Charred Remains,5 Paddles Brewing Company
1467,Belgian Ale,Struise Rosse,De Struise Brouwers
1468,Amber Ale,Charleston Brewing Forever Amber,Charleston Brewing Company &#40; WV &#41;
1469,Witbier,Flat Tail Red Bush Sour Double Wit,Flat Tail Brewing Company
1470,Imperial IPA,Adventure Second Ascent Double IPA,Adventure Brewing Company
1471,American Strong Ale,MalmÃ ¶ Lord of Myrcene,MalmÃ ¶ Brygghus
1472,Amber Ale,Chilly Water Rust Never Sleeps Amber,Chilly Water Brewing Company
1473,Cream Ale,Gotlands Sleepy Bulldog Creamy Amber Ale,Gotlands Bryggeri &#40; Spendrups &#41;
1474,Amber Lager/Vienna,Black Royal Red,Tarricone
1475,Amber Ale,Barley Johns Grandpa_s Amber Ale,Barley Johns Brew Pub
1476,Amber Ale,Alpha Project British Amber,Alpha Project
1477,American Strong Ale,559 Bourbon Barrel Ale &#40; BBA &#41;,W Brewing / 559 Brewing
1478,Amber Ale,Three Monkeys Tres Vaqueros Amber Ale,Three Monkeys Brewing Company
1479,Radler/Shandy,Redds Sun &#40; Romanian &#41;,Ursus Breweries &#40; SABMiller &#41;
1480,Sour Red/Brown,Snake River Babeforce United Red Ale,Snake River Brewing Co. .
1481,Amber Ale,Pitchers Sunset Amber,Pitchers Brewery & Sports Shack
1482,Belgian Strong Ale,Solemn Oath Man vs. Internet,Solemn Oath Brewery
1483,Amber Ale,Birrart Mos_ka Torrada,Cerveceria Birrart
1484,Spice/Herb/Vegetable,Pinglehead Omelet,Pinglehead Brewing Co. / Brewer_s Pizza
1485,Amber Ale,Y Market Craft Heart Red,Y Market Brewing
1486,American Pale Ale,14th Star 1493,14th Star Brewing Company
1487,Barley Wine,51 North Monkeying Around Barley Wine,51 North Brewing Company
1488,Premium Bitter/ESB,Out There Celestial Love,Out There
1489,Belgian Strong Ale,Adur St. Cuthmans Red Wheelbarrow,Adur
1490,Brown Ale,Frankenmuth Christmas Town Ale,Frankenmuth Brewery
1491,Amber Ale,Boatyard Sunset Amber,Boatyard Brewing Co. .
1492,Amber Ale,Basil Ts Rocket Red Ale,Basil Ts &#40; Red Bank &#41;
1493,Amber Ale,Hideout Red Curry Ale,The Hideout Brewing Company
1494,Amber Ale,Andrews Leatherwood Red,Andrews Brewing Company
1495,Amber Ale,Cigar City Brewpub Redner,Cigar City Brewing
1496,American Strong Ale,Kinetic Infrared Imperial Red Ale,Kinetic Brewing Company
1497,Premium Bitter/ESB,Moorhouses Amber Rambler,Moorhouses
1498,Amber Ale,Barrelhead Indie Amber,J.W. Sweetman
1499,Spice/Herb/Vegetable,Anthem Festivus,Anthem Brewing Company
1500,Amber Ale,Empire Amber Ale,Empire Brewing Company
1501,Amber Ale,BullDog American Bully Amber,BullDog Brewery
1502,Amber Ale,38 State ColorAmber Amber Ale,38 State Brewing Company
1503,Belgian Ale,Barrier Craven Belgian Red,Barrier Brewing Company
1504,Imperial Stout,Brass Castle The Maltings 8 Hundred,Brass Castle
1505,Amber Ale,Big Horse Little Red Rooster,Big Horse Brewing
1506,Amber Ale,Rusty Scupper Amber Ale,Miller Brewing Company &#40; MillerCoors &#41;
1507,Amber Ale,TRVE Crown of Eyes,TRVE Brewing
1508,Imperial Stout,Iron Fist Blame Canada &#033;,Iron Fist Brewing Company
1509,Amber Ale,Great Lakes Independence Ale,Great Lakes Brewing &#40; Ohio &#41;
1510,Mild Ale,Redemption Keen Massey Ale,Redemption
1511,Amber Ale,BullDog Rotty_s Red Ale,BullDog Brewery
1512,Amber Ale,Broken Tooth Anchorage Amber Ale,Broken Tooth Brewing Company
1513,Amber Ale,BrÃ ¸ ckhouse Amber,BrÃ ¸ ckhouse &#40; Premium Beer &#41;
1514,Cider,Abrahalls Thundering Molly,Celtic Marches Cider
1515,Amber Ale,Baladin Birra Lurisia Speciale,Le Baladin
1516,Amber Ale,Black Sky Kelvin & Hops Copper Ale,Black Sky Brewery
1517,Black IPA,Piney River Masked Bandit IPA,Piney River Brewing Company
1518,Irish Ale,Willimantic Mt. Rainier Red,Willimantic Brewing Company
1519,American Strong Ale,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company
1520,Amber Ale,Right Brain Fenton Fire Hall Ale,Right Brain Brewery
1521,Golden Ale/Blond Ale,Fire Station 5 Brush Fire Summer Ale,Portland Brewing Company &#40; Pyramid - North American Breweries &#41;
1522,Amber Ale,Two Metre Tall Forester Bitter Amber Ale,Two Metre Tall Brewing Company
1523,Radler/Shandy,Calanda PanachÃ ©,Heineken Switzerland
1524,American Strong Ale,Crooked Fence Exiled Series 3 of 6 : Hunters Imperial Red,Crooked Fence Brewing Company
1525,Amber Ale,7 Fjell Kjuagutt Amber Ale,7 Fjell Bryggeri
1526,Smoked,Bent Paddle / Fitger_s Barrel Aged Red Smoke Rye Ale,Bent Paddle Brewing Co. .
1527,Amber Ale,Big Wood Lil _ Red Riding Wood,Big Wood Brewery
1528,American Pale Ale,Ellicottville E_vil Hoppy Winter Ale,Ellicottville Brewing
1529,Amber Ale,Holy City The Gentle Mongoose,Holy City Brewing
1530,Amber Ale,La Boite _ Malt Gros Ours,Microbrasserie La Boite _ Malt
1531,Amber Ale,Chunky_s Red Carpet Ale,Woodstock Inn Brewery
1532,Amber Ale,Flying Monkey Amber Ale,Weston Brewing Company
1533,California Common,23rd Street California Common,23rd Street Brewery
1534,American Strong Ale,Two Brothers Revelry Imperial Red Ale,Two Brothers Brewing Company
1535,Amber Ale,Breckenridge Mountain Series : Hoppy Amber Ale,Breckenridge Brewery
1536,Imperial Stout,AleSmith Speedway Stout - Red Velvet,AleSmith Brewing Company
1537,Irish Ale,Battlefield Iwo Jima Red Ale,Battlefield Brewery
1538,Amber Ale,Elysian Breadwinner,Elysian Brewing &#40; AB-InBev &#41;
1539,Dry Stout,Rock Bottom Orland Park Kiss Me Im Irish Dry Stout,Rock Bottom Orland Park
1540,Amber Ale,O_Fallon O_Bar Amber Ale,O_Fallon Brewery
