record_id,source,retail_price,name
875,century software,,century software tinyterm plus v. 4.0 complete product
876,adobe,199.0,adobe soundbooth cs3 [ mac ]
877,netopia,,timbuktu remote control softwre 1 license for mac os
878,efrontier,99.99,poser figure artist
879,sony media,232.05,sony sound forge 9 boxed upgrade
880,encore software,19.99,super granny 3
881,encore software,49.95,the print shop 22 deluxe sb cs by the print shop
882,encore software,9.95,marine aquarium + sharks
883,adobe,1699.0,adobe creative suite cs3 production premium
884,checkmark software,399.0,checkmark multiledger
885,ipswitch inc,395.0,ipswitch inc ws ftp pro 9 sdk w / ws ftp pro wd-1000-0900 )
886,bling,29.99,123 movies 2 ipod w / av cables umd size
887,encore,29.95,hoyle bridge club
888,microsoft corporation,,microsoft oem 3pk xp home edition sp2 n09-01624 )
889,encore,19.95,scrabble champion edition
890,topics entertainment,39.99,instant immersion japanese deluxe 2.0
891,macspeech inc.,99.99,ilisten ( mac )
892,adobe,799.0,adobe premiere pro cs3
893,destineer,19.95,starship troopers/first to fight bundle
894,belight software,49.95,art text
895,encore software,19.99,hoyle card games 2007
896,phantom efx,19.95,reel deal slots mystic forest
897,adobe,1199.0,adobe creative suite cs3 production premium upsell
898,encore,9.99,risk ii jc
899,onone software,159.95,onone genuine fractals 5 full 1u
900,aspyr media,34.99,sims 2 seasons expansion pack
901,avanquest,49.95,partition commander 10
902,sony-pictures-digital-entertainment,,sony sound effects series vol 1 through 10
903,encore software,19.99,mavis beacon teaches typing 17 standard
904,navarre ( software ),29.95,vault360 combo
905,efrontier,199.99,efrontier anime studio pro ( win/mac )
906,encore,19.95,monopoly here & now
907,encore software,9.99,hoyle card games ( jewel case )
908,jungle software,399.0,gorilla 4 pro
909,tri synergy,19.99,oxford world encyclopedia
910,adobe,1399.0,adobe creative suite cs3 master collection upgrade [ mac ]
911,dreamcatcher interactive,19.99,obscure
912,encore software,39.99,network now ! pro by encore
913,imaginova,9.99,starry night galaxy explorer ( pc & mac )
914,encore,19.99,hasbro classic collection 2006 )
915,makemusic !,199.99,allegro 2005
916,encore software,9.99,professor fuji 's sudoku ( jewel case )
917,encore software,,elementary advantage 2008
918,mobi-technologies-inc .,129.0,recam remote monitoring software
919,global-software-publishing-north-america-inc,19.99,sudoku unlimited + crossword addict 2cd set
920,mobi,119.99,mobi recam camera monitoring and notification software
921,yamaha,34.95,the little mermaid/beauty and the beast
922,encore software,19.95,sharks 2.0
923,adobe,199.0,adobe illustrator cs3 upgrade [ mac ]
924,encore,19.99,hoyle casino ( 2007 )
925,topics entertainment,39.48,instant play guitar deluxe v2 .
926,encore software,9.99,pc hoyle jewels : swap & drop it
927,jungle software,199.0,gorilla 4 student
928,encore,9.99,jeopardy
929,stamps.com,14.99,your desktop post office for pc
930,adobe,149.0,adobe contribute cs3 [ mac ]
931,digital-leisure-inc .,39.95,dance 6
932,pc tools,29.95,registry mechanic 5.x pc system repair
933,encore,9.99,axis & allies ( jewel case )
934,panda software,29.95,panda antivirus 2007
935,corel,79.99,corel dvd moviefactory 6.0 plus
936,encore,,defcon
937,symantec,811.21,symc backup exec sbs std 11d win small business server standard
938,individual software,9.99,typing instructor deluxe ( jewel case )
939,bias,599.0,bias peak pro 5 macintosh )
940,sierra online,19.99,freestyle street basketball
941,webroot software,49.95,webroot spy sweeper with antivirus family edition 3 pcs
942,emedia,29.95,my guitar
943,sega-of-america-inc .,19.99,rome total war gold edition
944,encore software,46.52,registry mechanic by encore software
945,fogware publishing,9.99,classification & ecology ( win/mac ) ( jewel case )
946,encore software,,the print shop 21 deluxe by broderbund
947,avanquest software,29.95,britannica deluxe
948,encore software,39.99,creating keepsakes scrapbook platinum v. 3 sb cs by riverdeep
949,aspyr media,9.99,leave the lights on ( mac )
950,apple,299.0,apple logic pro 7.2 upgrade
951,microspot ltd.,349.99,microspot macdraft professional ( mac )
952,nero inc.,99.99,nero 7 ultra edition enhanced
953,stompsoft inc.,29.99,digital vault
954,adobe-education-box,149.0,audition 2 win ed ue 1u
955,imsi,249.99,turbocad mac 3d for mac
956,apple,999.0,apple logic pro 7.2 retail
957,sage software,499.99,peachtree by sage premium accounting 2007 accountants ' edition
958,onone software,399.95,onone plug-in suite 3 for adobe photoshop
959,stompsoft inc.,24.99,stompsoft digital file shredder pro
960,emedia,350.0,make music finale 2008 academic
961,sony media,129.95,vegas movie studiodvd +8 plat
962,sony-online-entertainment,49.99,gods & heroes : rome rising
963,synet-electronics-inc .,,synet pc sharing kit ( w/17ft usb ext.cable )
964,school zone,9.99,math 2
965,pinnacle,49.99,pinnacle mobile media organizer
966,global-marketing-partners,349.0,gmp data rescue license 24300 )
967,broderbund,19.99,mavis beacon teaches typing 16
968,intervideo,49.99,intervideo windvd 8 gold
969,eurotalk,29.99,talk now ! learn afrikaans beginning level
970,absolute software,99.99,computrace lojack for laptops : 3 year subscription
971,topics entertainment,,instant immersion ingles audio deluxe
972,me-too-software,49.99,i copy dvd 's 2
973,absolute software,49.99,computrace lojack for laptops : 1 year subscription
974,sony media,129.95,sony vegas movie studio + dvd 8 platinum edition
975,absolute software,49.95,computrace lojack for laptops 1 year license ( mac )
976,sos aggregation,39.99,iaudioize magnetic time for pc and mac
977,bling,39.99,safekeeper plus
978,kutoka,19.99,didi & ditto : kindergarten win/mac
979,apple computer,299.0,logic express 7
980,aspyr media,29.99,travelogue 360 : paris
981,topics entertainment,29.99,instant immersion italian v2 .0 ( large box )
982,power-on-software,129.99,power on now up to date & contact windows
983,dvo enterprises,19.99,cook 'n low fat
984,serious magic,199.99,serious magic visual communicator 2.0 web
985,masque publishing,9.99,best of slots 2 ( jewel case )
986,steinberg ( yamaha ),549.99,cubase 4 competitive crossgrade
987,egames,19.99,casual games pack
988,eovia corporation,599.99,eovia carrara 4 pro win/mac
989,topics entertainment,29.99,i spy fantasy v. 2 with i spy book & mini cd
990,power production,,power production storyboard artist 4
991,topics entertainment,39.95,instant immersion spanish audio deluxe
992,final draft,289.99,final draft 7 professional scriptwriting win/mac
993,intuit,79.95,quickbooks customer manager 2.5
994,iris,149.99,irispen express translator
995,apple,499.0,apple remote desktop 3 unlim managed systems
996,school zone,9.99,time money & fractions grades 1-2
997,apple,999.0,mac os x server v10 .4.7 unlimited client
998,the learning company,19.99,reader rabbit playtime for baby and toddler
999,webroot software,49.95,spy sweeper w/antivirus family edition
1000,digital praise,39.99,dance praise with dance pad ( win/mac )
1001,encore software,39.99,printmaster 17 platinum by encore software
1002,onone software,299.95,genuine fractals genuine fractals print pro 1u
1003,apple,999.99,logic pro 6
1004,individual software,19.99,professor teaches excel & word
1005,sibelius-software-ltd .,329.0,sibelius 4 educational edition
1006,encore,19.95,terror strike
1007,hip interactive,29.99,wisdom of the bible holy land edition
1008,symantec,199.99,norton internet security 2008 10 user
1009,tri synergy,29.99,test and improve your memory ( dvd box )
1010,roxio,99.95,roxio easy media creator 9
1011,apple,199.99,logic pro 6 upgrade from logic platinum/gold 5 & 6
1012,phantom efx,9.99,reel deal slots 2.0 for pc
1013,encore,29.99,marine aquarium 2.0 ( pc & mac )
1014,encore,39.99,elementary advantage 2008
1015,finale,49.95,finale songwriter 2007
1016,topics entertainment,39.99,math success deluxe 2007
1017,topics entertainment,39.99,language lab german
1018,encore,19.99,wheel of fortune deluxe
1019,sibelius-software-ltd .,199.99,neuratron photoscore professional 4
1020,encore software,29.99,elementary school advantage 2007
1021,individual software,29.99,resumemaker professional 12.0
1022,panda software,69.95,panda internet security 2007 3-user
1023,encore software,19.99,aquarium 3 in 1 collection limited edition for win/mac
1024,punch ! software,49.99,punch super home suite 3.0
1025,e-mu,499.99,e-mu em8669 modern symphonic orchestra
1026,final draft,349.99,final draft scriptwriter 's suite [ final draft 7 & final draft av2 ]
1027,encore,9.99,q * bert
1028,emedia,600.0,makemusic finale 2007 win/mac
1029,encore software,19.99,westward
1030,final draft,199.99,final draft av 2.5 win/mac
1031,encore software,39.99,singleclick network now ! pro
1032,finale,199.95,finale allegro 2007
1033,encore software,9.99,pc professor fuji 's kakuro
1034,encore software,19.99,marine aquarium 2.5 virtual undersea paradise win/mac
1035,riverdeep,,riverdeep spongebob squarepants typing fun
1036,encore,19.95,brain food games : cranium collection 2006
1037,encore,19.95,brain food games : cranium collection 2006
1038,encore software,30.66,printmaster 17 gold by encore software
1039,encore,9.95,who wants to be a millionaire ?
1040,encore software,19.99,encore the big box of art 410 000 460001 )
1041,encore,19.99,fate
1042,onone software,,genuine fractals print pro 4.1 sharpener pro 2.0
1043,encore,9.99,monopoly tycoon
1044,encore software,19.99,hoyle puzzle & board games 2007
1045,encore,9.99,jackpot tycoon ( jewel case )
1046,riverdeep,,riverdeep kissing canines
1047,encore,9.99,game of life jc
1048,encore,19.99,monopoly platinum edition
1049,encore software,,home & business lawyer dlx 2006 by broderbund
1050,encore,39.99,middle school advantage 2008
1051,encore software,19.99,tlc clue finders math learning system sb by riverdeep
1052,the learning company,9.99,reader rabbit learn to read phonics pre kindergarten
1053,encore,39.99,high school advantage 2008
1054,encore software,19.99,professor fujis sudoku deluxe by encore
1055,encore software,29.95,high school advantage 2007
1056,encore software,,the print shop 21 standard by broderbund
1057,quark,1289.42,quarkxpress 7 for mac/win .
1058,enfocus software,199.0,pitstop pro 7.0 upgr 6.x or higher
1059,quark,899.0,quarkxpress 7 windows & macintosh )
1060,encore software,49.99,web.com site builder & hosting suite sb by web.com
1061,datawatch,,datawatch monarch v7 ntwk-starter cd most 8u fpm32c070-a08n )
1062,encore software,29.99,pc tools spyware doctor 2007 sb cs by pc tools
1063,lotus development corp,,lotus dev . ibm informix online personal edition media bb0d4na )
1064,encore software,19.99,adventure workshop 4th-6th grade 7th ed sb cs by riverdeep
1065,interplay,69.95,ares rising
1066,encore software,199.99,the print shop design suite pro ed sb cs by the print shop
1067,thq,14.99,evergirl
1068,encore software,,the print shop elements : labels & logos sb cs by the print shop
1069,encore software,19.99,hasbro family game collection 2006
1070,informatics,195.0,wasp barcode fontware w/add-ins
1071,hewlett packard,,windows xp pro nx7400 o/s
1072,encore software,,marine aquarium & goldfish screen saver by encore software
1073,humongous entertainment,19.99,backyard sports backyard basketball and backyard football
1074,encore software,99.99,family tree maker version 16 collectors edition sb cs
1075,csdc,79.99,modeless liquid ledger personal finance software ( mac )
1076,encore software,,the print shop 22 sb cs by the print shop
1077,extensis,,portfolio 8 stand-alone 1-usr boxed
1078,encore software,39.99,3d home architect home v. 8 by encore software
1079,destineer inc,29.99,tropico 2 : pirate cove ( mac )
1080,encore software,19.99,adventure workshop 4th-6th grade 7th edition
1081,smith-micro-software,79.99,stuffit deluxe v 10.0 ( mac )
1082,enfocus software,299.0,pitstop pro 7.0 upgr 5.x or below
1083,nova development,49.99,nova greeting card factory ( mac )
1084,riverdeep,,riverdeep the print shop zoom dvd
1085,freeverse software,24.95,burning monkey solitaire 4.0
1086,encore software,29.99,calendar creator platinum sb cs by riverdeep
1087,git corp,49.95,captain america the complete comic collection win/mac
