restaurant_id,rate_val,district,restaurant_category,biz_nm,business_phone,postal_address
124,658,` las vegas ',seafood,` buzio \ 's in the rio ',702-252-7697,' 3700 w. flamingo rd. '
125,659,` las vegas ',seafood,'em eril \ 's new orleans fish house ',702-891-7374,' 3799 las vegas blvd. s. '
126,660,` las vegas ',italian,` fiore rotisserie & grille ',702-252-7702,' 3700 w. flamingo rd. '
127,661,` las vegas ',continental,` hugo \ 's cellar ',702-385-4011,' 202 e. fremont st. '
128,662,` las vegas ',asian,` madame ching \ 's ',702-894-7111,' 3300 las vegas blvd. s. '
129,663,` las vegas ',chinese,` mayflower cuisinier ',702-870-8432,' 4750 w. sahara ave. '
130,664,` las vegas ',continental,` michael \ 's ( las vegas ) ',702-737-7111,' 3595 las vegas blvd. s. '
131,665,` las vegas ',` french ( new ) ',` monte carlo ',702-733-4524,' 3145 las vegas blvd. s. '
132,666,` las vegas ',chinese,moongate,702-791-7352,' 3400 las vegas blvd. s. '
133,667,` las vegas ',steakhouses,` morton \ 's of chicago ( las vegas ) ',702-893-0703,' 3200 las vegas blvd. s. '
134,668,` las vegas ',italian,` nicky blair \ 's ',702-792-9900,' 3925 paradise rd. '
135,669,` las vegas ',italian,` piero \ 's restaurant ',702-369-2305,' 355 convention center dr. '
136,670,` las vegas ',californian,` spago ( las vegas ) ',702-369-6300,' 3500 las vegas blvd. s. '
137,671,` las vegas ',steakhouses,` steakhouse the ',702-382-1600,' 128 e. fremont st. '
138,672,` las vegas ',italian,` stefano \ 's ',702-385-7111,' 129 fremont st. '
139,673,` las vegas ',eclectic,` sterling brunch ',702-739-4651,' 3645 las vegas blvd. s. '
140,674,` las vegas ',italian,` tre visi ',702-891-7331,' 3799 las vegas blvd. s. '
141,675,atlanta,continental,' 103 west ',404-233-5993,' 103 w. paces ferry rd. '
142,676,atlanta,sandwiches,` alon \ 's at the terrace ',404-724-0444,' 659 peachtree st. '
143,677,atlanta,cajun/creole,` baker \ 's cajun cafe ',404-223-5039,' 1134 euclid ave. '
144,678,atlanta,bbq,` barbecue kitchen ',404-766-9906,' 1437 virginia ave. '
145,679,atlanta,` french bistro ',` bistro the ',404-231-5733,'56 e. andrews dr. nw '
146,680,atlanta,southern/soul,` bobby & june \ 's kountry kitchen ',404-876-3872,' 375 14th st. '
147,681,atlanta,southern/soul,` bradshaw \ 's restaurant ',404-261-7015,' 2911 s. pharr court '
148,682,atlanta,vegetarian,` brookhaven cafe ',404-231-5907,' 4274 peachtree rd. '
149,683,atlanta,` health food ',` cafe sunflower ',404-256-1675,' 5975 roswell rd. '
150,684,atlanta,` american ( new ) ',canoe,770-432-2663,' 4199 paces ferry rd. '
151,685,marietta,hamburgers,` carey \ 's ',770-422-8042,' 1021 cobb pkwy . se '
152,686,marietta,hamburgers,` carey \ 's corner ',770-933-0909,' 1215 powers ferry rd. '
153,687,atlanta,steakhouses,chops,404-262-2675,'70 w. paces ferry rd. '
154,688,atlanta,chinese,chopstix,404-255-4868,' 4279 roswell rd. '
155,689,atlanta,southern/soul,` deacon burton \ 's soulfood restaurant ',404-523-1929,' 1029 edgewood ave. se '
156,690,atlanta,italian,eats,404-888-9149,' 600 ponce de leon ave. '
157,691,atlanta,eclectic,` flying biscuit the ',404-687-8888,' 1655 mclendon ave. '
158,692,atlanta,tex-mex,frijoleros,404-892-8226,' 1031 peachtree st. ne '
159,693,roswell,southern/soul,` greenwood \ 's ',770-992-5383,' 1087 green st. '
160,694,atlanta,bbq,` harold \ 's barbecue ',404-627-9268,' 171 mcdonough blvd. '
161,695,atlanta,cuban,` havana sandwich shop ',404-636-4094,' 2905 buford hwy . '
162,696,smyrna,chinese,` house of chan ',770-955-9444,' 2469 cobb pkwy . '
163,697,duluth,indian,` indian delights ',100-813-8212,' 3675 satellite blvd. '
164,698,atlanta,` coffee shops ',` java jive ',404-876-6161,' 790 ponce de leon ave. '
165,699,atlanta,american,` johnny rockets ( at ) ',770-955-6068,' 2970 cobb pkwy . '
166,700,decatur,coffeehouses,` kalo \ 's coffee house ',404-325-3733,' 1248 clairmont rd. '
167,701,atlanta,spanish,` la fonda latina ',404-303-8201,' 4427 roswell rd. '
168,702,duluth,cafeterias,` lettuce souprise you ( at ) ',770-418-9969,' 3525 mall blvd. '
169,703,atlanta,diners,majestic,404-875-0276,' 1031 ponce de leon ave. '
170,704,atlanta,steakhouses,` morton \ 's of chicago ( atlanta ) ',404-577-4366,' 303 peachtree st. ne '
171,705,atlanta,thai,` my thai ',404-636-4280,' 1248 clairmont rd. '
172,706,atlanta,southwestern,nava,404-240-1984,' 3060 peachtree rd. '
173,707,atlanta,mexican,` nuevo laredo cantina ',404-352-9009,' 1495 chattahoochee ave. nw '
174,708,atlanta,american,` original pancake house ( at ) ',404-237-4116,' 4330 peachtree rd. '
175,709,atlanta,steakhouses,` palm the ( atlanta ) ',404-814-1955,' 3391 peachtree rd. ne '
176,710,decatur,vegetarian,` rainbow restaurant ',404-633-3538,' 2118 n. decatur rd. '
177,712,atlanta,mediterranean,riviera,404-262-7112,' 519 e. paces ferry rd. '
178,713,atlanta,` coffee shops ',` silver skillet the ',404-874-1388,' 200 14th st. nw '
179,714,atlanta,japanese,soto,404-233-2005,' 3330 piedmont rd. '
180,715,atlanta,cafeterias,` thelma \ 's kitchen ',404-688-5855,' 764 marietta st. nw '
181,716,atlanta,tex-mex,tortillas,404-892-0193,' 774 ponce de leon ave. ne '
182,717,roswell,` american ( new ) ',` van gogh \ 's restaurant & bar ',770-993-1156,'70 w. crossville rd. '
183,718,atlanta,vegetarian,veggieland,404-231-3111,' 220 sandy springs circle '
184,719,atlanta,diners,` white house restaurant ',404-237-7601,' 3172 peachtree rd. ne '
185,720,` college park ',thai,zab-e-lee,404-768-2705,' 4837 old national hwy . '
186,721,` san francisco ',hamburgers,` bill \ 's place ',415-221-5262,' 2315 clement st. '
187,722,` san francisco ',californian,` cafe flore ',415-621-8579,' 2298 market st. '
188,723,` san francisco ',continental,` caffe greco ',415-397-6261,' 423 columbus ave. '
189,724,` san francisco ',mexican,` campo santo ',415-433-9623,' 240 columbus ave. '
190,725,` san francisco ',caribbean,` cha cha cha \ 's ',415-386-5758,' 1805 haight st. '
191,726,` san francisco ',american,` doidge \ 's ',415-921-2149,' 2217 union st. '
192,727,` san francisco ',diners,` dottie \ 's true blue cafe ',415-885-2767,' 522 jones st. '
193,728,` san francisco ',thai,` dusit thai ',415-826-4639,' 3221 mission st. '
194,729,` san francisco ',japanese,ebisu,415-566-1770,' 1283 ninth ave. '
195,730,` san francisco ',vietnamese,'em erald garden restaurant ',415-673-1155,' 1550 california st. '
196,731,` san francisco ',chinese,` eric \ 's chinese restaurant ',415-282-0919,' 1500 church st. '
197,732,` san francisco ',hamburgers,` hamburger mary \ 's ',415-626-1985,' 1582 folsom st. '
198,733,` san francisco ',californian,` kelly \ 's on trinity ',415-362-4454,' 333 bush st. '
199,734,` san francisco ',mexican,` la cumbre ',415-863-8205,' 515 valencia st. '
