amazon_id,music_album,song_duration,rights_info,available_date,creator,genre_classification,song_title,tune_price
127,# 38 : Battle Lines,23:36,2002 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",498 : Exactly As Planned,$ 1.99
128,# 38 : Battle Lines,22:20,2002 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",499 : Exit,$ 1.99
129,# 42 : No Way Out,23:14,2004 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","535 : Living in the Gray , Part 1 of 2",$ 1.99
130,# 42 : No Way Out,22:48,2004 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian","536 : Living in the Gray , Part 2 of 2",$ 1.99
131,# 42 : No Way Out,23:34,2004 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",538 : Stubborn Streaks,$ 1.99
132,# 42 : No Way Out,21:24,2004 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",539 : Called on in Class,$ 1.99
133,# 42 : No Way Out,24:21:00,2004 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",540 : The Girl in the Sink,$ 1.99
134,# 42 : No Way Out,24:30:00,2004 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",541 : Bernard & Saul,$ 1.99
135,# 42 : No Way Out,24:14:00,2004 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",542 : Eggshells,$ 1.99
136,# 42 : No Way Out,24:44:00,2004 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",543 : Nothing But the Half Truth,$ 1.99
137,# 42 : No Way Out,24:18:00,2004 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",544 : Split Ends,$ 1.99
138,# 42 : No Way Out,22:22,2004 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",545 : Something 's Got to Change,$ 1.99
139,# 42 : No Way Out,21:49,2004 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",546 : No Way Out ( Part 1 of 2 ),$ 1.99
140,# 42 : No Way Out,24:03:00,2004 Focus on the Family,"December 9 , 2001",Adventures in Odyssey,"Children 's , Children 's Music , Christian Contemporary Music , Christian",547 : No Way In ( Part 2 of 2 ),$ 1.99
