bev_id,brew_fac_name,beer_subtype,brew_name
1844,June Lake Brewing,American Amber / Red Ale,Archimedes Red Ale
1845,MicrocervecerÃa Rothhammer ( Handwerk Brewers Chile S.A. ),American Amber / Red Ale,Rothhammer Mosaik Red Ale
1846,SBC Restaurant & Brewery - Southport,American Amber / Red Ale,Big Head Red
1847,Northgate Brewing,American Amber / Red Ale,Winter Soldier
1848,Birra Toccalmatto,American Amber / Red Ale,Delta Red Disorder
1849,Cerveceria Principal ( Tubinger ),American Amber / Red Ale,TÃ 1/4 binger Red Ale
1850,Hops Grillhouse & Brewery,American Amber / Red Ale,Royal Amber Ale
1851,Berwick Brewing Company,American Amber / Red Ale,Arden Amber
1852,Antwerpse Brouw Compagnie N.V.,American Amber / Red Ale,Bootjes Bier
1853,Ukiah Brewing Co. .,American Amber / Red Ale,10 Guilder
1854,Prohibition Brewing Company,American Amber / Red Ale,SBA
1855,Congregation Ale House,American Amber / Red Ale,Crimson Red
1856,Whitewall Brewing Company,American Amber / Red Ale,Retread Red IPA
1857,Ruby River Steakhouse & Brewery,American Amber / Red Ale,Ruby River Ruby Red Ale
1858,El Toro Brewing Co. .,American Amber / Red Ale,El Toro Black Raspberry Ale
1859,Brasserie Mare Nostrum,American Amber / Red Ale,Mare Nostrum Prestige
1860,Appalachian Brewing Company,American Amber / Red Ale,Artie 's Amber Ale
1861,Denver Beer Co. .,American Amber / Red Ale,American Rojo
1862,Goldspot Brewing,American Amber / Red Ale,Pantalones Rojo
1863,Council Rock Brewery,American Amber / Red Ale,Sleeping Lion Red Ale
1864,Wye Valley Brewery,American Amber / Red Ale,Dorothy Goodbody 's Country Ale
1865,DESTIHL Brewery,American Amber / Red Ale,Roadblock Red Ale
1866,Storm Peak Brewing Co. .,American Amber / Red Ale,40 West
1867,Hilton Head Brewing Company,American Amber / Red Ale,Burning Man Red Ale
1868,Firetrucker Brewery,American Amber / Red Ale,2 Alarm Red
1869,Corralitos Brewing Co. .,American Amber / Red Ale,Richter Red
1870,Boulder Dam Brewing Co. .,American Amber / Red Ale,Reclamation Amber
1871,Half Door Brewing Co. .,American Amber / Red Ale,Roark 's Red Ale
1872,Two Beers Brewing Co. .,American Amber / Red Ale,Winter Hop
1873,Black Wolf Brewery,American Amber / Red Ale,Big Red
1874,Seven Bridges Grille And Brewery,American Amber / Red Ale,Simply Red
1875,Twisted Rail Brewing Company,American Amber / Red Ale,50 Shades Of Red
1876,Fulton Beer,American Amber / Red Ale,Rye Whiskey Barrel Aged Libertine
1877,MobCraft Beer,American Amber / Red Ale,Rabbit 's Bounty
1878,Veracious Brewing Company,American Amber / Red Ale,Owd Boreas
1879,North Fork Brewing,American Amber / Red Ale,Red Eye
1880,Big Axe Brewing Company,American Amber / Red Ale,Big Axe Red Ale
1881,Chain Reaction Brewing Company,American Amber / Red Ale,Orange Cream Ale
1882,Territorial Brewing Company,American Amber / Red Ale,Avenue A Amber
1883,Old Ivy Brewery and Taproom,American Amber / Red Ale,OctoberFest Ale
1884,Barrio Brewing Company,American Amber / Red Ale,Reagan 's Imperial Red
1885,Main Street Brewing Company,American Amber / Red Ale,Red Back Ale
1886,Iron Horse Brewery,American Amber / Red Ale,Brewlette
1887,Tatamagouche Brewing Co,American Amber / Red Ale,Butcher Block
1888,Thr3e Wise Men,American Amber / Red Ale,Hoggy Style Amber
1889,Mispillion River Brewing,American Amber / Red Ale,Holy Crap ! ( Batch # 2 )
1890,The Native Brewing Co. .,American Amber / Red Ale,Thunderhead Ale
1891,Four Saints Brewing Company,American Amber / Red Ale,Potter 's Clay Amber Ale
1892,Planetary Brewing Company,American Amber / Red Ale,Heliotropic
1893,Booze Brothers Brewing Co. .,American Amber / Red Ale,Green Eyed Amber
1894,Hobbs Tavern & Brewing Co. .,American Amber / Red Ale,Wakewolf Amber
1895,Bridger Brewing,American Amber / Red Ale,Opus No 1
1896,Fort Cerveza Artesanal,American Amber / Red Ale,Fort Barcelona Amber Ale
1897,El Segundo Brewing Company,American Amber / Red Ale,Devil 's Path
1898,Hoppy Brewing Co. .,American Amber / Red Ale,Red Dragon Smoked Amber Ale
1899,Les Brasseurs du Hameau,American Amber / Red Ale,D'Ham Rousse Bitter
1900,Fifty West Brewing Co,American Amber / Red Ale,Main Street Amber Ale
1901,BorÃ ¥ s Bryggeri,American Amber / Red Ale,BorÃ ¥ s Saxen MÃ ¶ rk
1902,Noble Ale Works,American Amber / Red Ale,The Irisher
1903,Sockeye Grill & Brewery,American Amber / Red Ale,Crooked Trail Harvest Ale
1904,Revival Brewing Co. .,American Amber / Red Ale,Rocky Point Red Ale
1905,Empirical Brewery,American Amber / Red Ale,Atomic Amber : Honey Hypothesis
1906,Blue Owl Brewing,American Amber / Red Ale,Van Dayum !
1907,Tent City Beer Company,American Amber / Red Ale,Molly Pitcher Imperial Red
1908,Lake Norman Brewing Company,American Amber / Red Ale,Outboard Amber Ale
1909,Mike Hess Brewing - Miramar,American Amber / Red Ale,Station Copper Ale
1910,Swans Brewpub / Buckerfield Brewery,American Amber / Red Ale,Rattenbury 's Red Ale
1911,Sun Up Brewing Co. .,American Amber / Red Ale,Sun Up Armadillo Red Ale
1912,Bosque Brewing Co. .,American Amber / Red Ale,Humo Rojo
1913,Equinox Brewing Company,American Amber / Red Ale,Borealis Winter Ale
1914,Prohibition Pig,American Amber / Red Ale,Dream Of The 90 's
1915,McKenzie Brew House,American Amber / Red Ale,Chillax
1916,Basqueland Brewing Project,American Amber / Red Ale,Arraun Amber Ale
1917,Pinglehead Brewing Co. / Brewer 's Pizza,American Amber / Red Ale,Batch 16
1918,Beara Irish Brewing Co. .,American Amber / Red Ale,Mosaic Red
1919,Thunder Canyon Brewery,American Amber / Red Ale,Morning Star Imperial Red
1920,Sisyphus Brewing,American Amber / Red Ale,Sisyphus Hoppy Amber
1921,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,Leavenworth Nosferatu Red Ale
1922,4 Noses Brewing Company,American Amber / Red Ale,Amarillo Amber Ale
1923,Baias Garagardotegia,American Amber / Red Ale,Baias Ambar
1924,August Schell Brewing Company,American Amber / Red Ale,Black Woods Forest Ale
1925,Fairhope Brewing Company,American Amber / Red Ale,Rescue Dog Red
1926,The Seven Barrel Brewery,American Amber / Red Ale,Double Red Ale
1927,Exit Brewing,American Amber / Red Ale,# 005 Amber Ale
1928,Two Rows Restaurant & Brewery,American Amber / Red Ale,Wild Red
1929,Hokkaido Brewing,American Amber / Red Ale,Otaru Bakusyu
1930,Cervezas La Virgen,American Amber / Red Ale,La Virgen Jamonera
1931,Dry Dock Brewing Co. .,American Amber / Red Ale,Poor Richard 's Ale
1932,Taps Fish House & Brewery,American Amber / Red Ale,Rubescent
1933,Lazy Boy Brewing,American Amber / Red Ale,Lazy Boy Red Ale
1934,Horse & Dragon Brewing Company,American Amber / Red Ale,Flagstone Copper Ale
1935,Big Bear Lake Brewing Company,American Amber / Red Ale,Sidewinder Red Ale
1936,Full Pint Brewing Company,American Amber / Red Ale,IRA
1937,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Badger Stripe Ale
1938,Okkara,American Amber / Red Ale,RInkusteinur
1939,North Center Brewing Company,American Amber / Red Ale,Vienna Ale
1940,Hop Nuts Brewing,American Amber / Red Ale,Papa _ ™ s Red
1941,Urban Artifact,American Amber / Red Ale,Bluesfest
1942,Cheeky Monkey Brewery,American Amber / Red Ale,Travelling Monk Red Ale
1943,Prairie Fire Brewing Co. .,American Amber / Red Ale,Red Amber
1944,Magnolia Pub & Brewery,American Amber / Red Ale,Rosebud
1945,Harviestoun Brewery Ltd. .,American Amber / Red Ale,Lowland Glen Amber ( Marks & Spencer )
1946,Pratt Street Ale House,American Amber / Red Ale,Oliver 's Summer Light Ale
1947,IronSight Brewers,American Amber / Red Ale,IronSight Amber
1948,Sweet Mullets Brewing Co. .,American Amber / Red Ale,BIRA
1949,Brasserie Artisanale Le Saint Graal,American Amber / Red Ale,Vaness
1950,& Union,American Amber / Red Ale,Berne
1951,Our Mutual Friend Malt & Brew,American Amber / Red Ale,Brett And Barrel Chinook Red
1952,Troubled Monk Brewery,American Amber / Red Ale,Accidental Amber
1953,Stella Artois,American Amber / Red Ale,Michelob Amber Bock
1954,Port City Brewing,American Amber / Red Ale,Metro Red
1955,NW Peaks Brewery,American Amber / Red Ale,Double Redoubt
1956,Dempsey _ ™ s Brew Pub & Restaurant,American Amber / Red Ale,Rick 's Red Ale
1957,Wolf Hollow Brewing Company,American Amber / Red Ale,Wolf Hollow Amber
1958,Eagle Creek Brewing Company,American Amber / Red Ale,Georgia Tea Party
1959,Dogfish Head Brewery,American Amber / Red Ale,P.A.M.
1960,Agua Mala,American Amber / Red Ale,Marea Roja
1961,Sawtooth Brewery,American Amber / Red Ale,False Summit Amber Ale
1962,North Country Brewing,American Amber / Red Ale,Triple Wide Amber
1963,MalmÃ ¶ Brewing Co,American Amber / Red Ale,Surrender MÃ ¶ nkeys
1964,Uncle Bear 's Brewery,American Amber / Red Ale,Head To Tale Amber Ale
1965,Prohibition Pig,American Amber / Red Ale,Rufous
1966,Dugges Ale - & Porterbryggeri AB,American Amber / Red Ale,Juldricka
1967,Dry City Brew Works,American Amber / Red Ale,MiracAle
1968,Wiley Roots Brewing Co,American Amber / Red Ale,Red Wiley Amber
1969,Black Diamond Brewing Co. .,American Amber / Red Ale,Crabby Bill 's Ale
1970,High Horse Brewing,American Amber / Red Ale,Velvet Amber Ale
1971,The 3 Brewers,American Amber / Red Ale,Red Cream
1972,S : t Eriks Bryggeri,American Amber / Red Ale,S : t Eriks Unite Red Ale
1973,Mammoth Brewing Company,American Amber / Red Ale,The Ahwahnee
1974,Hockley Valley Brewing Co. .,American Amber / Red Ale,Legends Of The Bay - Champlain 1615 - 2015
1975,Ornery Beer Company Public House,American Amber / Red Ale,Occoquan Oats
1976,The Hop Garden,American Amber / Red Ale,Farmstead Ale
1977,Cask & Larder,American Amber / Red Ale,The Hunter
1978,The Courtyard Brewery,American Amber / Red Ale,Nova Convention
1979,Pints Pub,American Amber / Red Ale,Phonebox Amber
1980,Grimm Brothers Brewhouse,American Amber / Red Ale,Ungrateful Son
1981,Wynkoop Brewing Company,American Amber / Red Ale,Oak-Aged Railyard
1982,Padre Island Brewing Company,American Amber / Red Ale,Tailing Red Amber
1983,Hereford & Hops Restaurant & Brewpub,American Amber / Red Ale,Cleary Red
1984,Ninkasi Brewing Company,American Amber / Red Ale,E.R.A. ( Emeralds Red Ale )
1985,Captain Lawrence Brewing Co. .,American Amber / Red Ale,Trans-Atlantic Red
1986,Empirical Brewery,American Amber / Red Ale,Atomic Amber Ale
1987,Minneapolis Town Hall Brewery,American Amber / Red Ale,New Zealand Red
1988,Ruhlman Brewery,American Amber / Red Ale,Le Wac Amber Ale
1989,New Smyrna Beach Brewing Company,American Amber / Red Ale,Inlet Amber Ale
1990,Dry Dock Brewing Co. .,American Amber / Red Ale,Nautilus American Red
1991,Aotearoa Breweries,American Amber / Red Ale,Mata Brown Boy
1992,Twain 's Billiards and Tap,American Amber / Red Ale,Twain 's Blushing Ape Oatmeal India Red
1993,Bill 's Tavern & Brewhouse,American Amber / Red Ale,Rudy 's Red
1994,Asheville Brewing Company,American Amber / Red Ale,Sister Bad Habit
1995,Flytrap Brewing,American Amber / Red Ale,Rehder 's Red
1996,Firehouse Brewing Co. .,American Amber / Red Ale,Amber Wheat
1997,Black Swan Brewpub,American Amber / Red Ale,5 Grain Red Ale
1998,Rubber Soul Brewing Co. .,American Amber / Red Ale,Urban Style Honey Ale
1999,Mash Brewing,American Amber / Red Ale,Mash Amber
2000,Island Brewing Company,American Amber / Red Ale,Hop Harvest
2001,Jacob Leinenkugel Brewing Company,American Amber / Red Ale,Starved Rock Signature Ale
2002,Bucks County Brewery,American Amber / Red Ale,Munich Autumn
2003,Wisconsin Dells Brewing Co. .,American Amber / Red Ale,Ruby Red IPA
2004,Riff Raff Brewing Company,American Amber / Red Ale,Riff Raff Stepchild American Red
2005,Paw Paw Brewing Company,American Amber / Red Ale,Gus Meister
2006,Bandwagon Brew Pub,American Amber / Red Ale,Ezra Red Ale
2007,Granite Falls Brewing Co. .,American Amber / Red Ale,Bushfire American Red
2008,Laurelwood Public House & Brewery,American Amber / Red Ale,Fire Road Red Ale
2009,The Blind Pig Brewery,American Amber / Red Ale,Blind Pig A \ x/esome Red Ale
2010,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Regatta Red
2011,Gun Hill Brewing Company,American Amber / Red Ale,Red Coat Resistance
2012,Sutter Buttes Brewing,American Amber / Red Ale,Riley 's Red Ale
2013,Sherwood Brewing Company,American Amber / Red Ale,Production Line Red
2014,Les FrÃ ¨ res Houblon Microbrasserie,American Amber / Red Ale,BiÃ ¨ re Rousse
2015,Old Firehouse Brewing,American Amber / Red Ale,Code 3
2016,Illawarra Brewing Company,American Amber / Red Ale,Illawarra Rust Amber Ale
2017,Bellevue Brewing Company,American Amber / Red Ale,Winter Ale
2018,Pivovarna in Vinska klet Vizir,American Amber / Red Ale,Vizir Lucky Luke Sexy Ale
2019,Fegley 's Bethlehem Brew Works,American Amber / Red Ale,Rockwell Red Ale
2020,Lazy Boy Brewing,American Amber / Red Ale,Redhead Imperial Red
2021,Baerlic Brewing Company,American Amber / Red Ale,Arctos
2022,Uncle Billy 's Brew & Que,American Amber / Red Ale,Elegast Belgian Red
2023,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,St. Nick 's Fix
2024,Chios Microbrewery,American Amber / Red Ale,Fresh Chios Beer
2025,Swamp Head Brewery,American Amber / Red Ale,Part Time Lubber
2026,Black Acre Brewing Co. .,American Amber / Red Ale,Red Hopper ( Imperial Red Ale )
2027,Blue Canoe Brewery,American Amber / Red Ale,Joe 's Electric Bill
2028,MIA Brewing Co. .,American Amber / Red Ale,Rye Tortugas
2029,Aslan Brewing Company,American Amber / Red Ale,Irie Eyes Red Ale
2030,ABQ Brew Pub,American Amber / Red Ale,Alien Amber Ale
2031,Manitou Brewing Co. .,American Amber / Red Ale,Tall Rev Red
2032,Angry Minnow Brewpub,American Amber / Red Ale,Redhorse Ale
2033,Station 26 Brewing Co. .,American Amber / Red Ale,Red X
2034,Hog _ ™ s Head Brewing Company,American Amber / Red Ale,Colleen 's Amber Ale
2035,Joyride Brewing Company,American Amber / Red Ale,Antelope Amber
2036,Brasserie Uberach,American Amber / Red Ale,BiÃ ¨ re AmbrÃ © e
2037,Portsmouth Brewery,American Amber / Red Ale,Portsmouth Amber Dandy
2038,Issaquah Brewhouse,American Amber / Red Ale,Salmon Days Festival 2008 Roe Ale
2039,Lookout Brewing Co. .,American Amber / Red Ale,First Run
2040,Iechyd Da Brewing Company,American Amber / Red Ale,Gumption Double Amber
2041,Mountain State Brewing Co. .,American Amber / Red Ale,FoxFire Amber Ale
2042,I & I Brewing,American Amber / Red Ale,Orange Flower Amber
2043,Tractor Brewing Co. .,American Amber / Red Ale,Tupac Cali Red Ale
2044,Figueroa Mountain Brewing Co. .,American Amber / Red Ale,Ole Mole
2045,San Fernando Brewing Co. .,American Amber / Red Ale,O'Melveny Red Ale
2046,North Sound Brewing Company,American Amber / Red Ale,Big R
2047,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Merry Prankster Imperial Red Ale
2048,Three Barrel Brewing Co. .,American Amber / Red Ale,Chill Session - Session Ale
2049,Borderlands Brewing Co. .,American Amber / Red Ale,Santa Rita
2050,Il Vicino Brewery Canteen,American Amber / Red Ale,Just Esteem
2051,Wynkoop Brewing Company,American Amber / Red Ale,Fire Roasted Amber
2052,Sixpoint Brewery,American Amber / Red Ale,Jake 's Tricky Ale
2053,Bad Beat Brewing,American Amber / Red Ale,Ante Up Amber
2054,Buffalo Bayou Brewing Co,American Amber / Red Ale,Buffalo Bayou 1836 ( Cedar )
2055,Fire On The Mountain ( F.O.T.M. ) Brewery,American Amber / Red Ale,Hoosier Amber
2056,Bayhawk Ales,American Amber / Red Ale,Lazy Dog Red
2057,Momentum Brewhouse,American Amber / Red Ale,Knee Highs
2058,Area 51 Craft Brewery,American Amber / Red Ale,Planet Red
2059,No-Li Brewhouse,American Amber / Red Ale,Simcoe Red
2060,Blue Blood Brewery,American Amber / Red Ale,Last Call
2061,Pumphouse Brewery,American Amber / Red Ale,Hot Shots Harvest Ale
2062,Braindead Brewing,American Amber / Red Ale,Braindead Red
2063,Mean Max Brew Works,American Amber / Red Ale,Artist Rock
2064,The Revolutions Brewing Company,American Amber / Red Ale,Devolution
2065,Pacific Brewing And Malting Company,American Amber / Red Ale,Red Front Amber
2066,Ellicottville Brewing Co. .,American Amber / Red Ale,EVL Amber Ale
2067,Intuition Ale Works,American Amber / Red Ale,Redman
2068,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Heartland Red
2069,Rising Sons,American Amber / Red Ale,Steeple Hemp Amber Ale
2070,Rocky Mountain Brewing,American Amber / Red Ale,Spirit Hill Amber
2071,The Brewer 's Cabinet,American Amber / Red Ale,Arlington Amber Ale
2072,Rhinelander Brewing Company,American Amber / Red Ale,Bad Hare Red Ale
2073,Imperial Oak Brewing,American Amber / Red Ale,Roil Red Eye
2074,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Mud In Your Eye Red
2075,Lone Tree Brewing Company,American Amber / Red Ale,Suburbia Amber Ale
2076,Slow Boat Brewery Taproom,American Amber / Red Ale,Knot 51 Red Ale
2077,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,Mary Jane Amber Ale
2078,Tequesta Brewing Company,American Amber / Red Ale,Hoppy Amber
2079,Sly Fox Brewing Company,American Amber / Red Ale,Blob Ale
2080,Big Axe Brewing Company,American Amber / Red Ale,Big Axe Amber Ale
2081,Oakland Brewing Company,American Amber / Red Ale,Fly Trap
2082,Redwood Lodge,American Amber / Red Ale,C N Red Imperial Red Ale
2083,Suomenlinnan Panimo Sveaborgs Bryggeri,American Amber / Red Ale,Coyet Ale
2084,51 North Brewing Company,American Amber / Red Ale,Pecan Turtle Truffle
2085,Joseph James Brewing Inc. .,American Amber / Red Ale,Backyard Brew Pub Rocking Red Chair
2086,Roosterfish Brewing Co. .,American Amber / Red Ale,Old Cascade Amber Ale
2087,Secret Engine Brewing,American Amber / Red Ale,Das Saftige
2088,Three Rivers Eatery And Brewhouse,American Amber / Red Ale,Arroyo Amber Ale
2089,Three Palms Brewing Co. .,American Amber / Red Ale,Single Hop # 3 Amber Ale W / Citra
2090,Forked River Brewing Company,American Amber / Red Ale,Red Coat Canadian Red Ale
2091,Left Coast Brewing Company,American Amber / Red Ale,Coral Reef
2092,Fieldwork Brewing Co. .,American Amber / Red Ale,Delta
2093,Brasseurs IllimitÃ © s,American Amber / Red Ale,Brasseurs IllimitÃ © s Patriote Rousse
2094,Only Child Brewing Company,American Amber / Red Ale,Sweet Tooth
2095,Shoreline Brewery And Restaurant,American Amber / Red Ale,Region Rat Red Ale
2096,Newport Beach Brewing Company,American Amber / Red Ale,Double Dry Hopped Boneyard Red Ale
2097,Florida Avenue Brewing Co. .,American Amber / Red Ale,Amber Jack
2098,Blue Corn Brewery,American Amber / Red Ale,Columbus
2099,Suds Brothers Brewery,American Amber / Red Ale,Monkeys Butt Amber Ale
2100,Bin Brewing,American Amber / Red Ale,Saskale
2101,Mad Beach Craft Brewing Company,American Amber / Red Ale,#amberAle
2102,The Brew Brothers,American Amber / Red Ale,Copperopolis
2103,Equinox Brewing Company,American Amber / Red Ale,Red Dwarf
2104,Brasserie Des Rateliers,American Amber / Red Ale,Bell ' De Loing Ambree
2105,Mu Brewery,American Amber / Red Ale,R & R Raspberry Red
2106,Sierra Nevada Brewing Co. .,American Amber / Red Ale,Love At First Bike
2107,Harmony Brewing Company,American Amber / Red Ale,Jackson 's Joy
2108,Maltus Faber,American Amber / Red Ale,Ambrata
