doc_id,author_names_list,pub_year,pub_location,pub_desc
1086,"peter m. g. apers , stefano ceri , richard t. snodgrass",2002,vldb j.,editorial
1087,"kiansing ng , huan liu , hweebong kwah",1998,sigmod conference,a data mining application : customes retention at the port of singapore authority ( psa )
1088,"vivek r. narasayya , sanjay agrawal , surajit chaudhuri",2001,sigmod conference,materialized view and index selection tool for microsoft sql server 2000
1089,"kyuseok shim , surajit chaudhuri",1999,acm trans . database syst .,optimization of queries with user-defined predicates
1090,"thomas c. rakow , klemens böhm",1994,sigmod record,metadata for multimedia documents
1091,"m. tamer özsu , stavros christodoulakis",1998,vldb j.,introduction ( special issue on multimedia databases )
1092,richard taylor,2000,vldb,concurrency in the data warehouse
1093,ling liu,2001,sigmod record,editor 's notes
1094,anil nori,2000,vldb,asera : extranet architecture for b2b solutions
1095,"s. viswanathan , b. r. badrinath , tomasz imielinski",1994,sigmod conference,energy efficient indexing on air
1096,"hanan samet , edwin h. jacox",2003,acm trans . database syst .,iterative spatial join
1097,michael j. franklin,2000,sigmod record,editor 's notes
1098,"kevin s. beyer , jayavel shanmugasundaram , chun zhang , igor tatarinov , stratis viglas , eugene j. shekita",2002,sigmod conference,storing and querying ordered xml using a relational database system
1099,"xiao qin , robert l. grossman",1994,sigmod conference,ptool : a scalable persistent object manager
1100,paolo giorgini,2003,sigmod record,agent-oriented software engineering report on the 4th aose workshop ( aose 2003 )
1101,"rajeev motwani , gurmeet singh manku",2002,vldb,approximate frequency counts over data streams
1102,"darrell woelk , munindar p. singh , christine tomlinson",1994,sigmod conference,relaxed transaction processing
1103,"mikael berndtsson , jörgen hansson",1996,sigmod record,workshop report : the first international workshop on active and real-time database systems ( artdb-95 )
1104,limsoon wong,1995,sigmod record,an introduction to remy 's fast polymorphic record projection
1105,daniel a. keim,1996,sigmod record,pixel-oriented database visualizations
1106,"hector garcia-molina , sergey melnik",2003,acm trans . database syst .,adaptive algorithms for set containment joins
1107,"heribert schütz , willem jonker",1995,sigmod conference,the ecrc multi database system
1108,"louiqa raschid , jorge lobo",1996,acm trans . database syst .,semantics for update rule programs and implementations in a relational database management system
1109,"hector garcia-molina , vlad gorelik , wilburt labio , janet l. wiener",2000,sigmod conference,efficient resumption of interrupted warehouse loads
1110,?,1995,sigmod record,calls for papers and announcements
1111,"david j. dewitt , seth j. white",1994,sigmod conference,quickstore : a high performance mapped object store
1112,"edward sciore , michael siegel , arnon rosenthal",1994,acm trans . database syst .,using semantic values to falilitate interoperability among heterogeneous information systems
1113,prakash ramanan,2003,vldb,covering indexes for xml queries : bisimulation - simulation = negation
1114,"dennis shasha , philippe bonnet",2002,sigmod conference,"database tuning : principles , experiments , and troubleshooting techniques ( part ii )"
1115,"michael j. carey , manish mehta , miron livny , kurt p. brown",1994,vldb,towards automated performance tuning for complex workloads
1116,"jurgen annevelink , tak w. yan",1994,vldb,integrating a structured-text retrieval system with an object-oriented database system
1117,"thomas seidl , hans-peter kriegel",1997,vldb,efficient user-adaptable similarity search in large multimedia databases
1118,"jiawei han , beng chin ooi , hongjun lu , kian-lee tan",1996,vldb j.,index nesting - an efficient approach to indexing in object-oriented databases
1119,özgür ulusoy,1995,sigmod record,an annotated bibliography on real-time database systems
1120,yasushi ogawa,1996,vldb,effective & efficient document ranking without using a large lexicon
1121,charu c. aggarwal,2001,sigmod record,re-designing distance functions and distance-based applications for high dimensional data
1122,"subbarao kambhampati , craig a. knoblock",2003,sigmod record,information integration on the web : a view from ai and databases ( report on iiweb-03 )
1123,"debabrata dey , sumit sarkar",1996,acm trans . database syst .,a probabilistic relational model and algebra
1124,"andreas koeller , amy j. lee , xin zhang , anisoara nica , elke a. rundensteiner , amber van wyk , yong li",1999,sigmod conference,evolvable view environment ( eve ) : non-equivalent view maintenance under schema changes
1125,"pavel zezula , paolo ciaccia , paolo tiberio",1996,acm trans . database syst .,declustering of key-based partitioned signature files
1126,"kenneth salem , arunprasad p. marathe",1999,sigmod conference,query processing techniques for arrays
1127,won kim,1994,acm trans . database syst .,charter and scope
1128,"a. prasad sistla , robert h. sloan , yelena yesha , ouri wolfson",1998,acm trans . database syst .,towards a theory of cost management for digital libraries and electronic commerce
1129,"david j. dewitt , leonidas galanis , shawn r. jeffery , yuan wang",2003,vldb,locating data sources in large distributed systems
1130,"philippe pucheral , christophe bobineau , luc bouganim , patrick valduriez , nicolas anciaux",2001,vldb,picodbms : validation and experience
1131,"jian pei , jiawei han , yiwen yin",2000,sigmod conference,mining frequent patterns without candidate generation
1132,john mylopoulos,1998,sigmod conference,panel on next generation database systems wo n't work without semantics !
1133,"robert a. nado , scott b. huffman",1997,sigmod record,extracting entity profiles from semistructured information spaces
1134,"theodore johnson , tamraparni dasu",2003,sigmod conference,data quality and data cleaning : an overview
1135,jie wu,2002,sigmod record,small worlds : the dynamics of networks between order and randomness - book review
1136,"melissa truong , louis burger , william j. mckenna , chi hoang",1996,vldb,eroc : a toolkit for building neato query optimizers
1137,"alon y. halevy , jayant madhavan",2003,vldb,composing mappings among data sources
1138,"narayanan shivakumar , hector garcia-molina , roy goldman , suresh venkatasubramanian",1998,vldb,proximity search in databases
1139,"kenneth a. ross , gail e. kaiser , luis gravano , salvatore j. stolfo , shih-fu chang",1998,sigmod record,database research at columbia university
1140,robert g. atkinson,1995,sigmod conference,use of a component architecture in integrating relational and non-relational storage systems
1141,william w. cohen,1998,sigmod conference,providing database-like access to the web using queries based on textual similarity
1142,"jennifer widom , dallan quass",1997,sigmod conference,on-line warehouse view maintenance
1143,felicity a. w. george,1998,vldb,dms : a parallel data mining server
1144,"christian s. jensen , bin cui , mong-li lee , keng lik teo , wynne hsu",2003,vldb,supporting frequent updates in r-trees : a bottom-up approach
1145,janet perna,1995,sigmod conference,leveraging the information asset
1146,"zhiyuan chen , daniel mahashin , victor cheng , kyle buza , tobias mayr , hubert siu , randolph chung , ivan oprencak , philippe bonnet , takako m. hickey , praveen seshadri , ryan kennedy",1999,sigmod conference,the cornell jaguar system : adding mobility to predator
1147,james r. hamilton,1999,vldb,networked data management design points
1148,"david b. lomet , betty salzberg , linan jiang , manuel barrena garcía",2000,vldb,the bt-tree : a branched and temporal access method
1149,"surajit chaudhuri , vivek r. narasayya",1998,sigmod conference,microsoft index tuning wizard for sql server 7.0
1150,"yannis e. ioannidis , yezdi lashkari",1994,sigmod conference,incomplete path expressions and their disambiguation
1151,"babak hamidzadeh , kamalakar karlapalem , qing li , chung-dak shum , dik lun lee , frederick h. lochovsky , beat wüthrich , alex chia-yee kean , pamela drew",1995,sigmod record,data and knowledge base research at hong kong university of science and technology
1152,"andrew nierman , h. v. jagadish",2002,vldb,protdb : probabilistic data in xml
1153,"stefan manegold , peter a. boncz , martin l. kersten",1999,vldb,database architecture optimized for the new bottleneck : memory access
1154,"s. sudarshan , siddhesh bhobe , s. seshadri , prasan roy",2000,sigmod conference,efficient and extensible algorithms for multi query optimization
1155,richard t. snodgrass,1998,sigmod record,chair 's message
1156,"yuri breitbart , gerhard weikum , radek vingralek",1994,sigmod conference,distributed file organization with scalable cost/performance
1157,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork",2003,sigmod record,the piazza peer data management project
1158,"michael pizzo , josé a. blakeley",1998,sigmod conference,microsoft universal data access platform
1159,soumen chakrabarti,2002,vldb,searching and mining fine-grained semi-structured data
1160,"z. meral özsoyoglu , philip s. yu , nick roussopoulos , krithi ramamritham , alberto o. mendelzon , richard t. snodgrass , laura m. haas , jennifer widom , jan paredaens",1998,sigmod record,reminiscences on influential papers
1161,"thomas j. e. schwarz , witold litwin",2000,sigmod conference,lh * rs : a high-availability scalable distributed data structure using reed solomon codes
1162,"peter m. schwarz , mary tork roth",1997,vldb,"do n't scrap it , wrap it ! a wrapper architecture for legacy data sources"
1163,dan suciu,1997,sigmod record,foreword : management of semistructured data
1164,"jan chomicki , david toman , michael h. böhlen",2001,acm trans . database syst .,querying atsql databases with temporal logic
1165,ramesh bhashyam,1996,vldb,"tpc-d : the challenges , issues and results"
1166,"king-ip lin , christos faloutsos",1995,sigmod conference,"fastmap : a fast algorithm for indexing , data-mining and visualization of traditional and multimedia datasets"
1167,xiaolei qian,1996,sigmod record,"shutdown , budget , and funding"
1168,"hamid pirahesh , t. y. cliff leung , s. sudarshan , praveen seshadri , divesh srivastava , raghu ramakrishnan , joseph m. hellerstein , peter j. stuckey",1996,sigmod conference,cost-based optimization for magic : algebra and implementation
1169,"gennady antoshenkov , mohamed ziauddin",1996,vldb j.,query processing and optimization in oracle rdb
1170,"giansalvatore mecca , valter crescenzi , paolo merialdo",2002,sigmod conference,roadrunner : automatic data extraction from data-intensive web sites
1171,"yannis theodoridis , alexandros nanopoulos , yannis manolopoulos",2001,vldb,c2p : clustering based on closest pairs
1172,andrew e. wade,1996,sigmod record,object query standards
1173,"márcio de carvalho , rodolfo f. resende , bruno pôssas , wagner meira jr.",2000,sigmod record,using quantitative information for efficient association rule generation
1174,"dengfeng gao , eileen tien lin , jun rao , ihab f. ilyas , guy m. lohman",2003,sigmod conference,estimating compilation time of a query optimizer
1175,"lihyuarn l. chang , edward y. chang , tim cheng",2001,sigmod conference,pbir - perception-based image retrieval
1176,"iko pramudiono , katsumi takahashi , masaru kitsuregawa , yusuke ohura",2002,vldb,experiments on query expansion for internet yellow page services using web log mining
1177,"sergio flesca , robert baumgartner , georg gottlob",2001,vldb,supervised wrapper generation with lixto
1178,"david b. lomet , jim gray , zarka cvetanovic , chris nyberg , tom barclay",1994,sigmod conference,alphasort : a risc machine sort
1179,joseph fong,1995,sigmod record,mapping extended entity relationship model to object modeling technique
1180,m. tamer özsu,1999,sigmod conference,data management issues in electronic commerce ( panel )
1181,"h. v. jagadish , shaul dar , divesh srivastava , alon y. levy",1996,vldb,answering queries with aggregation using views
1182,"cheng hian goh , kian-lee tan , beng chin ooi , d. sim",1999,vldb,ghost : fine granularity buffering of indexes
1183,sandeepan banerjee,2000,vldb,a database platform for bioinformatics
1184,"kazuyuki shimazu , sougata mukherjea , yi-leh wu , divyakant agrawal , kyoji hirata , yukiyoshi saito , quoc vu , corey bufi , wen-syan li , kevin chen-chuan chang , edward y. chang , reiko ito , yoshinori hara , yutaka kimura",1999,sigmod conference,"powerbookmarks : a system for personalizable web information organization , sharing , and management"
1185,"donovan a. schneider , marie-anne neimat , witold litwin",1996,acm trans . database syst .,"lh * - a scalable , distributed data structure"
1186,"raymond t. ng , jinhai yang",1994,vldb,maximizing buffer and disk utilizations for news on-demand
1187,"jeffrey f. naughton , kristin tufte , chun zhang , gang he , david j. dewitt , jayavel shanmugasundaram",1999,vldb,relational databases for querying xml documents : limitations and opportunities
1188,"divesh srivastava , nick koudas",2003,sigmod conference,panel : querying networked databases
1189,"limsoon wong , rona machlin , leonid libkin",1996,sigmod conference,"a query language for multidimensional arrays : design , implementation , and optimization techniques"
1190,"clement t. yu , a. prasad sistla , r. haddad",1994,vldb,reasoning about spatial relationships in picture retrieval systems
1191,"tomasz imielinski , b. r. badrinath",2002,vldb,"wireless graffiti - data , data everywhere matters"
1192,"william i. grosky , farshad fotouhi , ishwar k. sethi",1994,sigmod record,using metadata for the intelligent browsing of structured media objects
1193,"guido moerkotte , sven helmer",2003,vldb j.,a performance study of four index structures for set-valued attributes of low cardinality
1194,"christian t. ramiller , alice h. muntz",1994,vldb,a requirement-based approach to data modeling and re-engineering
1195,michael j. franklin,1997,sigmod record,editor 's notes
1196,"peter m. chen , wee teck ng",1997,vldb,integrating reliable memory in databases
1197,"achim kraiss , gerhard weikum",1997,vldb,vertical data migration in large near-line document archives based on markov-chain predictions
1198,"jaewoo kang , jeffrey f. naughton",2003,sigmod conference,on schema matching with opaque column names and data values
1199,"arthur t. whitney , dennis shasha",2001,sigmod conference,lots o ' ticks : real-time high performance time series queries on billions of trades and quotes
1200,"josep domingo-ferrer , jordi herrera-joancomartí",1998,sigmod record,an anonymous electronic commerce scheme with an off-line authority and untrusted agents
1201,ron sacks-davis,1996,vldb,the structured information manager : a database system for sgml documents
1202,rich finkelstein,1995,sigmod record,the new middleware
1203,m. moni,1996,vldb,disnic-plan : a nicnet based distributed database for micro-level planning in india
1204,"vipul kashyap , amit p. sheth",1996,vldb j.,semantic and schematic similarities between database objects : a context-based approach
1205,anil nori,2002,vldb,ebusiness standards and architectures
1206,"ramesh jain , arun hampapur",1994,sigmod record,metadata in video databases
1207,"michael l. brodie , surajit chaudhuri",1999,vldb,issues in network management in the next millennium
1208,"werner kießling , thorsten ehm , stefan holland , stefan fischer 0003",2001,sigmod conference,"cosima - your smart , speaking e-salesperson"
1209,"fereidoon sadri , laks v. s. lakshmanan , subbu n. subramanian",1999,vldb,on efficiently implementing schemasql on an sql database system
1210,"serge abiteboul , catriel beeri",1995,vldb j.,the power of languages for the manipulation of complex values
1211,"ashish kumar gupta , dan suciu",2003,sigmod conference,stream processing of xpath queries with predicates
1212,"michael gillmann , german shegalov , gerhard weikum",2001,vldb j.,xml-enabled workflow management for e-services across heterogeneous platforms
1213,yun wang,1995,vldb,db2 query parallelism : staging and implementation
1214,"nelson mendonça mattos , jim melton",1995,sigmod conference,an overview of the emerging third-generation sql standard ( tutorial )
1215,christian hidber,1999,sigmod conference,online association rule mining
1216,"louiqa raschid , laura bright",2002,vldb,using latency-recency profiles for data delivery on the web
1217,"christian hanin , roland tusch , carmen riedler , harald kosch , margit lang , lászló böszörményi , christian hofbauer , alexander bachlechner",2001,vldb,smooth - a distributed multimedia database system
1218,"david gibson , jon m. kleinberg , prabhakar raghavan",2000,vldb j.,clustering categorical data : an approach based on dynamical systems
1219,shalom tsur,2000,vldb,data mining in the bioinformatics domain
1220,"amit shukla , jeffrey f. naughton , yihong zhao , prasad deshpande",1998,sigmod conference,simultaneous optimization and evaluation of multiple dimensional queries
1221,bruce e. martin,1994,sigmod conference,coss : the common object services specifications
1222,anil nori,2000,sigmod conference,application architecture : 2tier or 3tier ? what is dbms 's role ? ( panel abstract )
1223,"jeffrey parsons , yair wand",2000,acm trans . database syst .,emancipating instances from the tyranny of classes in information modeling
1224,"zhimin chen , stelios paparizos , h. v. jagadish , laks v. s. lakshmanan",2003,vldb,from tree patterns to generalized tree patterns : on efficient evaluation of xquery
1225,"david buttler , wei tang , calton pu , wei han , ling liu",1999,sigmod conference,an xml-based wrapper generator for web information extraction
1226,"yu xu , mary f. fernandez , sihem amer-yahia , divesh srivastava",2003,sigmod conference,pix : exact and approximate phrase matching in xml
1227,"ying hu , timothy chorma , nipun agarwal , seema sundara , jagannathan srinivasan",2001,vldb,developing an indexing scheme for xml document collection using the oracle8i extensibility framework
1228,"ioana manolescu , donald kossmann , daniela florescu",2001,vldb,answering xml queries on heterogeneous data sources
1229,"manfred a. jeusfeld , mareike schoop , christoph quix",2002,sigmod record,business data management for b2b electronic commerce
1230,wolfgang may,2001,vldb,lopix : a system for xml data integration and manipulation
1231,"windsor w. hsu , alan jay smith , honesty c. young",2001,acm trans . database syst .,i/o reference behavior of production database workloads and the tpc benchmarks - an analysis at the logical level
1232,"mark d. hill , anastassia ailamaki , david j. dewitt , marios skounakis",2001,vldb,weaving relations for cache performance
1233,"reinhard pichler , georg gottlob , christoph koch",2002,vldb,efficient algorithms for processing xpath queries
1234,"david scott warren , konstantinos f. sagonas , terrance swift",1994,sigmod conference,xsb as an efficient deductive database engine
1235,"bruce bargmeyer , brad perry , jerry fowler , marian h. nodine",1999,sigmod record,agent-based semantic interoperability in infosleuth
1236,dan suciu,2002,sigmod record,the xml typechecking problem
1237,"daniele nardi , maurizio lenzerini , stefano trisolini",1999,sigmod conference,data integration and warehousing in telecom italia
1238,"ivan t. bowman , peter bumbulis",2002,sigmod conference,a compact b-tree
1239,"barbara liskov , umesh maheshwari",1997,sigmod conference,partitioned garbage collection of large object store
1240,"letizia tanca , stefano paraboschi , piero fraternali , stefano ceri",1995,acm trans . database syst .,addendum to automatic generation of production rules for integrity maintenance
1241,matthias jarke,1995,sigmod record,information systems research at rwth aachen
1242,"milind joshi , césar a. galindo-legaria",2001,sigmod conference,orthogonal optimization of subqueries and aggregation
1243,"jennifer widom , yingwei cui",2003,vldb j.,lineage tracing for general data warehouse transformations
1244,"wolfgang klas , susanne boll , bernard battaglin",1998,sigmod record,design and implementation of rmp - a virtual electronic market place
1245,"rune hjelsvold , roger midtstraum",1994,vldb,modelling and querying video data
1246,sanket atal,1996,vldb,the xps approach to loading and unloading terabyte databases
1247,"robert marek , erhard rahm",1995,vldb,dynamic multi-resource load balancing in parallel database systems
1248,"raghavan komondoor , abraham silberschatz , yuri breitbart , s. seshadri , rajeev rastogi",1999,sigmod conference,update propagation protocols for replicated databases
1249,"yufei tao , jun zhang , dimitris papadias",2002,acm trans . database syst .,cost models for overlapping and multiversion structures
1250,"wenke lee , eleazar eskin , wei fan , salvatore j. stolfo , philip k. chan",2001,sigmod record,data mining-based intrusion detectors : an overview of the columbia ids project
1251,"manuel rodriguez-martinez , nick roussopoulos",2000,sigmod conference,mocha : a self-extensible database middleware system for distributed data sources
1252,"nicola leone , robert ross , laks v. s. lakshmanan , v. s. subrahmanian",1997,acm trans . database syst .,probview : a flexible probabilistic database system
1253,"suresha , kaushik dutta , krithi ramamritham , anindya datta , helen m. thomas , debra e. vandermeer",2002,sigmod conference,proxy-based acceleration of dynamically generated content on the world wide web : an approach and implementation
1254,gary hallmark,1995,vldb,the oracle warehouse
1255,"andrew eisenberg , jim melton , susan malaika",2003,sigmod record,standards for databases on the grid
1256,"c. mohan , s. watts , ron barber , amit somani , markos zaharioudakis",2000,vldb,evolution of groupware for business applications : a database perspective on lotus domino/notes
1257,"gísli r. hjaltason , hanan samet",2003,acm trans . database syst .,index-driven similarity search in metric spaces
1258,"alex g. büchner , maurice d. mulvenna",1998,sigmod record,discovering internet marketing intelligence through online analytical web usage mining
1259,"øystein torbjørnsen , øystein grøvlen , svein-olaf hvasshovd",1998,vldb,low-cost compensation-based query processing
1260,ling liu,2003,sigmod record,editor 's notes
1261,michael stonebraker,2003,sigmod conference,visionary : a next generation visualization system for databases
1262,"peter j. haas , paul brown",2003,vldb,bhunt : automatic discovery of fuzzy algebraic constraints in relational data
1263,"dave birdsall , hedieh yaghmai , harry leslie , rohit jain",1995,vldb,efficient search of multi-dimensional b-trees
1264,jim kleewein,1996,vldb,practical issues with commercial use of federated databases
1265,"susanne englert , ray glasstone , waqar hasan",1995,sigmod record,parallelism and its price : a case study of nonstop sql/mp
1266,chris pound,1999,vldb,in cyber space no one can hear you scream
1267,"hei-wing leung , joe chun-hung yuen , edward chan , kam-yiu lam",2000,sigmod record,cache invalidation scheme for mobile computing systems with real-time data
1268,"naphtali rishe , rukshan athauda , artyom shaposhnikov , jun yuan , dmitry vasilevsky , xiaoling lu , xiaobin ma , shu-ching chen , alexander vaschillo",2000,vldb,semantic access : semantic interface for querying databases
1269,"mark levene , george loizou",1999,acm trans . database syst .,database design for incomplete relations
1270,"joseph m. hellerstein , jennifer widom",2002,sigmod conference,data streams : fresh current or stagnant backwater ? ( panel )
1271,"yirong xu , jerry kiernan , rakesh agrawal , ramakrishnan srikant",2002,vldb,hippocratic databases
1272,"gustavo alonso , bettina kemme",2000,acm trans . database syst .,a new approach to developing and implementing eager database replication protocols
1273,"moira c. norrie , hans-jörg schek , michael rys",1996,vldb,intra-transaction parallelism in the mapping of an object model to a relational multi-processor system
1274,"xiaoyang sean wang , changzhou wang",2001,vldb j.,indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches
1275,christoph bussler,2002,sigmod record,the role of b2b engines in b2b integration architectures
1276,"wolf-fritz riekert , roland mayer-föll , gerlinde wiest",1997,sigmod record,management of data and services in the environmental information system ( uis ) of baden-württemberg
1277,brad hammond,1999,sigmod conference,merge replication in microsoft 's sql server 7.0
1278,"yannis papakonstantinou , michalis petropoulos , vasilis vassalos",2002,sigmod conference,qursed : querying and reporting semistructured data
1279,"a. kumaran , jayant r. haritsa",2003,vldb,on the costs of multilingualism in database systems
1280,"craig a. knoblock , naveen ashish",1997,sigmod record,wrapper generation for semi-structured internet sources
1281,"gautam das , dimitrios gunopulos",2001,sigmod conference,time series similarity measures and time series indexing
1282,richard t. snodgrass,2000,sigmod record,chair 's message
1283,"wei wang , krzysztof koperski , yongjian fu , osmar r. zaïane , jenny chiang , jiawei han",1996,sigmod conference,dbminer : interactive mining of multiple-level knowledge in relational databases
1284,"roberta cochrane , hamid pirahesh , monica urata , markos zaharioudakis , george lapis",2000,sigmod conference,answering complex sql queries using automatic summary tables
1285,"laurent amsaleg , olivier gruber , michael j. franklin",1995,vldb,efficient incremental garbage collection for client-server object database systems
1286,"arnaud sahuguet , raman chandrasekar , zoé lacroix",1998,sigmod conference,user-oriented smart-cache for the web : what you seek is what you get !
1287,"shariq rizvi , jayant r. haritsa",2002,vldb,maintaining data privacy in association rule mining
1288,"philip a. bernstein , rachel pottinger",2003,vldb,merging models based on given correspondences
1289,nancy wiegand,2003,sigmod record,"review of spatial databases with application to gis by philippe rigaux , michel scholl , and agnes voisard . morgan kaufmann 2002"
1290,"kaizhong zhang , qicheng ma , jason tsong-li wang , xinhuan zheng , xiong wang , dennis shasha , zasha weinberg , bruce a. shapiro",2000,sigmod conference,an approximate search engine for structural databases
1291,alon y. halevy,2001,vldb j.,answering queries using views : a survey
1292,"k. selçuk candan , wen-syan li , kyoji hirata , yoshinori hara",1997,sigmod conference,semcog : an object-based image retrieval system and its visual query interface
1293,"graham cormode , flip korn , s. muthukrishnan , divesh srivastava",2003,vldb,finding hierarchical heavy hitters in data streams
1294,mark sullivan,1996,vldb,tribeca : a stream database manager for network traffic analysis
1295,"debabrata dey , veda c. storey , terence m. barron",1996,vldb j.,a complete temporal relational algebra
1296,"mustafa jarrar , peter spyns , robert meersman",2002,sigmod record,data modelling versus ontology engineering
1297,"anil nerode , colin bell , raymond t. ng , v. s. subrahmanian",1996,acm trans . database syst .,implementing deductive databases by mixed integer programming
1298,"guido moerkotte , sven helmer",1997,vldb,evaluation of main memory join algorithms for joins with set comparison join predicates
1299,"raghav kaushik , jeffrey f. naughton , surajit chaudhuri",2003,sigmod conference,on relational support for xml publishing : beyond sorting and tagging
1300,"chinya v. ravishankar , ming-ling lo",1994,sigmod conference,spatial joins using seeded trees
1301,"jianhua lv , yubin bao , hongjun lu , ge yu , guoren wang , yaxin yu",2002,sigmod conference,xbase : making your gigabyte disk queriable
1302,"ling liu , eduardo delgado assad , calton pu , renato fileto , claudia bauzer medeiros",2003,vldb j.,poesia : an ontological workflow approach for composing web services in agriculture
1303,"alejandro gutiérrez , philippe pucheral , jean-marc thévenin , hermann steffen",1994,vldb,database graph views : a practical model to manage persistent graphs
1304,"jack a. orenstein , d. n. kamber",1995,vldb,accessing a relational database through an object-oriented database interface
1305,"john a. miller , amit p. sheth , ismailcem budak arpinar , krys kochut",2001,sigmod record,research in multi-organizational processes and semantic information brokering at the lsdis lab
1306,"samuel madden , wei hong , joseph m. hellerstein",2003,sigmod record,"the sensor spectrum : technology , trends , and requirements"
1307,"georg gottlob , robert baumgartner , sergio flesca",2001,vldb,visual web information extraction with lixto
1308,"james clifford , albert croker , alexander tuzhilin",1994,acm trans . database syst .,on completeness of historical relational query languages
1309,"marvin h. solomon , yannis e. ioannidis , odysseas g. tsatalos",1994,vldb,the gmap : a versatile tool for physical data independence
1310,luca cardelli,2001,sigmod record,describing semistructured data
1311,"mark klein , abraham bernstein , chrysanthos dellarocas",1999,sigmod record,"towards adaptive workflow systems , cscw-98 workshop report"
1312,"minos n. garofalakis , banu özden , abraham silberschatz",1998,vldb j.,on periodic resource scheduling for continuous-media databases
