ref_id,publication_yr,pub_venue,authors_list,paper_name
564,2002,sigmod conference,"q luo , s krishnamurthy , c mohan , h pirahesh , h woo , b lindsay , j naughton",middle-tier database caching for e-business
565,2002,sigmod conference,"v markl , g lohman",learning table access cardinalities with leo
566,1997,sigmod record,"s chaudhuri , u dayal",an overview of data warehousing and olap technology
567,2002,sigmod conference,"x zhang , m mulchandani , s christ , b murphy , e rundensteiner",rainbow : mapping-driven xquery processing system
568,1997,,,editor 's notes
569,2002,sigmod conference,"a theobald , g weikum",the xxl search engine : ranked retrieval of xml data using indexes and ontologies
570,1997,sigmod record,"j mchugh , s abiteboul , r goldman , d quass , j widom",lore : a database management system for semistructured data
571,1997,sigmod record,"b kіnig-ries , p lockemann","research in databases and data-intensive applications - computer science department and fzi , university of karlsruhe"
572,2002,sigmod conference,"d barbosa , a mendelzon , j keenleyside , k lyons",toxgene : a template-based data generator for xml
573,2002,sigmod conference,"d abadi , m cherniack",visual coko : a debugger for query optimizer development
574,1997,sigmod record,"j frew , j dozier",data management for earth system science
575,2002,sigmod conference,"l chen , e rundensteiner , s wang",xcache : a semantic caching system for xml queries
576,1997,sigmod record,"a rosenthal , e hughes , s renner , l seligman",\ a consumer viewpoint on \ '' \ `` mediator languages - a proposal for a standard \ '' \ '' \ '' ''
577,2002,sigmod conference,"e rundensteiner , m ward , j yang , p doshi",xmdvtool : visual interactive data exploration and trend discovery of high-dimensional data sets
578,1998,,,webdb ' 98 : international workshop on the web and databases
579,2002,sigmod conference,"h lu , g wang , g yu , y bao , j lv , y yu",xbase : making your gigabyte disk queriable
580,1998,,,chair 's message
581,1998,sigmod record,"s chang , l gravano , g kaiser , k ross , s stolfo",database research at columbia university
582,2002,sigmod conference,"d florescu , a grќnhagen , d kossmann , s rost",xl : a platform for web services
583,2002,sigmod conference,"v crescenzi , g mecca , p merialdo",roadrunner : automatic data extraction from data-intensive web sites
584,1998,sigmod record,"d florescu , a levy , a mendelzon",database techniques for the world-wide web : a survey
585,1998,sigmod record,"k keeton , d patterson , j hellerstein",a case for intelligent disks ( idisks )
586,2002,,,software as a service : asp and asp aggregation
587,2002,,,tutorial : application servers and associated technologies
588,1998,sigmod record,d lomet,b-tree page size when caching is considered
589,1998,sigmod record,"t griffin , b kumar",algebraic change propagation for semijoin and outerjoin queries
590,2002,,,querying and mining data streams : you only get one look a tutorial
591,1998,sigmod record,"k cheung , a fu",enhanced nearest neighbour search on the r-tree
592,2002,sigmod conference,p cotton,implementing xquery
593,2001,sigmod conference,"m breunig , h kriegel , p krіger , j sander",data bubbles : quality preserving performance boosting for hierarchical clustering
594,1998,sigmod record,"v tsotras , c jensen , r snodgrass",an extensible notation for spatiotemporal index queries
595,1998,sigmod record,"b burton , v marek",applications of the java programming language to database management
596,2001,sigmod conference,"d rinfret , p o'neil , e o'neil",bit-sliced index arithmetic
597,2001,sigmod conference,"s chaudhuri , g das , v narasayya","a robust , optimization-based approach for approximate answering of aggregate queries"
598,1998,sigmod record,m franklin,editor 's notes
599,2001,sigmod conference,"g slivinskas , c jensen , r snodgrass",adaptable query optimization and evaluation in temporal middleware
600,1998,sigmod record,"d lomet , r barga , s chaudhuri , p larson , v narasayya",the microsoft database research group
601,1998,sigmod record,"a eisenberg , j melton",standards in practice
602,2001,sigmod conference,"c bіhm , b braunmќller , f krebs , h kriegel",epsilon grid order : an algorithm for the similarity join on massive high-dimensional data
603,2001,sigmod conference,"j chen , x zhang , s chen , a koeller , e rundensteiner",dyda : data warehouse maintenance in fully concurrent environments
604,1998,sigmod record,"g kappel , w retschitzegger",the trigs active object-oriented database system - an overview
605,2001,sigmod conference,"z nazeri , e bloedorn , p ostwald",experiences in mining aviation safety data
606,1998,,,reminiscences on influential papers
607,1998,,,krdb ' 98 : the 5th international workshop on knowledge representation meets databases
608,2001,sigmod conference,"h jagadish , h jin , b ooi , k tan",global optimization of histograms
609,1998,sigmod record,"s gatziu , a koschel , g bќltzingsloewen , h fritschi",unbundling active functionality
610,2001,sigmod conference,"s lee , k whang , y moon , i song",dynamic buffer allocation in video-on-demand systems
611,2001,sigmod conference,"j han , h jamil , y lu , l chen , y liao , j pei",dna-miner : a system prototype for mining dna sequences
612,1998,sigmod record,"c kuok , a fu , m wong",mining fuzzy association rules in databases
613,2001,sigmod conference,"a datta , k dutta , k ramamritham , h thomas , d vandermeer",dynamic content acceleration : a caching solution to enable scalable dynamic web page generation
614,1998,sigmod record,p seshadri,predator : a resource for database research
615,1998,sigmod record,n roussopoulos,materialized views and data warehouses
616,2001,sigmod conference,"m hernсndez , r miller , l haas",clio : a semi-automatic tool for schema mapping
617,1998,,,workshop report on experiences using object data management in the real-world
618,2001,sigmod conference,"m fernandez , a morishima , d suciu",efficient evaluation of xml middle-ware queries
619,2001,sigmod conference,"k candan , w li , q luo , w hsiung , d agrawal",enabling dynamic content caching for database-driven web sites
620,1998,,,report on the second ieee metadata conference ( metadata ' 97 )
621,2001,sigmod conference,"w kieпling , s holland , s 0003 , t ehm","cosima - your smart , speaking e-salesperson"
622,1998,,,chair 's message
623,1998,,,information director 's message
624,2001,sigmod conference,"l yan , r miller , l haas , r fagin",data-driven understanding and refinement of schema mappings
625,1998,sigmod record,j han,towards on-line analytical mining in large databases
626,2001,sigmod conference,"j han , j pei , g dong , k wang",efficient computation of iceberg cubes with complex measures
627,2001,sigmod conference,t maguire,catalog management in websphere commerce suite
628,1997,sigmod record,m franklin,editor 's notes
629,1998,sigmod record,a rosenthal,where will object techonology drive data administration ?
630,2001,sigmod conference,"v borkar , k deshmukh , s sarawagi",automatic segmentation of text into structured records
631,2001,sigmod conference,"a schuster , r wolff",communication efficient distributed mining of association rules
632,1998,sigmod record,p bernstein,repositories and object oriented databases
633,1998,sigmod record,"p koksal , s arpinar , a dogac",workflow history management
634,2001,sigmod conference,"c olston , b loo , j widom",adaptive precision setting for cached approximate values
635,1998,sigmod record,f manola,towards a richer web object model
636,2001,sigmod conference,"t lahiri , a ganesh , r weiss , a joshi",fast-start : quick fault recovery in oracle
637,1998,,,reminiscences on influential papers
638,2001,sigmod conference,"p godfrey , j gryz , c zuzarte",exploiting constraint-like data characterizations in query optimization
639,2001,sigmod conference,"f fabret , h jacobsen , f llirbat , j pereira , k ross , d shasha",filtering algorithms and implementation for very fast publish/subscribe
640,1998,sigmod record,"c chang , a acharya , a sussman , j saltz",t2 : a customizable parallel database for multi-dimensional data
641,2001,sigmod conference,"d buttler , l liu , c pu , h paques",ominisearch : a method for searching dynamic content on the web
642,1996,sigmod record,,act-net - the active database management system manifesto : a rulebase of adbms features
643,1996,sigmod record,"l brunie , h kosch",control strategies for complex relational query processing in shared nothing systems
644,2001,sigmod conference,"f afrati , c li , j ullman",generating efficient plans for queries using views
645,2001,,,mpeg-7 standard for multimedia databases
646,1996,sigmod record,"c gerlhof , a kemper , g moerkotte",on the cost of monitoring and reorganization of object bases for clustering
647,2001,sigmod conference,"c lang , a singh",modeling high-dimensional index structures using sampling
648,1996,sigmod record,"m norman , t zurek , p thanisch",much ado about shared-nothing
649,1996,,,report on first international workshop on real-time database systems
650,2001,sigmod conference,r meseck,"data management : lasting impact of the wild , wild , web"
651,2001,sigmod conference,"p deolasee , a katkar , a panchbudhe , k ramamritham , p shenoy",dissemination of dynamic data
652,1996,sigmod record,"w hasan , d florescu , p valduriez",open issues in parallel query optimization
653,2001,sigmod conference,"m stonebraker , j hellerstein",content integration for e-business
654,1996,sigmod record,a dogac,middle east technical university software research and development center
655,2001,sigmod conference,"m shah , s chandrasekaran","fault-tolerant , load-balancing queries in telegraph"
656,1996,sigmod record,"a biliris , e panagos",the bess object storage manager : architecture overview
657,1996,sigmod record,"a d'andrea , p janus",unisql 's next-generation object-relational database management system
658,2001,,,online query processing
659,1996,sigmod record,g colliat,"olap , relational , and multidimensional database systems"
660,2001,sigmod conference,p larson,xml data management go native or spruce up relational systems ? ( panel abstract )
661,1996,sigmod record,j widom,editor 's notes
662,2001,,,semantic b2b integration
663,1996,sigmod record,x qian,scientist 's called upon to take actions
664,2001,sigmod conference,"j goldstein , p larson","optimizing queries using materialized views : a practical , scalable solution"
665,1996,sigmod record,"ж ulusoy , a buchmann",exploiting main memory dbms features to improve real-time concurrency control protocols
666,2001,sigmod conference,"l shou , j chionh , k tan , y ruan , z huang",review : a real time virtual walkthrough system
667,1996,sigmod record,a bestavros,advances in real-time database systems research
668,2001,sigmod conference,"i tatarinov , z ives , a halevy , d weld",updating xml
669,2001,sigmod conference,"h mistry , p roy , s sudarshan , k ramamritham",materialized view selection and maintenance using multi-query optimization
670,1996,sigmod record,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",deeds towards a distributed and active real-time database system
671,1996,sigmod record,"k lin , s peng",enhancing external consistency in real-time transactions
672,2001,sigmod conference,"a gionis , d gunopulos , n koudas",efficient and tunable similar set retrieval
673,2001,sigmod conference,"e agichtein , l gravano , j pavel , v sokolova , a voskoboynik",snowball : a prototype system for extracting relations from large text collections
674,1996,sigmod record,"a silberschatz , m stonebraker , j ullman",database research : achievements and opportunities into the 21st century
675,2001,sigmod conference,"k kim , s cha , k kwon",optimizing multidimensional index trees for main memory access
676,1996,sigmod record,"d phatak , n sarda , s seshadri , s sudarshan","database research at the indian institute of technology , bombay"
677,1996,sigmod record,"k ramamritham , r sivasankaran , j stankovic , d towsley , m xiong","integrating temporal , real-time , and active databases"
678,2001,sigmod conference,"k claypool , e rundensteiner , x zhang , h su , h kuno , w lee , g mitchell","gangam - a solution to support multiple data models , their mappings and maintenance"
679,2001,sigmod conference,"e bertino , s castano , e ferrari",securing xml documents : the author-x project demonstration
680,1996,sigmod record,"t kuo , a mok",real-time database - similarity semantics and resource scheduling
681,2001,sigmod conference,"s babu , m garofalakis , r rastogi",spartan : a model-based semantic compression system for massive data tables
682,1996,sigmod record,"s son , r david , b thuraisingham",improving timeliness in real-time secure database systems
683,2001,sigmod conference,"k lam , e chan , t kuo , s ng , d hung",retina : a real-time traffic navigation system
684,1996,sigmod record,"b adelberg , b kao , h garcia-molina",overview of the stanford real-time information processor ( strip )
685,2001,sigmod conference,"m greenwald , s khanna",space-efficient online computation of quantile summaries
686,2001,sigmod conference,"d draper , a halevy , d weld",the nimble integration engine
687,1996,sigmod record,"v tsotras , a kumar",temporal database bibliography update
688,2001,sigmod conference,"c galindo-legaria , m joshi",orthogonal optimization of subqueries and aggregation
689,1996,,,workshop report : the first international workshop on active and real-time database systems ( artdb-95 )
690,2001,sigmod conference,"a deshpande , m garofalakis , r rastogi",independence is good : dependency-based histogram synopses for high-dimensional data
691,1996,sigmod record,"r baeza-yates , g navarro",integrating contents and structure in text retrieval
692,1996,sigmod record,"e freeman , d gelernter",lifestreams : a storage model for personal data
693,2001,sigmod conference,"i lazaridis , s mehrotra",progressive approximate aggregate queries with a multi-resolution tree structure
694,1996,sigmod record,a wade,object query standards
695,2001,sigmod conference,"n bruno , s chaudhuri , l gravano",stholes : a multidimensional workload-aware histogram
696,1996,sigmod record,"s urban , s dietrich , f golshani",database research at arizona state university
697,2001,sigmod conference,c mohan,application servers : born-again tp monitors for the web ? ( panel abstract )
698,1996,sigmod record,j gaffney,illustra 's web datablade module
699,2001,sigmod conference,"p kalnis , d papadias",proxy-server architectures for olap
700,1996,sigmod record,,mqseries and cics link for lotus notes
701,2001,sigmod conference,"c yu , w meng , w wu , k liu",efficient and effective metasearch for text databases incorporating linkages among documents
702,1996,sigmod record,x qian,"shutdown , budget , and funding"
703,2001,sigmod conference,"z chen , j gehrke , f korn",query optimization in compressed database systems
704,1997,sigmod record,"r kramer , r nikolai , a koschel , c rolker , p lockemann , a keitel , r legat , k zirm",www-udk : a web-based environmental meta-information system
705,2001,sigmod conference,"p bohannon , p mcilroy , r rastogi",main-memory index structures with fixed-size partial keys
706,1997,sigmod record,"a tomasic , e simon",improving access to environmental data using context information
707,2001,sigmod conference,"j navas , m wynblatt",the network is the database : data management for highly distributed systems
708,1997,sigmod record,"d abel , k taylor , d kuo",integrating modelling systems for environmental management information systems
709,2001,sigmod conference,"c aggarwal , p yu",outlier detection for high dimensional data
710,2001,sigmod conference,"f cariёo , p kostamaa , a kaufmann , j burgess","storhouse metanoia - new applications for database , storage & data warehousing"
711,1997,,,environment information systems - guest editor 's foreword
712,1997,sigmod record,"k karadimitriou , j tyler",min-max compression methods for medical image databases
713,2001,sigmod conference,"c zhang , j naughton , d dewitt , q luo , g lohman",on supporting containment queries in relational database management systems
714,2001,sigmod conference,"s chen , p gibbons , t mowry",improving index performance through prefetching
715,1997,sigmod record,"p buneman , l raschid , j ullman",mediator languages - a proposal for a standard
716,2001,sigmod conference,"s agrawal , s chaudhuri , v narasayya",materialized view and index selection tool for microsoft sql server 2000
717,1997,sigmod record,k gardels,open gis and on-line environmental libraries
718,1997,sigmod record,"w riekert , r mayer-fіll , g wiest",management of data and services in the environmental information system ( uis ) of baden-wќrttemberg
719,2001,sigmod conference,a sahuguet,\ kweelt : more than just \ '' \ `` yet another framework to query xml ! \ '' \ '' \ '' ''
720,1996,sigmod record,y ioannidis,dynamic information visualization
721,2001,sigmod conference,"l getoor , b taskar , d koller",selectivity estimation using probabilistic models
722,1996,sigmod record,c date,"a response to r. camps ' article `` domains , relations and religious wars ''"
723,2001,sigmod conference,"v hristidis , n koudas , y papakonstantinou",prefer : a system for the efficient execution of multi-parametric ranked queries
724,1997,sigmod record,x qian,opportunities in information management and assurance
725,2001,sigmod conference,"m joshi , r agarwal",mining needle in a haystack : classifying rare classes via two-phase rule induction
726,1997,sigmod record,"k doan , c plaisant , b shneiderman , t bruns",query previews for networked information systems : a case study with nasa environmental data
727,2001,sigmod conference,"p ipeirotis , l gravano , m sahami","probe , count , and classify : categorizing hidden web databases"
728,2001,sigmod conference,"r ng , a wagner , y yin",iceberg-cube computation with pc clusters
729,1996,sigmod record,"m atkinson , l daynшs , m jordan , t printezis , s spence",an orthogonally persistent java
730,2001,sigmod conference,"a doan , p domingos , a halevy",reconciling schemas of disparate data sources : a machine-learning approach
731,1996,sigmod record,"k cox , s eick , t he",3d geographic network displays
732,2001,sigmod conference,"e keogh , k chakrabarti , s mehrotra , m pazzani",locally adaptive dimensionality reduction for indexing large time series databases
733,1996,sigmod record,"m hasan , a mendelzon , d vista",applying database visualization to the world wide web
734,1996,sigmod record,"j kennedy , k mitchell , p barclay",a framework for information visualisation
735,2001,,,time series similarity measures and time series indexing
736,2001,sigmod conference,"s chawathe , t baby , j yeo",vqbd : exploring semistructured data
737,1996,sigmod record,"m rafanelli , a bezenchek , l tininini",the aggregate data problem : a system for their definition and management
738,2001,,,models and languages for describing and discovering e-services
739,1996,,,"information visualization , guest editors ' foreword"
740,2001,sigmod conference,"a whitney , d shasha",lots o ' ticks : real-time high performance time series queries on billions of trades and quotes
741,1996,sigmod record,jennifer widom,editor 's notes
742,1996,sigmod record,h darwen,"in reply to domains , relations and religious wars"
743,2001,sigmod conference,"h kriegel , a mќller , m pіtke , t seidl",spatial data management for computer aided design
744,2001,sigmod conference,"a adi , d botzer , o etzion , t yatzkar-haham",monitoring business processes through event correlation based on dependency model
745,1996,sigmod record,d keim,pixel-oriented database visualizations
746,2001,sigmod conference,"s amer-yahia , s cho , l lakshmanan , d srivastava",minimization of tree pattern queries
747,1996,sigmod record,"g santucci , l tarantino",to table or not to table : a hypertabular answer
748,2001,sigmod conference,"y wu , d agrawal , a abbadi",using the golden rule of sampling for query estimation
749,1996,sigmod record,"e tanin , r beigel , b shneiderman",incremental data structures and algorithms for dynamic query interfaces
750,2001,sigmod conference,"j gehrke , f korn , d srivastava",on computing correlated aggregates over continual data streams
751,1996,sigmod record,c ahlberg,spotfire : an information exploration environment
752,1996,sigmod record,a eisenberg,new standard for stored procedures in sql
753,2000,sigmod conference,"c aggarwal , p yu",finding generalized projected clusters in high dimensional spaces
754,1996,sigmod record,r bhashyam,"tcp-d - the challenges , issues and results"
755,2000,sigmod conference,"c palmer , c faloutsos",density biased sampling : an improved method for data mining and clustering
756,2000,sigmod conference,d lomet,high speed on-line backup when using logical log operations
757,1996,,,report from the nsf workshop on workflow and process automation in information systems
758,1996,sigmod record,j sidell,the mariposa distributed database management system
759,2000,sigmod conference,"w labio , j wiener , h garcia-molina , v gorelik",efficient resumption of interrupted warehouse loads
760,1996,sigmod record,r camps,"domains , relations and religious wars"
761,2001,sigmod conference,"t catarci , g santucci",the prototype of the dare system
762,1996,sigmod record,"j zobel , a moffat , k ramamohanarao",guidelines for presentation and comparison of indexing techniques
763,2001,sigmod conference,"e chang , t cheng , l chang",pbir - perception-based image retrieval
764,2001,sigmod conference,a rosenthal,will database researchers have any role in data security ? ( panel abstract )
765,1996,sigmod record,x qian,new programs at darpa and nsf
766,2001,sigmod conference,"b nguyen , s abiteboul , g cobena , m preda",monitoring xml data on the web
767,1996,sigmod record,j widom,editor 's notes
768,2000,sigmod conference,"j cho , n shivakumar , h garcia-molina",finding replicated web collections
769,1995,sigmod record,"c medsker , m christensen , i song",a comparison of three user interfaces to relational microcomputer data bases
770,2000,sigmod conference,"j oh , k hua",efficient and cost-effective techniques for browsing and indexing large video databases
771,1995,,,editor 's ( farewell ) notes
772,2000,sigmod conference,"s ramaswamy , r rastogi , k shim",efficient algorithms for mining outliers from large data sets
773,1995,sigmod record,"a dogac , m altinel , c ozkan , i durusoy",implementation aspects of an object-oriented dbms
774,1995,sigmod record,"k karlapalem , q li , c shum",hodfa : an architectural framework for homogenizing heterogeneous legacy database
775,2000,sigmod conference,"a szalay , p kunszt , a thakar , j gray , d slutz",designing and mining multi-terabyte astronomy archives : the sloan digital sky survey
776,2000,sigmod conference,"d gunopulos , g kollios , v tsotras , c domeniconi",approximating multi-dimensional aggregate range queries over real attributes
777,1995,sigmod record,m hanna,a close look at the ifo data model
778,1995,sigmod record,a chaudhri,an annotated bibliography of benchmarks for object databases
779,2000,sigmod conference,"s acharya , p gibbons , v poosala",congressional samples for approximate answering of group-by queries
780,2000,sigmod conference,"f waas , c galindo-legaria","counting , enumerating , and sampling of execution plans in a cost-based query optimizer"
781,1995,sigmod record,"u jaeger , j freytag",an annotated bibliography on active databases
782,2000,sigmod conference,"f wattez , s cluet , v benzaken , g ferran , c fiegel",benchmarking queries over trees : learning the hard truth the hard way
783,1995,sigmod record,"p berra , k nwosu , b thuraisingham",acm multimedia '94 conference workshop on multimedia database management systems
784,2000,sigmod conference,"m zaharioudakis , r cochrane , g lapis , h pirahesh , m urata",answering complex sql queries using automatic summary tables
785,1995,sigmod record,"t yan , h garcia-molina",information finding in a digital library : the stanford perspective
786,1995,sigmod record,x qian,"turmoil at nasa , and numerous funding announcements"
787,2000,sigmod conference,"a corral , y manolopoulos , y theodoridis , m vassilakopoulos",closest pair queries in spatial databases
788,2000,sigmod conference,"p roy , s seshadri , s sudarshan , s bhobe",efficient and extensible algorithms for multi query optimization
789,1995,sigmod record,"r kimball , k strehlo",why decision support fails and how to fix it
790,1995,sigmod record,j zhang,application of oodb and sgml techniques in text database : an electronic dictionary system
791,2000,sigmod conference,"r avnur , j hellerstein",eddies : continuously adaptive query processing
792,1995,sigmod record,b lee,normalization in oodb design
793,2000,sigmod conference,"l popa , a deutsch , a sahuguet , v tannen",a chase too far ?
794,1995,sigmod record,"s kokkotos , e ioannidis , t panayiotopoulos , c spyropoulos",on the issue of valid time ( s ) in temporal databases
795,2000,sigmod conference,"r agrawal , e wimmers",a framework for expressing and combining preferences
796,1995,sigmod record,"a gamache , n sahraoui",addressing techniques used in database object managers o2 and orion
797,2000,sigmod conference,"l forlizzi , r gќting , e nardelli , m schneider",a data model and data structures for moving objects databases
798,1995,sigmod record,"a dogac , c dengi , e kilic , g жzhan , f ozcan , s nural , c evrendilek , u halici , i arpinar , p koksal , n kesim , s mancuhan",metu interoperable database system
799,2000,sigmod conference,"h shin , b moon , s lee",adaptive multi-stage distance join processing
800,2000,sigmod conference,"l liu , c pu , d buttler , w han , h paques , w tang",aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems
801,1994,sigmod record,"w klas , a sheth",metadata for digital media : introduction to the special issue
802,1994,sigmod record,h wedekind,\ are the terms \ '' \ `` version \ '' \ '' and \ '' \ `` variant \ '' \ '' orthogonal to one another ? a critical assessment of the step standardization \ '' ''
803,2000,sigmod conference,"m gillmann , j weiпenfels , g shegalov , w wonner , g weikum",a goal-driven auto-configuration tool for the distributed workflow management system mentor-lite
804,2000,,,"proceedings of the 2000 acm sigmod international conference on management of data , may 16-18 , 2000 , dallas , texas , usa"
805,1994,sigmod record,"r jain , a hampapur",metadata in video databases
806,1994,sigmod record,"k bіhm , t rakow",metadata for multimedia documents
807,2000,sigmod conference,"v oria , m жzsu , p iglinski , s lin , b yao",disima : a distributed and interoperable image database system
808,2000,sigmod conference,"e riedel , c faloutsos , g ganger , d nagle",data mining on an oltp system ( nearly ) for free
809,1994,sigmod record,"d shin , a meltzer",a new join algorithm
810,2000,sigmod conference,"j han , j pei , y yin",mining frequent patterns without candidate generation
811,1994,sigmod record,m bertram,data modelling in the large
812,1994,,,editor 's notes and erratum
813,2000,sigmod conference,"m lakhamraju , r rastogi , s seshadri , s sudarshan",on-line reorganization in object databases
814,2000,sigmod conference,"p shenoy , j haritsa , s sudarshan , g bhalotia , m bawa , d shah",turbo-charging vertical mining of large databases
815,1994,sigmod record,"y kiyoki , t kitagawa , t hayama",a metadatabase system for semantic image search by a mathematical model of meaning
816,1995,,,trade press news
817,2000,sigmod conference,"h hsiao , i narang",dlfm : a transactional resource manager
818,1995,sigmod record,"g schlageter , t berkel , e heuel , s mittrach , a scherer , w wilkes",the database group at university of hagen ( fernuniversitaet )
819,2000,sigmod conference,r ross,expressing business rules
820,2000,sigmod conference,a jhingran,anatomy of a real e-commerce system
821,1995,sigmod record,,calls for papers and announcements
822,2000,sigmod conference,a weininger,handling very large databases with informix extended parallel server
823,1995,sigmod record,x qian,political winds change direction again
824,2000,sigmod conference,"s chen , y diao , h lu , z tian",fact : a learning based web query processing system
825,1995,sigmod record,j jannink,implementing deletion in b + - trees
826,1995,sigmod record,"s ng , s hung",multigranularity locking in multiple job classes transaction processing system
827,2000,sigmod conference,"j wang , x wang , d shasha , b shapiro , k zhang , x zheng , q ma , z weinberg",an approximate search engine for structural databases
828,2000,sigmod conference,"m jarke , c quix , d calvanese , m lenzerini , e franconi , s ligoudistianos , p vassiliadis , y vassiliou",concept based design of data warehouses : the dwq demonstrators
829,1995,sigmod record,m jarke,information systems research at rwth aachen
830,2000,sigmod conference,"h galhardas , d florescu , d shasha , e simon",ajax : an extensible data cleaning tool
831,1995,sigmod record,"h darwen , c date",the third manifesto
832,2000,sigmod conference,"w litwin , t schwarz",lh * rs : a high-availability scalable distributed data structure using reed solomon codes
833,1995,sigmod record,"t sellis , y vassiliou",the database group at national technical university of athens ( ntua )
834,1995,sigmod record,x qian,"opportunities at arpa , nsf , and elsewhere"
835,2000,sigmod conference,"r goldman , j widom",wsq/dsq : a practical approach for combined querying of databases and the web
836,1995,sigmod record,"s englert , r glasstone , w hasan",parallelism and its price : a case study of nonstop sql/mp
837,2000,sigmod conference,"m rodriguez-martinez , n roussopoulos",mocha : a self-extensible database middleware system for distributed data sources
838,1995,sigmod record,"m venkatrao , m pizzo",sql/cli - a new binding style for sql
839,2000,sigmod conference,"m lee , m kitsuregawa , b ooi , k tan , a mondal",towards self-tuning data placement in parallel database systems
840,1995,,,report on the 1995 international workshop on temporal databases
841,2000,sigmod conference,"a labrinidis , n roussopoulos",webview materialization
842,1995,sigmod record,m bіhlen,temporal database system implementations
843,2000,sigmod conference,"j chen , d dewitt , f tian , y wang",niagaracq : a scalable continuous query system for internet databases
844,1995,sigmod record,"o wolfson , a sistla , s dao , k narayanan , r raj",view maintenance in mobile computing
845,2000,sigmod conference,"t barclay , d slutz , j gray",terraserver : a spatial data warehouse
846,2000,sigmod conference,"s saltenis , c jensen , s leutenegger , m lopez",indexing the positions of continuously moving objects
847,1995,sigmod record,"r alonso , y chang , l iftode , v mani",managing video data in a mobile environment
848,2000,sigmod conference,"k salem , k beyer , r cochrane , b lindsay",how to roll a join : asynchronous incremental view maintenance
849,1995,sigmod record,"m dunham , a helal",mobile computing and databases : anything new ?
