prod_id,item_details,prod_nm,value
920,,"samsung pn63a650 63 ' widescreen 1080p plasma hdtv 1,000,000:1 dynamic contrast ratio touch of color design pn63a650t",3448.0
921,,dlo 004-0107 hybridshell ( tm ) for iphone ( tm ) 3g,
922,,15 ' lcd hdtv/dvd combo black 15lv505,
923,"21.9 ' lcd active matrix atsc , ntsc 16:9 1680 x 1050 - hdtv dvd-r , dvd-rw , cd-r , cd-rw 720p",toshiba 22lv506 22 ' tv/dvd combo,
924,"dvd-rw , cd-rw dvd video , cd-da , jpeg , wma , mp3 , pcm playback progressive scan",toshiba xd-e500 upconversion dvd player,81.96
925,"vhs , dvd-rw , cd-rw dvd video , video cd , wma , mp3 , jpeg , divx , sqpb playback 1 disc ( s ) progressive scan black",toshiba sd-v296 dvd/vcr combo,
926,10.1 megapixel 16:9 2x digital zoom 2.7 ' active matrix tft color lcd,sony cyber-shot dsc-w170 digital camera silver dscw170,
927,,jabra bt2070 bluetooth headset 100-92070000-02,
928,,"logitech dinovo edge , mac edition 920-000924",
929,,"panasonic hd 3mos 60gb hard disk drive/sd hybrid camcorder with advanced optical image stabilizer , leica lens , 12x optical zoom , 2.7 ' wide lcd and records to internal hard drive and sd card hdc-hs100k",911.96
930,,tomtom xl 330 s portable gps sysytem text to speech 4.3 ' touchscreen 1eg0 .052.01,
931,,sb-900 af speedlight w / - stnd diffsn dome flt set 4807,438.88
932,,"olympus stylus 1050 sw 10 megapixel digital camera w / 3x optical zoom , 2.7 ' lcd , waterproof , shockproof & freezeproof , tap control , & face detection black 226455",228.95
933,,"olympus sp-565 uz 10 megapixel digital camera w / 20x wide-angle optical zoom , sensor-shift image stabilization , face detection , & 13.5 fps hight-speed sequential shooting 226480",
934,,canon pixma mp480 color inkjet all-in-one photo printer 2918b002,
935,,"nikon coolpix s60 10 megapixel digital camera w / 5x optical zoom , optical vr image stabilization , 3.5 ' high res touch panel lcd , hd pictmotion slide shows , & autofocus and auto exposure pink 26132",259.88
936,10 megapixel 16:9 4x optical zoom 4x digital zoom 3 ' active matrix tft color lcd,nikon coolpix s610 digital camera midnight black 26125,
937,,"nikon coolpix p6000 13 megapixels digital camera w / 4x wide angle optical zoom , 2.7 ' hi-res lcd , optical vr image stabilization , face priority af & tv movies with sound black 26135",
938,,"nikon coolpix s710 14 megapixel digital camera w/3 .6 x optical wide-angle zoom , 3 ' lcd , smile mode , in-camera red-eye fix black 26127",307.77
939,"cyan , magenta , yellow",canon cl-211 color ink cartridge for pixma mp240 and mp480 printers 2976b001,19.37
940,,toshiba 32av502 31.5 ' widescreen 720p lcd hdtv w / cinespeed piano black 32av502u,579.0
941,,toshiba 26av502u 26 ' widescreen 720p lcd hdtv piano black,
942,,"tx-sr806b receiver ( 7.1 channels , 130 w/channel , 0.08 % thd , supports 8 devices ) txsr806b",622.17
943,,"garmin nuvi 275t 3.5 ' gps w/text to speech , bluetooth , where am i ? , connect photos 010-00576-00",245.99
944,,"garmin nuvi 265wt 4.3 ' widescreen gps w/text to speech , bluetooth , where am i ? , connect photos 010-00575-10",
945,,"garmin 265t 3.5 ' gps w/bluetooth , text to speech , where am i ? , connect photos 010-00576-10",179.95
946,4.3 ' active matrix tft color lcd,garmin nvi 755t automobile navigator 010-00715-30,364.99
947,,garmin auto nav 010-00715-20,410.95
948,lithium ion ( li-ion ) photo battery,panasonic lithium ion digital camera battery cgr-s006a / 1b,49.99
949,"dvd player , 5.1 speakers 1 disc ( s ) progressive scan 450w rms dolby digital ex , dolby pro logic , dolby pro logic ii",sony bravia dav-is50 / b home theater system,
950,,ihome ih70src 15 watt computer speakers with ipod syncing/charging dock ih70src,
951,,ihome ip47br bluetooth clock radio & speakerphone for iphone & ipod ip47br,
952,,mosquito magnet defender net ( replacement ),
953,,toshiba 40rv525u 40 ' widescreen 1080p lcd hdtv w / cinespeed piano black,710.42
954,,toshiba 42rv535u 42 ' widescreen 1080p lcd hdtv w / cinespeed piano black,789.98
955,,toshiba 52rv535u 52 ' widescreen 1080p lcd hdtv w / cinespeed piano black,
956,,electrolux stick vacuum replaces el1000a,
957,,samsung 4gb portable mltimdia plyr blk yps-s3jab / xaa,59.0
958,,blueant bluetooth hs dual mic nic 091004,99.99
959,,yamaha yas-71 front surround system yas-71bl,
960,"canon powershot sx110 is 9 megapixel digital camera w / 10x optical zoom , 3 ' lcd , iso 1600 , optical image stabilizer silver",canon powershot sx110 is digital camera silver 2666b001,
961,"canon powershot a1000 is 10 megapixel digital camera w / 4x optical zoom , 2.5 lcd , optical image stabilizer , & face detection gray",canon powershot a1000 is digital camera gray 3210b001,
962,,vmware fusion 2 vmfm20bx2,
963,black,canon cli-221 black ink cartridge 2946b001,11.99
964,gray,canon cli-221 gray ink cartridge 2950b001,11.99
965,yellow,canon cli-221 yellow ink cartridge 2949b001,11.99
966,"nikon d90 12 megapixel digital slr camera w / 3 ' lcd , live view , 18-105mm lens , 4.5 fps burst & in-camera image editing",nikon d90 digital slr camera with af-s dx nikkor 18-105mm f/3 .5 -5.6 g ed vr lens 25448,1159.88
967,,"nikon d90 12 megapixel digital slr camera w / 3 ' lcd , live view , 4.5 fps burst & in-camera image editing body only 25446",899.95
968,,canon pixma ip4600 inkjet color photo printer 2909b002,
969,"sony vaio vgc-js130j / b desktop 20.1-inch all-in-one pc -2.5 ghz intel pentium dual-core e5200 processor , 4 gb ram , 500 gb hard drive , vista premium black",sony vaio js all-in-one desktop vgcjs130j/b,1028.53
970,,"ln52a860 52 ' lcd tv ( widescreen , 1920x1080 , hdtv )",2499.99
971,"55 ' atsc , ntsc 181 channels 16:9 1920 x 1080 surround hdtv 1080p",samsung 9 series ln55a950 55 ' lcd tv,4049.98
972,,tivo tcd658000 hd xl digital video recorder,544.07
973,,canon pixma mp620 wireless photo all-in-one inkjet printer 2921b002,
974,,canon pixma mp980 wireless all-in-one color photo inkjet printer 2922b002,
975,"sony vaio rt150y all in one desktop computer 2.66 ghz intel core 2 quad 9400 processor , 8gb ram , 1tb hard drive , bd-re drive , nvidia geforce 9600m gt , 25.5 ' wuxga hd display , windows vista ultimate",sony vaio rt all-in-one desktop vgcrt150y,
976,"sony vaio vgc-lv150j desktop 24-inch all-in-one pc 2.53 ghz intel core 2 duo e7200 processor , 4 gb ram , 500 gb hard drive , blu-ray drive , windows vista home premium - silver",sony vaio lv all-in-one desktop vgclv150j,1954.27
977,"sony vaio aw series aw110jh notebook 2.26 ghz intel core 2 duo p8400 , 4gb ram , 320gb hard drive , dvd + / - rw w / blu-ray disc support , wireless 802.11 a/b/g / n , nvidia geforce 9300m , 18.4 ' xbrite-eco lcd display , webcam & mic , windows vista home premium",sony vaio aw110j/h notebook vgnaw110j/h,
978,,canon vixia hg20 high definition camcorder 3085b001aa,557.64
979,,canon vixia hg21 high definition camcorder 2704b001aa,798.97
980,"canon dc310 dvd camcorder w / 41x advanced zoom , built-in lens cover , image stabilization , & canon exclusive - digic dv ii",canon dc310 digital camcorder 2694b001,289.95
981,,sony icf-s79w weather band digital shower radio icfs79w,42.0
982,"dvd + rw , dvd-rw , dvd + r , dvd-r , cd-rw dvd video , cd-da , jpeg , mp3 , svcd , video cd playback 5 disc ( s ) progressive scan silver",sony dvp-nc800h / s dvd player dvp-nc800hs,128.69
983,"19 ' atsc , ntsc 16:9 1440 x 900 dolby hdtv 1080i , 1080p",sony bravia m series kdl-19m4000 19 ' lcd tv kdl19m4000s,379.72
984,,ge gsd4000nww dishwasher with 5 wash cycles std tub estar ( white ) gsd4000nww,313.29
985,,ge gsd2400nww dishwasher with 5 wash cycles gsd2400nww,272.01
986,,4g nano toughskin black nn4-ts-blk,18.58
987,"sony vaio cs series cs110e/r notebook intel core 2 duo t5800 2.0 ghz , 3gb , 250gb hdd , 14.1 ' widescreen , dvd + / - rw dl , bluetooth , 802.11 a/b/g / n , microsoft vista home premium ( red )",sony vaio cs110e/r notebook vgncs110e/r,965.0
988,"46 ' atsc , ntsc 181 channels 16:9 1920 x 1080 surround hdtv 1080p",samsung 9 series ln46a950 46 ' lcd tv,2699.98
989,"dolby digital plus , dolby truehd , dts-hd , thx select 2fm , am , xm",onkyo tx-sr706 a/v receiver txsr706b,595.97
990,"sony vaio ns series ns190js notebook 2ghz intel core 2 duo t5800 , 4gb ram , 250gb hard drive , dvd + / - r/rw w / blu ray support , wireless link 5100agn , intel graphics media accelerator 4500mhd , 15.4 ' wxga lcd display , windows vista home premium ( silver )",sony vaio ns190j/s notebook vgnns190j/s,949.99
991,"canon powershot sx10 is 10 megapixel digital camera w / 20x optical zoom , 28mm wide lens , 2.5 ' lcd , motion detection , & red eye correction",canon powershot sx10 is digital camera 2665b001,339.88
992,"canon powershot sd880 is 10 megapixel digital camera w / ua lens , 4x optical zoom , 28mm wide lens , optical image stabilizer , & purecolor ii 3 ' lcd silver",canon powershot sd880 is digital camera silver 3197b001,246.88
993,,"canon powershot sd990 is 14 megapixel digital camera w / 3.7 x optical zoom , ua len , face detection , 2.5 lcd , & iso 1600 black 2669b001",299.88
994,,"canon powershot g10 14 megapixel digital camera w / 28mm wide lens , 5x optical zoom , 3 ' lcd , face detection & red eye correction 2663b001",409.88
995,1gb flash memory pink,apple ipod shuffle 1gb flash mp3 player mb811ll/a,49.0
996,,"nokia n96 unlocked phone 16gb , 5mp camera with carl zeiss optics and dual-led flash and auto-focus , built-in gps , wifi , 002g6q3",
997,leather black,belkin folio for ipod touch f8z373,19.99
998,polycarbonate black,griffin 8245-ip2mgnfi clarifi protective case for smartphone,18.99
999,,"samsung ln46a860 46 ' lcd tv ( widescreen , 1920x1080 , 50000:1 , hdtv )",1889.98
1000,,"canon powershot sd990 is 14 megapixel digital camera w / 3.7 x optical zoom , ua len , face detection , 2.5 lcd , & iso 1600 silver 3191b001",299.88
1001,,applecare for ipod touch or ipod classic mb591ll/a,49.99
1002,"audio player , video player , photo viewer 3.5 ' color lcd 32gb flash memory",apple ipod touch 32gb flash portable media player mb533ll/a,394.99
1003,"audio player , video player , photo viewer 2.5 ' color lcd 120gb hard drive silver",apple ipod classic 120gb hard drive portable media player mb562ll/a,219.97
1004,,apple 8gb ipod nano silver ( 4th generation ) mb598ll/a,146.75
1005,,apple 8gb ipod nano blue ( 4th generation ) mb732ll/a,146.75
1006,,apple 8gb ipod nano pink ( 4th generation ) mb735ll/a,146.75
1007,,apple 8gb ipod nano purple ( 4th generation ) mb739ll/a,146.75
1008,,apple 8gb ipod nano green ( 4th generation ) mb745ll/a,139.88
1009,"audio player , video player , photo viewer 2.5 ' color lcd 120gb hard drive black",apple ipod classic 120gb hard drive portable media player mb565ll/a,219.97
1010,,apple 8gb ipod nano black ( 4th generation ) mb754ll/a,146.75
1011,"audio player , video player , photo viewer 2 ' color lcd 16gb flash memory green",apple ipod nano 16gb flash portable media player mb913ll/a,178.99
1012,"panasonic dmc-fz28k lumix 10 megapixel digital camera with 27mm leica dc vario-elmarit lens , 18x optical zoom and intelligent auto mode black",panasonic lumix dmc-fz28 digital camera black,
1013,,usb power adapter accs mb352ll/b,
1014,1 x usb 1 x usb 8ft white,belkin switch-to-mac cable f4u001,21.8
1015,"audio player , video player , photo viewer 3.5 ' color lcd 8gb flash memory",apple ipod touch 8gb flash portable media player mb528lla,229.0
1016,"audio player , video player , photo viewer 3.5 ' color lcd 16gb flash memory",apple ipod touch 16gb flash portable media player mb531lla,309.99
1017,,"canon eos 50d 15 megapixel slr digital camera with live view & face detection , 3 ' lcd , 6.3 fps & digic 4 image processor body only 2807b006",1127.95
1018,,"canon eos 50d 15 megapixel slr digital camera w/28 -135 mm is usm lens , live view & face detection , 3 ' lcd , 6.3 fps , digic 4 image processor & hdmi output 2807b005",1301.3
1019,"15 ' active matrix tft atsc , ntsc 16:9 1280 x 800 hdtv",coby electronics tf-tv1514 15 ' lcd tv,149.99
1020,,"lg 42pg20 42 ' widescreen 720p plasma hdtv 20,000:1 dynamic contrast ratio",
1021,,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,1098.72
1022,photo viewer 8 ' lcd,sony dpfd80 digital photo frame,
1023,,transcend 2.5 solid state disk ( ssd ) 128gb sata mlc with build-in ecc ts128gssd25s-m,
1024,,vholdr 2200 mount adhesive ( black ),
1025,"dolby pro logic iix , dolby digital ex , dts-es discrete , dts-es matrix , dts neo :6 , dolby truehd , dolby digital plus , neural surroundam , fm",denon avr2809ci a/v receiver,1198.0
1026,,"th-58pz850u 58 ' plasma tv ( widescreen , 1920x1080 , 30,000:1 , hdtv ) th58pz850u",2999.97
1027,,motorola t305 bluetooth visor speaker phone car kit retail 89082j,46.93
1028,,aliph jawbone 2 silver bluetooth headset retail 84442vrp,89.99
1029,,"sony vaio cs series vgn-cs180j / w 14.1-inch notebook 2.26 ghz intel core 2 duo p8400 processor , 4 gb ram , 320 gb hard drive , blu-ray drive , vista home premium - white vgncs180j/w",1219.0
1030,"sony vaio cs series vgn-cs180j / q 14.1-inch notebook 2.26 ghz intel core 2 duo p8400 processor , 4 gb ram , 320 gb hard drive , blu-ray drive , vista home premium - black",sony vaio cs180j/q notebook vgncs180j/q,1239.97
1031,"sony vaio cs series vgn-cs180j / p 14.1-inch notebook 2.26 ghz intel core 2 duo p8400 processor , 4 gb ram , 320 gb hard drive , blu-ray drive , vista home premium - pink",sony vaio cs180j/p notebook vgncs180j/p,1199.99
1032,,"sony vaio cs series vgn-cs180j / r 14.1-inch notebook 2.26 ghz intel core 2 duo p8400 processor , 4 gb ram , 320 gb hard drive , blu-ray drive , vista home premium - red vgncs180j/r",
1033,,sony ipod/phone dock clock radio black nic icfc1ipmk2blk,80.25
1034,,sony ipod/phone dock clock radio black nic icfc1ipmk2whi,61.42
1035,,ih9b6r black alarm clock f/ipodperpcharges docked ipod remote control,
1036,,sony bdv-is1000 blu-ray disc home-theater system precision cinema hd via hdmi upscaler bravia theatre sync direct key x.v.color xmb xross media bar 800hz cutoff frequency,
1037,"intel core 2 duo 2.4 ghz 13.3 ' wxga 2gb ddr3 sdram 250gb hdd dvd-writer ( dvdr/rw ) gigabit ethernet , wi-fi , bluetooth mac os x 10.5 leopard",apple macbook notebook mb467lla,1549.99
1038,,vholdr wearable camcorder ( black ) 1102,
1039,"bd-re , dvd + rw , dvd-rw , cd-rw bd video , dvd video , jpeg , cd-da , mpeg-2 , vc-1 , ac3 , lpcm playback progressive scan",sharp aquos bd-hp21u blu-ray disc player,218.63
1040,"bd-re , dvd + rw , dvd-rw , cd-rw bd video , dvd video , cd-da , jpeg , vc-1 , mpeg-2 , ac3 , lpcm playback progressive scan",sharp aquos bd-hp50u blu-ray disc player,266.96
1041,,sharp lc-52d85u 52 ' widescreen 1080p lcd hdtv 120hz 4ms response time,1648.72
1042,,battery and bag bundle for panasonic camcorders vbg-vbb1strkit,
1043,"42 ' active matrix tft atsc , ntsc 16:9 1920 x 1080 hdtv 1080p",sharp aquos lc-42d85u 42 ' lcd tv,1076.65
1044,,escort passport 9500ix radar/laser detector,439.99
1045,,kitchenaid kpfp850ob food processor,
1046,,chestnut hill chs40001 chestnut hill george ipod dock compact stereo system,499.0
1047,,escort 9500ci escort gps radar detector,1475.99
1048,512mb flash memory lcd portable,sony icd-b600 512mb digital voice recorder icdb600,30.45
1049,,canon psc-4000 deluxe leather case n 3528b001,35.99
1050,,canon cli-221 color ink 4-pack ( black / cyan / magenta / yellow ) 2946b004,44.99
1051,1920 x 1080 22.05 lb,sony bravia vpl-hw10 digital projector vplhw10,
1052,"intel core 2 duo 2.53 ghz 15.4 ' wxga + 4gb ddr3 sdram 320gb hdd dvd-writer ( dvdr/rw ) gigabit ethernet , wi-fi , bluetooth mac os x 10.5 leopard",apple macbook pro notebook mb471ll/a,2369.0
1053,,altec lansing imt702 inmotion max portable speaker system for iphone,133.96
1054,,transcend 8gb microsdhc card class 6 ts8gusdhc6,14.95
1055,,flip video minohd 60 min black f460b,232.5
1056,,samsung bdp2500 bd-p2500,301.05
1057,"bd-r , dvd-r , cd-r , secure digital ( sd ) bd video , dvd video , wma , mp3 , divx 6 , jpg playback progressive scan",denon dvd-1800bd blu-ray disc player,499.0
1058,21.1 megapixel 16:9 3 ' active matrix tft color lcd,canon eos 5d mark ii digital slr camera 2764b003,3699.99
1059,,canon rebel xsi/xs starter kit 9320a009,69.99
1060,"dolby digital , dolby truehd , dts-hd , dolby digital ex , dolby digital plus , dolby pro logic ii , dolby truehd , dts , dts-es , dts neo :6 , thx surround ex , thx select 2fm , am",onkyo tx-sr876 a/v receiver txsr876b,1077.98
1061,"thx ultra 2 , dolby digital plus , dolby truehd , dts-hd , neural surroundfm , am",onkyo tx-nr906 a/v receiver txnr906b,1497.99
1062,,denon dm37sbk d-m37sbk,288.76
1063,"am , fm",onkyo tx-8255 a/v receiver,159.98
1064,", a/v receiver , 5.1 speakers dolby pro logic ii , dts",denon dht-589ba home theater system,448.8
1065,"lg 42lg30 42 ' lcd hdtv 12,000:1 dynamic contrast ratio invisible speaker",lg 42lg30 42 ' lcd tv,
1066,( double-layer ) dvd-ram/r/rw 8x 8x 8x ( dvd ) 24x 16x 24x ( cd ) usb external,apple 8x dvdrw drive mb397g/a,95.71
1067,"intel core 2 duo 2.4 ghz 15.4 ' wxga + 2gb ddr3 sdram 250gb hdd dvd-writer ( dvdr/rw ) gigabit ethernet , wi-fi , bluetooth mac os x 10.5 leopard",apple macbook pro notebook mb470ll/a,1849.0
1068,grey,apple ipod nano armband mb769g/a,29.0
1069,,polk audio i-sonic es2 entertainment system 2 am/fm and hd table radio am1195-a,336.71
1070,,samsung sbh500 stereo bluetooth headset,49.72
1071,photo viewer 10 ' lcd,sony dpfd100 digital photo frame,249.12
1072,,danby dbc2760bls 5.0 cu.ft beverage center 27 bottle wine cooler,1000.0
1073,,danby ddw497w countertop dishwasher,247.05
1074,lcd,sony xdr-s10hdip clock radio with ipod dock xdrs10hdip,149.95
1075,,panasonic kx-tg9391t dect 6.0 two-line corded/cordless phone combo kx-tg9391t,149.72
1076,"46 ' active matrix tft atsc , ntsc 16:9 1920 x 1080 dolby , surround hdtv 480i , 480p , 720p , 1080i , 1080p",sony bravia xbr series kdl-46xbr6 46 ' lcd tv kdl46xbr6,1977.72
1077,"52 ' active matrix tft atsc , ntsc 16:9 1920 x 1080 dolby , surround hdtv 480i , 480p , 720p , 1080i , 1080p",sony bravia xbr series kdl-52xbr6 52 ' lcd tv kdl52xbr6,2573.72
1078,,audiovox dpf701 7-inch acrylic digital picture frame,41.4
1079,,pan nn-tk903s microwave oven .08 cu . ft.,
1080,"intel core 2 duo e7200 2.53 ghz 4gb ddr2 sdram 320gb dvd-writer ( dvd-ram/r/rw ) gigabit ethernet , bluetooth , wi-fi 24 ' active matrix tft color lcd windows vista home premium x64 all-in-one",sony vaio lv140j desktop vgc-lv140j,1599.99
1081,,simpletech 2gb sd card 3505b001aa,12.88
1082,,garmin 010-00577-30 nvi ( r ) 885t travel assistant,
1083,,samsung ln32a450 32 ' 720p lcd hdtv,
1084,,maytag mdb7851awb full console dishwasher ( black ),
1085,,whirlpool du1100xtps 24 ' undercounter dishwasher ( stainless steel ),537.29
1086,,canon xh a1s 3238b001,3999.0
1087,"intel centrino 2 core 2 duo p8600 2.4 ghz 16.4 ' 4gb ddr2 sdram 320gb hdd bd-reader/dvd-writer ( bd-rom/dvd-ram/r / rw ) wi-fi , gigabit ethernet , bluetooth windows vista home premium x64 black",sony vaio fw378j/b notebook vgnfw378j/b,
1088,,sennheiser cx380 sennheiser cx 380 sport ii grey/orange,
1089,,iwork 09 retail-int dvd mb942z/a,
1090,,iwork 09 family pack-int dvd mb943z/a,
1091,,case mate carbon fiber iphone 3g case black iph3gc-bcf,28.08
