beer_key,beer_class,beer_alc_content,brew_product,brewery_factory
2676,American Amber / Red Ale,3.90 %,Homefield 5,Kretschmann Brewing Company
2677,American Amber / Red Ale,6.00 %,Coccinati Red Wheat,People 's Brewing Company
2678,American Amber / Red Ale,3.80 %,Border Bitter,The Untapped Brewing Co. .
2679,American Amber / Red Ale,5.50 %,No Soul Red,Intracoastal Brewing Company
2680,American Amber / Red Ale,5.50 %,Busy Bee,De Garve
2681,American Amber / Red Ale,5.40 %,Little Tenderness,Little Beer Coporation
2682,American Amber / Red Ale,-,Rock Slide Amber,Elk Mountain Brewing
2683,American Amber / Red Ale,-,Big Wind Amber,Alligator Brewing Company
2684,American Amber / Red Ale,-,Boscos Kung Fu,Boscos Restaurant & Brewing Co. .
2685,American Amber / Red Ale,4.40 %,Levitation With Darjeeling & Ginger,Stone Brewing Co. .
2686,American Amber / Red Ale,-,Armstrong Amber,Roseville Brewing Company
2687,American Amber / Red Ale,5.00 %,Maltz & Waltz,De Garve
2688,American Amber / Red Ale,6.50 %,Get To The Root,Whole Foods - Post Oak
2689,American Amber / Red Ale,5.00 %,Hearthstone Red Rye Ale,Hearthstone Brewery
2690,American Amber / Red Ale,6.70 %,Mighty Mullet,Plymouth Brewing Company
2691,American Amber / Red Ale,4.20 %,Wild North Summer Session Ale,Lake of Bays Brewing Company
2692,American Amber / Red Ale,-,Redshift Red Ale,Wavelength Brewing Company
2693,American Amber / Red Ale,8.00 %,Big Amber Gnome,HeinzelmÃ $ nnchen Brewery
2694,American Amber / Red Ale,6.10 %,Urban Amber,Bull & Barrel Brew Pub
2695,American Amber / Red Ale,5.20 %,Whipstall West Coast Amber,Iron Bird Brewing Co. .
2696,American Amber / Red Ale,-,DÃ © gagÃ © Ale,Great Black Swamp Brewing Co. .
2697,American Amber / Red Ale,6.00 %,San Rafael Red Ale,Broken Drum Brewery And Wood Grill
2698,American Amber / Red Ale,9.00 %,Venomous Imperial Honey Ale - Brandy Barrel-Aged,Fegley 's Bethlehem Brew Works
2699,American Amber / Red Ale,8.50 %,Burning Down The House,Twelve Bar Brews
2700,American Amber / Red Ale,7.40 %,British Knight Scotch Red Ale,Oskar Blues Grill & Brew
2701,American Amber / Red Ale,-,Stranger Danger,Flat 12 Bierwerks
2702,American Amber / Red Ale,3.90 %,Devil 's Garden,Frodsham Brewery
2703,American Amber / Red Ale,5.50 %,Rousse Svelte,LagabiÃ ¨ re Brasserie Artisanale
2704,American Amber / Red Ale,-,Hose Co 1 Red Lager,Twisted Chile Brewing Company
2705,American Amber / Red Ale,-,Roughneck Red Ale,Ten Sleep Brewing Company
2706,American Amber / Red Ale,-,The Amarillo Chainsaw Massacre,Broadhead Brewing Company
2707,American Amber / Red Ale,4.90 %,Marks And Spencer Cornish Red Ale,St. Austell Brewery
2708,American Amber / Red Ale,5.40 %,7-Spot Amber Ale,Stormcloud Brewing Company
2709,American Amber / Red Ale,6.50 %,Outlaw IPA,Small Batch Beer Co. .
2710,American Amber / Red Ale,4.80 %,Redwood,Grain Brewery
2711,American Amber / Red Ale,6.00 %,Capricieuse,LagabiÃ ¨ re Brasserie Artisanale
2712,American Amber / Red Ale,5.20 %,Brother Paul 's Amber Ale,Clayton Brewing Co. .
2713,American Amber / Red Ale,-,Red Rooster Amber,August Schell Brewing Company
2714,American Amber / Red Ale,5.10 %,Destinatian Honey Red Ale,Natian Brewery
2715,American Amber / Red Ale,5.50 %,Naughty Amber,Fat Unicorn Brewery
2716,American Amber / Red Ale,5.00 %,Amethyst Amber Ale,Sleeping Giant Brewing Co. .
2717,American Amber / Red Ale,5.20 %,Mother Plunker,DuVig Brewing Co. .
2718,American Amber / Red Ale,5.00 %,Extra Special Red Ale,Alpha Brewing Company
2719,American Amber / Red Ale,5.00 %,Loggerhead Red,Marco Island Brewery
2720,American Amber / Red Ale,5.60 %,Amber Lager,Smithworks Brewing Company
2721,American Amber / Red Ale,5.00 %,Scintilla Sweet Tea Ale,Legal Remedy Brewing
2722,American Amber / Red Ale,4.20 %,Summer Session Ale,Elk Creek Cafe + Aleworks
2723,American Amber / Red Ale,5.40 %,Hogfish Amber,Florida Keys Brewing Co. .
2724,American Amber / Red Ale,-,Aiken American Red Pale Ale,Aiken Brewing Company
2725,American Amber / Red Ale,6.60 %,Viola Rossa,Birra Arduini
2726,American Amber / Red Ale,5.90 %,Road Rider,Oblivion Brewing Co. .
2727,American Amber / Red Ale,-,Amber Earl,Fetch Brewing Company
2728,American Amber / Red Ale,6.00 %,L'Aviateur,La Tour A BiÃ ¨ res
2729,American Amber / Red Ale,4.30 %,Ratsherrn Backbord Red Ale,Ratsherrn Brauerei GmbH
2730,American Amber / Red Ale,6.20 %,Otter Creek Amber,Kassik 's Kenai Brew Stop
2731,American Amber / Red Ale,6.40 %,R.I.P.A.H,Black Bear Brewery
2732,American Amber / Red Ale,6.00 %,Manchester Red,Franklin Street Brewing Company
2733,American Amber / Red Ale,-,Flanders Red Ale,Boston Beer Company ( Samuel Adams )
2734,American Amber / Red Ale,-,Wave,Brooksville Brewing Company
2735,American Amber / Red Ale,5.00 %,Legends Of The Bay - Ghosts Of Hope Island,Hockley Valley Brewing Co. .
2736,American Amber / Red Ale,8.10 %,Rude Girl,Burley Oak Brewery
2737,American Amber / Red Ale,6.60 %,Bretter Off Red,Refuge Brewery
2738,American Amber / Red Ale,4.30 %,Daywalker,Brew Detroit
2739,American Amber / Red Ale,6.50 %,Swayze In The Morning,Fairhope Brewing Company
2740,American Amber / Red Ale,5.00 %,Amber Eh !,Niagara Brewing Company
2741,American Amber / Red Ale,5.00 %,Northmaen Ambree,Brasserie De La Chapelle
2742,American Amber / Red Ale,5.00 %,Thirsty Dog Natural Ale,Thirsty Dog Tavern & CafÃ ©
2743,American Amber / Red Ale,6.00 %,Bonnie Heather Amber,Kilted Dragon Brewing
2744,American Amber / Red Ale,5.50 %,Summertime Ale,Milwaukee Brewing Company
2745,American Amber / Red Ale,5.80 %,Crimson King,B.O.B. 's Brewery
2746,American Amber / Red Ale,6.50 %,Andromeda,Rising Tide Brewing Company
2747,American Amber / Red Ale,5.90 %,Saint Annes Amber,The Dayton Beer Company
2748,American Amber / Red Ale,5.00 %,Helluva Honey,Kimo 's Sports Bar
2749,American Amber / Red Ale,11.00 %,Red Beard,Three Mugs Brewing
2750,American Amber / Red Ale,5.30 %,Fort Ann 's Amber,Battle Hill Brewing Company
2751,American Amber / Red Ale,5.50 %,Spencer Creek Amber Ale,Mia & Pia 's Pizzeria And Brewhouse
2752,American Amber / Red Ale,5.40 %,Cliff 's Amber,Vashon Brewing Company
2753,American Amber / Red Ale,5.70 %,Scarlet Letter Red,Willimantic Brewing Co. .
2754,American Amber / Red Ale,6.50 %,Rita Raisin Red Ale,Amante Brew Company
2755,American Amber / Red Ale,-,Morning Wood Red Ale,Cool Springs Brewery
2756,American Amber / Red Ale,3.80 %,Steam Beer,Sonnet 43 Brew House
2757,American Amber / Red Ale,7.30 %,Centennial Amber,Frisco Taphouse & Brewery
2758,American Amber / Red Ale,4.50 %,C-Red,Wheaty Brewing Corps
2759,American Amber / Red Ale,6.20 %,Rampart Red,Refuge Brewery
2760,American Amber / Red Ale,-,F8 Crusader IRA,Flyers Restaurant And Brewery
2761,American Amber / Red Ale,5.80 %,Autumn Amber,Cloud 9 Brewery
2762,American Amber / Red Ale,6.90 %,L'AmbrÃ © e Des FÃªtes,Les 3 Brasseurs
2763,American Amber / Red Ale,6.10 %,La Tourangelle,Brasserie de l'Aurore
2764,American Amber / Red Ale,5.20 %,Willimantic Riverfest Red,Willimantic Brewing Co. .
2765,American Amber / Red Ale,-,Gold Dredge Red,Gold Rush Brewery
2766,American Amber / Red Ale,-,Autumn Session,North Country Brewing
2767,American Amber / Red Ale,6.00 %,Honey Run Sun Amber,Millersburg Brewing Company
2768,American Amber / Red Ale,3.80 %,ISA Rousse,Microbrasserie Archibald
2769,American Amber / Red Ale,5.90 %,Florida Wildflower Unite Red Ale,Daytona Beach Brewing Company
2770,American Amber / Red Ale,6.00 %,Road Rash Red,Tandem Brewing Company
2771,American Amber / Red Ale,9.00 %,El Tormento,Red Eye Brewing Company
2772,American Amber / Red Ale,5.80 %,Virginia Harvest Ale,Tin Cannon Brewing Company
2773,American Amber / Red Ale,4.80 %,Molly Pitcher ( Wicked Women Series ),Brewster 's Brewing Co Ltd
2774,American Amber / Red Ale,-,Red Headed Stepchild Irish Red,Paradise Brewing Supplies Brewery & Taproom
2775,American Amber / Red Ale,6.00 %,Elk Head Extra,Elk Head Brewing Company
2776,American Amber / Red Ale,7.00 %,Hop Crazed Squirrel,Smog City Brewing
2777,American Amber / Red Ale,5.90 %,Oatmeal Raisin Cookie Ale,Bluebird Microcreamery & Brewery
2778,American Amber / Red Ale,6.00 %,Rancho Rye,No Clue Craft Brewery
2779,American Amber / Red Ale,5.10 %,Kick Of Coriander,Johnson City Brewing Company
2780,American Amber / Red Ale,-,Hurricane Alley Amber Ale,Florida Beer Company
2781,American Amber / Red Ale,6.80 %,Sonic Boom,Tiny Rebel Brewing Co. .
2782,American Amber / Red Ale,8.00 %,Natty Red Nitro,Hop Valley Brewing Company
2783,American Amber / Red Ale,5.00 %,Ocean Amber Ale,Oceanbryggeriet
2784,American Amber / Red Ale,5.80 %,100 % Brett Red Ale,Cervejaria Way
2785,American Amber / Red Ale,6.00 %,Thetis,Nibe Bryghus
2786,American Amber / Red Ale,6.00 %,Nighthawk India Red,GrÃ 1/4 nerlÃ ¸ kka Brygghus
2787,American Amber / Red Ale,5.50 %,Cherry Tart,Green Room Brewing
2788,American Amber / Red Ale,6.50 %,Slayer 666 Red Ale,the Nils Oscar Company
2789,American Amber / Red Ale,5.00 %,Shipstone 's Crew Fine Amber Ale,ALDI Stores Australia
2790,American Amber / Red Ale,5.00 %,Belgian Style Amber Ale,Adirondack Pub & Brewery
2791,American Amber / Red Ale,5.60 %,Flagstaff Amber,Bootstrap Brewing
2792,American Amber / Red Ale,5.30 %,Tri Martolod Rousse,Brasseries Artisanales Tri Martolod
2793,American Amber / Red Ale,-,Poppy Jasper Brewed With Willamette Hops,El Toro Brewing Co. .
2794,American Amber / Red Ale,5.80 %,RathSkeleton The Red,Twisted Vine Brewery
2795,American Amber / Red Ale,7.50 %,1901 Red Ale ( nitro ),Bold City Brewery
2796,American Amber / Red Ale,5.70 %,Original Red,Hopworks Urban Brewery
2797,American Amber / Red Ale,6.50 %,Magic Rock / Cigar City Cigarro Roja Magica,Magic Rock Brewing
2798,American Amber / Red Ale,5.00 %,Riverbend Red,Riverbend Brewing Company
2799,American Amber / Red Ale,-,Big Dom 's Polish Ale,Jacob Leinenkugel Brewing Company
2800,American Amber / Red Ale,8.30 %,Wreak Havoc,Bootstrap Brewing
2801,American Amber / Red Ale,4.80 %,Dancing Duck Amberillo,Dancing Duck Brewery
2802,American Amber / Red Ale,5.50 %,San Gabriel Birra La Rossa Di Verona,Birreria San Gabriel
2803,American Amber / Red Ale,4.20 %,Brazen Amber Ale,Carrig Brewing Co. .
2804,American Amber / Red Ale,-,5:02 Amber With Summit Hops,Wichita Brewing Co. & Pizzeria West
2805,American Amber / Red Ale,-,Suzi 's Red Belly,Cocoa Beach Brewing Company
2806,American Amber / Red Ale,-,Armstead Amber,Beaverhead Brewing Company
2807,American Amber / Red Ale,7.00 %,The BigTop,Magic Rock Brewing
2808,American Amber / Red Ale,4.40 %,Holgate Red,Truefitt Brewing Company
2809,American Amber / Red Ale,-,Pinnacle Peak Amber Ale,Pinnacle Peak Patio Steakhouse & Microbrewery
2810,American Amber / Red Ale,-,Peak 6,Breckenridge Brewery
2811,American Amber / Red Ale,-,Mermaid 's Red Ale - Bourbon Oak Aged,Coronado Brewing Company
2812,American Amber / Red Ale,6.00 %,Trentatre Ambrata,Birra Del Borgo
2813,American Amber / Red Ale,5.50 %,La Fauve,Les Brasseurs de la Jonte
2814,American Amber / Red Ale,5.90 %,Peanut Butter Amber Ale,Three Notch 'd Brewing Company
2815,American Amber / Red Ale,-,Gluten Friendly,Outlaw Brewing
2816,American Amber / Red Ale,6.10 %,Reservoir Hops,HolzbrÃ $ u
2817,American Amber / Red Ale,6.00 %,SkjeggjÃ ¸ ld,_ gir Bryggeri
2818,American Amber / Red Ale,5.00 %,Springtime Red,Council Rock Brewery
2819,American Amber / Red Ale,-,Autumn Recipe,Buffalo Water Beer Company
2820,American Amber / Red Ale,5.80 %,La Cara Del Indio,BoquerÃ ³ n Brewing Co. .
2821,American Amber / Red Ale,5.00 %,Monseratte Roja,Bogota Beer Company
2822,American Amber / Red Ale,6.00 %,Roil Nuts,Imperial Oak Brewing
2823,American Amber / Red Ale,4.50 %,Marks & Spencer - Lowland Glen Amber,Harviestoun Brewery Ltd. .
2824,American Amber / Red Ale,5.80 %,RÃ ¶ de Orm,Lundabryggeriet
2825,American Amber / Red Ale,6.00 %,Admiral ( of The ) Red Ale,Claim 52 Brewing
2826,American Amber / Red Ale,6.00 %,Singing At Trees,Temperance Beer Co. .
2827,American Amber / Red Ale,6.53 %,Red Rice,Half Moon Bay Brewing Company
2828,American Amber / Red Ale,5.80 %,Roscoe Red,Horse Thief Hollow
2829,American Amber / Red Ale,5.80 %,TomaHawkins,Juniper Brewing Company
2830,American Amber / Red Ale,6.50 %,Ponderosa Belgian Red Ale,Wild Earth Brewing Company
2831,American Amber / Red Ale,4.80 %,Her Name Was Amber Ale,Rare Bird Brewpub
2832,American Amber / Red Ale,5.80 %,Red Remains,Solera Brewery
2833,American Amber / Red Ale,-,La St-Louis SpÃ © ciale,Microbrasserie Les Vents D'Ange
2834,American Amber / Red Ale,8.50 %,Imperial Warbeard Irish Red,Walnut River Brewing Company
2835,American Amber / Red Ale,5.80 %,Redheaded Step Hog,Twisted Snout Brewery & Public House
2836,American Amber / Red Ale,-,Fox Island Red Ale,Big Horn Brewing Company ( The RAM ) - Sunrise Village
2837,American Amber / Red Ale,5.60 %,Forever Amber,Charleston Brewing Company
2838,American Amber / Red Ale,5.80 %,Pineapple Habanero Amber,Bird Dog Brewing
2839,American Amber / Red Ale,6.20 %,Double Red Tail,Beard & Brau
2840,American Amber / Red Ale,5.50 %,The Ascent,Big Time Brewery & Alehouse
2841,American Amber / Red Ale,7.00 %,Lord Of Myrcene,MalmÃ ¶ Brewing Co
2842,American Amber / Red Ale,5.70 %,Rust Never Sleeps Amber,Chilly Water Brewing Company
2843,American Amber / Red Ale,5.90 %,Recompression Red,Poseidon Brewing Company
2844,American Amber / Red Ale,4.10 %,Royal Red,The Lord Nelson Brewery Hotel
2845,American Amber / Red Ale,6.30 %,Grandpa 's Amber Ale,Barley John 's Brew Pub
2846,American Amber / Red Ale,5.30 %,British Amber,Airways Brewing Company
2847,American Amber / Red Ale,6.90 %,BBA,Small Batch Beer Co. .
2848,American Amber / Red Ale,5.50 %,Tres Vaqueros Amber Ale,Three Monkeys Brewing Company
2849,American Amber / Red Ale,5.20 %,Roman Red,Triggerfish Brewery
2850,American Amber / Red Ale,4.70 %,Milly 's Coal Miners Common,Milly 's Tavern / Stark Brewing Company
2851,American Amber / Red Ale,4.80 %,United Red Ale,Two Brothers Brewing Company
2852,American Amber / Red Ale,5.50 %,Pitchers Sunset Amber,Pitchers Brewery & Sports Shack
2853,American Amber / Red Ale,5.60 %,The Gambler American Amber,Outlaw Brewing
2854,American Amber / Red Ale,6.00 %,Moska Torrada,Cerveseria Birrart
2855,American Amber / Red Ale,9.30 %,Omelet,Pinglehead Brewing Co. / Brewer 's Pizza
2856,American Amber / Red Ale,5.50 %,Y. Market Craft Heart Red,Y. Market Brewing
2857,American Amber / Red Ale,10.00 %,Tongue Buckler Cask W/Ginger And Lemongrass,Ballast Point Brewing Company
2858,American Amber / Red Ale,4.30 %,Star,Portobello Brewery
2859,American Amber / Red Ale,5.20 %,Audible Amber,Wabash Brewing Taproom & Brewery
2860,American Amber / Red Ale,4.20 %,Toast,The Liverpool Craft Beer Co. .
2861,American Amber / Red Ale,-,Monkey _ ™ s Uncle Red Ale,Clare Valley Brewing Co. .
2862,American Amber / Red Ale,4.70 %,Monkey Bar,Recess Brewing
2863,American Amber / Red Ale,5.10 %,Out There Celestial Love,Out There Brewing Company
2864,American Amber / Red Ale,6.50 %,Warrior I.R.A.,Coney Island Brewing Company
2865,American Amber / Red Ale,6.80 %,Sunset Amber,Boatyard Brewing Co. .
2866,American Amber / Red Ale,5.70 %,Red Rocket,Wild Donkey Brewing Co. .
2867,American Amber / Red Ale,5.50 %,Red Curry Ale,Hideout Brewing Company
2868,American Amber / Red Ale,5.60 %,Leatherwood Red,Andrews Brewing Company
2869,American Amber / Red Ale,6.60 %,Redner,Cigar City Brewing
2870,American Amber / Red Ale,7.00 %,Infrared,Old 99 Brewing Co. .
2871,American Amber / Red Ale,6.20 %,Rambler Amber,New Terrain Brewing Co
2872,American Amber / Red Ale,4.50 %,Indie Amber,Barrelhead Brewery
2873,American Amber / Red Ale,6.20 %,Festivus,Ocean City Brewing Company
2874,American Amber / Red Ale,6.50 %,Battle Royale Red,Turtle Mountain Brewing Company
2875,American Amber / Red Ale,-,American Bully Amber,Bulldog Brewery
2876,American Amber / Red Ale,5.20 %,ColorAmber Ale,38 State Brewing Company
2877,American Amber / Red Ale,-,Alameda Amber,Ironworks Brewpub
2878,American Amber / Red Ale,5.50 %,Crave,Wabash Brewing Taproom & Brewery
2879,American Amber / Red Ale,7.00 %,Red Castle,Thai Me Up / Melvin Brewing
2880,American Amber / Red Ale,4.50 %,Big Red Rooster,St Andrews Brewing Company
2881,American Amber / Red Ale,-,Rusty Scupper Amber Ale,Heavy Seas Beer
2882,American Amber / Red Ale,5.00 %,Crown Of Eyes,TRVE Brewing Co. .
2883,American Amber / Red Ale,7.40 %,Blame Canada,Cherry Street Brewing Cooperative
2884,American Amber / Red Ale,5.20 %,Massey Red Ale,Hillstown Brewery
2885,American Amber / Red Ale,-,Rotty 's Red Ale,Bulldog Brewery
2886,American Amber / Red Ale,5.80 %,Anchor Amber,Ten Pin Brewing Co. .
2887,American Amber / Red Ale,5.00 %,Rock House Amber,Satulah Mountain Brewing Company
2888,American Amber / Red Ale,5.50 %,Molly,Eagle Rock Brewery
2889,American Amber / Red Ale,6.30 %,Birra Speciale,Birrificio Le Baladin
2890,American Amber / Red Ale,5.20 %,Kelvin & Hops,Black Sky Brewery
2891,American Amber / Red Ale,5.00 %,Bandit Mask,Onion Pub & Brewery / Wild Onion Brewing Co. .
2892,American Amber / Red Ale,5.60 %,1926 Amber Ale,Fifty West Brewing Co
2893,American Amber / Red Ale,5.50 %,Mt. Rainier Red,Willimantic Brewing Co. .
2894,American Amber / Red Ale,5.50 %,Mandrin AmbrÃ © e BIO,Brasserie Artisanale Du DauphinÃ ©
2895,American Amber / Red Ale,4.90 %,Chronic Ale - Lucky Charms,Pizza Port Solana Beach
2896,American Amber / Red Ale,4.80 %,Fenton Fire Hall Ale,Right Brain Brewery
2897,American Amber / Red Ale,6.00 %,Fire Station 5,Original Gravity / Final Gravity Brewing Co. .
2898,American Amber / Red Ale,5.50 %,Bambino Amber,Cooperstown Brewing Company
2899,American Amber / Red Ale,6.30 %,American Amber Wheat,Black Swan Brewpub
2900,American Amber / Red Ale,5.20 %,Forester Bitter Amber Ale,The Two Metre Tall Company Pty Ltd
2901,American Amber / Red Ale,5.00 %,State & Main Red Ale,Big Rock Brewery
2902,American Amber / Red Ale,3.50 %,Cento All ` Ora,Birra Dell ` Elba Brew Pub
2903,American Amber / Red Ale,6.00 %,Brigitte Honey Ale,Amante Brew Company
2904,American Amber / Red Ale,4.70 %,Kjuagutt,7 Fjell Bryggeri
2905,American Amber / Red Ale,-,Fitger 's Red Ale,Lake Superior Brewing Company
2906,American Amber / Red Ale,5.80 %,Lil Red,Red Shedman Farm Brewery & Hop Yard
2907,American Amber / Red Ale,5.50 %,E'vil Winter Hoppy Ale,Ellicottville Brewing Co. .
2908,American Amber / Red Ale,3.80 %,Sourless Ginger,Hearthstone Grill
2909,American Amber / Red Ale,6.90 %,The Gentle Mongoose,Holy City Brewing
2910,American Amber / Red Ale,4.50 %,Gros Ours,Microbrasserie La BoÃ ® te _ Malt
2911,American Amber / Red Ale,5.50 %,Chunky 's Red Carpet Ale,Woodstock Inn Brewery
2912,American Amber / Red Ale,7.20 %,Mango Chili Red Ale,Cigar City Brewing
2913,American Amber / Red Ale,5.80 %,California Common,Appalachian Brewing Company
2914,American Amber / Red Ale,6.58 %,Revelry Red,McMenamins
2915,American Amber / Red Ale,6.10 %,Hoppy Amber Ale ( Mountain Series ),Breckenridge Brewery
2916,American Amber / Red Ale,5.40 %,Red Velvet Ale,Lofty Brewing Company
2917,American Amber / Red Ale,6.40 %,Iwo Jima Red Ale,Battlefield Brewing Co At The Pub
2918,American Amber / Red Ale,5.40 %,Breadwinner,Elysian Brewing Company
2919,American Amber / Red Ale,5.50 %,Kiss Me I 'm Irish,Home Republic
2920,American Amber / Red Ale,5.50 %,O'Bar Amber Ale,O'Fallon Brewery
2921,American Amber / Red Ale,5.70 %,Brass Band Golden Ale,Iechyd Da Brewing Company
2922,American Amber / Red Ale,5.60 %,Dammit Jim ! Amber,Intergalactic Brewing Co. .
2923,American Amber / Red Ale,5.60 %,Secret Lake Amber Ale,Fallbrook Brewing Company
2924,American Amber / Red Ale,-,Calibration Ale,Brady 's Brewhouse
2925,American Amber / Red Ale,-,Jurassic Duck Amber Ale ( dry Hopped With Mosaic ),The Dodging Duck Brewhaus
2926,American Amber / Red Ale,6.60 %,Goblin Hunter,Galactic Coast Brewing
2927,American Amber / Red Ale,5.10 %,Happy Ending,Scuttlebutt Brewing Company
2928,American Amber / Red Ale,-,Just The Tip,Bluetick Brewery
2929,American Amber / Red Ale,-,Bitter Creek Red Desert Ale,Bitter Creek Brewing Company
2930,American Amber / Red Ale,9.50 %,Big Red Hoppy Barn,Westfield River Brewing Company
