beer_id,drink_style,alc_vol,brew_factory,beer_nm
3582,American Amber / Red Ale,5.50 %,Sugar Ridge Brewery,Johnny Danger Copper Ale
3583,American Amber / Red Ale,6.50 %,Burley Oak Brewery,Red Star
3584,American Amber / Red Ale,5.20 %,Microbrasserie Charlevoix,Les Petits Brasseurs
3585,American Amber / Red Ale,6.00 %,Bloodline Brewing Company,Through Silver In Blood Red Ale
3586,American Amber / Red Ale,7.80 %,Babe 's Bar-B-Que And Brewery,Bin 1214 Rounded Red Ale
3587,American Amber / Red Ale,-,Amsterdam Brewboys,Hop Riot
3588,American Amber / Red Ale,-,Pub HBH ( _ uÃ ± oa ),HBH Rubia
3589,American Amber / Red Ale,4.80 %,ZwanzigZ,English Ruby Mild
3590,American Amber / Red Ale,4.50 %,Kuracali SakÃ © & Beer Brewery,Anecdotalist Amber Ale
3591,American Amber / Red Ale,5.60 %,Wheaty Brewing Corps,Marching Orders
3592,American Amber / Red Ale,-,La Suzannaise,L'AmbrÃ © e De La Poterne
3593,American Amber / Red Ale,5.76 %,Dead Bear Brewing Co. .,Escanaba River Amber Ale
3594,American Amber / Red Ale,4.70 %,BJ 's Restaurant & Brewery,BJ 's Oasis Amber
3595,American Amber / Red Ale,5.50 %,La Val Heureuse,La Val Heureuse AmbrÃ © e
3596,American Amber / Red Ale,6.20 %,Blasted Barley Beer Company,Red White And Boom
3597,American Amber / Red Ale,4.80 %,The Damascus Brewery,Amberdelic
3598,American Amber / Red Ale,5.40 %,Benelux Brewpub & CafÃ ©,Lux Rousse
3599,American Amber / Red Ale,-,Microbrasserie Coaticook,La Maplehurst
3600,American Amber / Red Ale,5.10 %,Pike 51 Brewing Company,SOHO
3601,American Amber / Red Ale,5.50 %,Barnstar Brewing Company,Saloon Girl
3602,American Amber / Red Ale,7.00 %,LagabiÃ ¨ re Brasserie Artisanale,La Grand-BiÃ ¨ re Dans Le Sirop
3603,American Amber / Red Ale,4.40 %,Blue Monkey Brewery,Scrum-tious
3604,American Amber / Red Ale,4.80 %,1st Republic Brewing Company,Windsor Ale
3605,American Amber / Red Ale,6.20 %,Bomber Brewing,Constanza _ ™ s Hoppy Red Ale
3606,American Amber / Red Ale,5.00 %,Chehalem Valley Brewing Co. .,Summit Amber
3607,American Amber / Red Ale,5.20 %,Bellarine Brewing Co. .,The Heads Ale
3608,American Amber / Red Ale,3.70 %,Young Henry 's,How Now Brown Cow
3609,American Amber / Red Ale,5.40 %,Brisbane Brewhouse,USA-Style Amber Ale
3610,American Amber / Red Ale,6.50 %,Brasserie Artisanale Albion,La Berthelaise
3611,American Amber / Red Ale,6.60 %,Mill Whistle Brewing,Gas Can Red
3612,American Amber / Red Ale,7.20 %,Chilly Water Brewing Company,Buddy 's Red Ale
3613,American Amber / Red Ale,5.50 %,Crooked Ewe Brewery & Ale House,What 's My Name Amber Ale
3614,American Amber / Red Ale,4.90 %,Volta BrÃ $ u,AmpÃ ¨ re
3615,American Amber / Red Ale,-,Lost Duck Brewing Company,Ringneck Red Ale
3616,American Amber / Red Ale,5.40 %,Brasserie du Roulier,Lamarieuse
3617,American Amber / Red Ale,6.00 %,Cervejaria Peter Von Brutschen Ltda .,Heilige Red Ale
3618,American Amber / Red Ale,6.20 %,Radium City Brewing,Half Past Red
3619,American Amber / Red Ale,6.50 %,Hidden Springs Ale Works,Ginger Mullet
3620,American Amber / Red Ale,11.00 %,Yellow Springs Brewery,Barrel Aged Bloodsmoke
3621,American Amber / Red Ale,8.00 %,Yellow Springs Brewery,Barrel Aged Wilfred
3622,American Amber / Red Ale,4.50 %,Buckley 's Beers,Buckleys Original Ale
3623,American Amber / Red Ale,6.20 %,Ancient City Brewing,Matanzas River Red Ale
3624,American Amber / Red Ale,8.50 %,Adroit Theory Brewing Company,Harbinger Redux 2.0 ( Ghost 223 )
3625,American Amber / Red Ale,5.50 %,Milwaukee Brewing Company,Louie _ ™ s Demise Amber Ale
3626,American Amber / Red Ale,8.20 %,Charging Hippo Brewing Co. .,Starlord 's Mixtape / Groot Drank Imperial Red Ale
3627,American Amber / Red Ale,4.50 %,Deverell 's Brewing Company,Redemption
3628,American Amber / Red Ale,4.50 %,Legenda SÃ ¶ rf_zde,Legenda Pony
3629,American Amber / Red Ale,5.80 %,Grand Armory Brewing,Dewey Hill
3630,American Amber / Red Ale,5.50 %,Bray 's Brewing Company,Dice Roller Red
3631,American Amber / Red Ale,5.40 %,DryHop Brewers,Mine Is n't Red ( ReplicAle 2014 )
3632,American Amber / Red Ale,5.20 %,Stilt House Brewery,Weekender American Amber Ale
3633,American Amber / Red Ale,5.00 %,Les Brasseurs du Grand Paris,Ligne 3
3634,American Amber / Red Ale,7.20 %,Ritual Brewing Co. .,Extra Red With Chipotle
3635,American Amber / Red Ale,4.50 %,Busbee Brewing,Jack 's Red Ale
3636,American Amber / Red Ale,6.10 %,Hans MÃ 1/4 ller Sommelierbier GmbH,Hans MÃ 1/4 ller Dreistern
3637,American Amber / Red Ale,5.10 %,Cape Bouvard Winery & Brewery,Dark Ale
3638,American Amber / Red Ale,6.40 %,Barn Brewery,Red Owl
3639,American Amber / Red Ale,5.50 %,Black Lab Brewhouse & Kitchen,El Importador
3640,American Amber / Red Ale,6.25 %,BarkEater Craft Brewery,M_S RVR Red
3641,American Amber / Red Ale,-,Maison De Brasseur,Bresse
3642,American Amber / Red Ale,6.90 %,Congregation Ale House,Hop Communion
3643,American Amber / Red Ale,8.60 %,Happy Valley Brewing Company,Renegade Imperial Red
3644,American Amber / Red Ale,5.20 %,Hausbrauerei Stadtbier Chur,Weihnachts Bier
3645,American Amber / Red Ale,-,Maison De Brasseur,Mont Bugey
3646,American Amber / Red Ale,6.50 %,Brasseries Star Madagascar,Gold Ambree
3647,American Amber / Red Ale,6.20 %,Wheeling Brewing Company,Old Reymann 's Amber
3648,American Amber / Red Ale,6.00 %,Black Star Co-op Pub & Brewery,Truffle Dee
3649,American Amber / Red Ale,-,SociÃ © tÃ © Microbrasserie & Pizzeria,Provocante
3650,American Amber / Red Ale,5.50 %,Copper Club Brewing Company,F-Town Amber
3651,American Amber / Red Ale,-,Hop 'n Moose Brewing Company,Sunnybank Red
3652,American Amber / Red Ale,9.00 %,The Wrecking Bar Brewpub,Commander Clifford _ ™ s Imperial Red Ale
3653,American Amber / Red Ale,4.50 %,Clifton Hill Brew Pub,Clifton Hill Dark Ale
3654,American Amber / Red Ale,7.00 %,Salty Nut Brewery,Miss Scarlett
3655,American Amber / Red Ale,5.80 %,Grande Brasserie de Nouvelle-CalÃ © donie SA,Havannah
3656,American Amber / Red Ale,5.00 %,Brasserie Artisanale Glouglou,La Torgnole
3657,American Amber / Red Ale,6.60 %,Benson Brewery,The Fix
3658,American Amber / Red Ale,5.00 %,Icicle Brewing Company,Dirtyface Amber
3659,American Amber / Red Ale,5.70 %,Brasserie Artisanale Glouglou,La Rouste
3660,American Amber / Red Ale,5.50 %,Beily _ ™ s Ultralounge / Beer & Wine Store,Foxtail Red
3661,American Amber / Red Ale,7.57 %,Midnight Sun Brewing Co. .,Double Red Hot Ale
3662,American Amber / Red Ale,5.00 %,The Sturgis Haus Brewpub & Espresso Bar,Angry Leprechaun
3663,American Amber / Red Ale,5.40 %,Florida Avenue Brewing Co. .,Copper Head
3664,American Amber / Red Ale,4.90 %,Silverking Brewing Co. .,Bonefish Amber Ale
3665,American Amber / Red Ale,5.30 %,Wabash Brewing Taproom & Brewery,503 Amber
3666,American Amber / Red Ale,5.80 %,The Other Farm Brewing Company,Secret Valley Rail Ale
3667,American Amber / Red Ale,6.40 %,Check Six Brewing Company,Red Baron
3668,American Amber / Red Ale,5.80 %,Border X Brewing,Wet Hopped Red Ale
3669,American Amber / Red Ale,-,Drei Tannen Bier,Wildsau
3670,American Amber / Red Ale,5.00 %,Brasserie de Bourbon,Bourbon Rousse
3671,American Amber / Red Ale,5.70 %,Resolution Brewing Company,First Chair
3672,American Amber / Red Ale,5.20 %,Gate City Brewing Co. .,Copperhead
3673,American Amber / Red Ale,6.00 %,Brasserie de l'Ilet,La Douce
3674,American Amber / Red Ale,5.40 %,Cervezart - Cerveza Artesana de la Mancha,Malvados Rubia
3675,American Amber / Red Ale,5.90 %,The Freehouse,No. 7 Hoppy Amber
3676,American Amber / Red Ale,5.90 %,Offbeat Brewing Company,Bitter Robot Red
3677,American Amber / Red Ale,5.75 %,Cervezart - Cerveza Artesana de la Mancha,Malvados Roja
3678,American Amber / Red Ale,5.50 %,Bangin ' Banjo Brewing Company,Judy 's
3679,American Amber / Red Ale,-,Garrison Brewing Company,Vulcan Ale - Genesis Effect
3680,American Amber / Red Ale,5.00 %,Mikkeller ApS,Red Scandinavian Sky-High Lager
3681,American Amber / Red Ale,7.50 %,Rockbottom Bar & Brewery,FizzGig
3682,American Amber / Red Ale,5.70 %,Central Coast Brewing,Average Amber
3683,American Amber / Red Ale,4.00 %,Bonneville Brewery,Antelope Amber Ale
3684,American Amber / Red Ale,7.30 %,Seapine Brewing Company,Skipine Bomb Hole
3685,American Amber / Red Ale,6.00 %,Picaro,AmbrÃ ©
3686,American Amber / Red Ale,5.50 %,Vault Brewing Company,Project Y
3687,American Amber / Red Ale,6.66 %,Second Salem Brewing Company,The Beast Of Bray Road
3688,American Amber / Red Ale,5.40 %,3cross Brewing Company,Batch # 0065 - American Amber
3689,American Amber / Red Ale,5.50 %,Microbrasserie l _ ™ Hermite,Americain Amber Ale
3690,American Amber / Red Ale,-,Red Yeti Brewing Company,Stepchild Amber
3691,American Amber / Red Ale,6.00 %,Brasserie Hollbeer et Magasin,Hollbeer AmbrÃ © e
3692,American Amber / Red Ale,5.40 %,Lofty Brewing Company,Zeb 's American Red Ale
3693,American Amber / Red Ale,-,W Brewing,Bourbon Barrel Ale
3694,American Amber / Red Ale,5.00 %,NÃ $ rke Kulturbryggeri AB,Bisk-Hops
3695,American Amber / Red Ale,4.30 %,The Tap Brewery,Amsterdam Session
3696,American Amber / Red Ale,9.86 %,Riverbend Brewing Company,Right Said Red
3697,American Amber / Red Ale,5.90 %,House of Beer - Citrus Park,Sugar N ' Spice
3698,American Amber / Red Ale,5.10 %,Border Town Pub / Firehouse 28 Cafe,Firehouse 28 Red Ale
3699,American Amber / Red Ale,5.70 %,Manantler Craft Brewing,Bootleg Glory
3700,American Amber / Red Ale,5.70 %,Deep Creek Brewing Co. .,Little Armoured One
3701,American Amber / Red Ale,6.20 %,Rusty Truck Brewing Company / Roadhouse 101,Fender Bender
3702,American Amber / Red Ale,-,Biloba Brewing Company,Rocket Fuel
3703,American Amber / Red Ale,4.60 %,Microbrasserie Moulin 7,La BÃ '' cheronne
3704,American Amber / Red Ale,-,Backroom Brewery,Holiday Market Ale
3705,American Amber / Red Ale,5.50 %,FlyBoy Brewing,Betty 's Red Ale
3706,American Amber / Red Ale,5.60 %,HoppebrÃ $ u,Wuidsau
3707,American Amber / Red Ale,4.70 %,7 Fjell Bryggeri,Hurragutt
3708,American Amber / Red Ale,10.40 %,Calvert Brewing Company,Double Amber
3709,American Amber / Red Ale,5.90 %,Pareidolia Brewing Company,Right Point Red
3710,American Amber / Red Ale,4.80 %,Nomad Brewing Company,Road Trip
3711,American Amber / Red Ale,5.80 %,Dogberry Brewing,Red No. 14
3712,American Amber / Red Ale,6.50 %,Wildlife Brewing & Pizza,9 Grain Amber
3713,American Amber / Red Ale,-,Microbrasserie St-Pancrace,Micoua
3714,American Amber / Red Ale,5.20 %,Cervezas Califa,Morena
3715,American Amber / Red Ale,6.80 %,7 Fjell Bryggeri,Kniksen India Red Ale
3716,American Amber / Red Ale,5.60 %,Eldo,Secret Trail Ale
3717,American Amber / Red Ale,4.50 %,Hops & Leisure,Leisure Amber
3718,American Amber / Red Ale,4.70 %,Microbrasserie l _ ™ Hermite,AmÃ © ricain Amber Ale 2.0
3719,American Amber / Red Ale,5.50 %,Ochoco Brewing Company,Warpaint Red Ale
3720,American Amber / Red Ale,5.30 %,Daytona Beach Brewing Company,Daytona Red Ale
3721,American Amber / Red Ale,5.70 %,Wet Head Brewery,Slaughter Amber Ale
3722,American Amber / Red Ale,6.60 %,Ramses Bier,Koele Kikker
3723,American Amber / Red Ale,6.70 %,Hops & Leisure,Ale Asylum Ambergeddon
3724,American Amber / Red Ale,5.50 %,Coal Creek TAP,Church Lady
3725,American Amber / Red Ale,6.30 %,Wet Head Brewery,WetLands BSR
3726,American Amber / Red Ale,5.50 %,Brite Eyes Brewing Co. .,Big Willies
3727,American Amber / Red Ale,5.50 %,Right Eye Brewing Company,Cu 29
3728,American Amber / Red Ale,5.50 %,Sarungano Brewing,Gudo
3729,American Amber / Red Ale,4.80 %,Brasserie La Bambelle,La Filaj
3730,American Amber / Red Ale,4.50 %,Birrificio Sagrin,Bunpat Rossa
3731,American Amber / Red Ale,4.00 %,Vernal Brewing Company,Allosaurus Amber
3732,American Amber / Red Ale,5.70 %,Race Street Brew Works,Firebrand Amber Ale
3733,American Amber / Red Ale,-,Stevens Point Brewery,Blood Orange Amber
3734,American Amber / Red Ale,7.50 %,Manor Hill Brewing,Stone Bridge Amber
3735,American Amber / Red Ale,6.90 %,Benelux Brewpub & CafÃ ©,Semuta
3736,American Amber / Red Ale,4.90 %,Big Bear Brewing Company,Caramel Apple
3737,American Amber / Red Ale,-,SBC Restaurant & Brewery - Southport,Southport Red
3738,American Amber / Red Ale,4.30 %,White Rock Brewery,Witch Hunter
3739,American Amber / Red Ale,5.70 %,Rare Bird Brewpub,The Ginger Bear
3740,American Amber / Red Ale,5.20 %,Brasserie de la VallÃ © e du Giffre,MPC
3741,American Amber / Red Ale,5.30 %,Lake Ann Brewing Co. .,Lake Ann Amber
3742,American Amber / Red Ale,-,BoquÃ © biÃ ¨ re,Hopkins Ale Rousse
3743,American Amber / Red Ale,5.80 %,Dubina Brewing,Red Sea Ale
3744,American Amber / Red Ale,5.60 %,Stadin Panimo,Karlstad Red Ale
3745,American Amber / Red Ale,6.90 %,Union Brewing Company,Heartbreaker
3746,American Amber / Red Ale,7.80 %,Faction Brewing,Red Ryder
3747,American Amber / Red Ale,6.50 %,Brasserie Les 3 Loups,Les 3 Loups AmbrÃ © e
3748,American Amber / Red Ale,5.00 %,Moonzen Brewery,Monkey King Amber Ale
3749,American Amber / Red Ale,5.50 %,Cervejaria Praxis,Praxis Ambar
3750,American Amber / Red Ale,4.40 %,Chelsea Alehouse,Haywagon Red
3751,American Amber / Red Ale,5.00 %,Yaletown Brewing Co. .,Red Galaxy Ale
3752,American Amber / Red Ale,12.00 %,Clown Shoes,The Entertainer
3753,American Amber / Red Ale,6.20 %,The 1925 Microbrewery & Restaurant,BLK6 .22
3754,American Amber / Red Ale,6.40 %,Half Full Brewery,Canadian Red Ale
3755,American Amber / Red Ale,-,Atomic Ale Brewpub And Eatery,I2RA
3756,American Amber / Red Ale,-,Clear Creek Brewing Company,Not So Amber `` Amber ''
3757,American Amber / Red Ale,9.70 %,Stone Brewing Co. .,Spotlight Series - Team Miller / Tomei REDiculous Imperial Red Ale
3758,American Amber / Red Ale,-,Brasserie Bendorf,Neudorf Red Ale
3759,American Amber / Red Ale,4.40 %,Mad Science Brewing Company at Thanksgiving Farm,Three More Weeks
3760,American Amber / Red Ale,-,The Good Shepherds Brewing Co. .,Sheps Amber Ale
3761,American Amber / Red Ale,4.60 %,All Inn Brewing Co,Ruby
3762,American Amber / Red Ale,8.00 %,Blue Blood Brewery,Oak Aged Last Call
3763,American Amber / Red Ale,-,Salty Nut Brewery,Bee Transfixed Honey Amber Ale
3764,American Amber / Red Ale,5.90 %,Privatbrauerei Sander,Rubi Ale
3765,American Amber / Red Ale,7.00 %,7venth ( Seventh ) Sun Brewery,Axum Bold As Love
3766,American Amber / Red Ale,4.50 %,Wild Card Brewery,Jack Of Clubs
3767,American Amber / Red Ale,6.50 %,Brasserie Artisanale de Rodemack ( BAR ),La BarFumÃ © e
3768,American Amber / Red Ale,4.00 %,Everards Brewery Ltd. .,Blue Boar
3769,American Amber / Red Ale,5.60 %,Triple Crossing Brewing,Rochelle Rochelle
3770,American Amber / Red Ale,-,5 Paddles Brewing Co. .,The Village Idiot
3771,American Amber / Red Ale,5.20 %,O'Sullivan Bros. . Brewing Co. .,Irish Clover
3772,American Amber / Red Ale,4.80 %,Everards Brewery Ltd. .,Crown
3773,American Amber / Red Ale,9.00 %,Clown Shoes,Evil Crawfish
3774,American Amber / Red Ale,8.00 %,Deschutes Brewery,EHOP
3775,American Amber / Red Ale,6.70 %,Big Grove Brewery,Fall Harvest
3776,American Amber / Red Ale,8.50 %,Hand Brewed Beer,Raining Blood Imperial Red
3777,American Amber / Red Ale,7.20 %,Cigar City Brewing,JalapeÃ ± o Mango Red Ale
3778,American Amber / Red Ale,-,Brau Brothers Brewing Co. . LLC,Rooster Redred
3779,American Amber / Red Ale,-,Vino 's Brewpub,Aphrodite Red Ale
3780,American Amber / Red Ale,5.50 %,Slippery Pig Brewing,Pepper Amber
3781,American Amber / Red Ale,5.20 %,Half Pints Brewing Company,SaazAmatazz
3782,American Amber / Red Ale,-,Blue Lab Brewing Company,PDX - > LEX
3783,American Amber / Red Ale,7.20 %,Rocky Point Artisan Brewers,Valeria
3784,American Amber / Red Ale,5.00 %,The Gallery Brewery,Art Deco
3785,American Amber / Red Ale,7.50 %,Croocked Moon Brewing,Meat Market
3786,American Amber / Red Ale,5.50 %,Bare Hands Brewery,Nug Amber
3787,American Amber / Red Ale,3.90 %,The Root Cellar / London Brewing Co-op,Local 117
3788,American Amber / Red Ale,5.10 %,Liftline Brewing Co. .,First Tracks Amber Ale
3789,American Amber / Red Ale,6.50 %,Lion Bridge Brewing Company,Friend Zone
3790,American Amber / Red Ale,5.50 %,The Freehouse,No. 22 Honey Red Ale
3791,American Amber / Red Ale,6.10 %,Epidemic Ales,Affliction
3792,American Amber / Red Ale,-,Egan & Son 's,Oddfellow 's Ale
3793,American Amber / Red Ale,5.40 %,Progress Brewing,Pioneer
3794,American Amber / Red Ale,6.10 %,Appalachian Brewing Company,Double Hop Amber
3795,American Amber / Red Ale,-,Avondale Brewing Co. .,Qualityrolexbase
3796,American Amber / Red Ale,5.00 %,Brasserie Artisanale De La CrÃ © celle,BiÃ ¨ re Aux Noix
3797,American Amber / Red Ale,5.00 %,Nausta Bryggeri,Inland Red Ale
3798,American Amber / Red Ale,8.00 %,Proof Brewing Company,Acai And Pink Peppercorn Abandoned Planet
