restaurant_id,physical_address,phone_number,restaurant_category,city_name,quality_score
245,' 1 w. 67th st. ',212-877-3500,` french ( classic ) ',` new york city ',27
246,' 2450 broadway ',212-362-2200,italian,` new york city ',28
247,' 854 seventh ave. ',212-757-2245,delis,` new york city ',29
248,' 2 harrison st. ',212-966-6960,` french ( new ) ',` new york city ',30
249,'20 e. 76th st. ',212-288-0033,` french ( new ) ',` new york city ',31
250,' 210 e. 58th st. ',212-355-7555,indian,` new york city ',32
251,' 243 e. 58th st. ',212-758-1479,italian,` new york city ',33
252,'99 e. 52nd st. ',212-754-9494,` american ( new ) ',` new york city ',34
253,'12 e. 12th st. ',212-620-4020,` american ( new ) ',` new york city ',35
254,'42 e. 20th st. ',212-477-0777,` american ( new ) ',` new york city ',36
255,' 402 w. 44th st. ',212-765-1737,caribbean,` new york city ',37
256,' 160 e. 64th st. ',212-223-5656,` french bistro ',` new york city ',38
257,'33 w. 55th st. ',212-586-4252,` french ( classic ) ',` new york city ',39
258,'60 w. 55th st. ',212-688-6525,` french ( classic ) ',` new york city ',40
259,' 155 w. 51st st. ',212-489-1515,seafood,` new york city ',41
260,' 155 w. 58th st. ',212-484-5113,` french ( classic ) ',` new york city ',42
261,' 2 e. 55th st. ',212-339-6719,asian,` new york city ',43
262,' 249 e. 50th st. ',212-752-2225,` french ( classic ) ',` new york city ',44
263,'57 w. 58th st. ',212-371-7777,seafood,` new york city ',45
264,' 405 e. 58th st. ',212-754-6272,` american ( new ) ',` new york city ',46
265,' 102 fifth ave. ',212-807-7400,southwestern,` new york city ',47
266,'57 jane st. ',212-627-8273,mexican,` new york city ',48
267,' 239 w. broadway ',212-219-2777,` french bistro ',` new york city ',49
268,'55 e. 54th st. ',212-759-5941,seafood,` new york city ',50
269,' 100 e. 63rd st. ',212-644-1900,` american ( new ) ',` new york city ',51
270,' 182 w. 58th st. ',212-245-2214,russian,` new york city ',52
271,'35 w. 64th st. ',212-724-8585,mediterranean,` new york city ',53
272,'95 ave. a ',212-260-6660,seafood,` new york city ',54
273,'30 rockefeller plaza ',212-632-5000,` american ( new ) ',` new york city ',55
274,' 1 water st. ',718-522-5200,` american ( new ) ',brooklyn,56
275,' 240 central park s. ',212-265-5959,italian,` new york city ',57
276,' 156 second ave. ',212-677-0606,delis,` new york city ',58
277,'11 e. 53rd st. ',212-980-9393,japanese,` new york city ',59
278,' 155 e. 55th st. ',212-371-8844,chinese,` new york city ',60
279,' 1110 third ave. ',212-861-8080,` american ( new ) ',` new york city ',61
280,' 797 third ave. ',212-753-1530,steakhouses,` new york city ',62
281,` central park west ',212-873-3200,` american ( new ) ',` new york city ',63
282,' 747 ninth ave. ',212-245-7992,greek,` new york city ',64
283,'21 e. 16th st. ',212-243-4020,` american ( new ) ',` new york city ',65
284,' 152 w. 44th st. ',212-921-9494,bbq,` new york city ',66
285,' 3200 las vegas blvd. s. ',702-733-8899,chinese,` las vegas ',67
286,' 3799 las vegas blvd. s. ',702-891-7349,southwestern,` las vegas ',68
287,' 3000 paradise rd. ',702-732-5651,` french bistro ',` las vegas ',69
288,' 3570 las vegas blvd. s. ',702-731-7110,` french ( new ) ',` las vegas ',70
289,' 200 e. fremont st. ',702-385-6277,` pacific rim ',` las vegas ',71
290,' 2880 las vegas blvd. s. ',702-734-0410,steakhouses,` las vegas ',72
291,' 2245 e. flamingo rd. ',702-731-4036,steakhouses,` las vegas ',73
292,' 2355 peachtree rd. ne ',404-261-8186,italian,atlanta,74
293,' 3125 piedmont rd. ',404-365-0410,californian,atlanta,75
294,' 3130 piedmont rd. ne ',404-237-2663,steakhouses,atlanta,76
295,' 3393 peachtree rd. ',404-266-1440,` french bistro ',atlanta,77
296,' 3073 piedmont rd. ',404-262-3336,` american ( new ) ',atlanta,78
297,' 1529 piedmont ave. ',404-874-7600,` french ( new ) ',atlanta,79
298,' 1 margaret mitchell sq. ',404-681-2909,cafeterias,atlanta,80
299,' 2290 peachtree rd. ',404-352-3517,southwestern,atlanta,81
300,' 490 e. paces ferry rd. ne ',404-233-7673,continental,atlanta,82
301,' 595 piedmont ave. ',404-876-4408,indian,atlanta,83
302,' 1397 n. highland ave. ',404-876-0676,eclectic,atlanta,84
303,' 2637 peachtree rd. ne ',404-231-1368,italian,atlanta,85
304,' 224 ponce de leon ave. ',404-876-1800,southern/soul,atlanta,86
305,' 255 courtland st. ',404-221-6362,continental,atlanta,87
306,' 1232 w. paces ferry rd. ',404-261-3662,` american ( new ) ',atlanta,88
307,' 3434 peachtree rd. ne ',404-237-2700,` american ( new ) ',atlanta,89
308,' 3434 peachtree rd. ne ',404-237-2700,` american ( new ) ',atlanta,90
309,' 181 peachtree st. ',404-659-0400,` french ( classic ) ',atlanta,91
310,' 293-b peachtree rd. ',404-351-9533,` french ( new ) ',atlanta,92
311,'41 14th st. ',404-875-8424,italian,atlanta,93
312,' 126 clement st. ',415-387-0408,` french ( new ) ',` san francisco ',94
313,' 252 california st. ',415-956-9662,` american ( new ) ',` san francisco ',95
314,' 1 mission st. ',415-543-6084,` american ( new ) ',` san francisco ',96
315,' 7 claude ln . ',415-392-3505,` french bistro ',` san francisco ',97
316,' 340 stockton st. ',415-955-5555,` american ( new ) ',` san francisco ',98
317,' 804 north point st. ',415-775-7036,californian,` san francisco ',99
318,' 777 sutter st. ',415-673-7779,` french ( new ) ',` san francisco ',100
319,' 570 fourth st. ',415-543-0573,` french bistro ',` san francisco ',101
320,'22 hawthorne st. ',415-777-9779,californian,` san francisco ',102
321,' 5937 geary blvd. ',415-668-6654,thai,` san francisco ',103
322,' 2316 polk st. ',415-776-5577,` french ( new ) ',` san francisco ',104
323,' 816 folsom st. ',415-495-5775,mediterranean,` san francisco ',105
324,' 648 bush st. ',415-989-7154,` french ( new ) ',` san francisco ',106
325,' 1737 post st. ',415-922-0337,japanese,` san francisco ',107
326,' 3127 fillmore st. ',415-563-4755,` american ( new ) ',` san francisco ',108
327,' 545 post st. ',415-776-7825,californian,` san francisco ',109
328,' 600 stockton st. ',415-296-7465,` french ( new ) ',` san francisco ',110
329,' 532 columbus ave. ',415-399-0499,italian,` san francisco ',111
330,' 181 peachtree st. ',404-659-0400,` american ( new ) ',atlanta,711
