scholar_id,research_title,proceedings,publication_yr
47,"db2 common server : technology , progress , & directions",vldb,1995
48,investigating xquery for querying across database object types,sigmod record,2002
49,w3qs : a query system for the world-wide web,vldb,1995
50,the design of a retrieval technique for high-dimensional data on tertiary storage,sigmod record,2002
51,oodb bulk loading revisited : the partitioned-list approach,vldb,1995
52,chair 's message,,2002
53,the double life of the transaction abstraction : fundamental principle and evolving system concept,vldb,1995
54,combining fuzzy information : an overview,sigmod record,2002
55,databases and workflow management : what is it all about ? ( panel ),vldb,1995
56,index concurrency control in firm real-time database systems,vldb,1995
57,a brief survey of web data extraction tools,sigmod record,2002
58,value-cognizant speculative concurrency control,vldb,1995
59,data warehousing and business intelligence for e-commerce - book review,sigmod record,2002
60,data mining : concepts and techniques - book review,sigmod record,2002
61,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,vldb,1995
62,hot block clustering for disk arrays with dynamic striping,vldb,1995
63,book review column,sigmod record,2002
64,tods perceptions and misconceptions,sigmod record,2002
65,an approach for building secure database federations,vldb,1994
66,the cougar approach to in-network query processing in sensor networks,sigmod record,2002
67,dalэ : a high performance main memory storage manager,vldb,1994
68,introduction to constraint databases - book review,,2002
69,"fast , randomized join-order selection - why use transformations ?",vldb,1994
70,foundations of statistical natural language processing - book review,,2002
71,bulk loading into an oodb : a performance study,vldb,1994
72,efficient and effective clustering methods for spatial data mining,vldb,1994
73,automata theory for xml researchers,sigmod record,2002
74,database research at the university of illinois at urbana-champaign,sigmod record,2002
75,fast incremental indexing for full-text information retrieval,vldb,1994
76,chair 's message,,2002
77,a transaction replication scheme for a replicated database with node autonomy,vldb,1994
78,treasurer 's message,,2002
79,a top-down approach for two level serializability,vldb,1994
80,access to objects by path expressions and rules,vldb,1994
81,report on the mobile search workshop at www 2002,,2002
82,graphdb : modeling and querying graphs in databases,vldb,1994
83,report on the web dynamics workshop at www 2002,,2002
84,report on the 24th european colloquium on information retrieval research,,2002
85,database graph views : a practical model to manage persistent graphs,vldb,1994
86,dual-buffering strategies in object bases,vldb,1994
87,sql/med - a status report,sigmod record,2002
88,hector garcia-molina speaks out,,2002
89,2q : a low overhead high performance buffer management replacement algorithm,vldb,1994
90,an effective deductive object-oriented database through language integration,vldb,1994
91,toward autonomic computing with db2 universal database,sigmod record,2002
92,reminiscences on influential papers,,2002
93,an algebraic approach to rule analysis in expert database systems,vldb,1994
94,report on the semantic web workshop at www 2002,,2002
95,fast algorithms for mining association rules in large databases,vldb,1994
96,ontologies : a silver bullet for knowledge management and electronic commerce - book review,,2002
97,opossum : desk-top schema management through customizable visualization,vldb,1995
98,the grid : an application of the semantic web,sigmod record,2002
99,querying shapes of histories,vldb,1995
100,interview with david maier,,2002
101,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation",vldb,1995
102,small worlds : the dynamics of networks between order and randomness - book review,,2002
103,flexible relations - operational support of variant relational structures,vldb,1995
104,query processing in tertiary memory databases,vldb,1995
105,"agents , turst , and information access on the semantic web",sigmod record,2002
106,methodology for development and employment of ontology based knowledge management applications,sigmod record,2002
107,near neighbor search in large metric spaces,vldb,1995
108,scientific journals : extinction or explosion ? ( panel ),vldb,1995
109,acm-sigmod digital review,sigmod record,2000
110,querying multiple bioinformatics data sources : can semantic web research help ?,sigmod record,2002
111,the p operator : discovering and ranking associations on the semantic web,sigmod record,2002
112,similarity based retrieval of pictures using indices on spatial relationships,vldb,1995
113,clustering validity checking methods : part ii,sigmod record,2002
114,providing database migration tools - a practicioner 's approach,vldb,1995
115,editor 's notes,sigmod record,2002
116,metrics for accessing heterogeneous data : is there any hope ? ( panel ),vldb,1995
117,"very large databases : how large , how different ?",vldb,1995
118,book review column,sigmod record,2002
119,a study on the management of semantic transaction for efficient data retrieval,sigmod record,2002
120,promises and realities of active database systems,vldb,1995
121,os support for vldbs : unix enhancements for the teradata data base,vldb,1995
122,reminiscences on influential papers,,2002
123,parameterized complexity for the database theorist,sigmod record,2002
124,managing a db2 parallel edition database,vldb,1995
125,research in information managment at dublin city university,sigmod record,2002
126,the oracle warehouse,vldb,1995
127,informix-online xps : a dynamically scalable rdbms for open parallel platforms,vldb,1995
128,report on the edbt '02 panel on scientific data integration,,2002
129,supporting exceptions to schema consistency to ease schema evolution in oodbms,vldb,1994
130,wrapping web data into xml,sigmod record,2001
131,on database theory and xml,sigmod record,2001
132,naos - efficient and modular reactive capabilities in an object-oriented database system,vldb,1994
133,xquery formal semantics : state and challenges,sigmod record,2001
134,towards automated performance tuning for complex workloads,vldb,1994
135,why and how to benchmark xml databases,sigmod record,2001
136,query optimization by predicate move-around,vldb,1994
137,the evolution of effective b-tree : page organization and techniques : a personal account,sigmod record,2001
138,optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined parallelism,vldb,1994
139,the ecobase project : database and web technologies for environmental information systems,sigmod record,2001
140,some issues in design of distributed deductive databases,vldb,1994
141,semantic integration in heterogeneous databases using neural networks,vldb,1994
142,xml document versioning,sigmod record,2001
143,providing dynamic security control in a federated database,vldb,1994
144,"preservation of digital data with self-validating , self-instantiating knowledge-based archives",sigmod record,2001
145,"semantic web workshop : models , architectures and management",,2001
146,implementing lazy database updates for an object database system,vldb,1994
147,towards event-driven modelling for database design,vldb,1994
148,reminiscences on influential papers,,2001
149,"jeffrey d. ullman speaks out on the future of higher education , startups , database theory , and more",,2001
150,new concurrency control algorithms for accessing and compacting b-trees,vldb,1994
151,odefs : a file system interface to an object-oriented database,vldb,1994
152,report on the 2001 sigmod and pods awards,,2001
153,constraints for semi-structured data and xml,sigmod record,2001
154,indexing multiple sets,vldb,1994
155,editor 's notes,,2001
156,the hcc-tree : an efficient index structure for object oriented databases,vldb,1994
157,performance of data-parallel spatial operations,vldb,1994
158,sql/xml and the sqlx informal group of companies,sigmod record,2001
159,eiha ?!? : deploying web and wap services using xml technology,sigmod record,2001
160,the impact of global clustering on spatial database systems,vldb,1994
161,java support for data-intensive systems : experiences building the telegraph dataflow system,sigmod record,2001
162,a requirement-based approach to data modeling and re-engineering,vldb,1994
163,sql multimedia and application packages ( sql/mm ),sigmod record,2001
164,from nested-loop to join queries in oodb,vldb,1994
165,dimacs summer school tutorial on new frontiers in data mining,sigmod record,2001
166,"composite events for active databases : semantics , contexts and detection",vldb,1994
167,report on the 8th international workshop on knowledge representation meets databases ( krdb ),,2001
168,a low-cost storage server for movie on demand databases,vldb,1994
169,editor 's notes,sigmod record,2001
170,content-based image indexing,vldb,1994
171,client-server paradise,vldb,1994
172,research in multi-organizational processes and semantic information brokering at the lsdis lab,sigmod record,2001
173,on the academic interview circuit : an end-to-end discussion,sigmod record,2001
174,cumulative updates,vldb,1994
175,cache conscious algorithms for relational query processing,vldb,1994
176,introduction to the career forum column,sigmod record,2001
177,challenges for global information systems,vldb,1994
178,continuous queries over data streams,sigmod record,2001
179,data analysis and mining in the life sciences,sigmod record,2001
180,building a laboratory information system around a c++ - based object-oriented dbms,vldb,1994
181,a multidatabase system for tracking and retrieval of financial data,vldb,1994
182,a general techniques for querying xml documents using a relational database system,sigmod record,2001
183,an overview of repository technology,vldb,1994
184,advanced xml data processing - guest editor 's introduction,sigmod record,2001
185,data compression support in databases,vldb,1994
186,accessibility of the database literature,sigmod record,2001
187,treasurer 's message,,2001
188,an empirical performance study of the ingres search accelerator for a large property management database system,vldb,1994
189,chair 's message,,2001
190,data integration in the large : the challenge of reuse,vldb,1994
191,career-enhancing services at sigmod online,sigmod record,2001
192,experiments on access to digital libraries : how can images and text be used together,vldb,1994
193,pc database systems - present and future,vldb,1994
194,editor 's notes,sigmod record,2001
195,data mining-based intrusion detectors : an overview of the columbia ids project,sigmod record,2001
196,distributed top-k monitoring,sigmod conference,2003
197,approximate join processing over data streams,sigmod conference,2003
198,adam : a testbed for exploring the use of data mining in intrusion detection,sigmod record,2001
199,detection and classification of intrusions and faults using sequences of system calls,sigmod record,2001
200,containment join size estimation : models and methods,sigmod conference,2003
201,relating distributed objects,vldb,1994
202,book review column,sigmod record,2001
203,integrating a structured-text retrieval system with an object-oriented database system,vldb,1994
204,describing semistructured data,sigmod record,2001
205,chair 's message,,2001
206,user interfaces ; who cares ?,vldb,1994
207,special issue on data mining for intrusion detection and threat analysis - guest editor 's introduction,,2001
208,scientific databases - state of the art and future directions,vldb,1994
209,mining system audit data : opportunities and challenges,sigmod record,2001
210,efficient similarity search and classification via rank aggregation,sigmod conference,2003
211,using unknowns to prevent discovery of association rules,sigmod record,2001
212,extracting structured data from web pages,sigmod conference,2003
213,factorizing complex predicates in queries to exploit indexes,sigmod conference,2003
214,mining email content for author identification forensics,sigmod record,2001
215,transactional information systems - book review,,2001
216,estimating compilation time of a query optimizer,sigmod conference,2003
217,extended wavelets for multiple measures,sigmod conference,2003
218,information warfare and security - book review,,2001
219,treasurer 's message,,2000
220,"gio wiederhold speaks out on moving into academia in mid-career , how to be an effective consultant , why you should be a program manager as a funding agency , the need for ontology algebra and simulations , and more",,2001
221,chain : operator scheduling for memory minimization in data stream systems,sigmod conference,2003
222,sigmod 2001 industry sessions,sigmod record,2001
223,capturing both types and constraints in data integration,sigmod conference,2003
224,reminiscences on influential papers,,2001
225,exchanging intensional xml data,sigmod conference,2003
226,the gmap : a versatile tool for physical data independence,vldb,1994
227,the design and performance evaluation of alternative xml storage strategies,sigmod record,2002
228,guest editor 's introduction,,2002
229,including group-by in query optimization,vldb,1994
230,persistent threads,vldb,1994
231,the n-tier hub technology,sigmod record,2002
232,supporting global user profiles through trusted authorities,sigmod record,2002
233,memory-contention responsive hash joins,vldb,1994
234,business data management for b2b electronic commerce,sigmod record,2002
235,v-trees - a storage method for long vector data,vldb,1994
236,qualified answers that reflect user needs and preferences,vldb,1994
237,semantic b2b integration : issues in ontology-based applications,sigmod record,2002
238,rp * : a family of order preserving scalable distributed data structures,vldb,1994
239,the role of b2b engines in b2b integration architectures,sigmod record,2002
240,supply chain infrastructures : system integration and information sharing,sigmod record,2002
241,on index selection schemes for nested object hierarchies,vldb,1994
242,interview with avi silberschatz,,2002
243,reasoning about spatial relationships in picture retrieval systems,vldb,1994
244,what will be - book review,,2002
245,on spatially partitioned temporal join,vldb,1994
246,modelling and querying video data,vldb,1994
247,too much middleware,sigmod record,2002
248,materialization : a powerful and ubiquitous abstraction pattern,vldb,1994
249,the xml typechecking problem,sigmod record,2002
250,report on the 18th british national conference on databases ( bncod ),,2002
251,maximizing buffer and disk utilizations for news on-demand,vldb,1994
252,reminiscences on influential papers,,2002
253,investigation of algebraic query optimisation techniques for database programming languages,vldb,1994
254,join index hierarchies for supporting efficient navigations in object-oriented databases,vldb,1994
255,letter to sigmod record editor,,2002
256,hilbert r-tree : an improved r-tree using fractals,vldb,1994
257,why i like working in academia,sigmod record,2002
258,a survey of logical models for olap databases,sigmod record,1999
259,qc-trees : an efficient summary structure for semantic olap,sigmod conference,2003
260,fintime - a financial time series benchmark,sigmod record,1999
261,spreadsheets in rdbms for olap,sigmod conference,2003
262,xrank : ranked keyword search over xml documents,sigmod conference,2003
263,diluting acid,sigmod record,1999
264,querying structured text in an xml database,sigmod conference,2003
265,design and management of data warehouses : report on the dmdw '99 workshop,sigmod record,1999
266,vist : a dynamic index method for querying xml data by tree structures,sigmod conference,2003
267,editor 's notes,sigmod record,1999
268,rights protection for relational data,sigmod conference,2003
269,sql standardization : the next steps,sigmod record,2000
270,reminiscences on influential papers,,2000
271,information sharing across private databases,sigmod conference,2003
272,incremental maintenance of recursive views using relational calculus/sql,sigmod record,2000
273,winnowing : local algorithms for document fingerprinting,sigmod conference,2003
274,data quality and data cleaning : an overview,sigmod conference,2003
275,sigmod sister societies,sigmod record,2000
276,birn-m : a semantic mediator for solving real-world neuroscience problems,sigmod conference,2003
277,a system for watermarking relational databases,sigmod conference,2003
278,chair 's message,,2000
279,beyond document similarity : understanding value-based search and browsing technologies,sigmod record,2000
280,aurora : a data stream management system,sigmod conference,2003
281,improving the efficiency of database-system teaching,sigmod conference,2003
282,comparative analysis of five xml query languages,sigmod record,2000
283,an extensible compressor for xml data,sigmod record,2000
284,"proceedings of the 2003 acm sigmod international conference on management of data , san diego , california , usa , june 9-12 , 2003",,2003
285,an optimisation scheme for coalesce/valid time selection operator sequences,sigmod record,2000
286,efficient processing of joins on set-valued attributes,sigmod conference,2003
287,hierarchies and relative operators in the olap environment,sigmod record,2000
288,data grid management systems,sigmod conference,2003
289,evaluating probabilistic queries over imprecise data,sigmod conference,2003
290,evolution and change in data management - issues and directions,sigmod record,2000
291,adaptive filters for continuous queries over distributed data streams,sigmod conference,2003
292,generating dynamic content at database-backed web servers : cgi-bin vs. mod_perl,sigmod record,2000
293,knowledge discovery in data warehouses,sigmod record,2000
294,dynamic xml documents with distribution and replication,sigmod conference,2003
295,editor 's notes,sigmod record,2000
296,dynamic sample selection for approximate query processing,sigmod conference,2003
297,cmvf : a novel dimension reduction scheme for efficient indexing in a large image database,sigmod conference,2003
298,the implementation and performance of compressed databases,sigmod record,2000
299,dbcache : middle-tier database caching for highly scalable e-business architectures,sigmod conference,2003
300,metadata standards for data warehousing : open information model vs. common warehouse metamodel,sigmod record,2000
301,a comprehensive xquery to sql translation using dynamic interval encoding,sigmod conference,2003
302,spatial operators,sigmod record,2000
303,reminiscences on influential papers,,2000
304,gigascope : a stream database for network applications,sigmod conference,2003
305,formal semantics and analysis of object queries,sigmod conference,2003
306,report on second international workshop on advanced issues of e-commerce and web-based information systems,,2000
307,provision of market services for eco compliant electronic market places,sigmod record,2000
308,hardware acceleration for spatial selections and joins,sigmod conference,2003
309,a characterization of the sensitivity of query optimization to storage access cost parameters,sigmod conference,2003
310,"workshop on performance and architecture of web servers ( paws-2000 , held in conjection with sigmetrics-2000 )",,2000
311,a theory of redo recovery,sigmod conference,2003
312,report in isdo ' 00 : the caise * 00 workshop on infrastructures for dynamic business-to-business service outsourcinga,,2000
313,sigmod digital symposium collection ( disc ) editor 's message,,2000
314,cache-and-query for wide area sensor databases,sigmod conference,2003
315,composing xsl transformations with xml publishing views,sigmod conference,2003
316,sigmod ' 2000 program chair 's message,,2000
317,an optimal and progressive algorithm for skyline queries,sigmod conference,2003
318,information director 's message,,2000
319,sigmod anthology editor 's message,,2000
320,contorting high dimensional data for efficient main memory processing,sigmod conference,2003
321,chair 's message,,2000
322,visionary : a next generation visualization system for databases,sigmod conference,2003
323,comparative analysis of six xml schema languages,sigmod record,2000
324,extracting and exploiting structure in text search,sigmod conference,2003
325,building notification services with microsoft sqlserver,sigmod conference,2003
326,vice chair 's message,,2000
327,google in a box - building the google search appliance,sigmod conference,2003
328,nonstop sql/mx publish/subscribe : continuous data streams in transaction processing,sigmod conference,2003
329,editor 's notes,sigmod record,2000
330,data management challenges in crm,sigmod conference,2003
331,new tpc benchmarks for decision support and web commerce,sigmod record,2000
332,integration of electronic tickets and personal guide system for public transport using mobile terminals,sigmod conference,2003
333,constraint databases : a tutorial introduction,sigmod record,2000
334,multi-dimensional clustering : a new data layout scheme in db2,sigmod conference,2003
335,generating spatiotemporal datasets on the www,sigmod record,2000
336,theory of answering queries using views,sigmod record,2000
337,using sets of feature vectors for similarity search on voxelized cad objects,sigmod conference,2003
338,object database evolution using separation of concerns,sigmod record,2000
339,a framework for change diagnosis of data streams,sigmod conference,2003
340,on relational support for xml publishing : beyond sorting and tagging,sigmod conference,2003
341,moving up the food chain : supporting e-commerce applications on databases,sigmod record,2000
342,reminiscences on influential papers,,2000
343,qcluster : relevance feedback using adaptive clustering for content-based image retrieval,sigmod conference,2003
344,oracle xml db repository,sigmod conference,2003
345,vldb workshop on technologies in e-services ( tes ),,2000
346,sigmod program review,,2000
347,oracle rac : architecture and performance,sigmod conference,2003
348,the future of web services - i,sigmod conference,2003
349,using quantitative information for efficient association rule generation,sigmod record,2000
350,the future of web services - ii,sigmod conference,2003
351,"research and practice in federated information systems , report of the efis ' 2000 international workshop",,2000
352,processing set expressions over continuous update streams,sigmod conference,2003
353,editor 's notes,sigmod record,2000
354,cache invalidation scheme for mobile computing systems with real-time data,sigmod record,2000
355,robust and efficient fuzzy match for online data cleaning,sigmod conference,2003
356,mapping data in peer-to-peer systems : semantics and algorithmic issues,sigmod conference,2003
357,a vision of management of complex models,sigmod record,2000
358,scientific data repositories : designing for a moving target,sigmod conference,2003
359,chair 's message,,2000
360,stream processing of xpath queries with predicates,sigmod conference,2003
361,xml and information retrieval : a sigir 2000 workshop,,2001
362,report on the fourth international conference on flexible query answering systems,,2001
363,xpath queries on streaming data,sigmod conference,2003
364,location-based spatial queries,sigmod conference,2003
365,sql and management of external data,sigmod record,2001
366,the clio project : managing heterogeneity,sigmod record,2001
367,the design of an acquisitional query processor for sensor networks,sigmod conference,2003
368,xpress : a queriable compression for xml data,sigmod conference,2003
369,quality of service in multimedia digital libraries,sigmod record,2001
370,d ( k ) - index : an adaptive structural summary for graph-structured data,sigmod conference,2003
371,towards knowledge-based digital libraries,sigmod record,2001
372,"temporal coalescing with now , granularity , and incomplete information",sigmod conference,2003
373,reminiscences on influential papers,,2001
374,report on xewa-00 : the xml enabled wide-area searches for bioinformatics workshop,,2001
375,warping indexes with envelope transforms for query by humming,sigmod conference,2003
376,chair 's message,,2001
377,rondo : a programming platform for generic model management,sigmod conference,2003
378,on schema matching with opaque column names and data values,sigmod conference,2003
379,re-designing distance functions and distance-based applications for high dimensional data,sigmod record,2001
380,statistical schema matching across web query interfaces,sigmod conference,2003
381,querying multi-dimensional data indexed using the hilbert space-filling curve,sigmod record,2001
382,spectral bloom filters,sigmod conference,2003
383,infosphere project : system support for information flow applications,sigmod record,2001
384,the asilomar report on database research,sigmod record,1998
385,a scalable hash ripple join algorithm,sigmod conference,2002
386,executing sql over encrypted data in the database-service-provider model,sigmod conference,2002
387,electronic market : the roadmap for university libraries and members to survive in the information jungle,sigmod record,1998
388,covering indexes for branching path queries,sigmod conference,2002
389,xml and electronic commerce : enabling the network economy,sigmod record,1998
390,apex : an adaptive path index for xml data,sigmod conference,2002
391,component-based e-commerce : assesment of current practices and future directions,sigmod record,1998
392,accelerating xpath location steps,sigmod conference,2002
393,editor 's notes,sigmod record,1998
394,efficient evaluation of queries in a mediator for websources,sigmod conference,2002
395,"sqlj part 0 , now known as sql/olb ( object-language bindings )",sigmod record,1998
396,the middleware muddle,sigmod record,1998
397,best-effort cache synchronization with source cooperation,sigmod conference,2002
398,reminiscences on influential papers,,1998
399,continuously adaptive continuous queries over streams,sigmod conference,2002
400,an adaptive peer-to-peer network for distributed caching of olap results,sigmod conference,2002
401,design and implementation of rmp - a virtual electronic market place,sigmod record,1998
402,a componentized architecture for dynamic electronic markets,sigmod record,1998
403,efficient integration and aggregation of historical information,sigmod conference,2002
404,archiving scientific data,sigmod conference,2002
405,adept : an agent-based approach to business process management,sigmod record,1998
406,xquery : a query language for xml,,2003
407,a workflow-based electronic marketplace on the web,sigmod record,1998
408,guest editor 's introduction,,1998
409,the lowell report,sigmod conference,2003
410,chair 's message,,1998
411,panel : querying networked databases,sigmod conference,2003
412,ipsofacto : a visual correlation tool for aggregate network traffic data,sigmod conference,2003
413,an anonymous electronic commerce scheme with an off-line authority and untrusted agents,sigmod record,1998
414,discovering internet marketing intelligence through online analytical web usage mining,sigmod record,1998
415,plastic : reducing query optimization overheads through plan recycling,sigmod conference,2003
416,rolex : relational on-line exchange with xml,sigmod conference,2003
417,videoanywhere : a system for searching and managing distributed video assets,sigmod record,1999
418,reminiscences on influential papers,,1999
419,query by humming - in action with its technology revealed,sigmod conference,2003
420,rainbow : multi-xquery optimization using materialized xml views,sigmod conference,2003
421,report on the 13th brazilian symposium on database systems ( sbbd ' 98 ),,1999
422,timber : a native system for querying xml,sigmod conference,2003
423,the oasis multidatabase prototype,sigmod record,1999
424,lockx : a system for efficiently querying secure xml,sigmod conference,2003
425,editor 's notes,sigmod record,1998
426,building database-driven electronic catalogs,sigmod record,1998
427,trex : dtd-conforming xml to xml transformations,sigmod conference,2003
428,nsf workshop on industrial/academic cooperation in database systems,,1999
429,irisnet : internet-scale resource-intensive sensor services,sigmod conference,2003
430,"sql : 1999 , formerly known as sql 3",sigmod record,1999
431,telegraphcq : continuous dataflow processing,sigmod conference,2003
432,semantic integration of environmental models for application to global information systems and decision-making,sigmod record,1999
433,pix : exact and approximate phrase matching in xml,sigmod conference,2003
434,stream : the stanford stream data manager,sigmod conference,2003
435,semantic and pedagogic interoperability mechanisms in the ariadne educational repository,sigmod record,1999
436,statement from the treasurer,sigmod record,1999
437,transparent mid-tier database caching in sql server,sigmod conference,2003
438,semantic interoperability in global information systems : a brief introduction to the research area and the special section,sigmod record,1999
439,qxtract : a building block for efficient information extraction from plain-text databases,sigmod conference,2003
440,peerdb : peering into personal databases,sigmod conference,2003
441,semantic integration of semistructured and structured data sources,sigmod record,1999
442,griddb : a database interface to the grid,sigmod conference,2003
443,semantic interoperability in information services : experiencing with coopware,sigmod record,1999
444,unpacking the semantics of source and usage to perform semantic reconciliation in large-scale information systems,sigmod record,1999
445,winmagic : subquery elimination using window aggregation,sigmod conference,2003
446,socqet : semantic olap with compressed cube and summarization,sigmod conference,2003
447,semantic video indexing : approach and issue,sigmod record,1999
448,"database tuning : principles , experiments , and troubleshooting techniques ( part ii )",sigmod conference,2002
449,dynamic service matchmaking among agents in open information environments,sigmod record,1999
450,"database tuning : principles , experiments , and troubleshooting techniques ( part i )",sigmod conference,2002
451,contextualizing the information space in federated digital libraries,sigmod record,1999
452,efficient materialization and use of views in data warehouses,sigmod record,1999
453,rate-based query optimization for streaming information sources,sigmod conference,2002
454,"proceedings of the 2002 acm sigmod international conference on management of data , madison , wisconsin , june 3-6 , 2002",,2002
455,agent-based semantic interoperability in infosleuth,sigmod record,1999
456,a study on data point search for hg-trees,sigmod record,1999
457,hd-eye : visual clustering of high dimensional data,sigmod conference,2002
458,design principles for data-intensive web sites,sigmod record,1999
459,gea : a toolkit for gene expression analysis,sigmod conference,2002
460,chair 's message,,1999
461,going public : open-source databases and database research,sigmod conference,2002
462,"message from editor-in-chief , acm transactions on database systems",,1999
463,data streams : fresh current or stagnant backwater ? ( panel ),sigmod conference,2002
464,database research at the university of oklahoma,sigmod record,1999
465,gigascope : high performance network monitoring with an sql interface,sigmod conference,2002
466,an overview and classification of mediated query systems,sigmod record,1999
467,distributing queries over low-power wireless sensor networks,sigmod conference,2002
468,dbxplorer : enabling keyword search over relational databases,sigmod conference,2002
469,chair 's message,,1999
470,vice chair 's message,,1999
471,cubeexplorer : online exploration of data cubes,sigmod conference,2002
472,acdn : a content delivery network for applications,sigmod conference,2002
473,on multi-resolution document transmission in mobile web,sigmod record,1999
474,dbcache : database caching for web application servers,sigmod conference,2002
475,"towards adaptive workflow systems , cscw-98 workshop report",,1999
476,cougar : the network is the database,sigmod conference,2002
477,editor 's notes,sigmod record,1999
478,"commix : towards effective web information extraction , integration and query answering",sigmod conference,2002
479,reminiscences on influential papers,,1999
480,an ebxml infrastructure implementation through uddi registries and rosettanet pips,sigmod conference,2002
481,"the active database central , er2000 , vldb 2000 , wise 2000 , books , acm dl",sigmod record,1999
482,a compact b-tree,sigmod conference,2002
483,editor 's notes,sigmod record,1999
484,efficient execution of joins in a star schema,sigmod conference,2002
485,engineering federated information systems : report of efis '99 workshop,sigmod record,1999
486,chorochronos : a research network for spatiotemporal database systems,sigmod record,1999
487,automating physical database design in a parallel database,sigmod conference,2002
488,cost estimation of user-defined methods in object-relational database systems,sigmod record,1999
489,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",sigmod conference,2002
490,first-class views : a key to user-centered computing,sigmod record,1999
491,dwarf : shrinking the petacube,sigmod conference,2002
492,distributed transactions in practice,sigmod record,1999
493,compressing sql workloads,sigmod conference,2002
494,"a distributed scientific data archive using the web , xml and sql/med",sigmod record,1999
495,coordinating backup/recovery and data consistency between database and file systems,sigmod conference,2002
496,report on ngits ' 99 : the 4th international workshop on next generation information technologies and systems,,1999
497,general match : a subsequence matching method in time-series databases based on generalized windows,sigmod conference,2002
498,clustering by pattern similarity in large data sets,sigmod conference,2002
499,timer-driven database triggers and alerters : semantics and a challenge,sigmod record,1999
500,"some remarks on variable independence , closure , and orthographic dimension in constraint databases",sigmod record,1999
501,a monte carlo algorithm for fast projective clustering,sigmod conference,2002
502,dynamic multidimensional histograms,sigmod conference,2002
503,database principles column - introduction,sigmod record,1999
504,exploiting statistics on query expressions for optimization,sigmod conference,2002
505,on views and xml,sigmod record,1999
506,efficient algorithms for minimizing tree pattern queries,sigmod conference,2002
507,reminiscences on influential papers,,1999
508,efficient k-nn search on vertically decomposed data,sigmod conference,2002
509,practical lessons in supporting large-scale computational science,sigmod record,1999
510,continually evaluating similarity-based pattern queries on a streaming time series,sigmod conference,2002
511,sqlj-part 1 : sql routines using the java programming language,sigmod record,1999
512,proxy-based acceleration of dynamically generated content on the world wide web : an approach and implementation,sigmod conference,2002
513,integrating dynamically-fetched external information into a dbms for semistructured data,sigmod record,1997
514,semistructured und structured data in the web : going back and forth,sigmod record,1997
515,processing complex aggregate queries over data streams,sigmod conference,2002
516,fractal prefetching bбtrees : optimizing both cache and disk performance,sigmod conference,2002
517,intelligent access to heterogeneous information sources : report on the 4th workshop on knowledge representation meets databases,,1997
