beer_id,beer_item,alcohol_content,beer_subtype,brewer_name
643,Abbeydale Resurrection,4.60 %,Premium Bitter/ESB,Abbeydale
644,Armadillo Amber Ale,-,Amber Ale,Hale_s Ales
645,Desert Edge Anniversary Amber,4 %,Amber Ale,Desert Edge Brewery
646,406 Imperial Red Ale,9.20 %,American Strong Ale,406 Brewing Company
647,Breakside Hoppy Amber,4.70 %,Amber Ale,Breakside Brewery
648,Millersburg Bag_s Best Red Ale,6.50 %,Amber Ale,Millersburg Brewing
649,Triptych Imperial Red XPA,8.50 %,India Pale Ale &#40; IPA &#41;,Triptych Brewing Company
650,Amager Red Nitro,8.50 %,American Strong Ale,Amager Bryghus
651,Apeldoornse Bierbrouwerij De Vlijt Veluwse Schavuyt Amber,6.50 %,Amber Ale,Apeldoornse Bierbrouwerij De Vlijt
652,Acoustic Rock Steady Red Cider,6 %,Cider,Acoustic Brewing Company
653,Martin House The Imperial Texan,9 %,American Strong Ale,Martin House Brewing Company
654,Bull Falls Irish Red Ale,6.10 %,Irish Ale,Bull Falls Brewery
655,Against the Grain French Oak Aged Gnag Reflex,6 %,Sour/Wild Ale,Against the Grain Brewery
656,4 Hands Cuvee Diable,5.80 %,Saison,4 Hands Brewing Company
657,Outlaw The Gambler American Amber,5.60 %,Amber Ale,Outlaw Brewing Company &#40; MT &#41;
658,Northport Morazon Amber,5.50 %,Amber Ale,Northport Brewing
659,Phantom Imperial Red Rye,7.40 %,American Strong Ale,Phantom Ales
660,Town Hall Blackberry Crimson Oat,6 %,Fruit Beer,Minneapolis Town Hall Brewery
661,Escape &#40; CA &#41; Road Rage Imperial Red,10 %,American Strong Ale,Escape Craft Brewery
662,1516 Pub & Brewery Red Zeppelin,4.70 %,Amber Ale,1516 Pub & Brewery
663,Tin Roof Perfect Tin Amber,4.50 %,Amber Ale,Tin Roof Brewing Company
664,Rivertowne Red Head Red,5.30 %,Amber Ale,Rivertowne Pour House
665,Daves BrewFarm LEAP Beer,9.10 %,American Strong Ale,Daves BrewFarm
666,Angelic Shakedown Brown,-,Brown Ale,Angelic Brewing Company
667,Akishika Junmai Gingo Namazake,15.50 %,SakÃ © - NamasakÃ ©,Akishika Shuzo
668,BTU Rusty_s Red Ale,5.80 %,American Pale Ale,BTU Brewing
669,Het Uiltje Velduil,4.50 %,Session IPA,Jopen
670,Wiltses Paul Bunyan Ale,-,English Pale Ale,Wiltses Brew Pub
671,Alcazar Windjammer IPA,6 %,American Pale Ale,Alcazar
672,7 Barrios Amber,5.10 %,Amber Ale,Cerveceria Lesnez
673,Claim Jumper Original Red Ale,-,Amber Ale,Maritime Pacific Brewing Co. .
674,Marshall Wharf Little Max Red Ale,4.50 %,Amber Ale,Marshall Wharf Brewing Company
675,Aldus Olde Factory Amber IPA,7 %,India Pale Ale &#40; IPA &#41;,Aldus Brewing Company
676,Anchorage Time Waits For No One,14.60 %,Imperial Stout,Anchorage Brewing Company
677,Shiretown Siren_s T_ale,5 %,Amber Ale,Shiretown Brewing
678,La Cumbre La Roja Grande,8.10 %,American Strong Ale,La Cumbre Brewing Company
679,Sierra Andina Alpamayo Amber Ale,5.80 %,Amber Ale,Sierra Andina
680,Highland Gaelic Ale,5.80 %,Amber Ale,Highland Brewing Company
681,Goose Eye Autumn Ale,4.20 %,Golden Ale/Blond Ale,Goose Eye
682,De Lepelaer Gerstebrij Jubilee Amber,7 %,Amber Ale,Brouwerij de Lepelaer
683,4 Pines Keller Door West Coast Red Rye IPA,7.30 %,India Pale Ale &#40; IPA &#41;,4 Pines Brewing Company
684,Boxing Bear Ambear Ale,5.26 %,Amber Ale,Boxing Bear Brewing Company
685,Jazz Beer Tarraco Amber,6.90 %,Amber Ale,Ca l_Arenys - Cervezas Guineu
686,Bend Axe Head Red Ale,-,Amber Ale,Bend Brewing Company
687,Artisan_s Hoppy Amber Ale,5.20 %,Amber Ale,Artisan_s Brewery and Italian Grill
688,Port Aransas Mustang Amber Ale,-,Amber Ale,Port Aransas Brewing Company
689,Able Ebenezer Tabula Rasa,7.50 %,Amber Ale,Able Ebenezer Brewing Company
690,Pizza Port Big Dumb Animal,8.50 %,American Strong Ale,Pizza Port &#40; Carlsbad &#41;
691,Peak Organic Amber Ale,4.80 %,Amber Ale,Shipyard Brewing Company
692,2nd Story Hoppy New Year Amber Ale,5.70 %,Amber Ale,2nd Story Brewing Company
693,Marks & Spencer Greenwich Red Ale,4 %,Amber Ale,Meantime &#40; SAB Miller &#41;
694,North Fork Son of Frog,6.20 %,American Strong Ale,North Fork Brewery/Pizza/Beer Shrine
695,Eventide Red-Headed Haley,5.30 %,Amber Ale,Eventide Brewing
696,Oceanside Ale Works San Luis Rey Red Ale,5.40 %,Amber Ale,Oceanside Ale Works
697,Against the Grain Truffle Shuffle,6.80 %,Spice/Herb/Vegetable,Against the Grain Brewery
698,Rusty Truck Stupiphany Imperial Red Ale,8 %,American Strong Ale,Rusty Truck Brewing / Roadhouse 101
699,Birdland Kewlerskald,6 %,Amber Ale,Birdland Brewing Company
700,Alattomos _ rdÃ ¶ g VÃ ¶ rÃ ¶ s SÃ ¶ r - Red Beer,5 %,Amber Lager/Vienna,JÃ $ ger SÃ ¶ rf & # 337zde - Akpedo Kft . ( OrgovÃ ¡ ny )
701,18th Street Rise of the Phoenix,7.10 %,India Pale Ale &#40; IPA &#41;,18th Street Brewery
702,Brentwood Project Venus Sugar & Spice,4.60 %,Golden Ale/Blond Ale,Brentwood
703,La Verne Dead Leprechaun Irish Red,5.50 %,Amber Ale,La Verne Brewing Co. .
704,Bacchus / Burrow Bloodhound Blood Red IPA,6 %,India Pale Ale &#40; IPA &#41;,Bacchus Brewing Company &#40; Australia &#41;
705,Firehouse Full Tilt Bozo,7.20 %,American Strong Ale,Firehouse Brewing Company &#40; SD &#41;
706,10 Barrel Northwest Red,6.10 %,Amber Ale,10 Barrel Brewing &#40; AB InBev &#41;
707,Caledonian Double Amber,4.60 %,Bitter,Caledonian &#40; Heineken UK &#41;
708,Quantum &#40; CA &#41; Uncertainty Red,6.69 %,Amber Ale,Quantum Brewing &#40; CA &#41;
709,Bull & Barrel Session Style - Amber Ale,4.70 %,Amber Ale,Bull & Barrel Brew Pub
710,Kirishima Kirinokura Amber,5 %,Amber Ale,Kirishima Shuzo Kirinokura Brewery
711,Alt Platz Sedona Bronze Ale,5.75 %,Amber Ale,Alt Platz Brewing Company
712,Dempseys Valkyrie Red,5.50 %,Amber Ale,Dempseys Brewery
713,Burro de Sancho Roja,5 %,Amber Ale,Daviyun / Sagra
714,Alligator Chocolate Orange Belgian Ale,6.20 %,Belgian Ale,Alligator Brewing Company &#40; aka : Tall Paul Brew House &#41;
715,Beachwood Knucklehead Red,5.70 %,Amber Ale,Beachwood BBQ & Brewing
716,Heavy Seas Desert Island Series American Honey Amber Ale,4.90 %,Amber Ale,Heavy Seas Brewing Company
717,Country Boy Our Daily Red,7 %,Amber Ale,Country Boy Brewing
718,Keweenaw Red Jacket Amber Ale,5.10 %,Amber Ale,Keweenaw Brewing Company
719,Cellar Lucky Enough Amber,7 %,Amber Ale,Cellar Brewing Company
720,Platt Park Astronaut Amber,5.10 %,Amber Ale,Platt Park Brewing Company
721,Altstadthof Rotbier,5.20 %,Amber Lager/Vienna,Hausbrauerei Altstadthof
722,Alameda East Village Amber,5.20 %,Altbier,Alameda Brewing Co. .
723,MashCraft Ancho Annie,5.60 %,Spice/Herb/Vegetable,MashCraft Brewing
724,21st Amendment Holiday Spiced Ale,7 %,Spice/Herb/Vegetable,21st Amendment Brewery
725,Sleeping Lady Forty Niner Amber Ale,5.20 %,Amber Ale,Sleeping Lady Brewing Co. .
726,1010 Red Nose Reinbeer,4.50 %,Amber Ale,1010 Brewing &#40; Sale St Brewery &#41;
727,21st Amendment Red Giant,13 %,American Strong Ale,21st Amendment Brewery
728,Amber Po Godzinach : India Pale Lager,4.80 %,Premium Lager,Browar Amber
729,&#268; eskÃ 1/2 Rudolec Red Ale 13Â °,-,Amber Ale,&#268; eskÃ 1/2 Rudolec
730,MadTree Bourbon Barrel Aged Happy Amber,6 %,Amber Ale,MadTree Brewing Company
731,Central City Red Racer Copper Ale,5 %,Amber Ale,Central City Brewers + Distillers
732,Osgood Oakestown,5.50 %,Amber Ale,Osgood Brewing
733,Allendale End 34 Red Columbus,6 %,Amber Ale,Allendale
734,Pints Rehab Red Amber,5.40 %,Amber Ale,Pints Brewery & Sports Bar on the Colorado Belle
735,NoDa Guildy as Sin,6.50 %,Amber Ale,NoDa Brewing Company
736,Charleston Brewing White Elephant Red Ale,5.80 %,Amber Ale,Charleston Brewing Company &#40; WV &#41;
737,La Quinta Brewing Co. . Heatwave Red Ale,6 %,Amber Ale,La Quinta Brewing Co. .
738,Big Block Flathead Red,6.50 %,Irish Ale,Big Block Brewing
739,Founders Backstage Series # 13 : reDANKulous Imperial Red IPA,9.50 %,Imperial IPA,Founders Brewing Company
740,Northgate Winter Soldier,6 %,Amber Ale,Northgate Brewing
741,Toccalmatto Delta Red Disorder,8.80 %,Imperial IPA,Birrificio Toccalmatto
742,Kalamazoo Royal Amber Ale,-,Amber Ale,Bells Brewery
743,Berwick Arden_s Amber,4.90 %,Amber Ale,Berwick Brewing Company
744,Bootjesbier,7 %,Amber Ale,Antwerpse Brouw Compagnie
745,Ukiah 10 Guilder,5 %,Amber Ale,Ukiah Brewing Company
746,Beer Works Crimson Clover Irish Red,5 %,Irish Ale,Beer Works
747,Boulder Beer Sundance Amber Ale,4.85 %,Amber Ale,Boulder Beer Company
748,Ruby River Ruby Red Ale,4 %,Amber Ale,Ruby River Steakhouse and Brewery
749,El Toro Black Raspberry Ale,4 %,Fruit Beer,El Toro Brewing Co. .
750,Mare Nostrum Prestige,6 %,Amber Ale,Mare Nostrum Brasseur du Sud
751,Appalachian Artie_s Amber Ale,-,Amber Ale,Appalachian Brewing Company &#40; PA &#41;
752,Denver Beer American Rojo,-,Premium Bitter/ESB,Denver Beer Company
753,Goldspot Pantalones Rojo Red IPA,5.50 %,India Pale Ale &#40; IPA &#41;,Goldspot Brewing Company
754,Wye Valley Dorothy Goodbody_s Country Ale,6 %,English Strong Ale,Wye Valley
755,Destihl Roadblock British Red Ale,5 %,Irish Ale,Destihl Brewery
756,Brodies West End Best &#40; 4.0 % &#41;,4 %,Bitter,Brodies
757,Firetrucker 2 Alarm Red,8 %,American Strong Ale,Firetrucker Brewery
758,Corralitos Richter Red Ale,6.60 %,Amber Ale,Corralitos Brewing Company
759,Boulder Dam Reclamation Amber,-,Amber Ale,Boulder Dam Brewing Co. .
760,AleWerks Winter Hop,9.30 %,American Strong Ale,AleWerks Brewing Company
761,Brains Craft Brewery Simply Red,4 %,Amber Ale,Brains
762,Crested Butte White Buffalo Peace Ale,-,Amber Ale,Crested Butte Brewing
763,MobCraft Barrel Aged Rabbits Bounty,10.50 %,American Strong Ale,House of Brews
764,Veracious Owd Boreas Imperial Red,8.90 %,American Strong Ale,Veracious Brewing Company
765,Big Axe Red Ale,6.80 %,Amber Ale,Big Axe Brewing Company
766,3 Daughters Orange Cream Ale,5.70 %,Cream Ale,3 Daughters Brewing Company
767,Court Avenue Dorchester Amber,-,Amber Ale,Court Avenue Brewing Company
768,Alandale Octoberfest,-,Oktoberfest/M Ã $ rzen,Kirkwood Station Brewing Company
769,Back Alley Fire Hydrant Red Ale,6.20 %,Amber Ale,Back Alley Brewery
770,Iron Horse Brewlette # 3,-,Stout,Iron Horse Brewery
771,Brassneck Counter Cultured,7 %,India Pale Ale &#40; IPA &#41;,Brassneck Brewery
772,Infusion Butcher Block Brown Ale,-,Brown Ale,Infusion Brewing Company
773,Thr3e Wise Men Hoggy Style Amber,5 %,Belgian Ale,Thr3e Wise Men
774,Free State Thunderhead Pale Ale,6.40 %,American Pale Ale,Free State Brewing Company
775,Four Saints Potter_s Clay Amber Ale,5.70 %,Amber Ale,Four Saints Brewing Company
776,Planetary Brewing Heliotropic Amber,5.10 %,Amber Ale,Planetary Brewing Company
777,Booze Brothers Green Eyed Amber,5.90 %,Amber Ale,Booze Brothers Brewing Co
778,Hobbs Tavern WakeWolfe Amber,4 %,Amber Ale,Hobbs Tavern & Brewing Company
779,Svaty Norbert MasopustnÃ 16Â ° Naku &#345; ovanÃ 1/2 Porter,6.30 %,Smoked,KlÃ ¡ _ ternÃ Pivovar Strahov
780,Fort Barcelona Amber Ale,5.30 %,Amber Ale,LlÃºpols i Llevats &#40; Glops &#41;
781,Catskill Devil_s Path IPA,7.50 %,India Pale Ale &#40; IPA &#41;,Catskill Brewery
782,Main Street Amber Ale with Ella & Galaxy,6.10 %,Amber Ale,Main Street Brewing &#40; BC &#41;
783,Noble Ale Works The Irisher,4.60 %,Irish Ale,Noble Ale Works
784,Sockeye Crooked Trail Harvest Ale,6 %,Amber Ale,Sockeye Brewing
785,Empirical Atomic Amber : Honey Hypothesis,6.70 %,Amber Ale,Empirical Brewery
786,Su_i &#269; Ã ¡ k TmavÃ ¡ Emilka,5.20 %,Dunkel/Tmav Ã 1/2,Pivovar U _ velch &#367;
787,Blue Owl Van Dayum &#033; Sour Red Ale,6.10 %,Sour Red/Brown,Blue Owl Brewing
788,Molly Pitcher Imperial Red,6.50 %,American Strong Ale,Molly Pitcher Brewing Company
789,Lake Norman Outboard Amber Ale,5.10 %,Amber Ale,Lake Norman Brewing Company
790,Mike Hess Station Copper Ale,6.10 %,Amber Ale,Mike Hess Brewing Company
791,Sun Up Armadillo Red Ale,5.20 %,Amber Ale,Sun Up Brewing Company &#40; Sonora Brewhouse &#41;
792,Equinox Borealis Winter Ale,7 %,Belgian Ale,Equinox Brewing
793,Prohibition Pig Dream of the 90s,-,Amber Ale,Prohibition Pig
794,Earth Eagle Chillaxico,5.80 %,Traditional Ale,Earth Eagle Brewings
795,Basqueland Arraun Amber Ale,5 %,Amber Ale,Mateo & BernabÃ ©
796,16 Mile Mile Stones Batch # 1,4.70 %,Session IPA,16 Mile Brewing Company
797,Brew By Numbers 16/03 Red Ale - Mosaic & Chinook,5.50 %,Amber Ale,Brew By Numbers
798,Thunder Canyon Morning Star Imperial Red,10.10 %,American Strong Ale,Thunder Canyon Brewery
799,Sisyphus Hoppy Amber,6.20 %,Amber Ale,Sisyphus Brewing
800,Leavenworth Nosferatu Red Ale,5.50 %,English Strong Ale,Fish Brewing Company/Leavenworth Beers
801,1516 Amarillo Amber Ale,-,Amber Ale,1516 Brewing Company
802,Baias Ambar,5.50 %,Amber Ale,Baias Garagardotegia
803,Black Woods Forest Ale,-,Amber Ale,August Schell Brewing Company
804,Fairhope Rescue Dog Red Ale,7.20 %,Amber Ale,Fairhope Brewing Company
805,Peak Organic The Maple Collaboration,6.70 %,Amber Ale,Shipyard Brewing Company
806,8 Wired C4 Double Coffee Brown Ale,8 %,Brown Ale,Renaissance Brewing
807,Exit # 005 Amber Ale,5.60 %,Amber Ale,Cavalier Beer
808,8 Wired Wild Feijoa Sour Ale 2013,9.50 %,Sour/Wild Ale,Renaissance Brewing
809,La Virgen Jamonera,5 %,Amber Ale,Cervezas La Virgen
810,21st Amendment Poor Richards Ale,7 %,Traditional Ale,21st Amendment Brewery
811,Horse & Dragon Flagstone Copper Ale,-,Amber Ale,Horse & Dragon Brewing Company
812,Big Bear Lake Sidewinder Red Ale,8.50 %,Amber Ale,Big Bear Lake Brewing Company
813,Fish Tale Organic Amber Ale,5 %,Amber Ale,Fish Brewing Company/Leavenworth Beers
814,_ irv &#279; nos Dundulio Pilstoma Gira,0.50 %,Low Alcohol,_ irv &#279; nos Bravoras &#40; Dundulis &#41;
815,Rock Bottom Milwaukee Badger Stripe Ale,5.30 %,Amber Ale,Rock Bottom Milwaukee
816,Okkara Rinkusteinur,5.80 %,Amber Ale,Okkara
817,Acoustic Ales Rock Out With Your Vienna Out,6 %,Amber Lager/Vienna,Acoustic Ales Brewing Experiment
818,12th Abbey Altered Amber,4.20 %,Amber Ale,12th Abbey
819,5 Seasons Westside Rosebud_s Milk Stout,-,Sweet Stout,5 Seasons Westside
820,Marks & Spencer Lowland Glen Amber,4.50 %,Amber Ale,Harviestoun
821,Albatros Bira Pilsener,5 %,Pilsener,TÃ 1/4 rk Tuborg
822,Blue Blood Vanessa_s Wheat,-,Wheat Ale,Blue Blood Brewing Company
823,&#40; 512 &#41; Cabernet Barrel Aged Three,9.50 %,Abbey Tripel,&#40; 512 &#41; Brewing Company
824,Our Mutual Friend Brett and Barreled Chinook Red Ale,8 %,American Strong Ale,Our Mutual Friend Malt & Brew
825,Troubled Monk Accidental Amber,-,Amber Ale,Troubled Monk
826,Michelob AmberBock,5.20 %,Amber Lager/Vienna,Anheuser-Busch InBev
827,Metropolitan Shezmu Red Lager,5.50 %,Amber Lager/Vienna,Metropolitan Brewing
828,Northwest Peaks Double Redoubt Red,8.50 %,American Strong Ale,Northwest Peaks Brewery
829,Boneyard Diablo Rojo,7 %,Amber Ale,Boneyard Beer Company
830,Brickstone Irish Red Ale,-,Irish Ale,Brickstone Restaurant & Brewery
831,Wolf Hollow Amber,5 %,Amber Ale,Wolf Hollow Brewing Company
832,Georgia Tea Party,-,Amber Ale,Eagle Creek Brewing Company
833,508 Dorado Pampeana,-,Golden Ale/Blond Ale,508 Gastrobrewery
834,Agua Mala Marea Roja,5.24 %,Amber Ale,CervecerÃa Agua Mala
835,Sawtooth False Summit Amber Ale,5.70 %,Amber Ale,Sawtooth Brewery
836,Uncle Bear_s Head To Tale Amber,5.60 %,Amber Ale,Uncle Bear_s Brewery
837,Prohibition Pig Rufous,5.50 %,Amber Ale,Prohibition Pig
838,Brew Bus Detour Series : Rollin Dirty Red Ale - Wood Aged,5 %,Irish Ale,Cigar City Brewing
839,Dugges Juldricka,4 %,Amber Ale,Dugges Ale & Porterbryggeri
840,Dry City MiracAle Amber,5.20 %,Amber Ale,Dry City Brew Works
841,Atlas Pterodactyl Deathscream Imperial Red IPA,-,Imperial IPA,Atlas Brewing Company
842,Legends of the Bay Champlain 1615-2015,5 %,Amber Ale,Midland Beer Works
843,Ornery Occoquan Oats,5.80 %,Amber Ale,Ornery Beer Company Public House
844,Cartel Indiana Nights Imperial American Amber,7 %,Amber Ale,Brew Link Brewing
845,Hill Farmstead Amarillo Single Hop Pale Ale,5.20 %,American Pale Ale,Hill Farmstead Brewery
846,18th Street Barrel Aged Hunter,9.50 %,Sweet Stout,18th Street Brewery
847,Courtyard Nova Convention,-,Amber Ale,The Courtyard Brewery
848,Pints Pub Phonebox Amber,-,Amber Ale,Pints Pub Brewery & Freehouse
849,Chatham Amber,-,Amber Ale,Chatham Brewing
850,Grimm Brothers Ungrateful Son,6 %,Belgian Ale,Grimm Brothers Brewhouse
851,Padre Island Tailing Red Amber,-,Amber Ale,Padre Island Brewing Company
852,Hereford & Hops Cleary Red,3.90 %,Irish Ale,Hereford & Hops Restaurant & Brew Pub
853,S : t Eriks / Samuel Adams Transatlantic Belgian Red Strong Ale,7.30 %,Belgian Strong Ale,S : t Eriks Bryggeri &#40; Galatea &#41;
854,Bifferhaus Wacko Swami Amber Ale,9.50 %,American Strong Ale,Bifferhaus Brewing Company
855,Inlet Brewing Monk in the Trunk Organic Amber Ale,5.50 %,Amber Ale,Thomas Creek Brewery
856,Dry Dock Nautilus American Red,5.60 %,Amber Ale,Dry Dock Brewing Co. .
857,Aotearoa Mata Brown-Boy,5 %,Amber Ale,Aotearoa Breweries
858,Twains Blushing Ape Oatmeal India Red,6 %,Amber Ale,Twains Billiards and Tap
859,Bills Rudy_s Red,-,Irish Ale,Bills Tavern and Brewhouse
860,Asheville / Thirsty Monk Sister Bad Habit,5.60 %,Amber Ale,Asheville Brewing Company
861,Cigar City / DuClaw Impey Barbicane_s Moongun,3.90 %,Amber Ale,Cigar City Brewing
862,Flytrap Rehder_s Red Ale,5.40 %,Amber Ale,Flytrap Brewing
863,AmberWeiss Wheat Beer,5.30 %,German Hefeweizen,Kaluzhskaya &#40; Moskva-Efes &#41;
864,Mash Amber,4.30 %,Bitter,Mash Brewery &#40; Hampshire &#41;
865,10 Barrel Crosby Farms Harvest Fresh Hop Ale,5.50 %,India Pale Ale &#40; IPA &#41;,10 Barrel Brewing &#40; AB InBev &#41;
866,Bucks County Munich Autumn,6.50 %,Oktoberfest/M Ã $ rzen,Bucks County Brewery
867,7venth Sun Ruby Red Overhead IPA,6.30 %,India Pale Ale &#40; IPA &#41;,7venth Sun Brewery
868,SanTan Epicenter Amber Ale,5.50 %,Amber Ale,SanTan Brewing Company
869,Paw Paw Gus Meister Amber Ale,5.10 %,Amber Ale,Paw Paw Microbrewery
870,BandWagon Ezra Red Ale,5 %,Irish Ale,BandWagon Brewpub
871,Broad Ripple Firecracker Red Ale,5.50 %,Amber Ale,Broad Ripple Brewing Co. .
872,Big Spruce Ready Yer Knot ... Regatta Red Ale,-,Amber Ale,Big Spruce Brewing
873,Gun Hill Redcoat Resistance,5.40 %,Amber Ale,Gun Hill Brewing Company
874,Little Apple Rileys Red Ale,5.20 %,Amber Ale,Little Apple Brewing Co. .
875,Sherwood Production Line Red,5.25 %,Amber Ale,Sherwood Brewing Company
876,MÃ ² R Scode &#033;,4 %,Bitter,MÃ ² R Brewing
877,Illawarra Rust Amber Ale,5.20 %,Amber Ale,Illawarra Brewing Company
878,_ mog_ala Winter Ale,7.50 %,American Strong Ale,Joalda
879,Vizir Lucky Luke Sexy Ale,4 %,Amber Ale,Pivovarna Vizir
880,Bethlehem Brew Works Rockwell Red Ale,5.40 %,Amber Ale,Fegley_s Brew Works
881,Sick N Twisted Naughty Redhead Imperial Red Ale,8 %,Amber Ale,Sick N Twisted Brewing Company
882,Baerlic Arctos,6.50 %,American Strong Ale,Baerlic Brewing
883,Fresh Chios Beer / FrÃ © skia MpÃ 1/2 ra ChÃou &#40; House Ale &#41;,4.90 %,Golden Ale/Blond Ale,Chios Microbrewery
884,Swamp Head Part-Time Lubber,4.50 %,Amber Ale,Swamp Head Brewery
885,Blue Canoe Joe_s Electric Bill,5.50 %,Amber Ale,Blue Canoe Brewery
886,Manitou Tall Rev Red Ale,6.70 %,Amber Ale,Manitou Brewing Company
887,Angry Minnow Redhorse Ale,-,Irish Ale,Angry Minnow
888,8 Wired Extra Pils,5 %,Pilsener,Renaissance Brewing
889,Colleen_s Finest Amber Ale,5 %,Amber Ale,Hog_s Head Brewing Company
890,Bonneville Brewery Antelope Amber Ale,4 %,Amber Ale,Bonneville Brewery Company
891,Portsmouth Amber Dandy,6.20 %,Amber Ale,Portsmouth Brewery
892,Backpocket First Runnings,11 %,Imperial Stout,Backpocket Brewing
893,I & I Orange Flower Amber,6.10 %,Amber Ale,I & I Brewing
894,&#40; 512 &#41; Mole Cream Stout,-,Sweet Stout,&#40; 512 &#41; Brewing Company
895,Able Ebenezer Auburn Ale,4.50 %,Amber Ale,Able Ebenezer Brewing Company
896,10 Barrel Big Black Stout,6.20 %,Sweet Stout,10 Barrel Brewing &#40; AB InBev &#41;
897,Borderlands Santa Rita Amber Ale,5.60 %,Amber Ale,Borderlands Brewing Company
898,Elitch Gardens Fire Roasted Amber,5.20 %,Spice/Herb/Vegetable,Wynkoop Brewing Company
899,Bad Beat Ante Up Amber Ale,5.70 %,Amber Ale,Bad Beat Brewing
900,Buffalo Bayou Cedar Aged 1836,5.90 %,Premium Bitter/ESB,Buffalo Bayou Brewing
901,FOTM Hoosier Amber,5.30 %,Amber Ale,Fire on the Mountain Brewing Co. .
902,Momentum Brewhouse Knee Highs,9.50 %,American Strong Ale,Momentum Brewhouse
903,Alpha State Red Simcoe,7.50 %,India Pale Ale &#40; IPA &#41;,Alpha State
904,21st Amendment Larrys Last Call Ale,-,Amber Ale,21st Amendment Brewery
905,BrainDead Red,6 %,Amber Ale,BrainDead Brewing
906,Lompoc Saison d_Evolution,5.80 %,Saison,Lompoc Brewing
