unique_id,model_id,price_value,supplier,product_type
2153,82272,55.96,maccase,electronics - general
2154,ippim411,79.99,memorex,electronics - general
2155,ac252,18.88,ape case,photography - general
2156,ioc-1000,16.88,cables unlimited,electronics - general
2157,st310005exa101,99.84,seagate,hard drives
2158,hp nu561aa,15.0,hp,electronics - general
2159,col510p,298.99,peerless,tv accessories
2160,d3000 kit,443.99,nikon,digital cameras
2161,138548,19.99,sumdex,electronics - general
2162,4.1945601 e7,247.0,oki,printers
2163,dp2dvi,18.88,startech,electronics - general
2164,f1dd104l,188.84,belkin,networking
2165,,38.88,targus,computers
2166,msnf06,26.99,team pro mark,mice
2167,ihb931nr,49.88,lifeworks,computers
2168,,35.88,thermaltake,electronics - general
2169,114115,3796.75,draper,electronics - general
2170,101211,1667.45,draper,electronics - general
2171,111348,2252.45,draper,electronics - general
2172,111328,4348.45,draper,electronics - general
2173,104047,1615.0,draper,electronics - general
2174,116031,564.3,draper,electronics - general
2175,119177,2375.95,draper,electronics - general
2176,252007,1724.99,draper,electronics - general
2177,149182,135.99,targus,electronics - general
2178,cbp1-9n,15.0,v7,electronics - general
2179,,12.19,expo,stationery & office machinery
2180,rvla,0.0,rayovac,electronics - general
2181,269100be,30.97,rubbermaid commercial,storage
2182,im2306-30002,132.0,storm,photography - general
2183,c8563a,671.69,hp,printers
2184,pmm-3p-b1,79.54,powermat,electronics - general
2185,sat1810u2,30.91,startech,electronics - general
2186,sbt-cps2,4.88,sabrent,electronics - general
2187,q630,62.97,rubbermaid commercial,home care
2188,hdwl2tu3r1,239.82,buffalo technology,hard drives
2189,ksd4gbhsbna100,16.0,lexar,usb drives
2190,ms612st,699.0,benq,electronics - general
2191,fva4587,29.99,tribeca,electronics - general
2192,fishfinder 140,90.8,garmin,fish finder
2193,b66-bbe21-a,539.88,plustek,computers
2194,98904,44.84,fellowes,mice
2195,3202-5745,8.88,memorex,mp3 accessories
2196,ant240920000s,129.82,netgear,computers
2197,st640,86.99,peerless,tv accessories
2198,spp3301wa/17,19.88,philips,electronics - general
2199,51644c,46.59,hp,printers
2200,,66.99,goodhope bags,stationery & office machinery
2201,,9.84,pny,printers
2202,2340pla,119.97,dixie,house wares
2203,136103,806.45,draper,electronics - general
2204,116034,670.6,draper,electronics - general
2205,127119,7525.2,draper,electronics - general
2206,,639.0,canon,digital cameras
2207,psf4gusb,14.84,patriot,usb drives
2208,pexsat31e1,42.5,startech,electronics - general
2209,,179.99,bankers box,storage
2210,te0046ac,124.97,crown,rugs
2211,jsd-00007,18.88,microsoft,electronics - general
2212,wm570 +515,0.0,generic,stationery & office machinery
2213,ccaaux,29.99,clarion,car stereos
2214,sl1023,90.27,sakar,electronics - general
2215,lew35-b,369.99,luxor,electronics - general
2216,1382920,270.9,lexmark,stationery & office machinery
2217,tzb41,24.88,brother,stationery & office machinery
2218,14030500,56.97,guardian,home care
2219,34801,22.0,kensington,electronics - general
2220,27571,4629.99,da-lite,electronics - general
2221,sa309,20.82,franklin,computers
2222,82969,472.99,da-lite,electronics - general
2223,87062,343.99,da-lite,electronics - general
2224,73639,181.99,da-lite,electronics - general
2225,asf133w9usz,42.07,targus,electronics - general
2226,n430gt-md1gd3-oc,86.92,msi,electronics - general
2227,101269,1290.2,draper,electronics - general
2228,d44276110701a,19.97,day-timer,stationery & office machinery
2229,c1550 prpl bndl,89.0,kodak,digital cameras
2230,dgs1008p,179.99,d-link,networking
2231,iep222pnk,9.88,iluv,electronics - general
2232,218462,27.99,roocase,electronics - general
2233,96746,55.99,mobile edge,electronics - general
2234,fqc-00129,299.54,microsoft,software
2235,padsm203,22.99,memorex,mp3 accessories
2236,220761,35.99,roocase,electronics - general
2237,95079,16.14,verbatim,mp3 accessories
2238,36562,0.0,ge,electronics - general
2239,101r00421,349.0,xerox,printers
2240,al-a300atx,26.88,apex,electronics - general
2241,16898,20.88,cables to go,electronics - general
2242,icusb2328,163.88,startech,electronics - general
2243,tx2411,34.88,brother,stationery & office machinery
2244,loc200,94.24,clover electronics,computers
2245,gm1515b,9.88,scosche,car stereos
2246,gde11-blk,13.44,bic,stationery & office machinery
2247,4074,579.97,safco products,hand tools
2248,am-p16b,39.99,arrowmounts,tv accessories
2249,,59.99,us brown bear,furniture
2250,33001,14.28,sharpie,stationery & office machinery
2251,m85xws1,60.84,elite screens,electronics - general
2252,7274t,2.69,3m,home care
2253,900319,59.82,visiontek,electronics - general
2254,hl-4570cdw,481.86,brother,printers
2255,nst-280s3-bk,26.62,vantec,electronics - general
2256,,11.99,innovera,stationery & office machinery
2257,00972,8.79,master caster,home care
2258,fva2773,19.99,tribeca,electronics - general
2259,gpen300,74.88,iogear,usb drives
2260,kx-tg6645b,150.0,panasonic,electronics - general
2261,led24a45rq,199.0,rca,electronics : flat panel tv
2262,ju-sa0a12-s1,31.5,siig,electronics - general
2263,3n1mdt,9.88,human toolz,electronics - general
2264,vl100,86.0,lumiere l.a.,photography - general
2265,cb-dp0b11-s1,19.88,siig,electronics - general
2266,86210010,16.99,wincraft,mice
2267,sga-6000-kkyf1,83.75,coolermaster,electronics - general
2268,msc-5120-06,13.88,cables unlimited,electronics - general
2269,ipi03413,29.0,inland,electronics - general
2270,cb-pink,9.88,maxell,electronics - general
2271,01gp3n958lr,67.92,evga,electronics - general
2272,98-0440-4809-2,199.88,3m,electronics - general
2273,95355,84.67,verbatim,mp3 accessories
2274,tc20,29.88,brother,stationery & office machinery
2275,mr-s2mqn-01,94.88,quantum,mp3 accessories
2276,,121.84,lorex,computers
2277,mig-ps1-3,14.88,mutant,portable audio
2278,,11.59,compucessory,electronics - general
2279,104019,1615.0,draper,electronics - general
2280,119019,2493.95,draper,electronics - general
2281,xrs-9965,259.95,cobra,electronics - general
2282,ccp2-9n,17.88,v7,electronics - general
2283,h91cis,119.88,plantronics,electronics - general
2284,32760,5.99,sharpie,stationery & office machinery
2285,46434,0.0,webroot,software
2286,dsv.tf420gr4 .60 c,19.88,tracfone,prepaid wireless phones
2287,75530,0.0,avery,stationery & office machinery
2288,,24.0,boss,car stereos
2289,32pfl3506/f7,299.0,philips,television
2290,resl422b-e,0.0,orbital,tv accessories
2291,vr-3225,269.99,vizio,television
2292,c5055a,173.25,hp,printers
2293,sx130,191.99,canon,digital cameras
2294,pf14 .1,43.99,3m,electronics - general
2295,18c2249,66.99,lexmark,printers
2296,kdv2-1g,39.82,kanguru,usb drives
2297,73171,167.99,da-lite,electronics - general
2298,1913300,29.0,kodak,photography - general
2299,31730940101,9.99,genius,portable audio
2300,st12eplrd,164.97,rubbermaid commercial,storage
2301,pe222710,60.98,edge tech,hard drives
2302,fva3778,22.2,tribeca,mp3 accessories
2303,dsc-w570 / p,178.0,sony,digital cameras
2304,mv-2s1g4 / us,22.88,samsung,memory
2305,hd527b3,84.98,clickfree,hard drives
2306,ssr046db,139.97,crown,rugs
2307,21285,86.97,kimberly-clark professional,personal care
2308,mst35erd,54.97,rubbermaid commercial,storage
2309,cl-chg20067,57.88,syba multimedia,electronics - general
2310,cb-999011-s1,17.88,siig,electronics - general
2311,isp301b,53.88,ilive,electronics - general
2312,4110100,9.88,digital innovations,electronics - general
2313,xl-50,89.99,clarity,electronics - general
2314,wp-2120-e-p-ac,65.6,comprehensive,tv accessories
2315,slp-mrl,14.88,seiko,stationery & office machinery
2316,appipadtwole,39.99,zagg,mp3 accessories
2317,981-000277,163.0,logitech,electronics - general
2318,lsd4gbasbna,14.88,lexar media,usb drives
2319,pyo3sata,8.88,startech,electronics - general
2320,slp-flb,14.88,seiko,stationery & office machinery
2321,twr301-c,54.82,svat electronics,electronics - general
2322,mpt3200red,19.88,gear head,mice
2323,b243ma,50.0,quartet,stationery & office machinery
2324,3346n-ent,103.84,motorola,networking
2325,125135,5564.2,draper,electronics - general
2326,rcrv06gr,37.34,rca,tv accessories
2327,cl-nbk65016,11.88,syba multimedia,electronics - general
2328,282d,15.88,xantech,stereos/audio
2329,stbf500101,199.98,seagate,hard drives
2330,75410,18.94,,accessories apparel
2331,me9644gbblk,39.88,visual land,mp3
2332,27580,1892.99,da-lite,electronics - general
2333,cvm510,44.55,coby,electronics - general
2334,tbt053us,39.19,targus,electronics - general
2335,scg 2,31.95,bits limited,tv accessories
2336,02068,69.97,kimberly-clark professional,home care
2337,pe227821,70.98,edge tech,hard drives
2338,mvr-sq80,729.0,mace security,garden - general
2339,89456n,59.98,motorola,electronics - general
2340,bb-hcm580a,779.82,panasonic,garden - general
2341,rt-spfg101w / m,22.88,green onions supply,electronics - general
2342,4509b020aa,288.0,canon,stationery & office machinery
2343,m552 pink bndl,109.0,kodak,digital cameras
2344,hp sj5590,273.99,hp,printers
2345,91737,12.84,fellowes,electronics - general
2346,40218,44.84,maxsa,electronics - general
2347,im2875wf,288.99,pelican storm,electronics - general
2348,96751,159.99,mobile edge,electronics - general
2349,tn110bk,49.88,brother,printers
2350,pxtc19c203,13.88,startech,electronics - general
2351,146440,51.99,targus,computers
2352,pe209896,132.82,edge,memory
2353,dpw30r2h,8.88,sony,mp3 accessories
2354,146327,49.99,booq,electronics - general
2355,105015,3486.45,draper,electronics - general
2356,pwe550,72.58,sharp,computers
2357,tfdvd7379,85.71,coby,dvd players
2358,3skb-x2318-16,304.99,skb cases,electronics - general
2359,,156.0,kodak,camera and camcorder accessories
2360,s490,41.94,wilson jones,stationery & office machinery
2361,27628,1631.99,da-lite,electronics - general
2362,103945,19.99,mohawk,stationery & office machinery
2363,92290,512.99,da-lite,electronics - general
2364,99712,11.58,tops business forms,stationery & office machinery
2365,4546b001,13.97,canon,printers
2366,mst15epl,41.97,rubbermaid commercial,storage
2367,5678-2,39.88,tandberg,electronics - general
2368,kb-chu003us,89.52,thermaltake,electronics - general
2369,ce-vg0b11-s1,33.88,siig,electronics - general
2370,lemss-b,249.99,luxor,electronics - general
2371,ipad2sumblk,59.99,ifrogz,mp3 accessories
2372,13400,4.88,cables to go,electronics - general
2373,930-0023-001,18.88,magellan,gps
2374,hp ch634an # 140,13.97,hp,printers
2375,87978,15.99,case logic,electronics - general
2376,98-905w10050-000,76.88,vistablet,electronics - general
2377,9740nc,24.97,safco products,storage
2378,32lk330,344.0,lg,electronics : flat panel tv
2379,gk-013,9.72,axis,computers
2380,280113,912.99,aleratec,electronics - general
2381,vclhge08b,75.38,sony,photography - general
2382,102309,2335.95,draper,electronics - general
2383,bcl3012-clr,10.99,bic,stationery & office machinery
2384,757688yw,219.97,rubbermaid commercial,home care
2385,of12bi0041,32.97,solo,house wares
2386,46ul605u,749.0,toshiba,television
2387,pbl01-001-us,38.88,powermat,phone accessories
2388,17024,7.47,avery,stationery & office machinery
2389,27650,4958.99,da-lite,electronics - general
2390,83225,139.99,da-lite,electronics - general
2391,85311,555.99,da-lite,electronics - general
2392,pls-13 black,20.0,case logic,electronics - general
2393,65096933,139.18,adobe,software
2394,wdbacx7500asl-nesn,96.98,western digital,hard drives
2395,ex-zs10be,120.0,casio,digital cameras
2396,ssr046ch,139.97,crown,rugs
2397,90006,30.97,itw dymon,home care
2398,8910b4u,549.0,lenovo,desktop computers
2399,757788yw,159.97,rubbermaid commercial,home care
2400,ms510,599.0,benq,electronics - general
2401,89721,14.88,amzer,electronics - general
2402,et0035mb,59.97,crown,home care
2403,33267,0.0,general electric,tv accessories
2404,,275.79,quartet,stationery & office machinery
2405,q7553x,164.84,hp,printers
2406,msc-5000-05m,13.88,cables unlimited,electronics - general
2407,5389,19.84,avery,stationery & office machinery
2408,ple,9.88,sima,photography - general
2409,cd-iu50v,55.88,pioneer,car stereos
2410,,66.99,sanus,furniture
2411,,94.88,ihome,electronics - general
2412,x651h11a,565.2,lexmark,printers
2413,2499-829-105,184.88,gn netcom,electronics - general
2414,tu2-700,26.05,trendnet,electronics - general
2415,104017,1550.5,draper,electronics - general
2416,dock-5v,19.0,,car stereos
2417,127134,28527.7,draper,electronics - general
2418,pmm-1p-b2,19.97,power mate,electronics - general
2419,07251,39.33,pc treasures,electronics - general
2420,ps-003-17,48.0,antenna,electronics - general
2421,2984br,246.97,safco products,garden - general
2422,r6670-md1gd5,107.0,msi,electronics - general
2423,1skb-2416dj,239.99,skb cases,electronics - general
2424,swv3431w/17,10.43,philips,electronics - general
2425,,0.0,generic,stationery & office machinery
2426,10584lnn,599.0,hon,furniture
2427,01gp31373ar,209.09,evga,electronics - general
2428,98-903w10330-000,128.86,vistablet,electronics - general
2429,8463,45.91,avery,stationery & office machinery
2430,23096,10048.99,da-lite,electronics - general
2431,90545,454.5,da-lite,electronics - general
2432,85743,1080.63,da-lite,electronics - general
2433,24030502,50.97,guardian,home care
2434,33424,229.99,da-lite,electronics - general
2435,5290100,11.88,micro innovations,electronics - general
2436,vmax135uwv2,649.99,elite screens,electronics - general
2437,r9-nbc-xlit-gp,24.88,coolermaster,electronics - general
2438,lac130980,449.0,lacie,usb drives
2439,khx1600c9d3k2/4gx,49.99,kingston,memory
2440,tg-ra1010,12.98,targus,photography - general
2441,ec-st65zzbpu,84.0,samsung,digital cameras
2442,05800,55.97,kimberly-clark professional,personal care
2443,cs0046br,97.97,crown,home care
2444,,54.99,goodhope bags,handbags
2445,79009,19.11,sakar,toys - games
2446,6692,14.88,avery,stationery & office machinery
2447,,89.0,coolermaster,computers
2448,mxt101,7.88,startech,electronics - general
2449,dvidsmm15,19.88,startech,electronics - general
2450,q1426a,93.24,hp,stationery & office machinery
2451,00900,5.09,master caster,home care
2452,ssksv107,38.84,seal shield,electronics - general
2453,9p9000bg,449.97,rubbermaid commercial,storage
2454,203019,1102.5,draper,electronics - general
2455,252134,1177.99,draper,electronics - general
2456,stae103,12.98,seagate,electronics - general
2457,,379.97,crown,home care
2458,ub1900sss,72.97,rubbermaid commercial,storage
2459,fdaep5am,12.0,sony,photography - general
2460,z4n11-blu,13.49,bic,stationery & office machinery
2461,,15.12,,computers
2462,ts-w2502d2,268.0,pioneer,car stereos
2463,mvh-p7300,328.0,pioneer,car stereos
2464,spp4101b/17,0.0,philips,electronics - general
2465,ts500gsj25d2-w,70.88,transcend,hard drives
2466,adbcd21896mcae,449.0,adobe,software
2467,,59.99,us brown bear,furniture
2468,36101,12.94,mohawk,stationery & office machinery
2469,572lp,359.94,hon,stationery & office machinery
2470,2945b009aa,15.97,canon,printers
2471,23077,11385.99,da-lite,electronics - general
2472,27915,7443.99,da-lite,electronics - general
2473,36445,529.99,da-lite,electronics - general
2474,rr-b10-212p-g1,29.99,coolermaster,electronics - general
2475,eah5770 cucore/g/2di,180.41,asus,electronics - general
2476,it4ll-wht,24.99,ifrogz,mp3 accessories
2477,haebx5v,19.95,jvc,electronics - general
2478,ewc-pir-rj11,119.82,mace security,garden - general
2479,q2f00001,57.82,microsoft,electronics - general
2480,50482,12.92,pc treasures,software
2481,ec-wb700zbpbus,299.99,samsung,digital cameras
2482,,462.79,3m,stationery & office machinery
2483,kfc-1652,29.99,kenwood,stereos/audio
2484,smpk4230-black,35.0,sylvania,mp3
2485,tss20701us,37.88,targus,electronics - general
2486,,238.99,ofm,furniture
2487,iad215blk,9.88,iluv,phone accessories
2488,ah760r,12.88,rca,mp3 accessories
2489,,129.0,chief manufacturing,furniture
2490,1386,35.99,atlantic,dvd accessories
2491,smart1500rm2u,499.0,tripp lite,computers
2492,sa41069,29.88,scosche,car stereos
2493,102196,2118.95,draper,electronics - general
2494,115018,2898.2,draper,electronics - general
2495,263200gy,39.97,rubbermaid commercial,storage
2496,v233hajbd,142.0,acer,monitors
2497,ml1610d2,93.99,samsung,printers
2498,w3020,0.0,x-acto,stationery & office machinery
2499,21401,0.0,disney,art & craft supplies
2500,51652-76-08,0.0,generic,electronics - general
2501,pf14 .0 w,44.57,3m,electronics - general
2502,twr301-gx012,249.82,svat electronics,garden - general
2503,jj-pcm012-s3,59.99,siig,electronics - general
2504,27655,1752.99,da-lite,electronics - general
2505,st24sspl,399.97,rubbermaid commercial,storage
2506,sxp9scdx,21.97,dixie,house wares
2507,gb01957,17.13,arkon,mp3 accessories
2508,,84.99,sanus,electronics - general
2509,9s6-ac3112-008,679.0,msi,desktop computers
2510,sbt-ali5y,9.88,sabrent,electronics - general
2511,42lk450,579.0,lg,electronics : flat panel tv
2512,pjd7583w,949.0,viewsonic,electronics - general
2513,cartunesmax,29.99,mach speed,mp3
2514,pcm-2295-03,10.88,cables unlimited,tv accessories
2515,cssdf115gbp2brk,261.25,corsair,hard drives
2516,no-8lcd,100.0,night owl,garden - general
2517,910002534,19.88,logitech,mice
2518,3202-1950,19.88,memorex,electronics - general
2519,lpv3-u2,53.84,buffalo technology,computers
2520,sf650,64.99,peerless,tv accessories
2521,7858,21.88,cables to go,electronics - general
2522,m30p20-7n,6.84,v7,mice
2523,le1200,48.24,apc,tv accessories
2524,smc-frame-s1,49.0,sumas,car stereos
2525,31010615100,10.0,genius,mice
2526,sc-m92d16 :9,104.0,mustang,electronics - general
2527,97017,29.98,verbatim,mp3 accessories
2528,129003,435.15,draper,electronics - general
2529,101309,1682.45,draper,electronics - general
2530,203039,1113.95,draper,electronics - general
2531,cam-cm01-245,49.71,night owl,garden - general
2532,251013,416.7,draper,electronics - general
2533,125106,4196.7,draper,electronics - general
2534,,7.94,rubbermaid,stationery & office machinery
2535,12a8425,302.4,lexmark,printers
2536,gxdf-1116-5-tsa,139.99,gator cases,electronics - general
2537,cmfvy3-32gb,74.88,corsair,usb drives
2538,tn450,48.88,brother,printers
2539,19250,26.09,ghent,stationery & office machinery
2540,pla401v3,47.92,zyxel,networking
2541,73113,152.99,da-lite,electronics - general
2542,vmax92uwv2,319.59,elite,electronics - general
2543,r4-bmbs-20pk-r0,15.88,coolermaster,electronics - general
2544,masr42bk,55.97,crown,home care
2545,253085,985.99,draper,electronics - general
2546,85375,2549.38,da-lite,electronics - general
2547,116241,807.45,draper,electronics - general
2548,crw-ext,10.98,sabrent,usb drives
2549,,579.29,3m,stationery & office machinery
2550,mytouch 3g,199.0,htc,electronics - general
2551,330-0048,35.97,dell,printers
2552,f3h982-06,7.88,belkin,electronics - general
2553,mj270r,47.11,motorola,walkie-talkie/frs
