record_id,prod_title,base_price
838,mitsubishi wd-65735 65 ' projection tv wd65735,1401.26
839,sony bravia s series kdl-46s4100 46 ' lcd tv kdl46s4100,1188.65
840,sony bravia kdl-32l4000 32 ' lcd tv kdl32l4000,597.72
841,lg 32lg30 32 ' widescreen 720p lcd hdtv 12000:1 dynamic contrast ratio 8ms response time,
842,mitsubishi wd-65736 65 ' projection tv wd65736,1309.56
843,panasonic viera th-46pz850u 46 ' plasma tv th46pz850u,1695.96
844,sony cyber-shot dsc-w150 digital camera silver dscw150,129.99
845,frigidaire fdb130rgs 24 ' built-in dishwasher ( white ),246.54
846,sony cyber-shot dsc-w300 digital camera,289.0
847,cuisinart tob-155 toaster oven broiler,139.0
848,alpine cda-9886 car audio player cda9886,
849,samsung ht-x710 bluetooth 400-watt home theater system with ipod dock,
850,griffin elan form for iphone 3g 8223-ip2efrmb,
851,griffin protective wave case for smart phone 8227-ip2wvb,
852,chops hanger headphone wired earbuds 18 20000 hz black and chrome hh26-skc01,17.99
853,3g iphone black toughskin iph3g-blk-ts,10.0
854,yamaha ysp-3050 digital sound projector ysp-3050bl,749.99
855,sdi technologies ip99br8 clock radio for ipod/iphone,
856,nintendo ds lite ( metallic silver ),139.99
857,sony z550n/b notebook vgnz550n/b,
858,sony z570n/b notebook vgnz570n/b,
859,sony z591u/b notebook vgnz591u/b,2849.99
860,frigidarie gld4355rf 24 ' gallery speed clean dishwasher ( black ),451.29
861,frigidaire gld4355rfs gallery series 24 ' under counter dishwasher,443.81
862,sony xt-100hd hd radio tuner,38.0
863,sony bravia dav-hdx576wf home theater system,478.72
864,sony ht-ct100 home theater system,279.95
865,sony icf-cd73w am/fm/weather shower cd clock radio ( white ),68.96
866,sony dvp-fx820 / p portable dvd player dvpfx820/p,148.72
867,alpine iva-w205 car video player,689.96
868,whirlpool wfw8300sw 27 ' front-load washer w/3 .4 cu . ft. capacity ( white ),668.75
869,whirlpool wtw6400sw cabrio 4.5 cu ft capacity washer ( white ),819.75
870,whirlpool du1055xtss 6 ' console undercounter dishwasher ( stainless steel ),359.0
871,whirlpool 27 ' duet washer horiz axis wp,910.91
